source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,p02_boundary_decision,p02_boundary_note
S-015,15,8c9a4b85739447b16e2477d615bfd60bd0941b84,8c9a4b8573,9531.927,5244.244,932.0,222.0,0.0,1,R03-406-415-statuscodepages-problemdetails-diagnostics,P02-R03R04-status-diagnostics-vary-accept-browser,"406/415 diagnostics, StatusCodePages, ProblemDetails details, reason phrases, explicit status-code endpoints.",L-009: CREATE SOME ENDPOINTS FOR STATUS CODES | L-008: OR | L-010: can add check for status code and add more info about | L-011: the initial path and what client does need to do | L-012: (406 check accept 415 check content tyep),processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 boundary review: 406/415 diagnostics, StatusCodePages, ProblemDetails, status-code endpoints.",R03,no-for-r03-v001,include-r03,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-033,33,e13081dfea911f6509fe131b56f2346f786c6230,e13081dfea,346.812,2288.819,991.0,356.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-088: set varry accept | L-090: from browser | L-087: when we need to | L-089: broad accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-034,34,4ad8762b2e41d92b401ffe4e6d64e0181d49638b,4ad8762b2e,346.179,2751.114,932.0,128.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-088: set varry accept | L-090: from browser | L-087: when we need to | L-089: broad accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-035,35,c05ba00f67edaa7c874a7a120b1a5afbfe976503,c05ba00f67,308.203,618.623,955.0,341.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-087: when we need to | L-090: from browser | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-036,36,5d40fe5d162e0087d2b943829e3ba682be5801b7,5d40fe5d16,319.292,995.665,973.0,394.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-087: when we need to | L-090: from browser | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-037,37,689c84660ddeb7d4dab4dbd7a921ae775dd4fa60,689c84660d,328.458,1408.832,1008.0,357.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-087: when we need to | L-090: from browser | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-038,38,26f2b4c75fdca7bc0e180eed6e77ce07c3aca6b1,26f2b4c75f,335.958,1760.332,1001.0,430.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-088: set varry accept | L-090: from browser | L-087: when we need to | L-089: broad accept header | L-091: respect browser accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-039,39,3bdbed7d02711bdd4be8d1533fc9ef7dc572ff71,3bdbed7d02,2004.959,520.332,995.0,366.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-090: from browser | L-089: broad accept header | L-091: respect browser accept header | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN | L-002: = FRENDLYJSON/FRENDLYHATE),processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-040,40,1d114c1e88276feccca88073a7d82574b1c090c7,1d114c1e88,2015.459,893.832,1002.0,447.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-090: from browser | L-089: broad accept header | L-091: respect browser accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-041,41,93ed43b9bf09bcf07f13c4de22ec3cba95dafb4b,93ed43b9bf,2002.237,1474.943,984.0,367.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-090: from browser | L-089: broad accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-042,42,5ef1a49f6acba592304ed6c22fc4ccaf5ec61c52,5ef1a49f6a,2004.419,1849.729,959.0,366.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-090: from browser | L-089: broad accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-043,43,c853123ab3c8108cda003fc49f6cc5df0b186394,c853123ab3,1979.613,2273.795,842.0,482.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-090: from browser | L-089: broad accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-044,44,3ad9a1846ea332ee76297816b08df26520fc4750,3ad9a1846e,3110.798,1482.233,965.0,384.0,0.0,1,R04-vary-accept-browser-accept-header-policy,P02-R03R04-status-diagnostics-vary-accept-browser,"Vary: Accept, RespectBrowserAcceptHeader, browser broad Accept header, response caching/content-negotiation behavior.",L-091: respect browser accept header | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN | L-090: from browser | L-089: broad accept header,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: Vary: Accept, browser Accept header, RespectBrowserAcceptHeader, cache behavior.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to diagnostics or Vary/Accept browser policy.
S-001,1,793826c45f5a680d662048dd0f0a81185ca26a62,793826c45f,4953.948,881.413,911.0,308.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN | L-092: when have endpoint distinction with produces, need to vary | L-003: produces attribute | L-086: CONSUMES",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-002,2,2ab74a00441c3ac03837a2265485fc6efeb153e9,2ab74a0044,4946.471,1307.404,704.0,375.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN | L-092: when have endpoint distinction with produces, need to vary | L-003: produces attribute | L-091: respect browser accept header",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-003,3,7c88c430eddebdf77e1d88ddb751b083a2dcd55e,7c88c430ed,4914.96,1742.609,657.0,375.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN | L-092: when have endpoint distinction with produces, need to vary | L-003: produces attribute | L-091: respect browser accept header",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-004,4,6a6fe2878e77797bc07e4b357d74ca317b62dd2d,6a6fe2878e,6234.206,3658.935,887.0,180.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.",L-016: using Microsoft.AspNetCore.Mvc; | L-017: using Microsoft.AspNetCore.WebUtilities; | L-018: var builder = WebApplication.CreateBuilder(args); | L-019: // MVC (or minimal APIs + services) | L-020: builder.Services.AddControllers();,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-005,5,e582ffed0c107228eacc78d4fdb8590601c9104d,e582ffed0c,6283.539,3261.434,943.0,407.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.",L-016: using Microsoft.AspNetCore.Mvc; | L-017: using Microsoft.AspNetCore.WebUtilities; | L-018: var builder = WebApplication.CreateBuilder(args); | L-019: // MVC (or minimal APIs + services) | L-020: builder.Services.AddControllers();,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-006,6,359d36a029236e0c041d81e95194a56b34780685,359d36a029,6271.872,2763.101,961.0,473.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-092: when have endpoint distinction with produces, need to vary | L-016: using Microsoft.AspNetCore.Mvc; | L-003: produces attribute | L-017: using Microsoft.AspNetCore.WebUtilities; | L-018: var builder = WebApplication.CreateBuilder(args);",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-007,7,7560e9d2b0ef1e9663d2421e926b0b1ce814d995,7560e9d2b0,6270.206,2286.268,895.0,480.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-092: when have endpoint distinction with produces, need to vary | L-003: produces attribute | L-086: CONSUMES | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-008,8,637d514da296db7d6be967ac1e8b65eebd303637,637d514da2,6220.91,2118.471,951.0,163.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-092: when have endpoint distinction with produces, need to vary | L-003: produces attribute | L-086: CONSUMES | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-009,9,89c3573976aab7838733575e7bb23635fa23b3fa,89c3573976,6233.078,1631.037,833.0,482.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-092: when have endpoint distinction with produces, need to vary | L-003: produces attribute | L-086: CONSUMES | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-010,10,6319e824e33ea293ffb2c0bb9d99c58455ee65c4,6319e824e3,6183.964,1129.926,963.0,482.0,0.0,1,R01-produces-output-formatters-accept-negotiation,P01-R01R02-produces-consumes-formatters-negotiation,"Produces attribute, output formatters, content negotiation, Accept header, multiple output variants.","L-092: when have endpoint distinction with produces, need to vary | L-003: produces attribute | L-086: CONSUMES | L-002: = FRENDLYJSON/FRENDLYHATE) | L-001: CAN SPLIT OUR ACTION THAT PRODUCES 4 DIFFERENT VARIANTS(APPJSON/HATEMARVIN",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-011,11,8599272c552f80aef297d96916bf277fe913f252,8599272c55,11448.968,1556.294,982.0,482.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-006: !!! | L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-012,12,3f98d044e3774c4def36ddc59db3e7612cb4f89f,3f98d044e3,11462.165,2102.261,1096.0,321.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-006: !!! | L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-013,13,646e6a28e7c521e4a578e3ce48d3b98ca6d4a4e6,646e6a28e7,11438.84,1442.973,758.0,90.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-006: !!! | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
S-014,14,6dc64a75d3590e875c15248be727789f2e76d887,6dc64a75d3,11438.771,1158.278,1155.0,269.0,0.0,1,R02-consumes-input-formatters-action-selection-415,P01-R01R02-produces-consumes-formatters-negotiation,"Consumes attribute, input formatters, custom IActionConstraint, action selection, 415 unsupported media type.","L-005: if there is a configured supported type in input formatter | L-004: what if there is no matching consumes, even | L-006: !!! | L-083: IACTIONCONSTRAINT | L-085: OR",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; used as neighbor context only.
