label_id,text,x,y,font_size,fill
L-046,var pdService = http.RequestServices.GetRequiredService<IProblemDetailsService>();,7070.738,5864.421,15.309236947791158px,#d3d3d3
L-047,var detail = code switch,7070.738,5902.694,15.309236947791158px,#d3d3d3
L-048,{,7070.738,5921.83,15.309236947791158px,#d3d3d3
L-049,StatusCodes.Status404NotFound =>,7070.738,5940.967,15.309236947791158px,#d3d3d3
L-050,"""Endpoint not found."",",7070.738,5960.103,15.309236947791158px,#d3d3d3
L-051,StatusCodes.Status405MethodNotAllowed =>,7070.738,5979.24,15.309236947791158px,#d3d3d3
L-052,"""HTTP method not allowed for this endpoint."",",7070.738,5998.376,15.309236947791158px,#d3d3d3
L-053,StatusCodes.Status406NotAcceptable =>,7070.738,6017.513,15.309236947791158px,#d3d3d3
L-054,"""The requested response media type is not acceptable. Check the Accept header."",",7070.738,6036.65,15.309236947791158px,#d3d3d3
L-055,StatusCodes.Status415UnsupportedMediaType =>,7070.738,6055.786,15.309236947791158px,#d3d3d3
L-056,"""The request media type is unsupported. Check the Content-Type header."",",7070.738,6074.923,15.309236947791158px,#d3d3d3
L-057,_ => null,7070.738,6094.059,15.309236947791158px,#d3d3d3
L-058,};,7070.738,6113.196,15.309236947791158px,#d3d3d3
L-059,var pd = factory.CreateProblemDetails(,7070.738,6151.469,15.309236947791158px,#d3d3d3
L-060,"httpContext: http,",7070.738,6170.605,15.309236947791158px,#d3d3d3
L-061,"statusCode: code,",7070.738,6189.742,15.309236947791158px,#d3d3d3
L-062,"title: ReasonPhrases.GetReasonPhrase(code),",7070.738,6208.878,15.309236947791158px,#d3d3d3
L-063,"type: $""https://httpstatuses.com/{code}"",",7070.738,6228.015,15.309236947791158px,#d3d3d3
L-064,"detail: detail,",7070.738,6247.152,15.309236947791158px,#d3d3d3
L-065,instance: http.Request.Path,7070.738,6266.288,15.309236947791158px,#d3d3d3
L-066,);,7070.738,6285.425,15.309236947791158px,#d3d3d3
L-067,// Safe writer (content-negotiates across registered ProblemDetails writers),7070.738,6323.698,15.309236947791158px,#d3d3d3
L-068,var written = await pdService.TryWriteAsync(new ProblemDetailsContext,7070.738,6342.834,15.309236947791158px,#d3d3d3
L-069,{,7070.738,6361.971,15.309236947791158px,#d3d3d3
L-070,"HttpContext = http,",7070.738,6381.107,15.309236947791158px,#d3d3d3
L-071,ProblemDetails = pd,7070.738,6400.244,15.309236947791158px,#d3d3d3
L-072,});,7070.738,6419.38,15.309236947791158px,#d3d3d3
L-073,if (!written),7070.738,6457.654,15.309236947791158px,#d3d3d3
L-074,{,7070.738,6476.79,15.309236947791158px,#d3d3d3
L-075,// Fallback if no ProblemDetails writer is registered for the request,7070.738,6495.927,15.309236947791158px,#d3d3d3
L-076,"http.Response.ContentType = ""application/problem+json; charset=utf-8"";",7070.738,6515.063,15.309236947791158px,#d3d3d3
L-077,await http.Response.WriteAsJsonAsync(pd);,7070.738,6534.2,15.309236947791158px,#d3d3d3
L-078,},7070.738,6553.336,15.309236947791158px,#d3d3d3
L-079,});,7070.738,6572.473,15.309236947791158px,#d3d3d3
L-080,});,7070.738,6591.609,15.309236947791158px,#d3d3d3
L-081,app.MapControllers();,7070.738,6629.882,15.309236947791158px,#d3d3d3
L-082,app.Run();,7070.738,6668.156,15.309236947791158px,#d3d3d3
L-083,IACTIONCONSTRAINT,10002.187,927.49,65.81819291548294px,#d3d3d3
L-084,use consumes,8555.473,871.127,20px,#d3d3d3
L-085,OR,9257.333,864.004,20px,#d3d3d3
L-086,CONSUMES,8166.542,727.691,78.6666259765625px,#d3d3d3
L-087,when we need to,10.0,130.991,137.333349609375px,#d3d3d3
L-088,set varry accept,10.0,302.657,137.333349609375px,#d3d3d3
L-089,broad accept header,1982.0,222.494,98.93334960937501px,#d3d3d3
L-090,from browser,1982.0,346.16,98.93334960937501px,#d3d3d3
L-091,respect browser accept header,3089.196,2648.597,98.6666870117188px,#d3d3d3
L-092,"when have endpoint distinction with produces, need to vary",6203.386,1038.705,20px,#d3d3d3
