use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-87d4482f3608cacd7eee9d86f23abf7abedd1349,62cc983fa2b3.png,62cc983fa2b3,R03,4452.793858591166,642.5697021895903,917.0,428.0,1.0,,T-004|T-005|T-002,two states at the same|time|UseTransition,pending_transcript
IU-015,image-9c6c3075c8873dfcdf09f9c4597f3e4b09b26600,a17ec95bf19a.png,a17ec95bf19a,R05,7983.540650913204,1221.256619852561,864.0,354.0,1.0,,T-019|T-003|T-016,!!!|Debounce|pattern,pending_transcript
IU-016,image-1ad194390ef7cdd741ea1642c0be52e2f77be8ad,91b24b56759b.png,91b24b56759b,R05,7971.7052180502815,1613.7555311928163,955.0,394.0,1.0,,T-019|T-016|T-003,!!!|pattern|Debounce,pending_transcript
IU-017,image-45ce08912eb2318829908fd8f4f4f1a6fca3ce2b,7ffc5c8dfc52.png,7ffc5c8dfc52,R05,7982.5570246909065,2077.0889323429883,957.0,294.0,1.0,,T-019|T-016|T-003,!!!|pattern|Debounce,pending_transcript
IU-018,image-fc9d1eb3e09be8616ead84025b7e5be908b6ef25,5e195cf384cf.png,5e195cf384cf,R06,9068.92815504034,597.0739916765633,771.0,482.0,1.0,,T-016|T-019|T-003,pattern|!!!|Debounce,pending_transcript
IU-019,image-22d6b8e4a579ac606e65a0bde725725820d96d6a,cf8d894ac347.png,cf8d894ac347,R04,5974.908627881011,3526.884615219813,955.0,481.0,1.0,,T-015|T-012|T-011,"extra cost of usetransition|delaying transition|urgent updates , restarting transition",pending_transcript
IU-020,image-fb1dc3fe5574d3250de3db495f66827d4ce2bf1f,a6c7b1f81f84.png,a6c7b1f81f84,R04,5960.29748286148,4068.162376043383,982.0,434.0,1.0,,T-015|T-012|T-013,"extra cost of usetransition|delaying transition|Controlled inputs, dont",pending_transcript
IU-021,image-d7252a68e0417f1e041fe09639c25ab3710ff279,9ec791312f73.png,9ec791312f73,R04,6022.575294547678,4546.4957093767225,953.0,304.0,1.0,,T-015|T-012|T-013,"extra cost of usetransition|delaying transition|Controlled inputs, dont",pending_transcript
IU-022,image-e07b666fa80117e4acaf6146a3585dd58961f533,154aac1a67ee.png,154aac1a67ee,R01,584.078562130384,963.5203049813717,973.0,222.0,1.0,,T-006|T-001|T-007,when|useDefferedValue|background rendering,pending_transcript
IU-023,image-17bba67e61decd7f8bdbb3d91d7a7bcc73efcbb9,29dc49df46f4.png,29dc49df46f4,R01,591.6896054246554,455.52035584400437,960.0,478.0,1.0,,T-006|T-001|T-007,when|useDefferedValue|background rendering,pending_transcript
IU-024,image-3483d8fe6232154770007fbcde2aa9bc2e5a9ee3,59d70a5c0477.png,59d70a5c0477,R01,636.0264217715039,1234.4752000009103,782.0,482.0,1.0,,T-007|T-006|T-001,background rendering|when|useDefferedValue,pending_transcript
IU-025,image-acce23436863f95637979c3ab3c58c2aeb6c7f52,4df36d34e2de.png,4df36d34e2de,R01,633.1896054246554,1769.6314500009103,917.0,432.0,1.0,,T-007|T-008|T-009,"background rendering|useDefferedVal vs useTransition|downstream consumer, one value changes constantly",pending_transcript
IU-026,image-b191f7bb7998078104ba7997fd3954727cfe436b,f6f9b6d24ffd.png,f6f9b6d24ffd,R01,1675.745330522312,448.4092108244695,683.0,370.0,1.0,,T-006|T-001|T-002,when|useDefferedValue|UseTransition,pending_transcript
IU-027,image-36e15032bc266a1450a84155cb9116bc0ed54e0c,1ba83adc82dd.png,1ba83adc82dd,R02,64.0227861700987,3162.7425950204415,942.0,388.0,1.0,,T-010|T-009|T-008,"restarting|downstream consumer, one value changes constantly|useDefferedVal vs useTransition",pending_transcript
IU-028,image-9503bdd869efee16da4f55ad0f566947909009f8,274ddf74bb04.png,274ddf74bb04,R02,1142.1338294643692,3182.353587452086,908.0,371.0,1.0,,T-010|T-007|T-009,"restarting|background rendering|downstream consumer, one value changes constantly",pending_transcript
IU-029,image-6b51f97d3a4c1b4e43994434b12a11d1dae7c632,0dfb6c7160f3.png,0dfb6c7160f3,R01,665.832279809998,2406.6974646086637,885.0,482.0,1.0,,T-007|T-010|T-008,background rendering|restarting|useDefferedVal vs useTransition,pending_transcript
IU-030,image-7f73e0233d55b786a7d6374bba867d1319fe2c07,30719a47e513.png,30719a47e513,R02,1226.6744445023087,3788.641892098896,773.0,482.0,1.0,,T-010|T-009|T-008,"restarting|downstream consumer, one value changes constantly|useDefferedVal vs useTransition",pending_transcript
IU-031,image-6cae60f1a2ac3a77da837248972749b55526d14e,03b226ffd900.png,03b226ffd900,R02,75.97411699462828,3772.185995746107,970.0,169.0,1.0,,T-010|T-009|T-008,"restarting|downstream consumer, one value changes constantly|useDefferedVal vs useTransition",pending_transcript
IU-032,image-a5be5e02477da1102f07f1cb3ef3da36d6688a97,47e08d277626.png,47e08d277626,R02,100.70478210344663,3955.156502950898,793.0,430.0,1.0,,T-010|T-009|T-008,"restarting|downstream consumer, one value changes constantly|useDefferedVal vs useTransition",pending_transcript
