source_id,image_use_id,fileId_short,symbol_id,x,y,width,height,rotation,opacity,candidate_region,nearest_labels
S-012,IU-012,6e93d4a528,image-6e93d4a52809b3e01d7a28f30befdc3e4c420f2a,11064.088485954146,10759.869766926073,273.0,79.0,0.0,1.0,R05,Preflight requests give information to server about requests about to happen | https://developer.mozilla.org/en- US/docs/Web/HTTP/Headers/Access-Control-Allow-Credentials | How works
S-013,IU-013,7ad10a04a1,image-7ad10a04a15a7fca7fb7b7e56a1db22042236f77,12113.121019721762,10515.081972115684,877.0,81.0,0.0,1.0,R05,Preflight requests give information to server about requests about to happen
S-014,IU-014,4a2cc6fdb4,image-4a2cc6fdb41cbb6915a90fd36c22eceb5682e325,12158.811970405346,9798.50976821679,513.0,320.0,0.0,1.0,R05,How works | Preflight requests give information to server about requests about to happen
S-015,IU-015,7259ecb67e,image-7259ecb67e0dcccf5e0ed56424e15f9251f7d08e,12179.979572907905,10149.956940901891,487.0,274.0,0.0,1.0,R05,Preflight requests give information to server about requests about to happen | How works
S-016,IU-016,b91264e275,image-b91264e2756be2e97c6fc3ce8c03e9c2f2d994a8,11963.352986522284,10972.748401117355,1369.0,258.0,0.0,1.0,R05,Preflight requests give information to server about requests about to happen
S-017,IU-017,18db3dde62,image-18db3dde62e677658cad66bd05a57e55b900ca6d,11619.582993150867,10211.85281958856,334.0,62.0,0.0,1.0,R05,https://developer.mozilla.org/en- US/docs/Web/HTTP/Headers/Access-Control-Allow-Credentials | How works | Preflight requests give information to server about requests about to happen
S-018,IU-018,d71011b0e0,image-d71011b0e034a22d84399eac8946ef84a0303334,11403.111805586022,11027.152626352097,436.0,80.0,0.0,1.0,R05,Preflight requests give information to server about requests about to happen | https://developer.mozilla.org/en- US/docs/Web/HTTP/Headers/Access-Control-Allow-Credentials | How cors middleware works
S-019,IU-019,b9c3194564,image-b9c319456463907286fd2ddc30958f60e3b6ac60,11659.724087855715,11551.91633724984,864.0,285.0,0.0,1.0,R05,"Preflight requests give information to server about requests about to happen | How cors middleware works | if request is preflight, you specify what are allowed in responce on that request"
S-020,IU-020,597075c5fe,image-597075c5febe897289fc584ab808c85fa3b73cec,11594.148410582535,11875.876174715664,1102.0,320.0,0.0,1.0,R05,"How cors middleware works | Preflight requests give information to server about requests about to happen | if request is preflight, you specify what are allowed in responce on that request"
S-021,IU-021,53a9d9563b,image-53a9d9563bd2676a09b286a6ab8c8fc912fddf00,11653.20455260513,12686.189886691853,975.0,431.0,0.0,1.0,R05,"if request is preflight, you specify what are allowed in responce on that request | How cors middleware works | Preflight requests give information to server about requests about to happen"
S-022,IU-022,858dfa46c8,image-858dfa46c8346c298d8f57758f09f4c2c7525b09,13452.123597390106,3754.0783437138207,998.0,180.0,0.0,1.0,R02,why cors | !!! | add to cors | content diisposition
S-023,IU-023,9d52f31d73,image-9d52f31d737ea490961e0cc4c7fadbe949bc5628,13583.589050663979,3966.3223299606516,766.0,482.0,0.0,1.0,R02,why cors | !!! | add to cors | content diisposition
S-024,IU-024,2df52d0950,image-2df52d09507736bbc670a495985a033f433084cc,13511.147579835357,4483.995537529937,944.0,313.0,0.0,1.0,R02,!!! | why cors | add to cors | content diisposition
S-025,IU-025,308c39a261,image-308c39a261ec13b091dd9ab5e01bd9b445638d7d,13487.162078224661,4807.795275815563,914.0,356.0,0.0,1.0,R02,!!! | why cors | add to cors
S-026,IU-026,c2c48c99df,image-c2c48c99dfe5304e33d8cc2733779931631b9d0e,14949.536120521236,3744.82038423533,1029.0,332.0,0.0,1.0,R02,content diisposition | !!! | add to cors
S-027,IU-027,c7b325ac2b,image-c7b325ac2bae7fbff962e3f80cc79a697488f469,7772.123362115661,1406.2943152885982,1004.0,280.0,0.0,1.0,R01,components of url | what is origin | What is the host
S-028,IU-028,9913aff46a,image-9913aff46ac2979377233fefd5740824a44d950e,7812.147919281524,1711.8051642876217,814.0,482.0,0.0,1.0,R01,components of url | what is origin | What is the host
S-029,IU-029,e341cfa242,image-e341cfa242f395d4a1eddb8df3940b73346b8357,9257.855787381504,1199.1462389132703,995.0,412.0,0.0,1.0,R01,what is origin | What is the host
S-030,IU-030,fcbb8d786b,image-fcbb8d786b027067cb8951ec2cbebe88d68824ca,9216.379617250366,1935.1462214746543,1025.0,228.0,0.0,1.0,R01,what is origin | What is the host
S-031,IU-031,da86c5bcba,image-da86c5bcbab4a273ef5f569b2b15bb2d4638dde1,9205.712930238647,2230.479412392623,1017.0,480.0,0.0,1.0,R01,what is origin | What is the host
S-032,IU-032,e34755917c,image-e34755917c5acf8a6cefd54cdf4b456eb59545a2,10405.260450467442,1116.8843544964175,408.0,343.0,0.0,1.0,R01,What is the host | what is origin
S-033,IU-033,b25602bb41,image-b25602bb4120573437036ebd20132747ee50cae4,5137.616125172505,10.0,840.0,482.0,0.0,1.0,R01,what is origin for cors configuration scheme + host + port defaults may be dropped
S-034,IU-034,528d50ff1f,image-528d50ff1f2ad608f57bc6459bb98ba3bd6c8259,5095.395833710096,944.9952117787743,1031.0,367.0,0.0,1.0,R01,"what is origin for cors configuration scheme + host + port defaults may be dropped | 1 For not simple requests Patch,Put,Delete - Browser sends ACCESS-CONTROL-REQUEST headers 2 Server checks that headers a | about csrf - so if the request is simple enough cors may not help against csrf, but we usually deal with json which is n"
S-035,IU-035,385c11ff15,image-385c11ff150bbd1af5516b6f1d3369d070695b47,1791.866020927413,9928.8881384443,989.0,394.0,0.0,1.0,R03,WithOrigins | in most cases we just include some alloc-headers and the behavior was described in flows we dont include something if th | AllowAnyOrigin | AllowAnyHeader | WithHeaders | Policy builder
S-036,IU-036,62d46cb593,image-62d46cb593d50bbee61fb45fa741ac54b41868b6,1800.8161766669655,10327.27151285526,895.0,482.0,0.0,1.0,R03,AllowAnyOrigin | WithOrigins | WithHeaders | in most cases we just include some alloc-headers and the behavior was described in flows we dont include something if th | AllowAnyHeader | SetIsOriginAllowed
S-037,IU-037,f75d1c1b96,image-f75d1c1b961f918fa71e2e5a2cab23fefdde5da3,1817.7046323485447,10946.798246253702,986.0,224.0,0.0,1.0,R03,AllowAnyOrigin | WithHeaders | SetIsOriginAllowed | AllowAnyMethod | WithOrigins | AllowAnyHeader
S-038,IU-038,0ac4468973,image-0ac4468973d069298bd234313a444175e9e21875,1832.5191584745116,11179.123319495893,841.0,604.0,0.0,1.0,R03,SetIsOriginAllowed | AllowAnyOrigin | AllowAnyMethod | WithHeaders
S-039,IU-039,d8f52af60f,image-d8f52af60f6c38b2a8dfe1a8ff9f8c6e781511d1,1825.1119945447244,11984.390816240682,906.0,294.0,0.0,1.0,R03,SetIsOriginAllowed | AllowAnyMethod | WithMethods | AllowAnyOrigin | WithHeaders | withExposedHeaders
S-040,IU-040,978a8d9547,image-978a8d9547b950a3170aab5a957150f34744bf8c,1824.7656520038036,12293.19755180926,800.0,482.0,0.0,1.0,R03,SetIsOriginAllowed | AllowAnyMethod | WithMethods | withExposedHeaders | AllowCredentials | SetOriginAllowedToAllowWildcardSubdomain
S-041,IU-041,1888b507c3,image-1888b507c3ee253c287ac970902817f461b03ec5,1880.5741635985469,13063.567899574015,709.0,482.0,0.0,1.0,R03,withExposedHeaders | WithMethods | AllowCredentials | AllowAnyMethod | SetIsOriginAllowed | SetPreflightMaxAge
S-042,IU-042,267c329489,image-267c3294890134443b2c876b13d5173463721442,3134.6492124266697,9902.464845103523,921.0,446.0,0.0,1.0,R03,AllowAnyHeader | WithHeaders
S-043,IU-043,64744d2c05,image-64744d2c058bf652135b95acf032f3d757a4463f,3139.399607225012,10368.753107364812,870.0,482.0,0.0,1.0,R03,WithHeaders | AllowAnyHeader | AllowAnyMethod
S-044,IU-044,607c98898f,image-607c98898ff5c3675e2b4e67af02210feabf82ba,3099.7601879040994,11081.57595621464,973.0,390.0,0.0,1.0,R03,WithHeaders | AllowAnyMethod | AllowAnyHeader
S-045,IU-045,fd10f17c2f,image-fd10f17c2f459fd36f81be40e65ac1e0a3d5b0d1,3117.257395201792,11499.123387312733,781.0,482.0,0.0,1.0,R03,AllowAnyMethod | WithHeaders | WithMethods | SetIsOriginAllowed
S-046,IU-046,e1b5181047,image-e1b51810479f24e60af909e10fe504de1c0ce53c,3095.130603485697,12235.983386227663,923.0,256.0,0.0,1.0,R03,AllowAnyMethod | WithMethods | AllowCredentials | WithHeaders
S-047,IU-047,c82bc51d8d,image-c82bc51d8db6c51a81835570aa603a2a20233bb9,3100.0818546542323,12516.901165090507,777.0,482.0,0.0,1.0,R03,WithMethods | AllowAnyMethod | AllowCredentials
S-048,IU-048,2832daa01c,image-2832daa01c06f462df84a5356313f77041dff504,3162.2376232058705,13265.049358449885,661.0,482.0,0.0,1.0,R03,AllowCredentials | WithMethods | DisallowCredentials | AllowAnyMethod | access-control-allow-cred behavior
S-049,IU-049,569e1468ff,image-569e1468ff1a2805777cdbbb936e1c1662b21f89,3105.9083812634744,13945.520400659088,937.0,351.0,0.0,1.0,R03,AllowCredentials | DisallowCredentials | access-control-allow-cred behavior | WithMethods
S-050,IU-050,99410f1407,image-99410f1407464ddab831fec2bdd55ea0083601e9,3092.3675832780245,14293.197483992424,727.0,482.0,0.0,1.0,R03,DisallowCredentials | AllowCredentials | access-control-allow-cred behavior | WithMethods
S-051,IU-051,71b3568796,image-71b356879610072f02b3b3fc7c8b9106e895d70d,3059.548959970558,14952.456788462909,831.0,482.0,0.0,1.0,R03,DisallowCredentials | access-control-allow-cred behavior | AllowCredentials
S-052,IU-052,add928f3d9,image-add928f3d9e0b6fb7bcf06ccce3aef4d14c17b90,1801.7123498789333,13915.419434947287,831.0,482.0,0.0,1.0,R03,withExposedHeaders | SetPreflightMaxAge | AllowCredentials | DisallowCredentials | WithMethods
S-053,IU-053,083917afb4,image-083917afb4289d773693c916248c0132ac733a55,1785.6119436820954,14411.372012326303,950.0,393.0,0.0,1.0,R03,SetPreflightMaxAge | DisallowCredentials | withExposedHeaders | AllowCredentials
S-054,IU-054,24f135c1f3,image-24f135c1f336c139e3bf1333eb7223f29b52f496,2532.627590908276,6463.470683014324,807.0,268.0,0.0,1.0,R01,"without preflight, but cant read response | successful preflight"
S-055,IU-055,c777e77e32,image-c777e77e32af5951e09a6482702ba9e8fd475963,2494.442552659577,6744.803965485027,1003.0,432.0,0.0,1.0,R01,"without preflight, but cant read response | successful preflight"
S-056,IU-056,c9aff9297f,image-c9aff9297f3e34dd17a4c66ec2d895b3f62ca882,2488.1331980201758,7211.314322811961,719.0,482.0,0.0,1.0,R01,"without preflight, but cant read response | successful preflight"
S-057,IU-057,b9216182ce,image-b9216182ce7de3567f4fa3ff0ef78b4d762eabf0,2442.794308437573,7703.266942576503,820.0,261.0,0.0,1.0,R01,"Policy builder | without preflight, but cant read response"
S-058,IU-058,b0efd916d7,image-b0efd916d76c9cf40edc8a55b69c1be41d3fb574,2438.758138493966,7990.102451436511,987.0,462.0,0.0,1.0,R01,Policy builder | AllowAnyHeader | in most cases we just include some alloc-headers and the behavior was described in flows we dont include something if th
S-059,IU-059,964febda29,image-964febda2948a8ff265fe6031c05be2e4f9dd9bc,3845.483050021383,6465.686685038398,910.0,482.0,0.0,1.0,R01,successful preflight | preflight rejected origin is not allowed
S-060,IU-060,637dc9fc8d,image-637dc9fc8dc1157c7da98dfe779649b40898f2fd,3840.461801634183,6971.7876291721095,845.0,482.0,0.0,1.0,R01,successful preflight | preflight rejected origin is not allowed
S-061,IU-061,a92322d368,image-a92322d3687d81b2a84dd59944e73cb1801d04dc,3833.530016691042,7475.22163999568,1001.0,291.0,0.0,1.0,R01,successful preflight | preflight rejected origin is not allowed
S-062,IU-062,2aa0e19163,image-2aa0e191632d5359caba4c0a37a55ec867c87bda,3818.4188716715125,7789.832785015211,989.0,304.0,0.0,1.0,R01,access-control Headers | successful preflight | Origin
S-063,IU-063,9797c9d5b8,image-9797c9d5b897d301c613bb66c1af50bb2474e264,5040.975410571251,6621.388255799711,995.0,392.0,0.0,1.0,R01,"preflight rejected origin is not allowed | preflight rejected, header is not allowed | successful preflight"
S-064,IU-064,d896d0ff70,image-d896d0ff7081118a24dae0fea7fd5383865f44ca,5034.530932218386,7043.277009054915,1019.0,286.0,0.0,1.0,R01,"preflight rejected origin is not allowed | preflight rejected, header is not allowed"
S-065,IU-065,d892532d76,image-d892532d768517e1e9eafcbc97b2df07788f0471,5028.148072784992,7320.67633156468,761.0,482.0,0.0,1.0,R01,"preflight rejected origin is not allowed | access-control Headers | preflight rejected, header is not allowed | Origin"
S-066,IU-066,35fb175aeb,image-35fb175aebfa6307d99610705cd4b6a9f0a2d9a9,5025.808642179323,7822.388154074446,832.0,290.0,0.0,1.0,R01,access-control Headers | Origin | preflight rejected origin is not allowed
S-067,IU-067,cf1ad23ee0,image-cf1ad23ee0f54d30fa7c65e9d8ac43e00f7ef100,6133.197191984011,6663.054922466372,1035.0,342.0,0.0,1.0,R01,"preflight rejected, header is not allowed | must be exact value, just presence of the header is not enough | !!! credentials preflight rejected cred not allowed | preflight rejected origin is not allowed"
S-068,IU-068,de1774245e,image-de1774245e280083544cf44644518c5705082979,6107.919380297813,7018.277110780169,990.0,296.0,0.0,1.0,R01,"preflight rejected, header is not allowed | must be exact value, just presence of the header is not enough | !!! credentials preflight rejected cred not allowed | preflight rejected origin is not allowed"
S-069,IU-069,40d532732a,image-40d532732a33631d29a45b56c0b53dca7ff818ab,6140.715861079403,7342.860113242192,1004.0,294.0,0.0,1.0,R01,"must be exact value, just presence of the header is not enough | preflight rejected, header is not allowed | !!! credentials preflight rejected cred not allowed"
S-070,IU-070,e6f0a1e1b8,image-e6f0a1e1b80b81c23d34a8887c9fb9594a8e15ae,6131.987664665694,7690.608657844356,877.0,482.0,0.0,1.0,R01,"must be exact value, just presence of the header is not enough | Access-Control-Request-Headers | access-control Headers | preflight rejected, header is not allowed"
S-071,IU-071,c654d2ec4b,image-c654d2ec4bb1eea63c2d0456a244c8e1b574947c,5101.819081219182,3548.822770679899,778.0,482.0,0.0,1.0,R01,"if preflight is successful - js will read respoinse because we have checked for everything at preflight | is preflight guaranteed | what can cause preflight | about csrf - so if the request is simple enough cors may not help against csrf, but we usually deal with json which is n | what by itslef doenst cause"
S-072,IU-072,b99d0b9734,image-b99d0b9734c34a0ff248575205697881e4578c18,5102.511501592722,4116.441789234594,883.0,482.0,0.0,1.0,R01,is preflight guaranteed | if preflight is successful - js will read respoinse because we have checked for everything at preflight | what can cause preflight
S-073,IU-073,3294a22af1,image-3294a22af1b97af5f834b60ceb41eb3e3d3794dc,5095.802524864088,4635.171923744454,914.0,482.0,0.0,1.0,R01,preflight rejected origin is not allowed
S-074,IU-074,af248604d2,image-af248604d217fe0dbf13c9d3c86f1376fb3bc67b,5114.303640294409,5124.09555736181,981.0,383.0,0.0,1.0,R01,"preflight rejected origin is not allowed | preflight rejected, header is not allowed"
S-075,IU-075,ebbb95cd79,image-ebbb95cd7961b3ed7abf97b94e510a150a213f2a,5092.5344095251785,5517.723778140053,963.0,326.0,0.0,1.0,R01,"preflight rejected origin is not allowed | preflight rejected, header is not allowed"
S-076,IU-076,5da9f9e315,image-5da9f9e315fb1c315faaa3b160eab580789548e8,3982.9924303804146,3483.784045400991,951.0,482.0,0.0,1.0,R01,"what by itslef doenst cause | what can cause preflight | if preflight is successful - js will read respoinse because we have checked for everything at preflight | safelisted request vs safelisted response headers in cors | about csrf - so if the request is simple enough cors may not help against csrf, but we usually deal with json which is n"
S-077,IU-077,db9951af7c,image-db9951af7c843a96b348f753ae366c9aee5cbb87,6174.701431195335,3494.1544609825924,1015.0,482.0,0.0,1.0,R01,is preflight guaranteed | if preflight is successful - js will read respoinse because we have checked for everything at preflight
S-078,IU-078,ba5f11de43,image-ba5f11de4375a0fdfee52b2b39274b8965160391,3104.2143130484874,4415.495421782149,736.0,564.0,0.0,1.0,R01,safelisted request vs safelisted response headers in cors | what by itslef doenst cause
S-079,IU-079,e0098b3ea2,image-e0098b3ea2bd0c3d5f2e16d3dfcafc0414a08687,3865.5937488878008,4423.8183130175,760.0,479.0,0.0,1.0,R01,safelisted request vs safelisted response headers in cors | what by itslef doenst cause | what can cause preflight | successful preflight
S-080,IU-080,c7611c5560,image-c7611c556071213873299e69e6f00fecc1b417aa,5322.483118307442,9379.667543102607,988.0,448.0,0.0,1.0,R04,Origin | Access-Control-Request-Method | access-control Headers | Access-Control-Request-Headers | Access-Control-Allow-Origin | Vary:Origin
S-081,IU-081,15d40016b9,image-15d40016b95974a2096b25397e9269a9a3bd7f3a,5345.983240377755,10054.334230114326,997.0,384.0,0.0,1.0,R04,Access-Control-Request-Method | Access-Control-Allow-Origin | Origin | Vary:Origin | access-control Headers | Access-Control-Request-Headers
S-082,IU-082,02067c81e1,image-02067c81e1d75e92704f5c86e324a836c4bf6d4f,6772.816614401192,9416.000917126044,986.0,386.0,0.0,1.0,R04,Access-Control-Request-Headers | Vary:Origin
S-083,IU-083,6ebe0a5d21,image-6ebe0a5d213ca2b227c4da07edd38fe9dbd12785,5333.166926462991,10982.308675163904,996.0,370.0,0.0,1.0,R04,Access-Control-Allow-Origin | Access-Control-Allow-Methods | Vary:Origin | Access-Control-Allow-Headers | Access-Control-Request-Method | Access-Control-Allow-Credentials
S-084,IU-084,f8470cb934,image-f8470cb9343ce1253428671aefa4115c2ad5f59d,5316.561708276229,11361.995569636076,965.0,326.0,0.0,1.0,R04,Access-Control-Allow-Methods | Access-Control-Allow-Origin | Access-Control-Allow-Headers | Access-Control-Allow-Credentials | Vary:Origin | Access-Control-Expose-Headers
S-085,IU-085,32c8855624,image-32c8855624efa8a29bd16319702e4f3fd7e7f4b9,6938.109298259489,11002.13842677893,1040.0,440.0,0.0,1.0,R04,Vary:Origin | Access-Control-Allow-Headers | Vary:Origin | Access-Control-Expose-Headers
S-086,IU-086,11896fbf43,image-11896fbf435799191b6a89c26cdf8d71af303506,5344.180901217078,12083.328786711967,1005.0,430.0,0.0,1.0,R04,Access-Control-Allow-Methods | Access-Control-Allow-Credentials | Access-Control-Expose-Headers | Access-Control-Allow-Headers | Access-Control-Max-Age | Access-Control-Allow-Origin
S-087,IU-087,8dd5f462e5,image-8dd5f462e57939305ceeb35f46e07c15e266dfe3,6932.442689721542,12061.18610395527,998.0,440.0,0.0,1.0,R04,Access-Control-Expose-Headers | Access-Control-Allow-Headers | we cache preflight response for same cross origin requeest shape | Vary:Origin | what can go wrong?
S-088,IU-088,daf3a4d659,image-daf3a4d6592064e8d1611e9c4ac0ebffaafeda77,5363.275857294268,12908.601108140536,978.0,482.0,0.0,1.0,R04,Access-Control-Max-Age | Access-Control-Allow-Credentials | we cache preflight response for same cross origin requeest shape | Access-Control-Expose-Headers | Access-Control-Allow-Methods | credentialed request
S-089,IU-089,84653f13ee,image-84653f13eedca4d7ca4eb93f9d3ac11c82e94d2c,6957.918938326453,12935.209855350358,1008.0,391.0,0.0,1.0,R04,we cache preflight response for same cross origin requeest shape | Access-Control-Expose-Headers | Access-Control-Allow-Headers
S-090,IU-090,f40cb111b2,image-f40cb111b2e78b97c7513cb546ccc58b11e7dfe5,5376.371435536274,13745.18610395527,1013.0,432.0,0.0,1.0,R04,Access-Control-Max-Age | credentialed request | we cache preflight response for same cross origin requeest shape | Access-Control-Allow-Credentials | access-control-allow-cred behavior | no request when server sends response on preflight without allow credentials and no ability to read for simple request c
S-091,IU-091,ef4b891db2,image-ef4b891db28c506ce3a875f863171064d5e82182,4398.914234228727,14883.397825528758,850.0,482.0,0.0,1.0,R03,access-control-allow-cred behavior | credentialed request | no request when server sends response on preflight without allow credentials and no ability to read for simple request c | no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | Access-Control-Max-Age
S-092,IU-092,f84678fb38,image-f84678fb38dfe6a22273b86aa1cc96a7fd59b9b5,4413.785407324431,15412.220793058055,937.0,428.0,0.0,1.0,R03,no request when server sends response on preflight without allow credentials and no ability to read for simple request c | no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | access-control-allow-cred behavior | credentialed request
S-093,IU-093,f346faef72,image-f346faef722d0dceef7aa47a44ede7877a8a6573,4407.118537207243,16015.554151822704,957.0,348.0,0.0,1.0,R03,no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | no request when server sends response on preflight without allow credentials and no ability to read for simple request c | access-control-allow-cred behavior | credentialed request
S-094,IU-094,143ad84754,image-143ad847540892649b96ca1272541c2f7094429d,4419.118537207243,16384.387434293407,983.0,207.0,0.0,1.0,R03,no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | no request when server sends response on preflight without allow credentials and no ability to read for simple request c
S-095,IU-095,e090b0b3ba,image-e090b0b3ba75d72057c86f0a22c4d489a0fd5917,6883.72195035772,13671.40860688003,913.0,381.0,0.0,1.0,R04,we cache preflight response for same cross origin requeest shape | Access-Control-Expose-Headers | network error from no allowed credentials catch it?
S-096,IU-096,54ba3cb2b3,image-54ba3cb2b3b616c66d273a7e4ece89b80bb6a588,6906.277422067,14050.211654753786,939.0,348.0,0.0,1.0,R04,we cache preflight response for same cross origin requeest shape | network error from no allowed credentials catch it? | Access-Control-Expose-Headers
S-097,IU-097,4b35357a0e,image-4b35357a0ec66d79988d6b231a482e5945f6e8e5,6891.519920291432,14355.211654753786,937.0,458.0,0.0,1.0,R04,network error from no allowed credentials catch it? | we cache preflight response for same cross origin requeest shape
S-098,IU-098,cec62f0cfa,image-cec62f0cfa2a67614b3472858ba522c5142e16b2,5471.530991744159,14889.17947799703,939.0,482.0,0.0,1.0,R04,no request when server sends response on preflight without allow credentials and no ability to read for simple request c | credentialed request | no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | network error from no allowed credentials catch it? | access-control-allow-cred behavior | Access-Control-Max-Age
S-099,IU-099,f575e9b6da,image-f575e9b6da4035d475e9cd39b670124548461a17,5464.769573104437,15368.613600718383,909.0,119.0,0.0,1.0,R04,no request when server sends response on preflight without allow credentials and no ability to read for simple request c | no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | credentialed request | network error from no allowed credentials catch it? | access-control-allow-cred behavior
S-100,IU-100,e15db7c2ab,image-e15db7c2ab34efd5b856dfbd254d77c5a21799fc,5469.4521961048085,15636.311959163324,931.0,329.0,0.0,1.0,R04,no request when server sends response on preflight without allow credentials and no ability to read for simple request c | no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | network error from no allowed credentials catch it? | credentialed request
S-101,IU-101,14ae4c27d6,image-14ae4c27d62ce919eb20aeae97ce7b58d4a9135e,5474.507627652429,15970.565859600452,928.0,125.0,0.0,1.0,R04,no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | no request when server sends response on preflight without allow credentials and no ability to read for simple request c | network error from no allowed credentials catch it? | credentialed request
S-102,IU-102,e2b2644cc7,image-e2b2644cc77df01575daf1ef9d9180686649da11,5491.289727652851,16351.987231126468,964.0,279.0,0.0,1.0,R04,no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | no request when server sends response on preflight without allow credentials and no ability to read for simple request c | network error from no allowed credentials catch it?
S-103,IU-103,a950fd573e,image-a950fd573e665c49480418239517c7e22e010ec1,5479.936498443909,16865.732607647325,972.0,168.0,0.0,1.0,R04,no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | no request when server sends response on preflight without allow credentials and no ability to read for simple request c
S-104,IU-104,6d19a4b27b,image-6d19a4b27b990b338fc75f31ba680910637a017b,5487.54754173818,17027.621513490427,939.0,182.0,0.0,1.0,R04,no info whether browser will store cookies from response that has no allow credentials header (in simple request scenari | no request when server sends response on preflight without allow credentials and no ability to read for simple request c
S-105,IU-105,a284a1f0e7,image-a284a1f0e72cf0a841129cb6f59d25b35161c4f4,1749.9563273393796,15045.070956347643,979.0,340.0,0.0,1.0,R03,SetPreflightMaxAge | DisallowCredentials | withExposedHeaders
S-106,IU-106,6148f692b0,image-6148f692b00fa07924fd0c8eceedecb38f18ca3a,1702.6820220117806,15426.295687792956,1050.0,482.0,0.0,1.0,R03,SetPreflightMaxAge | DisallowCredentials
S-107,IU-107,8b999ae64c,image-8b999ae64c7c527a4965fb656e20265f11b99bb6,1701.4403622863647,15901.118604459622,1030.0,166.0,0.0,1.0,R03,SetPreflightMaxAge | DisallowCredentials
