use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-8b06d0be8acf121337ac2f14ae93eb747a93c582,bf670291d0bf.png,bf670291d0bf,R02,4780.100517306737,1033.3244454368541,879.0,336.0,1.0,,T-007|T-001|T-008,CheckConsentNeeded|usecookiepolicy|MinimumSameSitePolicy,pending_transcript
IU-015,image-c8b3d929a36972532e8af3437dd4c41e3e87aef7,6cec50baf28a.png,6cec50baf28a,R02,3224.6538831565304,2049.5037677473374,947.0,422.0,1.0,,T-004|T-005|T-002,CheckConsentNeeded|IsEssential|---All options cheat sheet---,pending_transcript
IU-016,image-84bcc5445d09bcf020773e84bed79ae317230816,1cfc13807246.png,1cfc13807246,R01,1942.5889401649529,2069.1769094249903,921.0,383.0,1.0,,T-026|T-004|T-005,examples|CheckConsentNeeded|IsEssential,pending_transcript
IU-017,image-d59da9b3bbf9f863bd5687d8854f4e100640bfc0,0fa8794b7ecf.png,0fa8794b7ecf,R01,1960.9691484982868,2640.472982248648,884.0,482.0,1.0,,T-005|T-026|T-012,IsEssential|examples|ConsentCookie,pending_transcript
IU-018,image-2642f820e9a107d74dbdd3bbbbc55cf57288e030,5f8ff4fe25c7.png,5f8ff4fe25c7,R01,1927.4937601984366,3270.2006608200827,955.0,400.0,1.0,,T-012|T-014|T-005,ConsentCookie|ConsentCookieValue|IsEssential,pending_transcript
IU-019,image-dbd20832b6f35315048a07ca1c4ca6a99a65803b,0136b475bf7a.png,0136b475bf7a,R02,3224.843247838482,2664.3307991753754,1014.0,445.0,1.0,,T-005|T-012|T-004,IsEssential|ConsentCookie|CheckConsentNeeded,pending_transcript
IU-020,image-739e55d8acfb918c37de902b80bfafb5d80ecab1,484ba6cfbe8a.png,484ba6cfbe8a,R02,3312.324065145396,3433.5686424478263,693.0,482.0,1.0,,T-012|T-014|T-005,ConsentCookie|ConsentCookieValue|IsEssential,pending_transcript
IU-021,image-cc20a8a1012280d7832352817529198a8a75511a,95bb0140e39e.png,95bb0140e39e,R02,3308.895221173163,4082.4508148493333,809.0,482.0,1.0,,T-014|T-012|T-017,ConsentCookieValue|ConsentCookie|OnDeleteCookie,pending_transcript
IU-022,image-6394e2cc6ac23735687190c3e5e9265e1192417b,9d4827d63777.png,9d4827d63777,R03,5856.0592224173515,604.1214166872742,966.0,377.0,1.0,,T-001|T-016|T-007,usecookiepolicy|OnAppendCookie|CheckConsentNeeded,pending_transcript
IU-023,image-c26535a5be149cccff0d389fc8c7ad8db50a9057,17f3f9a5afe3.png,17f3f9a5afe3,R03,6078.651917787574,4043.758111118732,912.0,310.0,1.0,,T-020|T-023|T-021,What is cookie deletion|When does deltetion occur|plain,pending_transcript
IU-024,image-ead2c26b3f673d62810bcaf8bbc9fa7bfd629f32,e0e4fe94596a.png,e0e4fe94596a,R03,6083.27297145372,4431.887488211367,910.0,482.0,1.0,,T-021|T-022|T-023,plain|Response.Cookies.Delete|When does deltetion occur,pending_transcript
IU-025,image-29f65842633ff440199676a40b09112cb952284b,3a2d74bd5463.png,3a2d74bd5463,R03,7143.86620350186,4039.5199868162817,953.0,368.0,1.0,,T-023|T-025|T-024,When does deltetion occur|on deleted cookies|force some security defaults,pending_transcript
IU-026,image-de09113638b8f59b5f7a43967d8842a4416562d6,f56c5a3a97ea.png,f56c5a3a97ea,R03,7147.961383468378,4512.472396833022,941.0,424.0,1.0,,T-023|T-025|T-024,When does deltetion occur|on deleted cookies|force some security defaults,pending_transcript
IU-027,image-e4a3bf6601d96cc5dca92d95fcc2f776697a90bd,1bc6b1a91f32.png,1bc6b1a91f32,R03,7150.36620350186,5075.472396833022,940.0,258.0,1.0,,T-023|T-025|T-024,When does deltetion occur|on deleted cookies|force some security defaults,pending_transcript
IU-028,image-d1015d3491294b33880d9d85ab202b9ee2822b57,3f50105a8eb1.png,3f50105a8eb1,R03,7145.461383468378,5480.900968261594,946.0,270.0,1.0,,T-023|T-025|T-022,When does deltetion occur|on deleted cookies|Response.Cookies.Delete,pending_transcript
IU-029,image-715e695ba64868887ec1d7988f03ec6bbcdbd775,ebf0d6c1329b.png,ebf0d6c1329b,R03,8353.342888556577,4032.927313166416,951.0,478.0,1.0,,T-025|T-024|T-039,on deleted cookies|force some security defaults|for both onappend and ondelete,pending_transcript
IU-030,image-9ce00cc823a7bbcea0882c07913a84d3d1a4052d,9710a73467cd.png,9710a73467cd,R04,9658.62374825846,4048.4805040195424,653.0,482.0,1.0,,T-039|T-038|T-037,for both onappend and ondelete|or when we have simple same options|mostly for defaults,pending_transcript
IU-031,image-ab62733dcc474216d9dc938f9000f77926009840,e2d93dfcf2bf.png,e2d93dfcf2bf,R04,9676.98329467959,4544.160410955454,900.0,186.0,1.0,,T-039|T-032|T-038,for both onappend and ondelete|!!!|or when we have simple same options,pending_transcript
IU-032,image-4b561553343c2ec77c6470cf41dc2bc5df6f4ce7,b1d0aa18a298.png,b1d0aa18a298,R03,8335.139735157076,4665.121029020338,1020.0,418.0,1.0,,T-025|T-024|T-039,on deleted cookies|force some security defaults|for both onappend and ondelete,pending_transcript
IU-033,image-346bbbb9746a39940d0da5d37f82ef6aaeaaf891,e3ec9a2afb1c.png,e3ec9a2afb1c,R05,12180.650366922426,3947.2698772261283,856.0,482.0,1.0,,T-034|T-035|T-032,stilll valid usecases|callbacks vs better static pattern|!!!,pending_transcript
IU-034,image-11d70d1ed51c5f62907de1d00599e34afb64f763,04b55c82ca0e.png,04b55c82ca0e,R05,12180.51336488367,4441.549847844421,798.0,482.0,1.0,,T-034|T-035|T-032,stilll valid usecases|callbacks vs better static pattern|!!!,pending_transcript
IU-035,image-27df2dd43c2d7693ea135cd3ddd23942f581e525,f3fde8460eb0.png,f3fde8460eb0,R03,5947.038336813056,5280.9072268741,967.0,482.0,1.0,,T-022|T-021|T-020,Response.Cookies.Delete|plain|What is cookie deletion,pending_transcript
IU-036,image-2478169c3d84c8a846fa1d897bffca64efc33249,43439a8167f8.png,43439a8167f8,R04,11065.094713136712,3941.5289467721814,1029.0,598.0,1.0,,T-035|T-032|T-036,callbacks vs better static pattern|!!!|issues from global ondelete,pending_transcript
IU-037,image-8e3f67add9ec9f5374a48360af7786dc9eb1473e,6bf15fe9f154.png,6bf15fe9f154,R04,11046.764422833934,4547.193600479739,976.0,462.0,1.0,,T-032|T-036|T-035,!!!|issues from global ondelete|callbacks vs better static pattern,pending_transcript
IU-038,image-7640c6c29af13310aca9bde6cdf530bb0393c47a,b23194c7c216.png,b23194c7c216,R04,11031.479662200956,5016.347429455804,1001.0,231.0,1.0,,T-032|T-036|T-035,!!!|issues from global ondelete|callbacks vs better static pattern,pending_transcript
IU-039,image-aa01a5ee97ca6ed64140fe851ff57310d3a9c27b,f4ec9fe0c33e.png,f4ec9fe0c33e,R04,11110.362257788442,5518.99206592657,886.0,409.0,1.0,,T-036|T-032|T-033,issues from global ondelete|!!!|!!!,pending_transcript
IU-040,image-c2cb595b4bed04546e662b5c7025c8e1a73cefe6,86b5a696c9f0.png,86b5a696c9f0,R04,11097.644915871268,5938.350369099644,939.0,393.0,1.0,,T-033|T-036|T-032,!!!|issues from global ondelete|!!!,pending_transcript
IU-041,image-be16838b3b0b4b83fdbde543af2291bf5e8d7688,53df30f5ac53.png,53df30f5ac53,R04,11101.30720235073,6397.421077954707,955.0,217.0,1.0,,T-033|T-036|T-032,!!!|issues from global ondelete|!!!,pending_transcript
IU-042,image-c868277688bdb5e44cede996872262b6a0ddcfe7,51151e4fcb12.png,51151e4fcb12,R05,13403.909351698265,4099.858675453455,795.0,482.0,1.0,,T-034|T-035|T-032,stilll valid usecases|callbacks vs better static pattern|!!!,pending_transcript
IU-043,image-3e7e57552a46c16614eda03a5c71bd3fda6f51cf,5045c8530b46.png,5045c8530b46,R01,692.8039477834936,813.3097744148836,684.0,80.0,1.0,,T-040|T-041|T-031,configured name|configured value|how to create consent cookie,pending_transcript
IU-044,image-a1c905b23990a0bf1a9e6f296bb6c6450b9752db,1084b7659797.png,1084b7659797,R01,600.6373828420874,1070.4765682381258,935.0,269.0,1.0,,T-040|T-041|T-027,configured name|configured value|essential consent,pending_transcript
IU-045,image-6ecbd36a7900062a87a0deba447683902fe539f4,545a8d0dbf4b.png,545a8d0dbf4b,R01,584.2200816776858,1372.153600708829,788.0,482.0,1.0,,T-027|T-028|T-041,essential consent|cookie|configured value,pending_transcript
IU-046,image-9eec94a6d9c7372b61142d6802af2ba18c6e0363,0caa5516d6ca.png,0caa5516d6ca,R01,546.1186331482941,2167.2121551276878,894.0,288.0,1.0,,T-028|T-027|T-006,cookie|essential consent|existing non essential cookies,pending_transcript
IU-047,image-a241d5ca5ad11210f9c091d66dd0ae532a4efd50,d98c47ce0557.png,d98c47ce0557,R01,506.8257001261891,2467.365954331407,946.0,463.0,1.0,,T-028|T-006|T-027,cookie|existing non essential cookies|essential consent,pending_transcript
IU-048,image-892906841fa64e96c614f28c7a7fc275fd5999cd,0759418ed838.png,0759418ed838,R01,511.55459318434896,3045.596723562173,918.0,402.0,1.0,,T-006|T-028|T-027,existing non essential cookies|cookie|essential consent,pending_transcript
IU-049,image-f8dbab17560a5953463b1f84817962414f64758b,1ccf577b7f26.png,1ccf577b7f26,R01,510.30179716660405,3461.212155127673,898.0,463.0,1.0,,T-006|T-028|T-027,existing non essential cookies|cookie|essential consent,pending_transcript
