idx,text,x,y,font_size
55,insert,9311.17554352625,8357.118013803358,143.076923076922px
56,delete,13637.842108467656,8373.784578744764,143.076923076922px
57,update,11464.508978584843,8425.964167649512,143.076923076922px
58,hasrowsaffected param,4511.9260029883535,9160.449608830671,135.55550130208138px
59,return,17792.84390651928,9283.700993120761,182.60738118489667px
60,hasparameter,891.0528151512062,9291.798820023929,135.55550130208138px
61,hasrowsaffectedresultcolumn,2349.7195631980812,9296.687736039554,135.55550130208138px
62,!!!,6259.464795604023,9343.299015874949,97.51113281250001px
63,!!!,9022.086968831532,9546.721460781244,157.5731390754005px
64,part of update syntax,10628.80452410582,9576.595084653743,38.42422762783971px
65,with nocount on,12848.351975860609,9593.530410992546,64.12121582031249px
66,ef treats as resultcolumn value,10628.80452410582,9624.625369188543,38.42422762783971px
67,can still return,12848.351975860609,9673.681930767936,64.12121582031249px
68,ouput params must be declared in create proc,10729.3731307921,9712.074725865314,20px
69,"and set with set, select or output into table and select(can]",10729.3731307921,9737.074725865314,20px
70,@@ROWCOUNT,12848.351975860609,9753.833450543327,64.12121582031249px
71,output directly only resultclumns),10729.3731307921,9762.074725865314,20px
72,excplicitly,12848.351975860609,9833.984970318717,64.12121582031249px
73,usually you just set it to on,12799.816499638426,10148.681551975133,20px
74,because ef core cant use nocount off,12799.816499638426,10173.681551975133,20px
75,examples,6681.958600546946,10180.209745671067,172.8889973958314px
76,for concur checks,12799.816499638426,10198.681551975133,20px
77,!!!,17145.557895777092,10252.71110899827,136.26669921875006px
78,hasrowsaffected returnvalue,4315.259132871166,10627.116250066023,135.55550130208138px
79,both output here,7785.118684950727,11189.546342106825,76.61538461538437px
80,when cup oper mapping to proc,9215.23888869513,11190.316758397223,249.33349609374994px
81,hasparameter,854.3857415834973,11431.798820023929,135.55550130208138px
82,hasresultcolumn,2759.7884587598364,11516.521007469239,135.55550130208138px
83,.isoutput,854.3857415834973,11601.24319665153,135.55550130208138px
84,same output/input prop,4723.121283466868,12033.187724998535,135.55550130208138px
85,implementation of concur token,6126.3075914988185,13156.39560044472,86.66650390624996px
86,concurrency,4898.806435515207,13198.827039660098,161.03705512152524px
87,origvalues / same prop as input and output,6126.3075914988185,13264.728730327532,86.66650390624996px
88,we need id here to just,4170.332651458537,13722.745765989055,44.00000000000001px
89,update the needed document,4170.332651458537,13777.745765989055,44.00000000000001px
90,!!!,4692.796676960026,14040.605850640854,155.16582281650687px
91,!!!,4673.309466172766,14157.29015833316,64.08889973958429px
92,why do we need,4856.626695074967,14671.284184919317,75.1111083984375px
93,to return rows affected count,4856.626695074967,14765.173070417364,75.1111083984375px
94,for concurrency check,4856.626695074967,14859.061955915411,75.1111083984375px
95,even if we have,4856.626695074967,14952.950841413458,75.1111083984375px
96,where clause with,4856.626695074967,15046.839726911505,75.1111083984375px
97,rowversion chekc,4856.626695074967,15140.728612409552,75.1111083984375px
98,treacking ef core,6430.666412353519,15474.739152370435,126.6666666666657px
99,we can return reslut column even if there was a concur issue,6403.065188415529,15719.405333512072,37.00000000000003px
100,but ef will treat it as concur success,6403.065188415529,15765.655333512072,37.00000000000003px
101,so we need to design stored proc so they return selecty only,6403.065188415529,15811.905333512072,37.00000000000003px
102,if there was no issue,6403.065188415529,15858.155333512072,37.00000000000003px
103,why when we return result columns - rows,5065.959947028092,16044.389594514043,40.8px
104,affected are unnecessary?,5065.959947028092,16095.389594514043,40.8px
105,so ef treats any result columns as a,5020.626664557389,16694.546100365278,40.97776692708332px
106,signal that the operation did somethig,5020.626664557389,16745.768309024133,40.97776692708332px
107,and there was no concurency failure,5020.626664557389,16796.99051768299,40.97776692708332px
108,ef doesnt treat output params as signal for concur success,4990.842949239097,17541.352075276394,81.33339843749998px
