idx,text,x,y,font_size,region,status
21,select results,6484.64557423758,4713.431813370948,70.56790726273142px,R01,closed-by-stage1-final-coverage
22,to stored procefures,9129.059186292216,4753.191511064365,151.428606305804px,R01,closed-by-stage1-final-coverage
23,result from select,16407.43785417775,4975.251593849763,53.64829425604644px,R01,closed-by-stage1-final-coverage
24,output params,16407.43785417775,5042.31196166982,53.64829425604644px,R01,closed-by-stage1-final-coverage
25,output param return,16407.43785417775,5109.372329489879,53.64829425604644px,R01,closed-by-stage1-final-coverage
26,can we read,17863.401554503824,5173.731642018453,49.06666259765624px,R01,closed-by-stage1-final-coverage
27,when nocount actually useful,16407.43785417775,5176.432697309937,53.64829425604644px,R01,closed-by-stage1-final-coverage
28,select from stored proc,17863.401554503824,5235.064970265524,49.06666259765624px,R01,closed-by-stage1-final-coverage
29,database.sql query for single,6412.793767596955,5245.740601547308,60.29629629629626px,R01,closed-by-stage1-final-coverage
30,while using executesql,17863.401554503824,5296.398298512594,49.06666259765624px,R01,closed-by-stage1-final-coverage
31,non entity,6412.793767596955,5321.110971917678,60.29629629629626px,R01,closed-by-stage1-final-coverage
32,not tracked stored proc results,6412.793767596955,5396.481342288049,60.29629629629626px,R01,closed-by-stage1-final-coverage
33,reading select with fromsql,17863.401554503824,5419.064955006735,49.06666259765624px,R01,closed-by-stage1-final-coverage
34,can we get output params with fromsql?,18904.946465324825,5436.593624219626,95.01792579072057px,R01,closed-by-stage1-final-coverage
35,ef core,8033.357659996913,5558.368586309697,43.107002784192446px,R01,closed-by-stage1-final-coverage
36,using linq and stored procefures,8033.357659996913,5612.252339789938,43.107002784192446px,R01,closed-by-stage1-final-coverage
37,executesqlinterpolated,6492.256418015209,5949.3360783772405,99.23808942522314px,R01,closed-by-stage1-final-coverage
38,usage,6492.256418015209,6073.383690158769,99.23808942522314px,R01,closed-by-stage1-final-coverage
39,!!!,6373.898743480731,6762.222058045363,176.44445219494054px,R01,closed-by-stage1-final-coverage
40,database.sql query for select from sp,17564.011612493145,6920.238058235027,70.93851843605985px,R01,closed-by-stage1-final-coverage
41,for single values as value,17564.011612493145,7008.911206280101,70.93851843605985px,R01,closed-by-stage1-final-coverage
42,can it get output params?,17564.011612493145,7097.584354325176,70.93851843605985px,R01,closed-by-stage1-final-coverage
43,can fromsql get single value?,17564.011612493145,7274.9306504153255,70.93851843605985px,R01,closed-by-stage1-final-coverage
44,cud operations mappig methods  for savechanges,3770.0,7636.663079314261,201.3330078125001px,R01,closed-by-stage1-final-coverage
45,cud operations examples,10241.905148460755,7670.31614804566,249.33349609374994px,R01,closed-by-stage1-final-coverage
46,ef say to use this with,1161.5548031293347,7794.405590268084,59.111124674479676px,R01,closed-by-stage1-final-coverage
47,hasorigvalueparam,2332.1641229311535,7810.021074459156,135.55550130208138px,R01,closed-by-stage1-final-coverage
48,keys and rowversion,1161.5548031293347,7868.294496111183,59.111124674479676px,R01,closed-by-stage1-final-coverage
49,dont know about eceptions,1161.5548031293347,7942.183401954283,59.111124674479676px,R01,closed-by-stage1-final-coverage
50,if i wont use but they say to use,1161.5548031293347,8016.072307797383,59.111124674479676px,R01,closed-by-stage1-final-coverage
51,input/output mapping,4833.561775392323,8143.1158834551225,89.33332519531244px,R01,closed-by-stage1-final-coverage
52,conflicting params/return/results,6259.111915829075,8174.514762664036,143.076923076922px,R01,closed-by-stage1-final-coverage
53,cant have multiple types of affected rows values/params,6511.886262877462,8312.201672498151,32.8px,R01,closed-by-stage1-final-coverage
54,when has result columns -rows affected not needed,6511.886262877462,8353.201672498151,32.8px,R01,closed-by-stage1-final-coverage
55,insert,9311.17554352625,8357.118013803358,143.076923076922px,R01,closed-by-stage1-final-coverage
56,delete,13637.842108467656,8373.784578744764,143.076923076922px,R01,closed-by-stage1-final-coverage
57,update,11464.508978584843,8425.964167649512,143.076923076922px,R01,closed-by-stage1-final-coverage
58,hasrowsaffected param,4511.9260029883535,9160.449608830671,135.55550130208138px,R01,closed-by-stage1-final-coverage
59,return,17792.84390651928,9283.700993120761,182.60738118489667px,R01,closed-by-stage1-final-coverage
60,hasparameter,891.0528151512062,9291.798820023929,135.55550130208138px,R01,closed-by-stage1-final-coverage
61,hasrowsaffectedresultcolumn,2349.7195631980812,9296.687736039554,135.55550130208138px,R01,closed-by-stage1-final-coverage
62,!!!,6259.464795604023,9343.299015874949,97.51113281250001px,R01,closed-by-stage1-final-coverage
63,!!!,9022.086968831532,9546.721460781244,157.5731390754005px,R01,closed-by-stage1-final-coverage
64,part of update syntax,10628.80452410582,9576.595084653743,38.42422762783971px,R01,closed-by-stage1-final-coverage
65,with nocount on,12848.351975860609,9593.530410992546,64.12121582031249px,R01,closed-by-stage1-final-coverage
66,ef treats as resultcolumn value,10628.80452410582,9624.625369188543,38.42422762783971px,R01,closed-by-stage1-final-coverage
67,can still return,12848.351975860609,9673.681930767936,64.12121582031249px,R01,closed-by-stage1-final-coverage
68,ouput params must be declared in create proc,10729.3731307921,9712.074725865314,20px,R01,closed-by-stage1-final-coverage
69,"and set with set, select or output into table and select(can]",10729.3731307921,9737.074725865314,20px,R01,closed-by-stage1-final-coverage
70,@@ROWCOUNT,12848.351975860609,9753.833450543327,64.12121582031249px,R01,closed-by-stage1-final-coverage
71,output directly only resultclumns),10729.3731307921,9762.074725865314,20px,R01,closed-by-stage1-final-coverage
72,excplicitly,12848.351975860609,9833.984970318717,64.12121582031249px,R01,closed-by-stage1-final-coverage
73,usually you just set it to on,12799.816499638426,10148.681551975133,20px,R01,closed-by-stage1-final-coverage
74,because ef core cant use nocount off,12799.816499638426,10173.681551975133,20px,R01,closed-by-stage1-final-coverage
75,examples,6681.958600546946,10180.209745671067,172.8889973958314px,R01,closed-by-stage1-final-coverage
76,for concur checks,12799.816499638426,10198.681551975133,20px,R01,closed-by-stage1-final-coverage
77,!!!,17145.557895777092,10252.71110899827,136.26669921875006px,R01,closed-by-stage1-final-coverage
78,hasrowsaffected returnvalue,4315.259132871166,10627.116250066023,135.55550130208138px,R01,closed-by-stage1-final-coverage
79,both output here,7785.118684950727,11189.546342106825,76.61538461538437px,R01,closed-by-stage1-final-coverage
80,when cup oper mapping to proc,9215.23888869513,11190.316758397223,249.33349609374994px,R01,closed-by-stage1-final-coverage
81,hasparameter,854.3857415834973,11431.798820023929,135.55550130208138px,R01,closed-by-stage1-final-coverage
82,hasresultcolumn,2759.7884587598364,11516.521007469239,135.55550130208138px,R01,closed-by-stage1-final-coverage
83,.isoutput,854.3857415834973,11601.24319665153,135.55550130208138px,R01,closed-by-stage1-final-coverage
84,same output/input prop,4723.121283466868,12033.187724998535,135.55550130208138px,R01,closed-by-stage1-final-coverage
85,implementation of concur token,6126.3075914988185,13156.39560044472,86.66650390624996px,R01,closed-by-stage1-final-coverage
86,concurrency,4898.806435515207,13198.827039660098,161.03705512152524px,R01,closed-by-stage1-final-coverage
87,origvalues / same prop as input and output,6126.3075914988185,13264.728730327532,86.66650390624996px,R01,closed-by-stage1-final-coverage
88,we need id here to just,4170.332651458537,13722.745765989055,44.00000000000001px,R01,closed-by-stage1-final-coverage
89,update the needed document,4170.332651458537,13777.745765989055,44.00000000000001px,R01,closed-by-stage1-final-coverage
90,!!!,4692.796676960026,14040.605850640854,155.16582281650687px,R01,closed-by-stage1-final-coverage
91,!!!,4673.309466172766,14157.29015833316,64.08889973958429px,R01,closed-by-stage1-final-coverage
92,why do we need,4856.626695074967,14671.284184919317,75.1111083984375px,R01,closed-by-stage1-final-coverage
93,to return rows affected count,4856.626695074967,14765.173070417364,75.1111083984375px,R01,closed-by-stage1-final-coverage
94,for concurrency check,4856.626695074967,14859.061955915411,75.1111083984375px,R01,closed-by-stage1-final-coverage
95,even if we have,4856.626695074967,14952.950841413458,75.1111083984375px,R01,closed-by-stage1-final-coverage
96,where clause with,4856.626695074967,15046.839726911505,75.1111083984375px,R01,closed-by-stage1-final-coverage
97,rowversion chekc,4856.626695074967,15140.728612409552,75.1111083984375px,R01,closed-by-stage1-final-coverage
98,treacking ef core,6430.666412353519,15474.739152370435,126.6666666666657px,R01,closed-by-stage1-final-coverage
99,we can return reslut column even if there was a concur issue,6403.065188415529,15719.405333512072,37.00000000000003px,R01,closed-by-stage1-final-coverage
100,but ef will treat it as concur success,6403.065188415529,15765.655333512072,37.00000000000003px,R01,closed-by-stage1-final-coverage
101,so we need to design stored proc so they return selecty only,6403.065188415529,15811.905333512072,37.00000000000003px,R01,closed-by-stage1-final-coverage
102,if there was no issue,6403.065188415529,15858.155333512072,37.00000000000003px,R01,closed-by-stage1-final-coverage
103,why when we return result columns - rows,5065.959947028092,16044.389594514043,40.8px,R01,closed-by-stage1-final-coverage
104,affected are unnecessary?,5065.959947028092,16095.389594514043,40.8px,R01,closed-by-stage1-final-coverage
105,so ef treats any result columns as a,5020.626664557389,16694.546100365278,40.97776692708332px,R01,closed-by-stage1-final-coverage
106,signal that the operation did somethig,5020.626664557389,16745.768309024133,40.97776692708332px,R01,closed-by-stage1-final-coverage
107,and there was no concurency failure,5020.626664557389,16796.99051768299,40.97776692708332px,R01,closed-by-stage1-final-coverage
108,ef doesnt treat output params as signal for concur success,4990.842949239097,17541.352075276394,81.33339843749998px,R01,closed-by-stage1-final-coverage
