source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-001,f940cbc9a0,1331.327,358.751,720.0,462.0,"dbconnection | undo state changes | clos connection | rules | sqlserver dbconnection | get ordinal | example | !!! | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-012,12,RAWCONN-R01-dbconnection-sqlconnection-open-close,RAWCONN-R01,rawconn-r01-connection-basics-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",IU-012,d3e2d1703a,1357.5,1313.101,791.0,476.0,"dbconnection | get ordinal | undo state changes | clos connection | rules | !!! | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-013,1,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-013,b923de2999,6543.979,1479.86,848.0,395.0,"get ordinal | !!! | sqlserver dbconnection | example | undo state changes | clos connection | Transactions | rules | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | dbconnection"
S-014,2,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-014,ff0098421b,7971.824,1520.392,793.0,404.0,"example | get ordinal | !!! | sqlserver dbconnection | undo state changes | Transactions | isolatoin level is .net wide, can use like with ef core | clos connection | rules | OR LIKE THIS | dbconnection"
S-015,3,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-015,c31da8b5c9,2795.0,1595.268,852.0,309.0,"!!! | get ordinal | undo state changes | clos connection | rules | dbconnection | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core"
S-016,4,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-016,9a9dad95c1,5391.975,1632.756,925.0,482.0,"!!! | get ordinal | sqlserver dbconnection | undo state changes | clos connection | rules | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core | dbconnection"
S-017,5,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-017,180e2924f9,36.667,1776.601,542.0,69.0,"dbconnection | !!! | get ordinal | undo state changes | clos connection | rules | sqlserver dbconnection | OR LIKE THIS | example | Transactions | isolatoin level is .net wide, can use like with ef core"
S-018,6,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-018,5af3d4221f,1373.856,1779.027,621.0,461.0,"dbconnection | !!! | get ordinal | undo state changes | clos connection | rules | sqlserver dbconnection | OR LIKE THIS | example | Transactions | isolatoin level is .net wide, can use like with ef core"
S-019,7,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-019,d28aad3da4,37.85,1863.278,550.0,482.0,"dbconnection | !!! | get ordinal | undo state changes | clos connection | rules | sqlserver dbconnection | OR LIKE THIS | Transactions | example | isolatoin level is .net wide, can use like with ef core"
S-020,8,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-020,29296a8445,6526.313,1885.36,862.0,305.0,"!!! | get ordinal | sqlserver dbconnection | Transactions | example | isolatoin level is .net wide, can use like with ef core | undo state changes | clos connection | OR LIKE THIS | rules | dbconnection"
S-021,9,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-021,922d33c60c,7953.965,1930.136,800.0,364.0,"example | !!! | get ordinal | sqlserver dbconnection | Transactions | isolatoin level is .net wide, can use like with ef core | undo state changes | OR LIKE THIS | clos connection | rules | dbconnection"
S-022,10,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-022,a1b59358db,6533.887,2184.916,827.0,337.0,"!!! | get ordinal | Transactions | isolatoin level is .net wide, can use like with ef core | sqlserver dbconnection | example | OR LIKE THIS | undo state changes | clos connection | rules | dbconnection"
S-023,11,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-023,252b134be5,1378.283,2261.065,585.0,463.0,"!!! | dbconnection | get ordinal | undo state changes | clos connection | rules | OR LIKE THIS | sqlserver dbconnection | Transactions | isolatoin level is .net wide, can use like with ef core | example"
S-024,12,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute,RAWCONN-R02,rawconn-r02-command-parameters-candidate-stage0,candidate-not-final-stage0-boundary-only,"ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",IU-024,93046bf0a7,26.0,2364.601,646.0,325.0,"!!! | dbconnection | get ordinal | undo state changes | clos connection | rules | OR LIKE THIS | Transactions | sqlserver dbconnection | isolatoin level is .net wide, can use like with ef core | example"
S-025,1,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-025,fe885eb760,6512.026,2520.704,723.0,482.0,"!!! | Transactions | isolatoin level is .net wide, can use like with ef core | get ordinal | OR LIKE THIS | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-026,2,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-026,84151afa8f,10.0,2713.934,726.0,357.0,"!!! | dbconnection | OR LIKE THIS | get ordinal | Transactions | undo state changes | clos connection | isolatoin level is .net wide, can use like with ef core | rules | sqlserver dbconnection | example"
S-027,3,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-027,f4ae661ffc,6500.581,3004.704,673.0,482.0,"Transactions | isolatoin level is .net wide, can use like with ef core | !!! | OR LIKE THIS | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-028,4,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-028,32423530b2,6488.646,3505.36,780.0,257.0,"Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-029,5,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-029,e8a10b2b5d,6454.313,4014.194,822.0,418.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-030,6,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-030,c7e7142e55,5460.952,4271.999,657.0,376.0,"OR LIKE THIS | isolatoin level is .net wide, can use like with ef core | Transactions | !!! | get ordinal | sqlserver dbconnection | undo state changes | clos connection | rules | example | dbconnection"
S-031,7,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-031,3bbb18c310,6435.813,4458.36,899.0,431.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-032,8,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-032,ddcc77dd14,6446.169,4905.148,784.0,230.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-033,9,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-033,5890e9d64c,6450.71,5156.704,730.0,482.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-034,10,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-034,97495f2ab2,6419.981,5665.66,814.0,378.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-035,11,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-035,232a6c6ad5,6409.366,6065.211,866.0,223.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
S-036,12,RAWCONN-R03-transactions-reader-errors-provider-abstraction,RAWCONN-R03,rawconn-r03-transactions-reader-errors-candidate-stage0,candidate-not-final-stage0-boundary-only,"Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",IU-036,f26afb3acb,6393.439,6314.763,853.0,288.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection"
