source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,f940cbc9a02197840022f085827bdbfd98d1fccb,f940cbc9a0,S-001__f940cbc9a0.png,1331.327,358.751,720.0,462.0,"dbconnection | undo state changes | clos connection | rules | sqlserver dbconnection | get ordinal | example | !!! | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-012,IU-012,d3e2d1703ade42a2e7b0c08478b553ccc7abc90d,d3e2d1703a,S-012__d3e2d1703a.png,1357.5,1313.101,791.0,476.0,"dbconnection | get ordinal | undo state changes | clos connection | rules | !!! | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r01-connection-basics-candidate-stage0,RAWCONN-R01,no-stage0-boundary-review-only,yes-for-rawconn-r01,"Stage0 boundary candidate only: ADO.NET connection basics: DbConnection/SqlConnection, connection string, Open/OpenAsync, Close/Dispose, using blocks, and connection lifetime.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R01-dbconnection-sqlconnection-open-close
S-013,IU-013,b923de2999decb0a39f958542bea8af45a64d70c,b923de2999,S-013__b923de2999.png,6543.979,1479.86,848.0,395.0,"get ordinal | !!! | sqlserver dbconnection | example | undo state changes | clos connection | Transactions | rules | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | dbconnection",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-014,IU-014,ff0098421b8c5345aa3aa55dc5b871f3878cd5b6,ff0098421b,S-014__ff0098421b.png,7971.824,1520.392,793.0,404.0,"example | get ordinal | !!! | sqlserver dbconnection | undo state changes | Transactions | isolatoin level is .net wide, can use like with ef core | clos connection | rules | OR LIKE THIS | dbconnection",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-015,IU-015,c31da8b5c909c70394b820ad2ed181348cdd4312,c31da8b5c9,S-015__c31da8b5c9.png,2795.0,1595.268,852.0,309.0,"!!! | get ordinal | undo state changes | clos connection | rules | dbconnection | sqlserver dbconnection | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-016,IU-016,9a9dad95c1c089094e8270f46e37f2e62fcae699,9a9dad95c1,S-016__9a9dad95c1.png,5391.975,1632.756,925.0,482.0,"!!! | get ordinal | sqlserver dbconnection | undo state changes | clos connection | rules | example | OR LIKE THIS | Transactions | isolatoin level is .net wide, can use like with ef core | dbconnection",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-017,IU-017,180e2924f96370de3eaad8477b307cf6c81ebcb1,180e2924f9,S-017__180e2924f9.png,36.667,1776.601,542.0,69.0,"dbconnection | !!! | get ordinal | undo state changes | clos connection | rules | sqlserver dbconnection | OR LIKE THIS | example | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-018,IU-018,5af3d4221fc8d228d6c7225d2b4ee805da5ceb77,5af3d4221f,S-018__5af3d4221f.png,1373.856,1779.027,621.0,461.0,"dbconnection | !!! | get ordinal | undo state changes | clos connection | rules | sqlserver dbconnection | OR LIKE THIS | example | Transactions | isolatoin level is .net wide, can use like with ef core",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-019,IU-019,d28aad3da4105679d0e7973f2c853667ce61336d,d28aad3da4,S-019__d28aad3da4.png,37.85,1863.278,550.0,482.0,"dbconnection | !!! | get ordinal | undo state changes | clos connection | rules | sqlserver dbconnection | OR LIKE THIS | Transactions | example | isolatoin level is .net wide, can use like with ef core",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-020,IU-020,29296a8445a961485949efa14577e10e30884fe3,29296a8445,S-020__29296a8445.png,6526.313,1885.36,862.0,305.0,"!!! | get ordinal | sqlserver dbconnection | Transactions | example | isolatoin level is .net wide, can use like with ef core | undo state changes | clos connection | OR LIKE THIS | rules | dbconnection",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-021,IU-021,922d33c60cc200878ecb64b24db12262275da6db,922d33c60c,S-021__922d33c60c.png,7953.965,1930.136,800.0,364.0,"example | !!! | get ordinal | sqlserver dbconnection | Transactions | isolatoin level is .net wide, can use like with ef core | undo state changes | OR LIKE THIS | clos connection | rules | dbconnection",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-022,IU-022,a1b59358db3ae1b28c8d80e3572fc0a2d871a596,a1b59358db,S-022__a1b59358db.png,6533.887,2184.916,827.0,337.0,"!!! | get ordinal | Transactions | isolatoin level is .net wide, can use like with ef core | sqlserver dbconnection | example | OR LIKE THIS | undo state changes | clos connection | rules | dbconnection",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-023,IU-023,252b134be56eb089f276c4679f218dbc7e5e6660,252b134be5,S-023__252b134be5.png,1378.283,2261.065,585.0,463.0,"!!! | dbconnection | get ordinal | undo state changes | clos connection | rules | OR LIKE THIS | sqlserver dbconnection | Transactions | isolatoin level is .net wide, can use like with ef core | example",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-024,IU-024,93046bf0a748c06d77a621b922cd39565d9556b4,93046bf0a7,S-024__93046bf0a7.png,26.0,2364.601,646.0,325.0,"!!! | dbconnection | get ordinal | undo state changes | clos connection | rules | OR LIKE THIS | Transactions | sqlserver dbconnection | isolatoin level is .net wide, can use like with ef core | example",rawconn-r02-command-parameters-candidate-stage0,RAWCONN-R02,no-stage0-boundary-review-only,yes-for-rawconn-r02,"Stage0 boundary candidate only: ADO.NET command basics: DbCommand/SqlCommand, CommandText, parameters, ExecuteReader/ExecuteScalar/ExecuteNonQuery, and avoiding SQL injection.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R02-dbcommand-sqlcommand-parameters-execute
S-025,IU-025,fe885eb760e0334f08a13b4f75a7eec355f3b65e,fe885eb760,S-025__fe885eb760.png,6512.026,2520.704,723.0,482.0,"!!! | Transactions | isolatoin level is .net wide, can use like with ef core | get ordinal | OR LIKE THIS | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-026,IU-026,84151afa8f02886fadea15427902e6d45be36104,84151afa8f,S-026__84151afa8f.png,10.0,2713.934,726.0,357.0,"!!! | dbconnection | OR LIKE THIS | get ordinal | Transactions | undo state changes | clos connection | isolatoin level is .net wide, can use like with ef core | rules | sqlserver dbconnection | example",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-027,IU-027,f4ae661ffc48136feddf2101d71db7f39bc2dba2,f4ae661ffc,S-027__f4ae661ffc.png,6500.581,3004.704,673.0,482.0,"Transactions | isolatoin level is .net wide, can use like with ef core | !!! | OR LIKE THIS | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-028,IU-028,32423530b2b1ce816ef6d82281cb2c9f1e97e53b,32423530b2,S-028__32423530b2.png,6488.646,3505.36,780.0,257.0,"Transactions | isolatoin level is .net wide, can use like with ef core | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-029,IU-029,e8a10b2b5de4238f12b26ea0e49786975b4d5f8d,e8a10b2b5d,S-029__e8a10b2b5d.png,6454.313,4014.194,822.0,418.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-030,IU-030,c7e7142e5559f0389c79788fba0969bb7cac553c,c7e7142e55,S-030__c7e7142e55.png,5460.952,4271.999,657.0,376.0,"OR LIKE THIS | isolatoin level is .net wide, can use like with ef core | Transactions | !!! | get ordinal | sqlserver dbconnection | undo state changes | clos connection | rules | example | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-031,IU-031,3bbb18c310d2c8e68bd96ca20982033c5fb01c55,3bbb18c310,S-031__3bbb18c310.png,6435.813,4458.36,899.0,431.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-032,IU-032,ddcc77dd14640002df86c70f503611626a4fdc9a,ddcc77dd14,S-032__ddcc77dd14.png,6446.169,4905.148,784.0,230.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-033,IU-033,5890e9d64c975c4fab3daba9087c934fa11d9f89,5890e9d64c,S-033__5890e9d64c.png,6450.71,5156.704,730.0,482.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-034,IU-034,97495f2ab288a1ca71dccb1b5659c9e6ae2d185d,97495f2ab2,S-034__97495f2ab2.png,6419.981,5665.66,814.0,378.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-035,IU-035,232a6c6ad5f32bac4f3d20e6c43d8b2c92f7d498,232a6c6ad5,S-035__232a6c6ad5.png,6409.366,6065.211,866.0,223.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
S-036,IU-036,f26afb3acbb0dcb64107c0babee7d81be1e0dfd2,f26afb3acb,S-036__f26afb3acb.png,6393.439,6314.763,853.0,288.0,"isolatoin level is .net wide, can use like with ef core | Transactions | OR LIKE THIS | !!! | get ordinal | sqlserver dbconnection | example | undo state changes | clos connection | rules | dbconnection",rawconn-r03-transactions-reader-errors-candidate-stage0,RAWCONN-R03,no-stage0-boundary-review-only,yes-for-rawconn-r03,"Stage0 boundary candidate only: Raw connection edge cases: transactions, data readers, provider abstraction, exceptions, async/cancellation, and when raw commands are appropriate vs EF/Core ORM.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,RAWCONN-R03-transactions-reader-errors-provider-abstraction
