source_id,fileId_short,decision,target_region,reason,initial_subregion
S-253,fab64d5d3f,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02B-cookie-events-sliding-redirects
S-254,e518457ba0,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02B-cookie-events-sliding-redirects
S-255,5037d1acf2,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02B-cookie-events-sliding-redirects
S-256,a5c61fe6f8,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02B-cookie-events-sliding-redirects
S-257,d81d083157,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-258,97a3d83a5a,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-259,204da72b0b,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-260,5bb05f934e,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-261,beb0a58463,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-262,0fe0f19eaa,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-263,031f2bfd59,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-264,3993aa19ea,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-265,d59dbc1080,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-266,b86b19b5c4,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-267,68f8a44914,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-268,d6bd8a2c89,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-269,21670b23ea,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-270,76952bcacc,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-271,f9e777600d,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-272,1605cfecbd,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-273,04ee9033d0,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-274,06742fcad5,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-275,a35506c32f,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-276,0ff6b02741,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-277,1176ffbf53,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-278,a904c4a933,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-279,83639b0824,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-280,05debfae75,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-281,5e811312c2,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-282,cbc3416221,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-283,35e0184a2b,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-284,483df7e639,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-285,58ae5dfa11,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-286,14831ca1f5,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-287,f1040e9ac5,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-288,91a1f66f1f,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-289,47e4752e3f,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-290,6f2bdcd7b5,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-291,219984a385,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-292,b50494d3ed,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-293,d844ecda15,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-294,3001d0f30f,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-295,6aec44241e,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-296,5af36dc2d0,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-297,a2218a862d,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-298,ac3b35e41a,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-301,96648c8cc9,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-302,5ed7eb83fa,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-303,7349b2c65e,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-309,0f089a0249,included-in-r02-v001,R02,Cookie authentication core/events pass after local visual/semantic boundary review.,R02A-cookie-core-ticketstore-refresh-signinout
S-304,00cab1ef29,checked-not-r02-reserved-for-r03a,R03A,JWT bearer OnMessageReceived / HandleAuthenticate / manual token lookup road; not cookie-auth R02.,R02A-cookie-core-ticketstore-refresh-signinout
S-305,d35795fd22,checked-not-r02-reserved-for-r03a,R03A,JWT bearer OnMessageReceived / HandleAuthenticate / manual token lookup road; not cookie-auth R02.,R02A-cookie-core-ticketstore-refresh-signinout
S-306,7d730ca870,checked-not-r02-reserved-for-r03a,R03A,JWT bearer OnMessageReceived / HandleAuthenticate / manual token lookup road; not cookie-auth R02.,R02A-cookie-core-ticketstore-refresh-signinout
S-307,cfebe9bec0,checked-not-r02-reserved-for-r03a,R03A,JWT bearer OnMessageReceived / HandleAuthenticate / manual token lookup road; not cookie-auth R02.,R02A-cookie-core-ticketstore-refresh-signinout
