source_id,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,nearest_labels_for_search_only,decision,target_region
S-203,266b142cb6,25739.329,1222.026,946.0,357.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-096: OnsigningIn | L-110: Cookie | L-109: summary | L-097: OnSignedIn | L-108: signingInContext,included-in-r02-v001,R02
S-217,8467f259b1,25747.696,8114.01,898.0,304.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-099: OnRedirectToAccDenied (Forbid) | L-100: OnRedirectToLogOut | L-101: OnRedirectToReturnUrl | L-098: OnRedirectToLogin (Challenge) | L-102: OnCheckSlidingExp,included-in-r02-v001,R02
S-218,d677a3903e,25746.953,8414.404,931.0,382.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-100: OnRedirectToLogOut | L-099: OnRedirectToAccDenied (Forbid) | L-101: OnRedirectToReturnUrl | L-102: OnCheckSlidingExp | L-098: OnRedirectToLogin (Challenge),included-in-r02-v001,R02
S-219,58ed55bc91,25754.635,8966.01,712.0,360.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-101: OnRedirectToReturnUrl | L-100: OnRedirectToLogOut | L-102: OnCheckSlidingExp | L-099: OnRedirectToAccDenied (Forbid) | L-095: can write to response,included-in-r02-v001,R02
S-220,a916a32634,25736.196,9462.632,681.0,271.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-102: OnCheckSlidingExp | L-101: OnRedirectToReturnUrl | L-100: OnRedirectToLogOut | L-099: OnRedirectToAccDenied (Forbid) | L-095: can write to response,included-in-r02-v001,R02
S-221,637c87412d,25710.908,9860.616,894.0,292.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-102: OnCheckSlidingExp | L-101: OnRedirectToReturnUrl | L-100: OnRedirectToLogOut | L-095: can write to response | L-099: OnRedirectToAccDenied (Forbid),included-in-r02-v001,R02
S-222,525f6c9fe5,25726.256,10156.495,953.0,396.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-102: OnCheckSlidingExp | L-101: OnRedirectToReturnUrl | L-100: OnRedirectToLogOut | L-095: can write to response | L-099: OnRedirectToAccDenied (Forbid),included-in-r02-v001,R02
S-223,cc4b48a378,28183.855,2205.319,1965.0,305.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-096: OnsigningIn | L-097: OnSignedIn | L-103: ONValidatePrincipal | L-110: Cookie | L-108: signingInContext,included-in-r02-v001,R02
S-224,e92b03f8df,28170.64,2578.059,1130.0,395.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-097: OnSignedIn | L-096: OnsigningIn | L-103: ONValidatePrincipal | L-110: Cookie | L-107: signedInContext,included-in-r02-v001,R02
S-225,c743ed1ec7,28144.721,3032.66,2176.0,470.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-097: OnSignedIn | L-103: ONValidatePrincipal | L-096: OnsigningIn | L-110: Cookie | L-104: OnSignigOut,included-in-r02-v001,R02
S-226,e39b4fa17f,28099.604,3581.412,3181.0,465.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-097: OnSignedIn | L-103: ONValidatePrincipal | L-096: OnsigningIn | L-104: OnSignigOut | L-098: OnRedirectToLogin (Challenge),included-in-r02-v001,R02
S-227,7a1b9373f5,28043.009,4097.149,2070.0,451.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-103: ONValidatePrincipal | L-097: OnSignedIn | L-104: OnSignigOut | L-096: OnsigningIn | L-098: OnRedirectToLogin (Challenge),included-in-r02-v001,R02
S-228,f02742497a,28032.062,4625.206,2125.0,507.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-103: ONValidatePrincipal | L-104: OnSignigOut | L-097: OnSignedIn | L-098: OnRedirectToLogin (Challenge) | L-096: OnsigningIn,included-in-r02-v001,R02
S-229,e80bd19c3a,28077.738,5131.889,1944.0,419.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-104: OnSignigOut | L-103: ONValidatePrincipal | L-098: OnRedirectToLogin (Challenge) | L-097: OnSignedIn | L-099: OnRedirectToAccDenied (Forbid),included-in-r02-v001,R02
S-230,64067c2e79,28061.624,5655.743,2074.0,488.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-104: OnSignigOut | L-098: OnRedirectToLogin (Challenge) | L-103: ONValidatePrincipal | L-099: OnRedirectToAccDenied (Forbid) | L-097: OnSignedIn,included-in-r02-v001,R02
S-231,c764fdf6aa,24191.723,7246.775,652.0,171.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-087: cookieredirectcontext | L-098: OnRedirectToLogin (Challenge) | L-105: SingingOutContext | L-099: OnRedirectToAccDenied (Forbid) | L-095: can write to response,included-in-r02-v001,R02
S-232,4242f3f505,24065.056,7478.942,917.0,441.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-087: cookieredirectcontext | L-099: OnRedirectToAccDenied (Forbid) | L-095: can write to response | L-098: OnRedirectToLogin (Challenge) | L-100: OnRedirectToLogOut,included-in-r02-v001,R02
S-233,481694712a,24067.39,7957.942,931.0,435.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-095: can write to response | L-099: OnRedirectToAccDenied (Forbid) | L-087: cookieredirectcontext | L-100: OnRedirectToLogOut | L-098: OnRedirectToLogin (Challenge),included-in-r02-v001,R02
S-234,bcd847a957,24072.842,8395.619,912.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-095: can write to response | L-100: OnRedirectToLogOut | L-099: OnRedirectToAccDenied (Forbid) | L-101: OnRedirectToReturnUrl | L-088: cookieslidingexpiration,included-in-r02-v001,R02
S-235,12de44bdb5,24474.778,9066.946,1009.0,324.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-095: can write to response | L-101: OnRedirectToReturnUrl | L-100: OnRedirectToLogOut | L-102: OnCheckSlidingExp | L-099: OnRedirectToAccDenied (Forbid),included-in-r02-v001,R02
S-236,2a2d648f9c,23479.603,9731.084,1008.0,292.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-088: cookieslidingexpiration | L-095: can write to response | L-102: OnCheckSlidingExp | L-101: OnRedirectToReturnUrl | L-100: OnRedirectToLogOut,included-in-r02-v001,R02
S-237,d3b5d1e470,23515.497,10049.261,790.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-088: cookieslidingexpiration | L-095: can write to response | L-102: OnCheckSlidingExp | L-089: Based on real user activity | L-101: OnRedirectToReturnUrl,included-in-r02-v001,R02
S-238,ed0ef12224,24348.63,1220.648,773.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-109: summary | L-108: signingInContext | L-110: Cookie | L-096: OnsigningIn | L-107: signedInContext,included-in-r02-v001,R02
S-239,3bda418a40,24351.964,2176.42,638.0,375.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-108: signingInContext | L-107: signedInContext | L-096: OnsigningIn | L-109: summary | L-097: OnSignedIn,included-in-r02-v001,R02
S-240,6fad455082,24358.423,2562.595,794.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-107: signedInContext | L-108: signingInContext | L-097: OnSignedIn | L-096: OnsigningIn | L-106: ValidatePrincipalContext,included-in-r02-v001,R02
S-241,fc68bd97b0,24380.563,3345.418,453.0,210.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-107: signedInContext | L-106: ValidatePrincipalContext | L-097: OnSignedIn | L-103: ONValidatePrincipal | L-108: signingInContext,included-in-r02-v001,R02
S-242,d26be3d13c,24376.815,3562.595,844.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-106: ValidatePrincipalContext | L-107: signedInContext | L-103: ONValidatePrincipal | L-097: OnSignedIn | L-108: signingInContext,included-in-r02-v001,R02
S-243,891453a09a,24382.453,4382.595,689.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-106: ValidatePrincipalContext | L-103: ONValidatePrincipal | L-105: SingingOutContext | L-107: signedInContext | L-097: OnSignedIn,included-in-r02-v001,R02
S-244,839d790f39,24392.341,4882.595,689.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-105: SingingOutContext | L-106: ValidatePrincipalContext | L-103: ONValidatePrincipal | L-104: OnSignigOut | L-107: signedInContext,included-in-r02-v001,R02
S-245,1121cd6b62,24354.063,6144.084,486.0,96.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-105: SingingOutContext | L-087: cookieredirectcontext | L-104: OnSignigOut | L-098: OnRedirectToLogin (Challenge) | L-106: ValidatePrincipalContext,included-in-r02-v001,R02
S-246,3f01c77018,24373.396,6247.584,484.0,369.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-105: SingingOutContext | L-087: cookieredirectcontext | L-104: OnSignigOut | L-098: OnRedirectToLogin (Challenge) | L-099: OnRedirectToAccDenied (Forbid),included-in-r02-v001,R02
S-247,d2c4780205,22134.085,10186.968,840.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-089: Based on real user activity | L-090: based on allowrefresh | L-088: cookieslidingexpiration | L-091: based on ticket age/remaining tie | L-092: based on custom metadata,included-in-r02-v001,R02
S-248,7c2071825e,22138.293,10671.095,828.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-090: based on allowrefresh | L-091: based on ticket age/remaining tie | L-089: Based on real user activity | L-088: cookieslidingexpiration | L-092: based on custom metadata,included-in-r02-v001,R02
S-249,706d879ae8,22120.556,11245.539,854.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-091: based on ticket age/remaining tie | L-090: based on allowrefresh | L-092: based on custom metadata | L-089: Based on real user activity | L-088: cookieslidingexpiration,included-in-r02-v001,R02
S-250,6d0f3d4a5f,22101.927,11858.695,925.0,456.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-091: based on ticket age/remaining tie | L-092: based on custom metadata | L-090: based on allowrefresh | L-093: based on request sensitivity | L-089: Based on real user activity,included-in-r02-v001,R02
S-251,b3e8cfd51e,22110.871,12259.529,936.0,481.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-092: based on custom metadata | L-091: based on ticket age/remaining tie | L-093: based on request sensitivity | L-090: based on allowrefresh | L-094: based on remember me,included-in-r02-v001,R02
S-252,04e9fdc001,22090.482,12846.918,979.0,324.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-092: based on custom metadata | L-093: based on request sensitivity | L-091: based on ticket age/remaining tie | L-094: based on remember me | L-090: based on allowrefresh,included-in-r02-v001,R02
S-253,fab64d5d3f,22105.927,13136.251,917.0,312.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-093: based on request sensitivity | L-092: based on custom metadata | L-094: based on remember me | L-091: based on ticket age/remaining tie | L-090: based on allowrefresh,included-in-r02-v001,R02
S-254,e518457ba0,22115.593,13446.751,911.0,431.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-093: based on request sensitivity | L-094: based on remember me | L-092: based on custom metadata | L-091: based on ticket age/remaining tie | L-090: based on allowrefresh,included-in-r02-v001,R02
S-255,5037d1acf2,22105.343,13992.206,852.0,482.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-094: based on remember me | L-093: based on request sensitivity | L-092: based on custom metadata | L-091: based on ticket age/remaining tie | L-090: based on allowrefresh,included-in-r02-v001,R02
S-256,a5c61fe6f8,22105.343,14608.362,962.0,450.0,R02B-cookie-events-sliding-redirects,R02,P02-R02-cookie-core-and-events,L-094: based on remember me | L-093: based on request sensitivity | L-092: based on custom metadata | L-091: based on ticket age/remaining tie | L-090: based on allowrefresh,included-in-r02-v001,R02
S-257,d81d083157,13466.578,7013.97,1207.0,343.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-124: ensurecookieticket(read the ticket once) | L-115: refresh with iticketstore | L-126: handlesigninasync | L-116: signout with iticketstore",included-in-r02-v001,R02
S-258,97a3d83a5a,13480.507,7358.732,1282.0,383.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-126: handlesigninasync | L-116: signout with iticketstore | L-115: refresh with iticketstore | L-124: ensurecookieticket(read the ticket once)",included-in-r02-v001,R02
S-259,204da72b0b,13461.605,7749.836,1137.0,430.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-126: handlesigninasync | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-116: signout with iticketstore | L-115: refresh with iticketstore | L-124: ensurecookieticket(read the ticket once)",included-in-r02-v001,R02
S-260,5bb05f934e,13426.615,6219.839,1183.0,263.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-124: ensurecookieticket(read the ticket once) | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-123: handleauthenticate | L-114: authenticate with iticketstore | L-115: refresh with iticketstore",included-in-r02-v001,R02
S-261,beb0a58463,12009.7,5921.895,1247.0,408.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-127: requestrefresh | L-124: ensurecookieticket(read the ticket once) | L-122: check for refresh | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-123: handleauthenticate",included-in-r02-v001,R02
S-262,0fe0f19eaa,12404.295,5387.178,839.0,376.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-122: check for refresh | L-123: handleauthenticate | L-124: ensurecookieticket(read the ticket once) | L-127: requestrefresh | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store)",included-in-r02-v001,R02
S-263,031f2bfd59,13465.757,5394.221,1185.0,303.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-123: handleauthenticate | L-124: ensurecookieticket(read the ticket once) | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-114: authenticate with iticketstore | L-113: signin with iticketstore",included-in-r02-v001,R02
S-264,3993aa19ea,13452.051,5697.17,1201.0,415.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-124: ensurecookieticket(read the ticket once) | L-123: handleauthenticate | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-114: authenticate with iticketstore | L-113: signin with iticketstore",included-in-r02-v001,R02
S-265,d59dbc1080,13441.357,8780.304,1273.0,222.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-126: handlesigninasync | L-116: signout with iticketstore | L-128: append cookie | L-115: refresh with iticketstore | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store)",included-in-r02-v001,R02
S-266,b86b19b5c4,13445.398,9014.148,900.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-126: handlesigninasync | L-128: append cookie | L-116: signout with iticketstore | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store) | L-115: refresh with iticketstore",included-in-r02-v001,R02
S-267,68f8a44914,13446.19,9524.471,1274.0,395.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-128: append cookie | L-126: handlesigninasync | L-116: signout with iticketstore | L-115: refresh with iticketstore | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store)",included-in-r02-v001,R02
S-268,d6bd8a2c89,13458.857,9945.304,1270.0,468.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-128: append cookie | L-126: handlesigninasync | L-116: signout with iticketstore | L-115: refresh with iticketstore | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store)",included-in-r02-v001,R02
S-269,21670b23ea,13459.563,10467.481,1186.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,"L-128: append cookie | L-126: handlesigninasync | L-116: signout with iticketstore | L-115: refresh with iticketstore | L-125: readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store)",included-in-r02-v001,R02
S-270,76952bcacc,17508.152,5153.805,684.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-112: authenticatecheck who is the user | L-120: challengeneed to do something with the user that isntauthenticated | L-129: FinishResponseAsync | L-121: forbidneed to do something with the user that isntallowed | L-117: iticketstore,included-in-r02-v001,R02
S-271,f9e777600d,17477.175,5678.271,982.0,249.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-129: FinishResponseAsync | L-112: authenticatecheck who is the user | L-120: challengeneed to do something with the user that isntauthenticated | L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-121: forbidneed to do something with the user that isntallowed,included-in-r02-v001,R02
S-272,1605cfecbd,17475.417,5969.424,750.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-129: FinishResponseAsync | L-112: authenticatecheck who is the user | L-120: challengeneed to do something with the user that isntauthenticated | L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-114: authenticate with iticketstore,included-in-r02-v001,R02
S-273,04ee9033d0,17475.122,6523.004,946.0,278.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-129: FinishResponseAsync | L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-112: authenticatecheck who is the user | L-120: challengeneed to do something with the user that isntauthenticated | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore,included-in-r02-v001,R02
S-274,06742fcad5,17432.103,6871.218,808.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-129: FinishResponseAsync | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-112: authenticatecheck who is the user | L-115: refresh with iticketstore,included-in-r02-v001,R02
S-275,a35506c32f,17399.063,7404.551,740.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-129: FinishResponseAsync | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-116: signout with iticketstore | L-115: refresh with iticketstore,included-in-r02-v001,R02
S-276,0ff6b02741,18779.175,5153.805,874.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-120: challengeneed to do something with the user that isntauthenticated | L-129: FinishResponseAsync | L-121: forbidneed to do something with the user that isntallowed | L-112: authenticatecheck who is the user | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore,included-in-r02-v001,R02
S-277,1176ffbf53,18751.674,5651.686,948.0,429.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-129: FinishResponseAsync | L-120: challengeneed to do something with the user that isntauthenticated | L-121: forbidneed to do something with the user that isntallowed | L-112: authenticatecheck who is the user | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore,included-in-r02-v001,R02
S-278,a904c4a933,20097.285,5172.408,929.0,462.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-121: forbidneed to do something with the user that isntallowed | L-129: FinishResponseAsync | L-120: challengeneed to do something with the user that isntauthenticated | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-112: authenticatecheck who is the user,included-in-r02-v001,R02
S-279,83639b0824,20128.285,5657.908,907.0,251.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-121: forbidneed to do something with the user that isntallowed | L-129: FinishResponseAsync | L-120: challengeneed to do something with the user that isntauthenticated | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-112: authenticatecheck who is the user,included-in-r02-v001,R02
S-280,05debfae75,18049.508,8657.575,949.0,243.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-129: FinishResponseAsync | L-116: signout with iticketstore | L-115: refresh with iticketstore,included-in-r02-v001,R02
S-281,5e811312c2,18058.288,8940.171,869.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-129: FinishResponseAsync | L-116: signout with iticketstore | L-089: Based on real user activity,included-in-r02-v001,R02
S-282,cbc3416221,18045.307,9497.16,1036.0,411.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-089: Based on real user activity | L-129: FinishResponseAsync | L-116: signout with iticketstore,included-in-r02-v001,R02
S-283,35e0184a2b,19843.382,8734.838,823.0,482.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-119: sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore | L-089: Based on real user activity | L-118: sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore | L-090: based on allowrefresh | L-129: FinishResponseAsync,included-in-r02-v001,R02
S-284,483df7e639,15609.196,4616.613,928.0,448.0,R02A-cookie-core-ticketstore-refresh-signinout,R02,P02-R02-cookie-core-and-events,L-117: iticketstore | L-113: signin with iticketstore | L-112: authenticatecheck who is the user | L-114: authenticate with iticketstore | L-115: refresh with iticketstore,included-in-r02-v001,R02
