source_id,fileId,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,region_decision,coverage_status,nearest_labels_for_search_only,review_note
S-092,bf90b85d46485b9a8eb3296421393da483c6d256,bf90b85d46,18948.687,37399.738,941.0,460.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-058: Challenge | L-063: Valid token | L-059: distinguish Challengefrom auth failure | L-060: Forbid | L-062: Invalid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-137,e396ac21df35ec3a3c5cc0cc97e77d25a9553448,e396ac21df,16904.9,30670.924,961.0,415.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-055: SaveToken | L-052: store request local values | L-056: OnAuthenticationFailed/FailurePath | L-051: Add claims | L-053: custom failure result,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-138,81aac2db3379699632c831f5ec3201a92d30e49d,81aac2db33,17976.848,31324.675,793.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-055: SaveToken | L-056: OnAuthenticationFailed/FailurePath | L-052: store request local values | L-053: custom failure result | L-054: suppress failure,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-139,ff904c3cbf7490d9c67b9f2299003932d6f9cce1,ff904c3cbf,17966.696,31852.628,950.0,473.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-056: OnAuthenticationFailed/FailurePath | L-055: SaveToken | L-053: custom failure result | L-052: store request local values | L-054: suppress failure,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-140,ca8e7059c522921c7277fb9d661d78d4a3e4052a,ca8e7059c5,18000.993,32547.063,826.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-056: OnAuthenticationFailed/FailurePath | L-053: custom failure result | L-055: SaveToken | L-054: suppress failure | L-064: Possible result outcomes,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-141,cc9145fac907f6746d146996d08405132e41b9ae,cc9145fac9,18009.359,33043.285,899.0,293.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-056: OnAuthenticationFailed/FailurePath | L-053: custom failure result | L-054: suppress failure | L-057: Key rollover logic | L-064: Possible result outcomes,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-142,745d055bed388e36da9decdd21920bf4cea335d0,745d055bed,16862.39,32592.856,983.0,416.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-056: OnAuthenticationFailed/FailurePath | L-053: custom failure result | L-054: suppress failure | L-055: SaveToken | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-143,067e40557c12b4a912aa36e6b0b196add11a5e7e,067e40557c,16875.188,33018.957,841.0,336.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-053: custom failure result | L-056: OnAuthenticationFailed/FailurePath | L-054: suppress failure | L-057: Key rollover logic | L-055: SaveToken,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-144,8c44e7012df2c522acbfe4538598e863ea223375,8c44e7012d,16851.259,33477.163,916.0,480.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-054: suppress failure | L-053: custom failure result | L-057: Key rollover logic | L-056: OnAuthenticationFailed/FailurePath | L-055: SaveToken,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-145,48cfc75e30d907f8eff7544b0329d4d07925f941,48cfc75e30,16815.759,34138.274,867.0,400.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-054: suppress failure | L-057: Key rollover logic | L-053: custom failure result | L-056: OnAuthenticationFailed/FailurePath | L-059: distinguish Challengefrom auth failure,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-146,dc295a6604cddf39a95b0044d687ad78da98f05e,dc295a6604,16806.592,34557.83,932.0,312.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-057: Key rollover logic | L-054: suppress failure | L-053: custom failure result | L-056: OnAuthenticationFailed/FailurePath | L-059: distinguish Challengefrom auth failure,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-147,092d3571e652a33fed0ff336b48031f7175913ea,092d3571e6,17855.473,35112.205,959.0,384.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-057: Key rollover logic | L-058: Challenge | L-054: suppress failure | L-063: Valid token | L-062: Invalid token,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-148,1a06c33b4dfad8748794f1d8f6cd3d49b3eeab4c,1a06c33b4d,17856.357,35512.467,829.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-057: Key rollover logic | L-058: Challenge | L-054: suppress failure | L-063: Valid token | L-059: distinguish Challengefrom auth failure,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-149,26173c43664c3663a853ce049ab35ad5b44c86e0,26173c4366,20573.892,33966.678,651.0,77.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-061: No token | L-064: Possible result outcomes | L-062: Invalid token | L-063: Valid token | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-150,13164a4fd277469b6954e8dca87ad614b6cfd0a5,13164a4fd2,20433.058,34203.512,998.0,438.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-062: Invalid token | L-061: No token | L-064: Possible result outcomes | L-063: Valid token | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-151,ffe40c8ed62f4c43683b9f01e4b233504ea8f282,ffe40c8ed6,20425.836,34805.178,908.0,408.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-063: Valid token | L-062: Invalid token | L-061: No token | L-064: Possible result outcomes | L-058: Challenge,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-152,9172afb932372177bf11b17eae3d8d6de594f886,9172afb932,20418.781,35354.512,911.0,476.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-063: Valid token | L-062: Invalid token | L-061: No token | L-064: Possible result outcomes | L-058: Challenge,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-153,9096c0116ea534136beb4c15d66ed4992f1da048,9096c0116e,16380.309,37389.286,802.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-059: distinguish Challengefrom auth failure | L-111: !!! | L-058: Challenge | L-057: Key rollover logic | L-054: suppress failure,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-154,481c7d537b32c9a70c3557e017098b10c9316655,481c7d537b,16350.077,37904.639,830.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-111: !!! | L-059: distinguish Challengefrom auth failure | L-058: Challenge | L-057: Key rollover logic | L-060: Forbid,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-155,8fe821203a2859918a6563c6a5b773b90f23a6ed,8fe821203a,16317.125,38399.917,983.0,236.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-111: !!! | L-059: distinguish Challengefrom auth failure | L-058: Challenge | L-060: Forbid | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-156,f83e1c5cc13e64957bf101a594e1b6cfdb37cf79,f83e1c5cc1,16312.502,38738.787,850.0,482.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-111: !!! | L-059: distinguish Challengefrom auth failure | L-058: Challenge | L-060: Forbid | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-157,7d30dbb80faea45957375a834b06e5b32c9dc0d8,7d30dbb80f,16290.53,39222.777,1012.0,261.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-111: !!! | L-059: distinguish Challengefrom auth failure | L-060: Forbid | L-058: Challenge | L-057: Key rollover logic,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
S-189,860e8d4a10ccb443f90790e164c74081992f5727,860e8d4a10,23604.058,28606.08,677.0,335.0,R03B-jwt-outcomes-failure-challenge-forbid,R03,P04-R03B-R04-oidc-and-outcomes-tail,R03B,processed-in-r03b-v001,L-073: !!! | L-085: OnForbidden | L-080: ForbiddenCOntext | L-084: OnChallenge | L-072: !!!!,Included in R03B during Stage3 large combined JWT/OIDC pass after local boundary review.
