label_id,x,y,text
L-068,16733.169,21178.963,"Stop auth early, set result"
L-069,16738.017,20052.902,Set token manually
L-070,16777.701,19444.437,OnMessageReceived
L-071,17747.641,19421.327,HandleAuthentiicateflow
L-072,23399.375,25720.458,!!!!
L-073,23403.535,27863.343,!!!
L-074,20263.091,27205.035,a possible place for someproblem details returningwith pd service and all configred defaults for this shit
L-075,22189.425,20966.815,summary
L-076,21916.833,21675.704,messagereveivedctx
L-077,21903.5,23057.927,tokenValidatedctx
L-078,22014.611,24929.038,AuthFailedContext
L-079,21849.769,26242.101,ChallengeContext
L-080,21987.547,27653.213,ForbiddenCOntext
L-081,23608.685,21571.26,OnMessageReceinved
L-082,23635.082,23106.815,OnTokenValidated
L-083,23577.304,24970.063,OnAuthenticationFailed
L-084,23620.638,26390.063,OnChallenge
L-085,23603.971,27706.73,OnForbidden
L-086,23760.537,20809.037,jwt
L-087,24068.223,7020.181,cookieredirectcontext
L-088,23408.223,9558.848,cookieslidingexpiration
L-089,21912.413,9988.656,Based on real user activity
L-090,22003.914,11144.449,based on allowrefresh
L-091,22077.247,11730.283,based on ticket age/remaining tie
L-092,22053.005,12731.495,based on custom metadata
L-093,22100.277,13874.525,based on request sensitivity
L-094,22080.883,14493.919,based on remember me
L-095,24447.778,8974.108,can write to response
L-096,25814.539,2067.607,OnsigningIn
L-097,25820.464,3221.682,OnSignedIn
L-098,25757.502,7057.506,OnRedirectToLogin (Challenge)
L-099,25751.787,7981.316,OnRedirectToAccDenied (Forbid)
L-100,25756.787,8814.649,OnRedirectToLogOut
L-101,25759.212,9339.498,OnRedirectToReturnUrl
L-102,25753.151,9764.952,OnCheckSlidingExp
L-103,25784.909,4260.2,ONValidatePrincipal
L-104,25792.316,6094.274,OnSignigOut
L-105,24411.575,5995.607,SingingOutContext
L-106,24343.427,4190.57,ValidatePrincipalContext
L-107,24402.687,3197.978,signedInContext
L-108,24381.946,2012.793,signingInContext
L-109,24467.131,1078.422,summary
L-110,25618.242,718.422,Cookie
L-111,16112.704,38720.524,!!!
L-112,17353.179,4810.994,authenticatecheck who is the user
L-113,15555.846,5114.994,signin with iticketstore
L-114,15414.216,6085.66,authenticate with iticketstore
L-115,15440.883,6975.184,refresh with iticketstore
L-116,15522.788,7855.357,signout with iticketstore
L-117,15739.846,4453.66,iticketstore
L-118,17988.735,7996.772,sign inwe have trusted userwe need to write auth ticketto cookie or ticket  id and store authticket in iticketstore
L-119,19842.068,8014.549,sign outwe have trusted userwe need to remove auth ticketfrom cookie or ticketid and removeauthticket from iticketstore
L-120,18699.846,4663.502,challengeneed to do something with the user that isntauthenticated
L-121,20014.846,4610.169,forbidneed to do something with the user that isntallowed
L-122,12470.271,5252.863,check for refresh
L-123,13532.868,5271.25,handleauthenticate
L-124,13456.816,6117.886,ensurecookieticket(read the ticket once)
L-125,13368.402,6633.856,"readcookieticket(get the real ticket from cookieor get ticket from c, get id claimand get real ticket from store)"
L-126,13530.463,8648.394,handlesigninasync
L-127,12024.238,5834.812,requestrefresh
L-128,13128.948,10438.696,append cookie
L-129,18820.878,6346.728,FinishResponseAsync
L-130,13657.416,3584.706,finishresponseAsync
L-131,13693.966,3861.779,(decide whether we should renew ticketif not returnbecause of the sliding expiration or some explicit callsif have some ticketstore call to renewappendresponsecookie with renewed cookie)
L-132,12316.877,3876.934,initializehandlerasyncset event with finishresponseasync
L-133,2970.178,3946.145,!!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint
L-134,8398.355,26088.612,"clientId, code,state"
L-135,5343.565,24517.53,"pkce confidential client, mvc,bff"
L-136,7864.676,24393.085,full flow
L-137,6506.581,24385.466,compact one
L-138,7722.454,25091.507,authentication failed
L-139,8542.549,25635.17,challenge with oidc handler
L-140,8672.347,27080.068,oidc handler validates pcke stuff
L-141,8622.569,27421.401,builds claimsprincipal
L-142,8611.287,27648.068,calls signinasync with that principal
