source_id,fileId,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,66dd53e7f8673b6d6f12253f7d5253dadfef5fb8,66dd53e7f8,6000.816,3184.357,982.0,432.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-009: useAuthenticationAuthenticationMiddleware | L-016: context.AuthenticateAsync andAuthentication Service | L-037: special handlers | L-038: HandleRequestAsync | L-017: Auth Scheme Provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-012,e4cb6f999152b46f6614a7ed421e9c7df70cd499,e4cb6f9991,6083.207,8165.849,961.0,443.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-018: Auth Handler provider | L-006: !!! | L-017: Auth Scheme Provider | L-028: authenticate request onceintended flow | L-029: initializeasyncmultiple shemes for handlerresolve options from monitor,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-013,85c44f86bd59ceb3dbad98442f024de6e39619d4,85c44f86bd,6089.656,8614.222,944.0,425.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-018: Auth Handler provider | L-006: !!! | L-028: authenticate request onceintended flow | L-017: Auth Scheme Provider | L-005: !!!,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-014,bc639a86205d595b1e47a13df5954eca3b618d06,bc639a8620,6086.434,9152.833,886.0,450.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-006: !!! | L-028: authenticate request onceintended flow | L-018: Auth Handler provider | L-005: !!! | L-007: !!!,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-015,032da4b0a7e513da70c5b0373b3a39b091324a1a,032da4b0a7,6097.082,9608.899,885.0,482.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-006: !!! | L-028: authenticate request onceintended flow | L-005: !!! | L-018: Auth Handler provider | L-007: !!!,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-016,01b1ddd76cf30a6384b1e1c6da77a96cbefe7dae,01b1ddd76c,6096.323,10103.722,924.0,366.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-006: !!! | L-028: authenticate request onceintended flow | L-005: !!! | L-007: !!! | L-019: forwarding,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-017,b26255cf0cf3146a816f2a10f957eb89789a8b7f,b26255cf0c,6094.662,10486.677,830.0,482.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-006: !!! | L-005: !!! | L-028: authenticate request onceintended flow | L-007: !!! | L-019: forwarding,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-018,b0f809d46d4a332fbff77f147087d008614fd52c,b0f809d46d,6078.712,10987.111,957.0,437.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-005: !!! | L-006: !!! | L-007: !!! | L-028: authenticate request onceintended flow | L-019: forwarding,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-019,6a5fb74ed6fcff619235863747626ef2fb9010d8,6a5fb74ed6,6082.324,11433.344,856.0,482.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-005: !!! | L-007: !!! | L-006: !!! | L-028: authenticate request onceintended flow | L-019: forwarding,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-020,17852964fb0872aa90c02d870af6be0d9f78ffe0,17852964fb,3233.153,3034.591,1103.0,222.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,"L-004: middleware, invoke(check) | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-001: context | L-030: AuthServicedecide sheme and handlerget ticketz | L-009: useAuthenticationAuthenticationMiddleware",processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-021,1a94998582a6325d7a21c956799a1c91ddc43eff,1a94998582,3220.079,3258.243,1170.0,453.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,"L-004: middleware, invoke(check) | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-030: AuthServicedecide sheme and handlerget ticketz | L-009: useAuthenticationAuthenticationMiddleware",processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-022,6b9e77f242c97de71d3e51ced9f134c770c9c0f4,6b9e77f242,3233.647,3714.076,973.0,438.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,"L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-030: AuthServicedecide sheme and handlerget ticketz | L-004: middleware, invoke(check) | L-002: schemeprovider",processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-023,62f8e8d3d8fc6709bd9680f02d636b905f608e0c,62f8e8d3d8,2621.512,6002.161,508.0,84.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-030: AuthServicedecide sheme and handlerget ticketz | L-003: handlerprovider | L-001: context | L-002: schemeprovider | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-024,9e4acf2aa322787fa8697807f1c39e5ac90f045c,9e4acf2aa3,1418.567,5611.642,1225.0,468.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-003: handlerprovider | L-002: schemeprovider | L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-025,00de58172e76caa0d41c079696b3dd675de46a6f,00de58172e,1417.941,6094.856,1019.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-003: handlerprovider | L-002: schemeprovider | L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-026,13f376afbf7a5704c6303a893ecd2dff43fbb354,13f376afbf,3188.223,5455.945,1196.0,341.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-016: context.AuthenticateAsync andAuthentication Service | L-017: Auth Scheme Provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-027,812189a7c5bd1ea371f998123db1d941106c1762,812189a7c5,3205.604,5800.318,853.0,463.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-003: handlerprovider | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-017: Auth Scheme Provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-028,2033d2b11d1c8fdc53ac6fd061fc3090d44235e2,2033d2b11d,4055.953,6125.003,432.0,73.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-017: Auth Scheme Provider | L-030: AuthServicedecide sheme and handlerget ticketz | L-016: context.AuthenticateAsync andAuthentication Service | L-001: context | L-018: Auth Handler provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-029,22eac6fec2b2190462907f09ea0978fb6528122a,22eac6fec2,3198.691,4972.569,998.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-002: schemeprovider | L-016: context.AuthenticateAsync andAuthentication Service,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-030,6a9f996bc05eed186b38fed50db3e40755bc81cd,6a9f996bc0,3105.009,4563.725,1250.0,235.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,"L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-004: middleware, invoke(check) | L-002: schemeprovider",processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-031,37383f13b0ab2d9655eb4c5489285f0b151bb48f,37383f13b0,3125.675,4371.281,1222.0,66.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,"L-001: context | L-030: AuthServicedecide sheme and handlerget ticketz | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-004: middleware, invoke(check) | L-002: schemeprovider",processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-032,b59d4d01b3d83dbe2380bf4a2805b16017723bef,b59d4d01b3,1656.978,4764.535,1096.0,269.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-002: schemeprovider | L-003: handlerprovider | L-030: AuthServicedecide sheme and handlerget ticketz | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-001: context,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-033,fbf77db651525dc522df2ab4c29f850cafbd586f,fbf77db651,1591.996,5029.753,1209.0,345.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-003: handlerprovider | L-002: schemeprovider | L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-034,891f8b55eff22d1eb85671773b3e1abb2d365247,891f8b55ef,2803.125,4913.587,341.0,96.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-030: AuthServicedecide sheme and handlerget ticketz | L-001: context | L-133: !!! here we  set some that authorizationwill read when there is noauthorization metadataon endpoint | L-002: schemeprovider | L-003: handlerprovider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-035,98308754b2aa2a0039d413031922642f4a67e9fd,98308754b2,7968.242,3505.547,696.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-038: HandleRequestAsync | L-037: special handlers | L-009: useAuthenticationAuthenticationMiddleware | L-016: context.AuthenticateAsync andAuthentication Service | L-017: Auth Scheme Provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-036,dc7d9b7c5b1b6c8e90ce330a44ec661ae3391bfa,dc7d9b7c5b,7959.939,4037.786,991.0,434.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-038: HandleRequestAsync | L-037: special handlers | L-016: context.AuthenticateAsync andAuthentication Service | L-009: useAuthenticationAuthenticationMiddleware | L-017: Auth Scheme Provider,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-037,98603043236388a7a17d822745b673e60f5d5b61,9860304323,9126.843,3496.428,894.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-038: HandleRequestAsync | L-037: special handlers | L-132: initializehandlerasyncset event with finishresponseasync | L-127: requestrefresh | L-122: check for refresh,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-038,00c04ce2d41678beaa73c38bbf0353c75083ff0f,00c04ce2d4,9147.821,4032.52,786.0,482.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-038: HandleRequestAsync | L-037: special handlers | L-132: initializehandlerasyncset event with finishresponseasync | L-127: requestrefresh | L-122: check for refresh,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-039,7d74582b40b67f059859d5e0857b271c0b665b25,7d74582b40,10140.212,3498.272,978.0,431.0,R01A-base-middleware-auth-service-handlers,R01,P01-R01-base-auth-and-forwarding,L-038: HandleRequestAsync | L-132: initializehandlerasyncset event with finishresponseasync | L-122: check for refresh | L-037: special handlers | L-127: requestrefresh,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-040,0f9ebbfa701cff732599d9188ec3321060009456,0f9ebbfa70,3186.929,11205.717,1159.0,482.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-031: forward options | L-019: forwarding | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement) | L-020: resolvetargetdecide whether to forwardor return null | L-032: concrete forward,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-041,1a2da7a93a6dc54f06512d76f5578f2c45ef6edd,1a2da7a93a,3221.58,10985.53,1218.0,190.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-019: forwarding | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement) | L-031: forward options | L-020: resolvetargetdecide whether to forwardor return null | L-032: concrete forward,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-042,e4b5c4c722d0249cb373f8367d0cc7c50a2a6bfa,e4b5c4c722,3211.134,10428.92,1239.0,256.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-020: resolvetargetdecide whether to forwardor return null | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement) | L-019: forwarding | L-031: forward options | L-029: initializeasyncmultiple shemes for handlerresolve options from monitor,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-043,6d3e5555d8916578ae554aa78e163933881d2895,6d3e5555d8,3184.987,9385.266,1240.0,479.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-020: resolvetargetdecide whether to forwardor return null | L-029: initializeasyncmultiple shemes for handlerresolve options from monitor | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement) | L-019: forwarding | L-006: !!!,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-044,dbbe2cc3d53532b2819ce758a708023fc541183e,dbbe2cc3d5,4723.619,10017.498,940.0,373.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-006: !!! | L-019: forwarding | L-005: !!! | L-020: resolvetargetdecide whether to forwardor return null | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement),processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-045,e9282024a01d934f9379fb3aa7c5370d6687ff4c,e9282024a0,4623.473,10729.146,930.0,344.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-019: forwarding | L-005: !!! | L-006: !!! | L-020: resolvetargetdecide whether to forwardor return null | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement),processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-046,7bf4e4f0ed1d1c3da6a073d019e2a59105752c6f,7bf4e4f0ed,4598.417,11117.46,909.0,397.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-019: forwarding | L-005: !!! | L-006: !!! | L-031: forward options | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement),processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-047,26bd56b54339486bc24ca057f79a7c2fb11f49b7,26bd56b543,4580.104,11710.713,983.0,337.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-019: forwarding | L-005: !!! | L-031: forward options | L-022: challenge | L-006: !!!,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-048,83fa587b797ddbca463e4bd8b2dde3ebc68b24c2,83fa587b79,4581.314,12048.25,930.0,282.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-019: forwarding | L-005: !!! | L-022: challenge | L-031: forward options | L-032: concrete forward,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-049,9ad22b4441a69bd9bfd29434b6551d72fda046cf,9ad22b4441,4599.11,12399.205,830.0,482.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-019: forwarding | L-005: !!! | L-022: challenge | L-031: forward options | L-032: concrete forward,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-050,e1e147a2c9ef20244013a488c7aad52e0dea0181,e1e147a2c9,1009.018,12213.262,769.0,259.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-035: order/priority | L-036: valid example | L-032: concrete forward | L-031: forward options | L-021: authenticateasynccall handlerauthenticateonce(hauth is the method to implement),processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
S-051,235b87f5440ff7cf1ac9cb81eb20ea08b9fcdc58,235b87f544,982.095,12480.654,853.0,482.0,R01B-forwarding-challenge-forbid-basics,R01,P01-R01-base-auth-and-forwarding,L-035: order/priority | L-036: valid example | L-032: concrete forward | L-031: forward options | L-033: forward default selector,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after local visual/semantic boundary review.,Included in R01 v001 after local visual/semantic boundary review.
