source_id,fileId,fileId_short,x,y,width,height,initial_subregion,initial_region,combined_pass,region_decision,coverage_status,nearest_labels_for_search_only,review_note
S-110,a56a81d70b5843e28eeab250e8d8b2d9c9bec6a1,a56a81d70b,17704.932,19635.835,668.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-071: HandleAuthentiicateflow | L-069: Set token manually | L-070: OnMessageReceived | L-068: Stop auth early, set result | L-067: Auth Header lookup",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-121,1b46d16cd4664746fd8f63d05312b8c12a92c2fa,1b46d16cd4,17892.014,23822.654,912.0,408.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-066: Setup Token Validation params | L-065: Token Validation | L-067: Auth Header lookup | L-049: ontokenValidated/Succes path | L-068: Stop auth early, set result",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-122,ebe66fe470d22603d7391ca2896c13d756aa4529,ebe66fe470,17886.959,24252.154,931.0,409.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-066: Setup Token Validation params | L-065: Token Validation | L-067: Auth Header lookup | L-049: ontokenValidated/Succes path | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-123,0e49aff091dc1436c164bf27915aea8fb9f56813,0e49aff091,17897.847,24712.932,947.0,303.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-065: Token Validation | L-066: Setup Token Validation params | L-049: ontokenValidated/Succes path | L-067: Auth Header lookup | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-124,9c225078b7598416beb3ddfd882dd928dc6c98e3,9c225078b7,17890.181,25010.543,969.0,390.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-065: Token Validation | L-066: Setup Token Validation params | L-049: ontokenValidated/Succes path | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit | L-050: reject disabled,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-125,6bc326be1e0666b8b4380e9b06a2efa81ff8bee2,6bc326be1e,17908.863,25590.447,813.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-065: Token Validation | L-049: ontokenValidated/Succes path | L-066: Setup Token Validation params | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit | L-050: reject disabled,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-126,872d4590c1f46501640f729fad17d1f0233b1ee7,872d4590c1,17915.893,26049.952,1000.0,293.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-065: Token Validation | L-049: ontokenValidated/Succes path | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit | L-050: reject disabled | L-066: Setup Token Validation params,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-127,aeaf2c1cf9309c8c586900754574415d519b018d,aeaf2c1cf9,17912.461,26348.023,974.0,633.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-049: ontokenValidated/Succes path | L-065: Token Validation | L-050: reject disabled | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit | L-051: Add claims,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-128,6dcec10acab3836f162365d926cd3f215897fe40,6dcec10aca,17930.948,27165.733,780.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-049: ontokenValidated/Succes path | L-050: reject disabled | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit | L-065: Token Validation | L-051: Add claims,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-129,1a26a3cf7ed5f557c6a3e6ef1ec33facd576e05c,1a26a3cf7e,17933.841,27656.355,828.0,374.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-049: ontokenValidated/Succes path | L-050: reject disabled | L-051: Add claims | L-074: a possible place for someproblem details returningwith pd service and all configred defaults for this shit | L-065: Token Validation,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-130,baa919c96b86858b562c46fce8645c4ca14ce017,baa919c96b,16940.667,27350.847,723.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-050: reject disabled | L-049: ontokenValidated/Succes path | L-051: Add claims | L-065: Token Validation | L-052: store request local values,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-131,c92a941ae11182f393cbc671d88cd12e9cad3832,c92a941ae1,16967.638,27240.935,446.0,59.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-050: reject disabled | L-049: ontokenValidated/Succes path | L-051: Add claims | L-065: Token Validation | L-052: store request local values,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-132,638ed42d41c52753ce41ecf92912e13f802f270d,638ed42d41,16936.304,27914.305,670.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-050: reject disabled | L-051: Add claims | L-049: ontokenValidated/Succes path | L-052: store request local values | L-065: Token Validation,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-133,8a161515a89b2af33ca9f2c960dceeec61642380,8a161515a8,16890.252,28486.961,934.0,457.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-051: Add claims | L-050: reject disabled | L-052: store request local values | L-049: ontokenValidated/Succes path | L-055: SaveToken,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-158,57560c51359143616d55c753e78119d5f118dbb5,57560c5135,14434.766,19563.727,1208.0,445.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-047: if app didnt set token in event - parse header | L-048: HandleAuthenticatefire messagereceived to give opportunity to set token to context | L-046: setup validation params(possible signing key fetches) | L-069: Set token manually | L-070: OnMessageReceived,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-159,f0d947f6f00dd2223220c25a400bd947f612f6ec,f0d947f6f0,14448.749,20172.39,1111.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-047: if app didnt set token in event - parse header | L-048: HandleAuthenticatefire messagereceived to give opportunity to set token to context | L-046: setup validation params(possible signing key fetches) | L-045: if dont use obsolete shit(always )then use modern Options.TokenHanlders TO validate token | L-069: Set token manually,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-160,daf0d1a19bcd104924f05dc4d03f449a6fa6cc1a,daf0d1a19b,14393.938,20756.88,1221.0,172.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-047: if app didnt set token in event - parse header | L-045: if dont use obsolete shit(always )then use modern Options.TokenHanlders TO validate token | L-046: setup validation params(possible signing key fetches) | L-048: HandleAuthenticatefire messagereceived to give opportunity to set token to context | L-068: Stop auth early, set result",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-161,afaeed6ecac068ec094df218dfa684b52e60ea71,afaeed6eca,14368.855,21060.39,948.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-045: if dont use obsolete shit(always )then use modern Options.TokenHanlders TO validate token | L-047: if app didnt set token in event - parse header | L-046: setup validation params(possible signing key fetches) | L-041: obsoletesecurityTokenValidators | L-042: on happy path fire event store token if neededpass some shit to validatedcontextcall success, return result",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-162,6712fd357b4e7965d062d43180ddc80536f63e87,6712fd357b,14279.438,21622.88,1218.0,424.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-042: on happy path fire event store token if neededpass some shit to validatedcontextcall success, return result | L-041: obsoletesecurityTokenValidators | L-045: if dont use obsolete shit(always )then use modern Options.TokenHanlders TO validate token | L-043: if failure fire eventreturn failure | L-046: setup validation params(possible signing key fetches)",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-163,77dfbf4d97f68f469bc5a4f269233707758f34f5,77dfbf4d97,14289.605,22186.213,1259.0,300.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-042: on happy path fire event store token if neededpass some shit to validatedcontextcall success, return result | L-043: if failure fire eventreturn failure | L-041: obsoletesecurityTokenValidators | L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-045: if dont use obsolete shit(always )then use modern Options.TokenHanlders TO validate token",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-164,ce056ff631a5736d596393e2fb68e22e229291a1,ce056ff631,14314.105,22481.723,1141.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-043: if failure fire eventreturn failure | L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-042: on happy path fire event store token if neededpass some shit to validatedcontextcall success, return result | L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-041: obsoletesecurityTokenValidators",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-165,9e083ea0d948cea200fa415be5c9b45ff8fd0966,9e083ea0d9,14324.185,22955.057,1046.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-043: if failure fire eventreturn failure | L-042: on happy path fire event store token if neededpass some shit to validatedcontextcall success, return result | L-041: obsoletesecurityTokenValidators",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-166,d7c20f6b97fe430388201ec13d4957eb44f5a7ea,d7c20f6b97,14278.044,23441.721,1248.0,447.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-043: if failure fire eventreturn failure | L-042: on happy path fire event store token if neededpass some shit to validatedcontextcall success, return result | L-041: obsoletesecurityTokenValidators",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-167,bc0bf399e545ec73eb7dae5ffea91aa7118a94f4,bc0bf399e5,14305.978,24776.792,1239.0,391.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-040: handleforbid | L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-043: if failure fire eventreturn failure | L-065: Token Validation",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-168,cdba62069d28135506c78501f06fccfb35ecb4fc,cdba62069d,14280.19,25157.246,1213.0,401.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-040: handleforbid | L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-043: if failure fire eventreturn failure | L-065: Token Validation",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-169,d194ef49eb6bfff2f86616bbe91d99781f6ba4f1,d194ef49eb,14319.872,25519.822,1250.0,231.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-040: handleforbid | L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-050: reject disabled | L-065: Token Validation",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-170,d9c45aacbb5f3e85743ad795e952e42144a5d10e,d9c45aacbb,14325.933,25753.307,1010.0,421.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-040: handleforbid | L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-050: reject disabled | L-044: catch errors if authfailed rusultis there return itotherwise rethrow ex | L-065: Token Validation",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-171,f9a3dbfcf39d93fbe8875db20678c3708246ea92,f9a3dbfcf3,14383.614,26175.868,991.0,398.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-040: handleforbid | L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-050: reject disabled | L-049: ontokenValidated/Succes path | L-065: Token Validation",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-172,e7c8d3624edf644724ba6c6166929ed2b7d1331d,e7c8d3624e,14384.865,26697.348,974.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,"L-040: handleforbid | L-050: reject disabled | L-039: handlecahllengecheck for failure, if error pass some info about it to challengecontextif handled just returnif not then if no error return wwif error = construct some basic response | L-051: Add claims | L-049: ontokenValidated/Succes path",Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-173,d70e32a080af8b8404114e942162c85952c82e2f,d70e32a080,21880.333,21230.934,1118.0,433.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-075: summary | L-076: messagereveivedctx | L-081: OnMessageReceinved | L-086: jwt | L-077: tokenValidatedctx,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-174,f2af528eef74f51448d9957bf312787c05c1de53,f2af528eef,23595.953,21810.987,757.0,302.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-081: OnMessageReceinved | L-086: jwt | L-082: OnTokenValidated | L-075: summary | L-076: messagereveivedctx,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-175,8d1e2a5dcce96dae9ad12aa65b42b71820f22c10,8d1e2a5dcc,23605.905,22123.82,775.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-082: OnTokenValidated | L-081: OnMessageReceinved | L-086: jwt | L-076: messagereveivedctx | L-077: tokenValidatedctx,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-176,2192144b10765b7c95cb4e434703a2ef94d0f026,2192144b10,23604.556,22637.661,899.0,465.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-082: OnTokenValidated | L-081: OnMessageReceinved | L-086: jwt | L-083: OnAuthenticationFailed | L-077: tokenValidatedctx,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-177,c9e0e5e758eae66710bb0d26829f5ec4352c3cbe,c9e0e5e758,23609.534,23270.942,871.0,482.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-082: OnTokenValidated | L-083: OnAuthenticationFailed | L-081: OnMessageReceinved | L-077: tokenValidatedctx | L-072: !!!!,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-178,66baae401da7ce3ac94766958e94438b35ad5601,66baae401d,23600.923,23764.606,866.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-082: OnTokenValidated | L-083: OnAuthenticationFailed | L-072: !!!! | L-078: AuthFailedContext | L-077: tokenValidatedctx,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-179,04418cd8a7d3f339e16c1fc67beda8cc37ac1a4d,04418cd8a7,23593.327,24246.273,920.0,310.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-083: OnAuthenticationFailed | L-082: OnTokenValidated | L-072: !!!! | L-084: OnChallenge | L-078: AuthFailedContext,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-180,38a470c11b319abca27a78b513882f0e99d52347,38a470c11b,23596.558,24542.221,692.0,434.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-083: OnAuthenticationFailed | L-072: !!!! | L-084: OnChallenge | L-082: OnTokenValidated | L-078: AuthFailedContext,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-181,f5f0b8c789db90e2b58980f6ada2e030a70d142e,f5f0b8c789,23608.007,25114.901,905.0,343.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-083: OnAuthenticationFailed | L-072: !!!! | L-084: OnChallenge | L-078: AuthFailedContext | L-082: OnTokenValidated,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-182,db25ecac1c20694ca2c87d0f9fb153708cc98f63,db25ecac1c,23602.416,25455.888,754.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-072: !!!! | L-084: OnChallenge | L-083: OnAuthenticationFailed | L-085: OnForbidden | L-078: AuthFailedContext,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-183,01a1b673fc3f8deabbc273e2cc41aac1346a5528,01a1b673fc,23609.004,25919.478,784.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-084: OnChallenge | L-072: !!!! | L-083: OnAuthenticationFailed | L-085: OnForbidden | L-073: !!!,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-184,962765775677d450e0d2c9b589013f11dd763451,9627657756,23617.391,26520.119,757.0,310.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-084: OnChallenge | L-085: OnForbidden | L-072: !!!! | L-073: !!! | L-083: OnAuthenticationFailed,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-185,6c3ff62c3df73d6e9a988e3ad36aa3733a600e4e,6c3ff62c3d,23605.977,26838.452,698.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-085: OnForbidden | L-084: OnChallenge | L-073: !!! | L-072: !!!! | L-080: ForbiddenCOntext,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-186,48fe2e1905a09b4bb40d2fe54556db50af62d043,48fe2e1905,23596.276,27293.285,750.0,417.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-085: OnForbidden | L-073: !!! | L-084: OnChallenge | L-072: !!!! | L-080: ForbiddenCOntext,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-187,714778f946255017eda742ca6f5590f170b02c5d,714778f946,23598.404,27843.388,836.0,285.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-085: OnForbidden | L-073: !!! | L-084: OnChallenge | L-080: ForbiddenCOntext | L-072: !!!!,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-188,369d46ad891e55a659cbb99fe6b80d13f9d420cf,369d46ad89,23602.296,28142.042,804.0,463.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-085: OnForbidden | L-073: !!! | L-084: OnChallenge | L-080: ForbiddenCOntext | L-072: !!!!,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-190,b371ddd47ffc364450123b03ca5d30fe68baf17e,b371ddd47f,24445.032,26543.066,751.0,148.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-084: OnChallenge | L-085: OnForbidden | L-072: !!!! | L-073: !!! | L-083: OnAuthenticationFailed,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-191,b371ddd47ffc364450123b03ca5d30fe68baf17e,b371ddd47f,24493.921,27863.066,751.0,148.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-085: OnForbidden | L-073: !!! | L-084: OnChallenge | L-072: !!!! | L-080: ForbiddenCOntext,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-192,4eac1e524b814921ea9dd748b75b65576c96a77c,4eac1e524b,22124.483,21805.777,456.0,318.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-076: messagereveivedctx | L-075: summary | L-077: tokenValidatedctx | L-081: OnMessageReceinved | L-082: OnTokenValidated,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-193,f9dd5e9b2c1cad22eb5f5eac899ce246d5041abd,f9dd5e9b2c,22108.836,22162.65,886.0,273.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-076: messagereveivedctx | L-077: tokenValidatedctx | L-081: OnMessageReceinved | L-082: OnTokenValidated | L-075: summary,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
S-194,53c48049eaf75dfe8a09bafca3fabc4569e168eb,53c48049ea,22154.083,23266.695,586.0,332.0,R03A-jwt-handler-pipeline-events,R03,P03-R03A-jwt-handler-pipeline,R03A,processed-in-r03a-v001,L-077: tokenValidatedctx | L-082: OnTokenValidated | L-078: AuthFailedContext | L-076: messagereveivedctx | L-083: OnAuthenticationFailed,Included in R03A during Stage3 large combined JWT/OIDC pass after local boundary review.
