source_id,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,final_audit_status,final_audit_note
S-128,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-129,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-130,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-131,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-132,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-133,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-134,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-135,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-136,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-137,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-138,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-139,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-140,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-141,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-142,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-143,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-144,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-145,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-146,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-147,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-148,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-149,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-150,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-151,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-152,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-153,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-154,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-155,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-156,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-157,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-158,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-159,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-160,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-161,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-162,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-163,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-164,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-165,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-166,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-167,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-168,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-169,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-170,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-171,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-172,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-173,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-174,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-175,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-176,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-177,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-178,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-179,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-180,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-181,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-182,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-183,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-184,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-185,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-186,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-187,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-188,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-189,processed-in-r03b-v001,R03B,yes-for-r03b-v001-boundary,no-for-r03b-v001,covered,Covered by processed transcript region.
S-190,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-191,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-192,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-193,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-194,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-195,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-196,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-197,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-198,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-199,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-200,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-201,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-202,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-203,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-204,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-205,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-206,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-207,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-208,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-209,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-210,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-211,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-212,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-213,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-214,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-215,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-216,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-217,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-218,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-219,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-220,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-221,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-222,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-223,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-224,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-225,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-226,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-227,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-228,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-229,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-230,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-231,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-232,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
