source_id,fileId_short,decision,target_region,initial_subregion,reason
S-032,b59d4d01b3,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-034,891f8b55ef,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-029,22eac6fec2,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationMiddleware context and default-auth flow sketch
S-033,fbf77db651,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-005,280eabcaea,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationService.AuthenticateAsync and operation service methods
S-026,13f376afbf,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-024,9e4acf2aa3,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-006,b66210c4a8,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationService.AuthenticateAsync and operation service methods
S-027,812189a7c5,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-023,62f8e8d3d8,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-025,00de58172e,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-028,2033d2b11d,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,"Auth service, scheme provider, handler provider flow diagram/code"
S-007,93a6709164,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationService.AuthenticateAsync and operation service methods
S-008,17926e5788,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationSchemeProvider defaults and fallback scheme resolution
S-009,a0fbfd24c7,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationSchemeProvider defaults and fallback scheme resolution
S-010,5b3dd95c3d,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationSchemeProvider defaults and fallback scheme resolution
S-011,5aef5dde78,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationHandlerProvider and handler initialization/cache
S-012,e4cb6f9991,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationHandlerProvider and handler initialization/cache
S-013,85c44f86bd,included-in-r01-v001,R01,R01A-base-middleware-auth-service-handlers,AuthenticationHandlerProvider and handler initialization/cache
S-014,bc639a8620,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,forwarding/challenge/forbid basics
S-043,6d3e5555d8,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forwarding internals: ResolveTarget, InitializeAsync, ForwardAuthenticate"
S-015,032da4b0a7,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,forwarding/challenge/forbid basics
S-044,dbbe2cc3d5,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forwarding internals: ResolveTarget, InitializeAsync, ForwardAuthenticate"
S-016,01b1ddd76c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,forwarding/challenge/forbid basics
S-042,e4b5c4c722,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forwarding internals: ResolveTarget, InitializeAsync, ForwardAuthenticate"
S-017,b26255cf0c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,forwarding/challenge/forbid basics
S-045,e9282024a0,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forwarding internals: ResolveTarget, InitializeAsync, ForwardAuthenticate"
S-065,f73a2ce705,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-041,1a2da7a93a,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forwarding internals: ResolveTarget, InitializeAsync, ForwardAuthenticate"
S-018,b0f809d46d,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,forwarding/challenge/forbid basics
S-046,7bf4e4f0ed,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forwarding internals: ResolveTarget, InitializeAsync, ForwardAuthenticate"
S-040,0f9ebbfa70,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forwarding internals: ResolveTarget, InitializeAsync, ForwardAuthenticate"
S-066,c81cdbac8c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-019,6a5fb74ed6,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,forwarding/challenge/forbid basics
S-047,26bd56b543,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,Forwarding concept and policy scheme motivation
S-067,316ddefb1c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-048,83fa587b79,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,Forwarding concept and policy scheme motivation
S-064,01e496352b,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-053,2c8374473c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forward options examples: cookies, OIDC challenge, selector/default priority"
S-050,e1e147a2c9,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forward options examples: cookies, OIDC challenge, selector/default priority"
S-049,9ad22b4441,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,Forwarding concept and policy scheme motivation
S-051,235b87f544,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forward options examples: cookies, OIDC challenge, selector/default priority"
S-054,122657f18c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forward options examples: cookies, OIDC challenge, selector/default priority"
S-052,fa53e80e0f,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forward options examples: cookies, OIDC challenge, selector/default priority"
S-055,7fa89ef5e5,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,"Forward options examples: cookies, OIDC challenge, selector/default priority"
S-056,c5dcceefc7,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-068,6c318526f7,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-059,a7573207ec,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-069,8a3581cd7a,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-060,3ea97a6f06,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-070,2242ba256c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-061,a6b0f6dd9c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-071,2419f879a6,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-062,def20ab986,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-072,4b6e014024,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-063,1e0669cc32,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-057,d5d0ee5b62,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-088,03eff36184,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,default forbid scheme and sign-in/out handler tail
S-073,19593eecf4,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-089,92c830f8b1,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,default forbid scheme and sign-in/out handler tail
S-058,76f00eca1a,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,ForwardDefault / ForwardDefaultSelector / challenge/forbid/sign-in/out routing
S-074,40a8739342,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-075,9ba12d337f,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-090,5dbfd3f21c,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,default forbid scheme and sign-in/out handler tail
S-076,b4143ba0b2,included-in-r01-v001,R01,R01B-forwarding-challenge-forbid-basics,challenge/forbid/sign-in/sign-out basics and handler interfaces
S-077,dcbb9c9d0a,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-078,075bb93c1e,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-079,0a0f66784a,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-080,6cd9a6b2b3,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-081,d2741d4082,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-082,d651c3f7a8,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-083,ffd0aac27c,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-084,831c21e779,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-085,5d4e81cec5,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-086,32140d5d93,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-087,36fea9c9cf,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-091,88f9a48ba2,checked-not-r01,R04,R04-oidc-flow-pkce-signin-challenge,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-092,bf90b85d46,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-093,ee6cdebfd8,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-094,6990b98636,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-095,ff5142b08e,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-096,43e80ec808,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-097,458f844a60,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-098,58179930a8,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-099,70882727e4,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
S-100,b0d16ee473,checked-not-r01,R03,R03B-jwt-outcomes-failure-challenge-forbid,"Neighbor/continuation checked during R01 pass; belongs to later OIDC/JWT outcomes pass, not base auth/forwarding R01."
