source_id,image_use_id,boundary_region,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,stage4w2_visual_decision
S-174,IU-174,R05,cc89bc8d71,1326.269,13143.659,693,254,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-181,IU-181,R05,37105501d1,1345.936,13390.325,883,462,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-188,IU-188,R05,a0d3c07634,1347.103,13870.825,814,125,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-192,IU-192,R05,fc6e30d164,1338.686,14021.502,881,482,r05-correction-infinite-query-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows infinite-query continuation; not R09A.
S-189,IU-189,R07,a4fc92617d,8217.64,13886.989,916,275,r07-correction-prefetch-ensure-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck shows prefetch/ensureQueryData continuation; not R09A.
S-195,IU-195,R07,4330f070b7,9348.943,14194.964,788,482,r07-correction-prefetch-ensure-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck shows prefetch/ensureQueryData continuation; not R09A.
S-211,IU-211,R09A,ed216f6b30,9302.852,14990.627,885,97,r09a-cache-remove-reset-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps this in cache/remove/reset group.
S-213,IU-213,R09A,66a439f157,9301.67,15111.051,931,421,r09a-cache-remove-reset-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps this in cache/remove/reset group.
S-223,IU-223,R09A,4f209f3728,13491.324,15650.322,931,482,r09a-cache-remove-reset-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps this in cache/remove/reset group.
S-229,IU-229,R09A,20e12516b1,13497.432,16165.645,892,395,r09a-cache-remove-reset-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps this in cache/remove/reset group.
S-202,IU-202,R09B,c078f2032f,3926.361,14602.921,881,146,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-064: fetchstatus paused | L-062: network modes | L-059: OFFLINE network mode,Visual recheck shows networkMode/offline/offlineFirst group.
S-203,IU-203,R09B,17f9a3bf92,2934.838,14616.237,911,482,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows networkMode/offline/offlineFirst group.
S-205,IU-205,R09B,c6a05bb126,5155.09,14631.429,732,471,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-064: fetchstatus paused | L-068: !!! | L-059: OFFLINE network mode,Visual recheck shows networkMode/offline/offlineFirst group.
S-208,IU-208,R09B,635b0dd4d8,3915.666,14771.908,788,482,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-064: fetchstatus paused | L-062: network modes | L-059: OFFLINE network mode,Visual recheck shows networkMode/offline/offlineFirst group.
S-214,IU-214,R09B,d894c9608c,5170.79,15119.847,594,482,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-068: !!! | L-064: fetchstatus paused | L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST?,Visual recheck shows networkMode/offline/offlineFirst group.
S-217,IU-217,R09B,73d84c25d2,3893.481,15280.479,749,482,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-064: fetchstatus paused | L-062: network modes | L-059: OFFLINE network mode,Visual recheck shows networkMode/offline/offlineFirst group.
S-225,IU-225,R09B,af413353f2,3854.861,15765.492,944,438,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-064: fetchstatus paused | L-062: network modes | L-068: !!!,Visual recheck shows networkMode/offline/offlineFirst group.
S-228,IU-228,R09B,33ec33e3f6,5150.621,16088.743,837,341,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows networkMode/offline/offlineFirst group.
S-230,IU-230,R09B,80e917c63d,3847.79,16219.731,901,280,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows networkMode/offline/offlineFirst group.
S-231,IU-231,R09B,ad15f92387,3094.395,16238.332,689,426,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows networkMode/offline/offlineFirst group.
S-232,IU-232,R09B,921a92e2c6,3852.337,16520.326,770,315,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows networkMode/offline/offlineFirst group.
S-234,IU-234,R09B,8fb60bf0f8,3833.67,16845.635,914,312,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows networkMode/offline/offlineFirst group.
S-235,IU-235,R09B,40b7d5950d,2815.395,16862.802,1007,331,r09b-network-offline-offlinefirst-candidate,candidate-not-final,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Visual recheck shows networkMode/offline/offlineFirst group.
S-196,IU-196,R09C,5e844a74b1,5044.942,14234.133,956,213,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-064: fetchstatus paused | L-059: OFFLINE network mode | L-060: mutations network mode resumepausedmutations,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-199,IU-199,R09C,bf62b2d61c,6369.062,14445.418,913,369,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-063: VALIDATION WITH ZOD | L-060: mutations network mode resumepausedmutations | L-068: !!!,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-201,IU-201,R09C,c9417e839c,7760.062,14565.586,525,230,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-063: VALIDATION WITH ZOD | L-060: mutations network mode resumepausedmutations | L-068: !!!,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-209,IU-209,R09C,1c40ea8745,7739.34,14831.086,830,443,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-063: VALIDATION WITH ZOD | L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST? | L-068: !!!,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-210,IU-210,R09C,dfc5091fca,6344.811,14841.582,918,387,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-068: !!! | L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST? | L-063: VALIDATION WITH ZOD,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-215,IU-215,R09C,810e074c35,6375.811,15253.249,896,137,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-068: !!! | L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST? | L-063: VALIDATION WITH ZOD,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-218,IU-218,R09C,213fe9db03,7747.229,15286.641,672,283,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-063: VALIDATION WITH ZOD | L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST? | L-068: !!!,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-220,IU-220,R09C,819762c974,6367.478,15404.471,926,319,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST? | L-068: !!! | L-063: VALIDATION WITH ZOD,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-222,IU-222,R09C,805253d94b,5147.954,15628.91,917,434,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-068: !!! | L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST? | L-064: fetchstatus paused,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-226,IU-226,R09C,2d9e66f8f9,11484.099,15948.978,942,405,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-227,IU-227,R09C,79a4777b2f,6351.106,15995.099,929,348,r09c-validation-resume-paused-offline-mutations-candidate,candidate-not-final,L-069: SHOULD I USE RESUMEPAUSEDMUT WITH OFFLINEFIRST? | L-068: !!! | L-063: VALIDATION WITH ZOD,Visual recheck keeps or moves this to validation/resumePaused/offline mutation group.
S-224,IU-224,R11,37ac0e6a45,14628.831,15696.379,790,302,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-233,IU-233,R11,7ace83dc39,13494.307,16600.322,798,482,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-236,IU-236,R11,488e3dbdf9,8854.086,16878.508,919,385,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-075: SETQUERYDATA RETURN FULL OBJECT LIKE PUT | L-070: MUTATIONS | L-073: MUTATE VS MUTATEASYNC,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-238,IU-238,R11,5bec075fe3,6916.566,16946.732,730,430,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,"L-071: STRUCTURE, CALLBACKS INVALIDATION IN ONSETTLED | L-076: CALLBACKS AND ARGS | L-072: CANCELQUERIES IN OPTIMISTIC UPDATES PATTERN",Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-239,IU-239,R11,73b5e8fd66,10593.164,17012.916,895,449,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-073: MUTATE VS MUTATEASYNC | L-080: KEEPING MUTATION IN PENDING STATE UNTIL REVALIDATION + REFETCH | L-075: SETQUERYDATA RETURN FULL OBJECT LIKE PUT,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-242,IU-242,R11,f128bccab6,6910.122,17378.398,740,308,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,"L-076: CALLBACKS AND ARGS | L-071: STRUCTURE, CALLBACKS INVALIDATION IN ONSETTLED | L-072: CANCELQUERIES IN OPTIMISTIC UPDATES PATTERN",Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-243,IU-243,R11,7de4e030ee,7933.861,17379.455,826,341,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,"L-076: CALLBACKS AND ARGS | L-075: SETQUERYDATA RETURN FULL OBJECT LIKE PUT | L-071: STRUCTURE, CALLBACKS INVALIDATION IN ONSETTLED",Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-244,IU-244,R11,a7ac382dd0,10585.538,17476.157,898,354,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-073: MUTATE VS MUTATEASYNC | L-080: KEEPING MUTATION IN PENDING STATE UNTIL REVALIDATION + REFETCH | L-077: INVALIDATION ONSETTLED,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-245,IU-245,R11,8641ca8bc2,9089.586,17497.987,994,572,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-075: SETQUERYDATA RETURN FULL OBJECT LIKE PUT | L-077: INVALIDATION ONSETTLED | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-247,IU-247,R11,e7fe1b2b60,10603.075,17839.138,617,191,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-080: KEEPING MUTATION IN PENDING STATE UNTIL REVALIDATION + REFETCH | L-073: MUTATE VS MUTATEASYNC | L-077: INVALIDATION ONSETTLED,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-248,IU-248,R11,7ec1a778b8,10596.148,18036.694,939,347,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-080: KEEPING MUTATION IN PENDING STATE UNTIL REVALIDATION + REFETCH | L-073: MUTATE VS MUTATEASYNC | L-077: INVALIDATION ONSETTLED,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-249,IU-249,R11,69bab5a10b,7938.99,18092.675,737,210,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-076: CALLBACKS AND ARGS | L-077: INVALIDATION ONSETTLED | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-250,IU-250,R11,c11c8e7392,9157.006,18123.072,841,375,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-077: INVALIDATION ONSETTLED | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT | L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ...,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-251,IU-251,R11,850109ec0c,6916.894,18256.203,940,376,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-076: CALLBACKS AND ARGS | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT | L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ...,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-252,IU-252,R11,4b9ba54f93,10581.315,18401.175,942,421,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-080: KEEPING MUTATION IN PENDING STATE UNTIL REVALIDATION + REFETCH | L-077: INVALIDATION ONSETTLED | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-253,IU-253,R11,9373bdbda3,7946.049,18422.67,843,482,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT | L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ... | L-077: INVALIDATION ONSETTLED,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-254,IU-254,R11,37ac0e6a45,6941.227,18650.536,790,302,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-076: CALLBACKS AND ARGS | L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ... | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-255,IU-255,R11,6759acc16a,7936.025,18909.003,1004,336,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ... | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT | L-077: INVALIDATION ONSETTLED,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-256,IU-256,R11,a6d0648cd6,9133.504,18910.2,927,448,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ... | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT | L-077: INVALIDATION ONSETTLED,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-257,IU-257,R11,ae6ed651d2,7945.454,19276.265,928,451,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ... | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT | L-077: INVALIDATION ONSETTLED,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-258,IU-258,R11,db2d4aae55,10596.204,19288.768,930,151,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-080: KEEPING MUTATION IN PENDING STATE UNTIL REVALIDATION + REFETCH | L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ... | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-259,IU-259,R11,e2bb07761c,10602.583,19465.334,772,482,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-080: KEEPING MUTATION IN PENDING STATE UNTIL REVALIDATION + REFETCH | L-079: AND NEED TO REMEMBER THAT YOU ARE MANUALLY SETTING CACHE IN BOTH SUCCESS AND ERROR OUTCOMES SO ITS LOGICALLY CORRECT ... | L-078: SO UPDATING STATE NO MATTER WHAT AND GETTING THE FINAL RESULT AS THE TRUE SERVER STATE NO MATTER WHAT,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-260,IU-260,R11,507dbfa569,7953.608,19741.96,857,463,r11-mutations-callbacks-optimistic-candidate,candidate-not-final,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Visual recheck keeps or moves this to mutation/callback/optimistic group.
S-237,IU-237,R10,55a51e51f4,7986.616,16935.841,659,430,r10-already-processed-overlap,already-processed-do-not-reassign,"L-075: SETQUERYDATA RETURN FULL OBJECT LIKE PUT | L-076: CALLBACKS AND ARGS | L-071: STRUCTURE, CALLBACKS INVALIDATION IN ONSETTLED",Already processed/recorded in R10; do not reassign.
S-240,IU-240,R10,d5efd6d469,13496.409,17145.322,887,482,r10-already-processed-overlap,already-processed-do-not-reassign,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,Already processed/recorded in R10; do not reassign.
S-241,IU-241,R10,8fdcc18b67,2820.698,17218.302,897,260,r10-already-processed-overlap,already-processed-do-not-reassign,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES,Already processed/recorded in R10; do not reassign.
