source_id,group_key,batch_from_queue,expected_rebuild,expected_status,expected_region,ledger_status,ledger_region,ledger_decision_is_final,ledger_must_recheck,bad_placeholder_signal_found,closure_ok
S-137,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-148,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-156,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-166,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-174,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-181,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-188,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-192,R05-v003-correction,batch-a,Rebuild A,processed-in-r05-v003-correction,R05,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-189,R07-v005-correction,correction-mini-or-batch-a,Rebuild B,processed-in-r07-v005-correction,R07,processed-in-r07-v005-correction,R07,yes-for-r07-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-195,R07-v005-correction,correction-mini-or-batch-a,Rebuild B,processed-in-r07-v005-correction,R07,processed-in-r07-v005-correction,R07,yes-for-r07-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-211,R09A-cache-remove-reset,batch-a,Rebuild A,processed-in-r09a-v001,R09A,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-213,R09A-cache-remove-reset,batch-a,Rebuild A,processed-in-r09a-v001,R09A,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-223,R09A-cache-remove-reset,batch-a,Rebuild A,processed-in-r09a-v001,R09A,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-229,R09A-cache-remove-reset,batch-a,Rebuild A,processed-in-r09a-v001,R09A,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-202,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-203,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-205,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-208,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-214,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-217,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-225,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-228,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-230,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-231,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-232,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-234,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-235,R09B-network-offline,batch-a,Rebuild A,processed-in-r09b-v001,R09B,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,no,yes
S-196,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-199,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-201,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-209,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-210,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-215,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-218,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-220,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-222,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-226,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-227,R09C-validation-resumePaused,batch-b,Rebuild B,processed-in-r09c-v001,R09C,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-224,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-233,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-236,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-238,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-239,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-242,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-243,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-244,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-245,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-247,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-248,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-249,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-250,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-251,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-252,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-253,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-254,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-255,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-256,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-257,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-258,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-259,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
S-260,R11-mutations,batch-b,Rebuild B,processed-in-r11-v001,R11,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,no,yes
