source_id,image_use_id,fileId_short,image_file,status,theme,text,code,notes
S-248,IU-248,7ec1a778b8,S-248__7ec1a778b8.png,verified-visible-from-contact-sheet,when to use mutateAsync,"Example. Use `mutateAsync` when:

- you want to `await` the result
- you need sequential async logic
- you want `try/catch/finally` style code","const saveTodo = () => {
  return mutation.mutateAsync({ id, title: 'New' })
}",Readable.
S-249,IU-249,69bab5a10b,S-249__69bab5a10b.png,verified-visible-from-contact-sheet,mutation lifecycle mental model,"9. Best mental model

- `onMutate` = prepare optimistic state before server call
- `mutationFn` = do the actual write
- `onSuccess` = handle confirmed success
- `onError` = rollback failure
- `onSettled` = always-run final synchronization/cleanup",,Readable.
S-250,IU-250,c11c8e7392,S-250__c11c8e7392.png,verified-visible-from-contact-sheet,manual cache updates get hard,"21.3 When manual updates get hard

Manual updates become painful when the same entity appears in:

- sorted lists
- filtered lists
- detail page
- summary cards
- dashboard data

If an update changes sort order or filter membership, you may need to update many caches.

That is a sign to prefer invalidation.",,Readable.
S-251,IU-251,850109ec0c,S-251__850109ec0c.png,verified-visible-from-contact-sheet,query callbacks removed but mutation callbacks remain,"In v5, `onSuccess`, `onError`, and `onSettled` were removed from `useQuery`, but still exist for mutations, not queries.

So for optimistic updates, you usually do not “handle cancellation in `useQuery` somehow,” because there is no such callback in v5. Instead, you handle it by:

- canceling the relevant queries before your optimistic write,
- optionally marking that cancellation silent,
- snapshotting previous cache data,
- writing optimistic data,
- rolling back in the mutation `onError`,
- invalidating/refetching in `onSettled`.",,Readable.
S-252,IU-252,4b9ba54f93,S-252__4b9ba54f93.png,verified-visible-from-contact-sheet,mutate vs mutateAsync return behavior,Example. That's the clearest difference: `mutate` = fire and let callbacks handle lifecycle; `mutateAsync` = await the mutation like a normal Promise.,"const savedTodo = await mutation.mutateAsync({
  id,
  title: 'New'
})",Readable.
S-253,IU-253,9373bdbda3,S-253__9373bdbda3.png,verified-visible-from-contact-sheet,onMutate return value is passed to later callbacks,"4. What do we return from `onMutate`, and why?

You return rollback or context data that later callbacks may need.

In v5 docs, the value returned from `onMutate` is passed to `onError` and `onSettled` as the `onMutateResult` argument.

Typical returned values:

- previous cached data
- temporary optimistic IDs
- metadata needed for rollback
- anything you want later callbacks to know",,Readable.
S-254,IU-254,37ac0e6a45,S-254__37ac0e6a45.png,verified-visible-from-contact-sheet,duplicate cancellation guidance for optimistic updates,"Do I need to do anything special in `useQuery` for cancellation?

Usually, no.

For optimistic updates, the recommended handling is:

- call `cancelQueries` in `onMutate`
- prefer `{ silent: true }`
- rollback in the mutation's `onError`
- refetch/invalidate in `onSettled`",,Duplicate of S-224; kept as duplicate-source evidence rather than dropped.
S-255,IU-255,6759acc16a,S-255__6759acc16a.png,verified-visible-from-contact-sheet,callback arguments variables and context,"5. Callback arguments, one by one

`onMutate`

Signature in v5 shows that `onMutate` receives the same `variables` the mutation function received, plus context.","onMutate: (
  variables,
  context,
) => Promise<TOnMutateResult> | void | TOnMutateResult",Readable; lower edge cropped after signature.
S-256,IU-256,a6d0648cd6,S-256__a6d0648cd6.png,verified-visible-from-contact-sheet,why invalidation in onSettled,"Why do we invalidate in `onSettled`?

`onSettled` runs whether the mutation succeeds or fails. TanStack defines it as the callback that fires when the mutation either succeeds or encounters an error.

You invalidate there because the optimistic cache is only a temporary guess. After the mutation is done, you want the real server state to become the source of truth again. TanStack's optimistic update docs show invalidation in `onSettled`, and even note that you should return that Promise if you want the mutation to stay pending until the refetch completes.

So:

- if mutation succeeds, invalidation refetches and confirms the final server state
- if mutation fails, `onError` rolls back, and invalidation can still refetch to the true server state if needed",,Readable.
S-257,IU-257,ae6ed651d2,S-257__ae6ed651d2.png,verified-visible-from-contact-sheet,variables argument is the value passed to mutate,"Arguments

`variables`

This is the value you passed to `mutate(...)`.

Example:

Then inside `onMutate`, `variables` is:","mutation.mutate({
  id: 5,
  title: 'New title',
})

// variables:
{
  id: 5,
  title: 'New title',
}",Readable.
S-258,IU-258,db2d4aae55,S-258__db2d4aae55.png,verified-visible-from-contact-sheet,return invalidateQueries promise to keep mutation pending,"If your `onSettled` returns the Promise from `queryClient.invalidateQueries(...)`, React Query will keep the mutation itself in the pending state until that invalidation-triggered refetch finishes.

The official optimistic updates guide says to return that Promise “so that the mutation stays in `pending` state until the refetch is finished.”",,Readable.
S-259,IU-259,e2bb07761c,S-259__e2bb07761c.png,verified-visible-from-contact-sheet,without returning promise mutation stops pending before refetch ends,"Without returning the Promise:

What happens:

1. mutation request finishes
2. `onSettled` runs
3. invalidation/refetch is started
4. but `onSettled` itself finishes immediately
5. mutation is no longer pending, even though the follow-up refetch may still be running

So your mutation state may become:

- `isPending = false`
- while the query is still refetching in background","onSettled: () => {
  queryClient.invalidateQueries({ queryKey: ['todos'] })
}",Readable.
S-260,IU-260,507dbfa569,S-260__507dbfa569.png,verified-visible-from-contact-sheet,onMutate context includes client QueryClient,"`context`

This is a mutation function context object. In the optimistic update examples/docs, it includes `client`, which is the `QueryClient` you use for things like:

- `cancelQueries`
- `getQueryData`
- `setQueryData`
- `invalidateQueries`

So in practice:","onMutate: async (variables, context) => {
  const client = context.client
}",Readable.
