source_id,image_use_id,fileId,fileId_short,x,y,x_center,y_center,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-012,IU-012,6114875a76f18137f4125d29b01d54e52acc2a1d,6114875a76,10050.812,2521.481,10504.312,2758.981,907,475,L-008: Isloading and when there is no data and no fetching | L-004: statuses | L-005: examples,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-013,IU-013,768ded59fc596722cf1ec90a353854338e3bac61,768ded59fc,11169.08,2528.826,11658.58,2741.326,979,425,L-005: examples | L-008: Isloading and when there is no data and no fetching | L-007: enabled,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Moved from R02B candidate to R02A v002; status/isPending/isFetching mental model.,Moved from R02B candidate to R02A v002; status/isPending/isFetching mental model.
S-014,IU-014,95f917ba2d6b81519c207673b01b4a0262a4b945,95f917ba2d,3651.116,2706.207,3964.116,2905.707,626,399,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: left column continuation / If-Match concurrency,Included in R01 v002 after visual/semantic boundary review: left column continuation / If-Match concurrency
S-015,IU-015,ad441bf8f82fd6998e264e868f3799c832ac70f5,ad441bf8f8,4898.669,2711.181,5312.169,2952.181,827,482,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / practice and mental model,Included in R01 v002 after visual/semantic boundary review: right column continuation / practice and mental model
S-016,IU-016,114f1fa612e74ac30ea89289127e19ce8dbe8a31,114f1fa612,8879.686,2795.2,9346.686,2977.2,934,364,L-006: fund | L-011: throwing/swallowing errors | L-004: statuses,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-017,IU-017,d913b802428182c63530ca550d438503a7fd7239,d913b80242,8055.686,2935.144,8398.686,3123.644,686,377,L-006: fund | L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-018,IU-018,a3d61eaf9c73c53c24b686ed7b221f3611981ce8,a3d61eaf9c,10076.484,3050.051,10351.484,3226.051,550,352,L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-005: examples,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-019,IU-019,ac0d680857d39686d9a980ad6791213700819cca,ac0d680857,4917.08,3195.337,5288.08,3416.337,742,442,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / backend pattern A,Included in R01 v002 after visual/semantic boundary review: right column continuation / backend pattern A
S-020,IU-020,bbc587153e6f7725d99204f6d5c0f2059d26975e,bbc587153e,8948.464,3200.089,9224.464,3322.089,552,244,L-006: fund | L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-021,IU-021,61ff65ee41ac378e3f012492dec2a641fdee5782,61ff65ee41,8056.686,3344.478,8370.686,3420.978,628,153,L-006: fund | L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-022,IU-022,2899e0756c6801960c531f981604cc4de779560f,2899e0756c,11398.414,3365.882,11742.914,3450.382,689,169,L-008: Isloading and when there is no data and no fetching | L-005: examples | L-009: conditional queries,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-023,IU-023,03697f7b6d9df924a993630f8885a198d0c6f59f,03697f7b6d,10037.796,3421.303,10497.296,3645.803,919,449,L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-005: examples,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-024,IU-024,fe5b1db522c85def761855949bd1f24652c05715,fe5b1db522,8907.741,3492.978,9288.241,3724.978,761,464,L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource | L-006: fund,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-025,IU-025,c8b43511a05f9342905b62748c4c8d3427171e11,c8b43511a0,8021.257,3535.451,8388.757,3776.451,735,482,L-015: so when returning usequey we get like a query but dor our specific resource | L-006: fund | L-012: keys,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-026,IU-026,29e9da2f37a8c47583c5245d57de2548a2aea548,29e9da2f37,11388.103,3578.114,11820.603,3819.114,865,482,L-008: Isloading and when there is no data and no fetching | L-013: dont try to interpret disabled quey state in ui | L-009: conditional queries,processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
S-027,IU-027,048f7ed433b900a4ac331c47346eb91c20c96440,048f7ed433,12946.685,3647.79,13407.685,3861.29,922,427,"L-009: conditional queries | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-007: enabled",processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
S-028,IU-028,46476e445e61e688a673517df6cbf41eec35ed1d,46476e445e,4942.747,3652.837,5186.747,3840.337,488,375,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / pattern A implications,Included in R01 v002 after visual/semantic boundary review: right column continuation / pattern A implications
S-029,IU-029,905bfe2c8bb8ac58950d96f151e70c4b9856aed0,905bfe2c8b,1993.91,3861.354,2384.91,4039.854,782,357,L-010: notifyonchangeprops | L-014: notifyonchangeproops vs select vs structural sharing | L-018: when notifyonchanges is useful,r03-notify-select-structural-sharing-candidate,R03,no-r03-r04-boundary-review-only,yes-for-r03,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.
S-030,IU-030,39e62ae511efa47ffbce53be931d4fde2f068004,39e62ae511,10071.709,3881.176,10275.709,3981.676,408,201,L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-015: so when returning usequey we get like a query but dor our specific resource,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-031,IU-031,859a4e5afc980de786193d1c1351494af0825423,859a4e5afc,4936.08,4030.504,5264.08,4243.004,656,425,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / pattern B short-lived freshness,Included in R01 v002 after visual/semantic boundary review: right column continuation / pattern B short-lived freshness
S-032,IU-032,d812eda41421b4d9b1bfda1801ceb57099a4f4c8,d812eda414,11404.581,4076.771,11869.581,4219.271,930,285,"L-013: dont try to interpret disabled quey state in ui | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-008: Isloading and when there is no data and no fetching",processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
S-033,IU-033,796e9f55f754465961324204f3c12d99842119d6,796e9f55f7,12937.352,4102.105,13394.352,4276.105,914,348,"L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui | L-009: conditional queries",processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
S-034,IU-034,14368dd8ca8b56fd8cea3497173054f007ab31ab,14368dd8ca,8857.464,4118.385,9319.464,4349.385,924,462,L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors | L-017: manual refetch and using state to make new queries on that state change for a new key,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-035,IU-035,b7b12231ee3d7d3c79bca2a907a75547993feca2,b7b12231ee,1992.355,4249.743,2409.355,4398.743,834,298,L-014: notifyonchangeproops vs select vs structural sharing | L-010: notifyonchangeprops | L-018: when notifyonchanges is useful,r03-notify-select-structural-sharing-candidate,R03,no-r03-r04-boundary-review-only,yes-for-r03,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.
S-036,IU-036,4d72a0bb65754bd8c3fe8aae4e05adfb3a4a307c,4d72a0bb65,9977.504,4348.553,10410.004,4589.553,865,482,L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource | L-008: Isloading and when there is no data and no fetching,processed-in-r02a-v002,R02A,yes-for-r02a-v002-boundary,no-for-r02a-v002,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.,Included in R02A v002 after local boundary correction; core useQuery state/status/error/cache.
S-037,IU-037,202c0dd89543f810b7b2e65f41980ace2985e720,202c0dd895,11399.914,4385.771,11862.914,4539.271,926,307,"L-013: dont try to interpret disabled quey state in ui | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-008: Isloading and when there is no data and no fetching",processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
S-038,IU-038,c764d1651ab32f148001a51ae73704d691d3509f,c764d1651a,4940.413,4442.171,5277.413,4653.671,674,423,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / pattern C static assets,Included in R01 v002 after visual/semantic boundary review: right column continuation / pattern C static assets
S-039,IU-039,913cfdb055106eea2b43835c6e33946fbeb6e2ff,913cfdb055,7421.21,4514.011,7865.21,4746.011,888,464,L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource | L-017: manual refetch and using state to make new queries on that state change for a new key,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-040,IU-040,5b76d4c5fc5238cd557c5ebc2dde110aae1d4a38,5b76d4c5fc,8834.13,4619.552,9306.13,4786.052,944,333,L-015: so when returning usequey we get like a query but dor our specific resource | L-017: manual refetch and using state to make new queries on that state change for a new key | L-011: throwing/swallowing errors,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-041,IU-041,ca846784a5dd59a9cc6945601b1e1a05739d87e1,ca846784a5,1955.011,4650.92,2380.511,4891.92,851,482,L-014: notifyonchangeproops vs select vs structural sharing | L-018: when notifyonchanges is useful | L-010: notifyonchangeprops,r03-notify-select-structural-sharing-candidate,R03,no-r03-r04-boundary-review-only,yes-for-r03,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.
S-042,IU-042,0035fc7737b6a1f909a1e426930bf58e704295ee,0035fc7737,13046.472,4768.372,13287.972,5009.372,483,482,"L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui | L-020: RETRY",processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
S-043,IU-043,7c40b916d5905718532b1c03918af4fc115eebd8,7c40b916d5,9963.782,4832.876,10391.782,4962.376,856,259,L-011: throwing/swallowing errors | L-017: manual refetch and using state to make new queries on that state change for a new key | L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-044,IU-044,b00992d67d9eba4e10ac26a8a591f2cf1fac2b47,b00992d67d,4947.765,4877.218,5318.265,5104.718,741,455,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / React Query settings frequently changing data,Included in R01 v002 after visual/semantic boundary review: right column continuation / React Query settings frequently changing data
S-045,IU-045,7aca1a90bfb51a2b13b2eb55af68f7b0dde31d8b,7aca1a90bf,7426.21,4993.678,7885.21,5152.678,918,318,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-046,IU-046,cfea23af3aa9cd8608b379f98e24fb06d4d7ba56,cfea23af3a,1940.799,5166.465,2373.799,5380.965,866,429,L-018: when notifyonchanges is useful | L-014: notifyonchangeproops vs select vs structural sharing | L-019: why not qc.prefetchquery ?,r03-notify-select-structural-sharing-candidate,R03,no-r03-r04-boundary-review-only,yes-for-r03,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.
S-047,IU-047,441233c7df30c0f0165937076d6d247821ce1f7c,441233c7df,13047.488,5284.372,13423.988,5525.372,753,482,"L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui",processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
S-048,IU-048,bafb8949f195de4ceede9746dff39289ebdf5e21,bafb8949f1,7436.655,5316.011,7889.655,5439.011,906,246,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-049,IU-049,3442b4b77e311cf7c8b193aa2aff0feaf139c767,3442b4b77e,4953.598,5353.218,5311.598,5536.718,716,367,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / rarely changing data,Included in R01 v002 after visual/semantic boundary review: right column continuation / rarely changing data
S-050,IU-050,33f7c75961b8d49ed8731af6eacb3ae8574c54ad,33f7c75961,8812.004,5388.344,9269.504,5575.844,915,375,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-051,IU-051,0e0d2b04876a1b4f102bc2526ed51d0e8c8271a2,0e0d2b0487,10543.588,5450.059,11006.088,5691.059,925,482,L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-011: throwing/swallowing errors | L-020: RETRY,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-052,IU-052,26863f1800602747d8fa1b4e059d78541b14bd79,26863f1800,7395.821,5605.622,7879.321,5749.122,967,287,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-053,IU-053,a1969014c757d190589845c831114e0cce0241ac,a1969014c7,4951.093,5727.562,5417.093,5968.562,932,482,L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,processed-in-r01-v002,R01,yes-for-r01-v002-boundary,no-for-r01-v002,Included in R01 v002 after visual/semantic boundary review: right column continuation / server-push realtime apps,Included in R01 v002 after visual/semantic boundary review: right column continuation / server-push realtime apps
S-054,IU-054,2cdf7b8634a1d9ee08af6df6b05eb95529fa68fb,2cdf7b8634,8820.337,5754.344,9287.837,5920.844,935,333,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors,processed-in-r02c-v001,R02C,yes-for-r02c-v001-boundary,no-for-r02c-v001,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.,Included in R02C v001 after local boundary review: query keys/manual refetch/declarative dependencies.
S-055,IU-055,224e1a8e1a07ae087a86f806b532d5de85aeb37f,224e1a8e1a,1961.91,5762.465,2374.91,5930.965,826,337,L-018: when notifyonchanges is useful | L-019: why not qc.prefetchquery ? | L-014: notifyonchangeproops vs select vs structural sharing,r03-notify-select-structural-sharing-candidate,R03,no-r03-r04-boundary-review-only,yes-for-r03,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.,R03 boundary candidate: notifyOnChangeProps/select/structural sharing.
S-056,IU-056,7e756912a079ab11573272fb538699f5e6961352,7e756912a0,13075.066,5784.695,13456.066,5980.195,762,391,"L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui",processed-in-r02b-v001,R02B,yes-for-r02b-v001-boundary,no-for-r02b-v001,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.,Included in R02B v001 after local boundary review: enabled/disabled/conditional UI.
