source_id,from_stage6a,final_decision,reason,ledger_region,ledger_status,correction_ok
S-509,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-510,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-511,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-514,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-515,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-517,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-518,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-519,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-520,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-521,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-522,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-523,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-525,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-526,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-527,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-529,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-530,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-532,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-534,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-536,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
S-537,R23,R24,"Final cheat-sheet summary cards: core ideas, setup, query rules/states, invalidation, infinite queries, mutations, networkMode, persistence, testing basics, and good practical patterns.",R24,processed-in-r24-v001-cheat-sheet-summary,yes
