source_id,image_use_id,region_id,region_name,fileId,fileId_short,x,y,x_pct,y_pct,width,height,rotation,nearest_label_ids,nearest_labels,transcription_status,opened_read,confidence,suggested_region_file
S-011,IU-011,R02,"Query basics: statuses, keys, enabled, manual refetch",1d512b6a911de2d60b2f44dc7d7a53b85fe11fec,1d512b6a91,8847.852948646734,2316.0433676656103,45.08,4.86,824.0,482.0,0.0,"L-006,L-004,L-011",L-006: fund | L-004: statuses | L-011: throwing/swallowing errors,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-012,IU-012,R02,"Query basics: statuses, keys, enabled, manual refetch",6114875a76f18137f4125d29b01d54e52acc2a1d,6114875a76,10050.811782091174,2521.4806934996377,51.21,5.29,907.0,475.0,0.0,"L-008,L-004,L-005",L-008: Isloading and when there is no data and no fetching | L-004: statuses | L-005: examples,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-013,IU-013,R02,"Query basics: statuses, keys, enabled, manual refetch",768ded59fc596722cf1ec90a353854338e3bac61,768ded59fc,11169.080227726396,2528.8261040872603,56.91,5.31,979.0,425.0,0.0,"L-005,L-008,L-007",L-005: examples | L-008: Isloading and when there is no data and no fetching | L-007: enabled,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-014,IU-014,UNASSIGNED,Unassigned / outside current Stage 1 regions,95f917ba2d6b81519c207673b01b4a0262a4b945,95f917ba2d,3651.116104223912,2706.207395432837,18.6,5.68,626.0,399.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-015,IU-015,UNASSIGNED,Unassigned / outside current Stage 1 regions,ad441bf8f82fd6998e264e868f3799c832ac70f5,ad441bf8f8,4898.669128412487,2711.181126185824,24.96,5.69,827.0,482.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-016,IU-016,R02,"Query basics: statuses, keys, enabled, manual refetch",114f1fa612e74ac30ea89289127e19ce8dbe8a31,114f1fa612,8879.68570226212,2795.1996176656103,45.25,5.86,934.0,364.0,0.0,"L-006,L-011,L-004",L-006: fund | L-011: throwing/swallowing errors | L-004: statuses,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-017,IU-017,R02,"Query basics: statuses, keys, enabled, manual refetch",d913b802428182c63530ca550d438503a7fd7239,d913b80242,8055.685783642328,2935.144218088797,41.05,6.16,686.0,377.0,0.0,"L-006,L-012,L-015",L-006: fund | L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-018,IU-018,R02,"Query basics: statuses, keys, enabled, manual refetch",a3d61eaf9c73c53c24b686ed7b221f3611981ce8,a3d61eaf9c,10076.483621024943,3050.0513851574287,51.34,6.4,550.0,352.0,0.0,"L-011,L-008,L-005",L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-005: examples,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-019,IU-019,UNASSIGNED,Unassigned / outside current Stage 1 regions,ac0d680857d39686d9a980ad6791213700819cca,ac0d680857,4917.080086838826,3195.337376185824,25.05,6.7,742.0,442.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-020,IU-020,R02,"Query basics: statuses, keys, enabled, manual refetch",bbc587153e6f7725d99204f6d5c0f2059d26975e,bbc587153e,8948.46353429337,3200.0885336812357,45.6,6.71,552.0,244.0,0.0,"L-006,L-011,L-015",L-006: fund | L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-021,IU-021,R02,"Query basics: statuses, keys, enabled, manual refetch",61ff65ee41ac378e3f012492dec2a641fdee5782,61ff65ee41,8056.68590571264,3344.4775310770783,41.05,7.02,628.0,153.0,0.0,"L-006,L-012,L-015",L-006: fund | L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-022,IU-022,R02,"Query basics: statuses, keys, enabled, manual refetch",2899e0756c6801960c531f981604cc4de779560f,2899e0756c,11398.413959136404,3365.881524009136,58.08,7.06,689.0,169.0,0.0,"L-008,L-005,L-009",L-008: Isloading and when there is no data and no fetching | L-005: examples | L-009: conditional queries,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-023,IU-023,R02,"Query basics: statuses, keys, enabled, manual refetch",03697f7b6d9df924a993630f8885a198d0c6f59f,03697f7b6d,10037.79606503201,3421.303012949568,51.15,7.18,919.0,449.0,0.0,"L-011,L-008,L-005",L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-005: examples,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-024,IU-024,R02,"Query basics: statuses, keys, enabled, manual refetch",fe5b1db522c85def761855949bd1f24652c05715,fe5b1db522,8907.74106114884,3492.9775310770783,45.39,7.33,761.0,464.0,0.0,"L-011,L-015,L-006",L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource | L-006: fund,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-025,IU-025,R02,"Query basics: statuses, keys, enabled, manual refetch",c8b43511a05f9342905b62748c4c8d3427171e11,c8b43511a0,8021.256744481649,3535.450740034328,40.87,7.42,735.0,482.0,0.0,"L-015,L-006,L-012",L-015: so when returning usequey we get like a query but dor our specific resource | L-006: fund | L-012: keys,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-026,IU-026,R02,"Query basics: statuses, keys, enabled, manual refetch",29e9da2f37a8c47583c5245d57de2548a2aea548,29e9da2f37,11388.102514142714,3578.11433244012,58.03,7.51,865.0,482.0,0.0,"L-008,L-013,L-009",L-008: Isloading and when there is no data and no fetching | L-013: dont try to interpret disabled quey state in ui | L-009: conditional queries,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-027,IU-027,R02,"Query basics: statuses, keys, enabled, manual refetch",048f7ed433b900a4ac331c47346eb91c20c96440,048f7ed433,12946.685421769023,3647.789843865961,65.97,7.65,922.0,427.0,0.0,"L-009,L-016,L-007","L-009: conditional queries | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-007: enabled",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-028,IU-028,UNASSIGNED,Unassigned / outside current Stage 1 regions,46476e445e61e688a673517df6cbf41eec35ed1d,46476e445e,4942.746590745076,3652.837376185824,25.19,7.66,488.0,375.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-029,IU-029,R03,notifyOnChangeProps / select side notes,905bfe2c8bb8ac58950d96f151e70c4b9856aed0,905bfe2c8b,1993.909982195053,3861.354087906701,10.16,8.1,782.0,357.0,0.0,"L-010,L-014,L-018",L-010: notifyonchangeprops | L-014: notifyonchangeproops vs select vs structural sharing | L-018: when notifyonchanges is useful,not-transcribed,no,high,regions/R03-notifyonchangeprops-select-side-notes.md
S-030,IU-030,R02,"Query basics: statuses, keys, enabled, manual refetch",39e62ae511efa47ffbce53be931d4fde2f068004,39e62ae511,10071.708671407569,3881.1761063275408,51.32,8.14,408.0,201.0,0.0,"L-011,L-008,L-015",L-011: throwing/swallowing errors | L-008: Isloading and when there is no data and no fetching | L-015: so when returning usequey we get like a query but dor our specific resource,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-031,IU-031,UNASSIGNED,Unassigned / outside current Stage 1 regions,859a4e5afc980de786193d1c1351494af0825423,859a4e5afc,4936.079842698201,4030.5040021623854,25.15,8.46,656.0,425.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-032,IU-032,R02,"Query basics: statuses, keys, enabled, manual refetch",d812eda41421b4d9b1bfda1801ceb57099a4f4c8,d812eda414,11404.580829253591,4076.770684165385,58.11,8.55,930.0,285.0,0.0,"L-013,L-016,L-008","L-013: dont try to interpret disabled quey state in ui | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-008: Isloading and when there is no data and no fetching",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-033,IU-033,R02,"Query basics: statuses, keys, enabled, manual refetch",796e9f55f754465961324204f3c12d99842119d6,796e9f55f7,12937.352169815898,4102.104737800422,65.92,8.61,914.0,348.0,0.0,"L-016,L-013,L-009","L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui | L-009: conditional queries",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-034,IU-034,R02,"Query basics: statuses, keys, enabled, manual refetch",14368dd8ca8b56fd8cea3497173054f007ab31ab,14368dd8ca,8857.46353768421,4118.384878014462,45.13,8.64,924.0,462.0,0.0,"L-015,L-011,L-017",L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors | L-017: manual refetch and using state to make new queries on that state change for a new key,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-035,IU-035,R03,notifyOnChangeProps / select side notes,b7b12231ee3d7d3c79bca2a907a75547993feca2,b7b12231ee,1992.354562273178,4249.742993749809,10.15,8.92,834.0,298.0,0.0,"L-014,L-010,L-018",L-014: notifyonchangeproops vs select vs structural sharing | L-010: notifyonchangeprops | L-018: when notifyonchanges is useful,not-transcribed,no,high,regions/R03-notifyonchangeprops-select-side-notes.md
S-036,IU-036,R02,"Query basics: statuses, keys, enabled, manual refetch",4d72a0bb65754bd8c3fe8aae4e05adfb3a4a307c,4d72a0bb65,9977.503734258296,4348.553418143318,50.84,9.12,865.0,482.0,0.0,"L-011,L-015,L-008",L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource | L-008: Isloading and when there is no data and no fetching,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-037,IU-037,R02,"Query basics: statuses, keys, enabled, manual refetch",202c0dd89543f810b7b2e65f41980ace2985e720,202c0dd895,11399.913959136404,4385.77058244012,58.09,9.2,926.0,307.0,0.0,"L-013,L-016,L-008","L-013: dont try to interpret disabled quey state in ui | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-008: Isloading and when there is no data and no fetching",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-038,IU-038,UNASSIGNED,Unassigned / outside current Stage 1 regions,c764d1651ab32f148001a51ae73704d691d3509f,c764d1651a,4940.413338791951,4442.170750209261,25.17,9.32,674.0,423.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-039,IU-039,R02,"Query basics: statuses, keys, enabled, manual refetch",913cfdb055106eea2b43835c6e33946fbeb6e2ff,913cfdb055,7421.210287242027,4514.011316964476,37.81,9.47,888.0,464.0,0.0,"L-012,L-015,L-017",L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource | L-017: manual refetch and using state to make new queries on that state change for a new key,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-040,IU-040,R02,"Query basics: statuses, keys, enabled, manual refetch",5b76d4c5fc5238cd557c5ebc2dde110aae1d4a38,5b76d4c5fc,8834.130102625617,4619.551595543759,45.01,9.69,944.0,333.0,0.0,"L-015,L-017,L-011",L-015: so when returning usequey we get like a query but dor our specific resource | L-017: manual refetch and using state to make new queries on that state change for a new key | L-011: throwing/swallowing errors,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-041,IU-041,R03,notifyOnChangeProps / select side notes,ca846784a5dd59a9cc6945601b1e1a05739d87e1,ca846784a5,1955.0112866602467,4650.9201279457775,9.96,9.76,851.0,482.0,0.0,"L-014,L-018,L-010",L-014: notifyonchangeproops vs select vs structural sharing | L-018: when notifyonchanges is useful | L-010: notifyonchangeprops,not-transcribed,no,high,regions/R03-notifyonchangeprops-select-side-notes.md
S-042,IU-042,R02,"Query basics: statuses, keys, enabled, manual refetch",0035fc7737b6a1f909a1e426930bf58e704295ee,0035fc7737,13046.472430753296,4768.3716549534365,66.48,10.0,483.0,482.0,0.0,"L-016,L-013,L-020","L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui | L-020: RETRY",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-043,IU-043,R02,"Query basics: statuses, keys, enabled, manual refetch",7c40b916d5905718532b1c03918af4fc115eebd8,7c40b916d5,9963.78158066418,4832.876324637458,50.77,10.14,856.0,259.0,0.0,"L-011,L-017,L-021",L-011: throwing/swallowing errors | L-017: manual refetch and using state to make new queries on that state change for a new key | L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-044,IU-044,UNASSIGNED,Unassigned / outside current Stage 1 regions,b00992d67d9eba4e10ac26a8a591f2cf1fac2b47,b00992d67d,4947.764880946899,4877.218348911832,25.21,10.23,741.0,455.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-045,IU-045,R02,"Query basics: statuses, keys, enabled, manual refetch",7aca1a90bfb51a2b13b2eb55af68f7b0dde31d8b,7aca1a90bf,7426.210287242027,4993.677958199827,37.84,10.48,918.0,318.0,0.0,"L-017,L-015,L-012",L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-046,IU-046,R03,notifyOnChangeProps / select side notes,cfea23af3aa9cd8608b379f98e24fb06d4d7ba56,cfea23af3a,1940.7990406260435,5166.465283788872,9.89,10.84,866.0,429.0,0.0,"L-018,L-014,L-019",L-018: when notifyonchanges is useful | L-014: notifyonchangeproops vs select vs structural sharing | L-019: why not qc.prefetchquery ?,not-transcribed,no,high,regions/R03-notifyonchangeprops-select-side-notes.md
S-047,IU-047,R02,"Query basics: statuses, keys, enabled, manual refetch",441233c7df30c0f0165937076d6d247821ce1f7c,441233c7df,13047.48846304014,5284.371685471015,66.48,11.09,753.0,482.0,0.0,"L-020,L-016,L-013","L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-048,IU-048,R02,"Query basics: statuses, keys, enabled, manual refetch",bafb8949f195de4ceede9746dff39289ebdf5e21,bafb8949f1,7436.654546158972,5316.011266101777,37.89,11.15,906.0,246.0,0.0,"L-017,L-015,L-012",L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-049,IU-049,UNASSIGNED,Unassigned / outside current Stage 1 regions,3442b4b77e311cf7c8b193aa2aff0feaf139c767,3442b4b77e,4953.598377040649,5353.218348911832,25.24,11.23,716.0,367.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-050,IU-050,R02,"Query basics: statuses, keys, enabled, manual refetch",33f7c75961b8d49ed8731af6eacb3ae8574c54ad,33f7c75961,8812.004010394157,5388.344425893047,44.9,11.3,915.0,375.0,0.0,"L-017,L-015,L-011",L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-051,IU-051,R02,"Query basics: statuses, keys, enabled, manual refetch",0e0d2b04876a1b4f102bc2526ed51d0e8c8271a2,0e0d2b0487,10543.587981174029,5450.058825442546,53.72,11.43,925.0,482.0,0.0,"L-021,L-011,L-020",L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-011: throwing/swallowing errors | L-020: RETRY,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-052,IU-052,R02,"Query basics: statuses, keys, enabled, manual refetch",26863f1800602747d8fa1b4e059d78541b14bd79,26863f1800,7395.821188120934,5605.622456897749,37.68,11.76,967.0,287.0,0.0,"L-017,L-015,L-012",L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-053,IU-053,UNASSIGNED,Unassigned / outside current Stage 1 regions,a1969014c757d190589845c831114e0cce0241ac,a1969014c7,4951.092922790842,5727.562098911832,25.23,12.02,932.0,482.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-054,IU-054,R02,"Query basics: statuses, keys, enabled, manual refetch",2cdf7b8634a1d9ee08af6df6b05eb95529fa68fb,2cdf7b8634,8820.337445452751,5754.344425893047,44.94,12.07,935.0,333.0,0.0,"L-017,L-015,L-011",L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-055,IU-055,R03,notifyOnChangeProps / select side notes,224e1a8e1a07ae087a86f806b532d5de85aeb37f,224e1a8e1a,1961.9101856455743,5762.465283788872,10.0,12.09,826.0,337.0,0.0,"L-018,L-019,L-014",L-018: when notifyonchanges is useful | L-019: why not qc.prefetchquery ? | L-014: notifyonchangeproops vs select vs structural sharing,not-transcribed,no,high,regions/R03-notifyonchangeprops-select-side-notes.md
S-056,IU-056,R02,"Query basics: statuses, keys, enabled, manual refetch",7e756912a079ab11573272fb538699f5e6961352,7e756912a0,13075.066350898487,5784.694561447577,66.62,12.14,762.0,391.0,0.0,"L-020,L-016,L-013","L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-057,IU-057,R02,"Query basics: statuses, keys, enabled, manual refetch",2fc52e535e118a49bc141177d4ecc9f0c525f989,2fc52e535e,10547.74441528007,5944.2705970897005,53.74,12.47,899.0,365.0,0.0,"L-021,L-020,L-011",L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-020: RETRY | L-011: throwing/swallowing errors,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-058,IU-058,R03,notifyOnChangeProps / select side notes,25af0ad09e3f8d4fa9ece76140bed0303c4cfc43,25af0ad09e,1961.9101856455727,6159.85418963198,10.0,12.92,898.0,425.0,0.0,"L-018,L-019,L-014",L-018: when notifyonchanges is useful | L-019: why not qc.prefetchquery ? | L-014: notifyonchangeproops vs select vs structural sharing,not-transcribed,no,high,regions/R03-notifyonchangeprops-select-side-notes.md
S-059,IU-059,R03,notifyOnChangeProps / select side notes,d1b9ca270ef2a157f8158aa9a4e7d5888fc32a86,d1b9ca270e,3305.7955110835064,6226.120069712153,16.84,13.06,860.0,479.0,0.0,"L-019,L-018,L-014",L-019: why not qc.prefetchquery ? | L-018: when notifyonchanges is useful | L-014: notifyonchangeproops vs select vs structural sharing,not-transcribed,no,high,regions/R03-notifyonchangeprops-select-side-notes.md
S-060,IU-060,UNASSIGNED,Unassigned / outside current Stage 1 regions,74e165828c7768c8c3e68fe3bda23b35f7d21705,74e165828c,4951.431628993774,6236.885035923551,25.23,13.08,883.0,357.0,0.0,"L-065,L-074",L-065: REMOVEQUERIES RESETQUERIES | L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE,not-transcribed,no,medium,
S-061,IU-061,R02,"Query basics: statuses, keys, enabled, manual refetch",3ec1269c3ed1b271e07dabd83cd757bf61ab3729,3ec1269c3e,10587.24421182955,6325.159452070169,53.95,13.27,460.0,301.0,0.0,"L-021,L-020,L-011",L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-020: RETRY | L-011: throwing/swallowing errors,not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
S-062,IU-062,R02,"Query basics: statuses, keys, enabled, manual refetch",976499b4dc564d7e3188ea4a999e3a58c4f4b96a,976499b4dc,11656.7375891769,6469.662792055427,59.4,13.57,876.0,310.0,0.0,"L-021,L-020,L-016","L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount...",not-transcribed,no,high,"regions/R02-query-basics-statuses,-keys,-enabled,-manual-refetch.md"
