image_use_id,region_id,fileId,x,y,x_pct,y_pct,width,height,rotation
IU-018,R02,a3d61eaf9c73c53c24b686ed7b221f3611981ce8,10076.483621024943,3050.0513851574287,51.34,6.4,550.0,352.0,0.0
IU-019,UNASSIGNED,ac0d680857d39686d9a980ad6791213700819cca,4917.080086838826,3195.337376185824,25.05,6.7,742.0,442.0,0.0
IU-020,R02,bbc587153e6f7725d99204f6d5c0f2059d26975e,8948.46353429337,3200.0885336812353,45.6,6.71,552.0,244.0,0.0
IU-021,R02,61ff65ee41ac378e3f012492dec2a641fdee5782,8056.68590571264,3344.4775310770783,41.05,7.02,628.0,153.0,0.0
IU-022,R02,2899e0756c6801960c531f981604cc4de779560f,11398.413959136404,3365.8815240091353,58.08,7.06,689.0,169.0,0.0
IU-023,R02,03697f7b6d9df924a993630f8885a198d0c6f59f,10037.79606503201,3421.3030129495673,51.15,7.18,919.0,449.0,0.0
IU-024,R02,fe5b1db522c85def761855949bd1f24652c05715,8907.74106114884,3492.9775310770783,45.39,7.33,761.0,464.0,0.0
IU-025,R02,c8b43511a05f9342905b62748c4c8d3427171e11,8021.256744481649,3535.450740034328,40.87,7.42,735.0,482.0,0.0
IU-026,R02,29e9da2f37a8c47583c5245d57de2548a2aea548,11388.102514142714,3578.11433244012,58.03,7.51,865.0,482.0,0.0
IU-027,R02,048f7ed433b900a4ac331c47346eb91c20c96440,12946.685421769023,3647.7898438659613,65.97,7.65,922.0,427.0,0.0
IU-028,UNASSIGNED,46476e445e61e688a673517df6cbf41eec35ed1d,4942.746590745076,3652.837376185824,25.19,7.66,488.0,375.0,0.0
IU-029,R03,905bfe2c8bb8ac58950d96f151e70c4b9856aed0,1993.909982195053,3861.3540879067004,10.16,8.1,782.0,357.0,0.0
IU-030,R02,39e62ae511efa47ffbce53be931d4fde2f068004,10071.708671407567,3881.1761063275408,51.32,8.14,408.0,201.0,0.0
IU-031,UNASSIGNED,859a4e5afc980de786193d1c1351494af0825423,4936.079842698201,4030.5040021623863,25.15,8.46,656.0,425.0,0.0
IU-032,R02,d812eda41421b4d9b1bfda1801ceb57099a4f4c8,11404.580829253591,4076.7706841653853,58.11,8.55,930.0,285.0,0.0
IU-033,R02,796e9f55f754465961324204f3c12d99842119d6,12937.352169815898,4102.104737800422,65.92,8.61,914.0,348.0,0.0
IU-034,R02,14368dd8ca8b56fd8cea3497173054f007ab31ab,8857.46353768421,4118.384878014462,45.13,8.64,924.0,462.0,0.0
IU-035,R03,b7b12231ee3d7d3c79bca2a907a75547993feca2,1992.354562273178,4249.742993749809,10.15,8.92,834.0,298.0,0.0
IU-036,R02,4d72a0bb65754bd8c3fe8aae4e05adfb3a4a307c,9977.503734258296,4348.553418143318,50.84,9.12,865.0,482.0,0.0
IU-037,R02,202c0dd89543f810b7b2e65f41980ace2985e720,11399.913959136404,4385.77058244012,58.09,9.2,926.0,307.0,0.0
IU-038,UNASSIGNED,c764d1651ab32f148001a51ae73704d691d3509f,4940.413338791951,4442.170750209261,25.17,9.32,674.0,423.0,0.0
IU-039,R02,913cfdb055106eea2b43835c6e33946fbeb6e2ff,7421.210287242027,4514.011316964476,37.81,9.47,888.0,464.0,0.0
IU-040,R02,5b76d4c5fc5238cd557c5ebc2dde110aae1d4a38,8834.130102625617,4619.551595543759,45.01,9.69,944.0,333.0,0.0
IU-041,R03,ca846784a5dd59a9cc6945601b1e1a05739d87e1,1955.0112866602467,4650.9201279457775,9.96,9.76,851.0,482.0,0.0
IU-042,R02,0035fc7737b6a1f909a1e426930bf58e704295ee,13046.472430753296,4768.3716549534365,66.48,10.0,483.0,482.0,0.0
IU-043,R02,7c40b916d5905718532b1c03918af4fc115eebd8,9963.781580664181,4832.876324637458,50.77,10.14,856.0,259.0,0.0
IU-044,UNASSIGNED,b00992d67d9eba4e10ac26a8a591f2cf1fac2b47,4947.764880946899,4877.218348911832,25.21,10.23,741.0,455.0,0.0
IU-045,R02,7aca1a90bfb51a2b13b2eb55af68f7b0dde31d8b,7426.210287242027,4993.677958199827,37.84,10.48,918.0,318.0,0.0
IU-046,R03,cfea23af3aa9cd8608b379f98e24fb06d4d7ba56,1940.7990406260433,5166.465283788872,9.89,10.84,866.0,429.0,0.0
IU-047,R02,441233c7df30c0f0165937076d6d247821ce1f7c,13047.48846304014,5284.371685471015,66.48,11.09,753.0,482.0,0.0
IU-048,R02,bafb8949f195de4ceede9746dff39289ebdf5e21,7436.654546158972,5316.011266101777,37.89,11.15,906.0,246.0,0.0
IU-049,UNASSIGNED,3442b4b77e311cf7c8b193aa2aff0feaf139c767,4953.598377040649,5353.218348911832,25.24,11.23,716.0,367.0,0.0
IU-050,R02,33f7c75961b8d49ed8731af6eacb3ae8574c54ad,8812.004010394157,5388.344425893047,44.9,11.3,915.0,375.0,0.0
IU-051,R02,0e0d2b04876a1b4f102bc2526ed51d0e8c8271a2,10543.587981174027,5450.058825442546,53.72,11.43,925.0,482.0,0.0
IU-052,R02,26863f1800602747d8fa1b4e059d78541b14bd79,7395.821188120934,5605.622456897749,37.68,11.76,967.0,287.0,0.0
IU-053,UNASSIGNED,a1969014c757d190589845c831114e0cce0241ac,4951.092922790842,5727.562098911832,25.23,12.02,932.0,482.0,0.0
IU-054,R02,2cdf7b8634a1d9ee08af6df6b05eb95529fa68fb,8820.337445452751,5754.344425893047,44.94,12.07,935.0,333.0,0.0
IU-055,R03,224e1a8e1a07ae087a86f806b532d5de85aeb37f,1961.9101856455745,5762.465283788872,10.0,12.09,826.0,337.0,0.0
IU-056,R02,7e756912a079ab11573272fb538699f5e6961352,13075.066350898487,5784.694561447577,66.62,12.14,762.0,391.0,0.0
IU-057,R02,2fc52e535e118a49bc141177d4ecc9f0c525f989,10547.74441528007,5944.2705970897005,53.74,12.47,899.0,365.0,0.0
IU-058,R03,25af0ad09e3f8d4fa9ece76140bed0303c4cfc43,1961.9101856455727,6159.85418963198,10.0,12.92,898.0,425.0,0.0
IU-059,R03,d1b9ca270ef2a157f8158aa9a4e7d5888fc32a86,3305.7955110835064,6226.120069712153,16.84,13.06,860.0,479.0,0.0
IU-060,UNASSIGNED,74e165828c7768c8c3e68fe3bda23b35f7d21705,4951.431628993774,6236.885035923551,25.23,13.08,883.0,357.0,0.0
IU-061,R02,3ec1269c3ed1b271e07dabd83cd757bf61ab3729,10587.24421182955,6325.159452070169,53.95,13.27,460.0,301.0,0.0
IU-062,R02,976499b4dc564d7e3188ea4a999e3a58c4f4b96a,11656.737589176899,6469.662792055427,59.4,13.57,876.0,310.0,0.0
IU-063,R04,603893e98b26cb72c2f8263d8c479a8ded8c3a10,12806.796186460553,6513.796041745518,65.26,13.67,892.0,326.0,0.0
IU-064,UNASSIGNED,662677caa93a52c48e9092465bf8abe5cc992407,4961.431628993774,6630.218348911832,25.28,13.91,927.0,341.0,0.0
IU-065,UNASSIGNED,1a557e01c29c32282c5c6405f95eeb85839053f5,1994.1323739593754,6636.076327083152,10.16,13.92,826.0,332.0,0.0
IU-066,UNASSIGNED,3b93be29928bdf734785fb55391ee9133e2622c7,3297.6842643387135,6731.286736378825,16.8,14.12,834.0,362.0,0.0
IU-067,R04,ecd69b961abc31aa2dd00e387bed9b49837300ac,11649.647830900678,6802.5542192317625,59.36,14.27,803.0,482.0,0.0
IU-068,R04,3d947e5f861c0b7d7065fa68269518352fd848ed,12797.640151052412,6873.558156618521,65.21,14.42,641.0,412.0,0.0
IU-069,R04,33b49582eeb922e8029f8209f713df475f03c4aa,8072.923893861434,7051.151273665353,41.13,14.79,658.0,270.0,0.0
IU-070,R04,8d3fd0a7f7fb8f6e97adce1a274a1ccf5dc1a6e1,11627.832594757256,7292.091363483996,59.25,15.3,850.0,368.0,0.0
IU-071,R04,9eb932564a1d59f6ab3c0c15d08be2b73f6b8f59,12788.640303640303,7346.724797853873,65.16,15.41,939.0,459.0,0.0
IU-072,R04,852ba9b00335dc42fb2af88311929fedb4cd45a5,6423.509188940849,7455.491585375268,32.73,15.64,891.0,364.0,0.0
IU-073,R04,bba33258c246532c144a0029af83a110dce4375d,8008.536883763085,7636.8119102276105,40.81,16.02,878.0,482.0,0.0
IU-074,R04,577412eb23980dbee3187dee1639f9f08917dd20,11622.618636413354,7670.324730809429,59.22,16.09,591.0,482.0,0.0
IU-075,R04,62d845b921dcff7218ad0ff8183537e1df2be128,14124.839379696701,7804.902349492528,71.97,16.37,885.0,318.0,0.0
IU-076,R04,4e4df28c03d7ad27f4e9dd67e4c564d9ff8ac9a0,12786.861156143888,7817.401937136099,65.15,16.4,876.0,482.0,0.0
IU-077,R04,2e326e9966f786317730ccf5f4cfc8e04f48593f,10088.53813163376,7818.981818219152,51.41,16.4,907.0,241.0,0.0
IU-078,R04,6185671034b6dcb865a437b68d0a3ebc59f9e27a,6413.731519670015,7838.547239265245,32.68,16.45,887.0,373.0,0.0
IU-079,R04,ac6478b2047dddee642ddc2e5e8e8f457504c317,8953.342423939763,7838.745380321969,45.62,16.45,918.0,391.0,0.0
IU-080,R05,0871bd898b44b199905292db7c4ac13473c88920,3098.6744271367043,7942.158535351358,15.79,16.66,732.0,177.0,0.0
IU-081,R04,508013e6b983a2cf0717ffff43b2f85353293b9a,5137.502080216889,7981.224271735948,26.18,16.74,933.0,482.0,0.0
IU-082,R04,a75c02ceb1ef910b17b0d7e2d1fb5780177b9553,10117.94490479224,8064.818472043837,51.55,16.92,901.0,404.0,0.0
IU-083,R05,e3c0a532d3e1512c6309d289faad719d8b27adf7,3093.515526467063,8134.809425883344,15.76,17.07,914.0,459.0,0.0
IU-084,R04,68a664c2d542d7cecaf1b35b75c6b56ccd43e1fc,14138.172713030035,8167.420958433497,72.04,17.14,885.0,390.0,0.0
IU-085,R05,bc3e0aa237ca77c270ac533ca22ce793bfd3692d,125.70887981997657,8188.525188328691,0.64,17.18,849.0,308.0,0.0
IU-086,R04,3f38cd3ee4c0989c451adc3deab326e5eed536c0,6419.7613140433605,8223.890989265245,32.71,17.25,838.0,482.0,0.0
IU-087,R04,6674e4d2e9a0a104f7135ea61116bddd47c00b54,8960.414026897355,8241.650200355449,45.66,17.29,881.0,469.0,0.0
IU-088,R04,e48ab344959936117f92df38fe8fb97801b143c7,12765.246873929551,8301.217951589722,65.04,17.42,990.0,439.0,0.0
IU-089,R04,ee98c678db7c27d9e9d65b57efbea8de44e4de3c,8056.460708201368,8336.378893537265,41.05,17.49,609.0,482.0,0.0
IU-090,R04,ba574a80244925d065d32f9fb8ec089cad49d3bb,10110.611774909428,8449.81841100868,51.52,17.73,889.0,226.0,0.0
IU-091,R04,1c6a61c9e417958cbcbd0c69bf987d48f76ad88f,11378.853647416803,8458.715868104802,57.98,17.75,904.0,320.0,0.0
IU-092,R04,db432e01782d5a7ce593405eb2da0d83f7f1c732,5145.398145646577,8490.047269782823,26.22,17.81,917.0,302.0,0.0
IU-093,R05,c8cc88b3af1d3a963ff8b1ee37696787027531ea,149.37562786685157,8550.35853183455,0.76,17.94,815.0,435.0,0.0
IU-094,R05,975b593423bd143ab9c88230b2f21dadcf601b9e,3080.102824179119,8604.99987300946,15.69,18.05,952.0,471.0,0.0
IU-095,R04,ff5a3dac411771a20d7fbbc1004d41fe030a5570,10096.445148932866,8694.151846067274,51.45,18.24,960.0,452.0,0.0
IU-096,R04,d076db1a352cd26b3090c2887164f75161d27a56,6419.064893693452,8720.547178230088,32.71,18.3,935.0,257.0,0.0
IU-097,R04,4e38da6f7c269f1e0013e047722c55363e4b0ea8,8957.10456121655,8732.412032456457,45.64,18.32,880.0,337.0,0.0
IU-098,R04,27679ed8ee7192319bbd30f857bf9294efcbc6ea,11391.884098411121,8793.625014500401,58.05,18.45,924.0,392.0,0.0
IU-099,R04,1314fac1937cd7e24d159cfb1349e1fa25c81e4c,12759.969163968613,8796.384618256387,65.02,18.45,925.0,422.0,0.0
IU-100,R04,873cf4d11f5fb9cd206558f6e6fd5a3f2d699e41,5131.231519670015,8799.547208747666,26.15,18.46,860.0,411.0,0.0
IU-101,R05,4c44fb1d2aa09fdff1f57e8a5cd47d7a9649bb19,128.20906292544532,8994.525096775957,0.65,18.87,844.0,420.0,0.0
IU-102,R04,03697f7b6d9df924a993630f8885a198d0c6f59f,8999.614080390675,9120.858723250807,45.86,19.14,919.0,449.0,0.0
IU-103,R04,4e59a80541ebcb31b6cdd367894655b463887d04,11374.338532892656,9202.640184511052,57.96,19.31,930.0,437.0,0.0
IU-104,R04,50eadf70dfbe892da6b9f6790fac1d87500a5a51,12777.960235397186,9232.895034923058,65.11,19.37,689.0,482.0,0.0
IU-105,R04,dc0361e5335279269e83c947761041f175b74bd7,5136.731519670015,9236.380582771104,26.17,19.38,913.0,228.0,0.0
IU-106,R05,fc61dcb8e634d87341a07d92980e63b5ce8407ac,3042.126488381129,9384.198251799455,15.5,19.69,927.0,298.0,0.0
IU-107,R04,180be1e245c61db85a4cb14a789da9fce4aaa0a1,7489.484506629204,9417.34292095821,38.16,19.76,910.0,390.0,0.0
IU-108,R05,728900c57352441348a30ead3d6933a7e3457822,137.8754891505887,9420.949427053834,0.7,19.76,858.0,412.0,0.0
IU-109,UNASSIGNED,39e62ae511efa47ffbce53be931d4fde2f068004,9033.526686766234,9580.73181662878,46.03,20.1,408.0,201.0,0.0
IU-110,UNASSIGNED,96bd41a4854238b5dfdbc214a99f187a94b2de31,11373.687054732145,9617.882516275968,57.95,20.18,941.0,375.0,0.0
IU-111,R05,b643ae1bee759a5d7a5ce82de29b059fc564ba00,1479.959827527333,9650.015839515676,7.54,20.25,762.0,311.0,0.0
IU-112,R05,41cc77d4c328de94133c00f92b8cf617bf3dc8ac,3069.9924394269965,9707.59742172133,15.64,20.37,840.0,482.0,0.0
IU-113,UNASSIGNED,2bc6c3c45878e7462b8a01153fb78c96f670394f,7487.484506629204,9843.954167703007,38.15,20.65,954.0,479.0,0.0
IU-114,UNASSIGNED,38adfee5552c65bb099bf1088cd87a6e0bd6eb80,1455.0551818800104,10032.20632587868,7.41,21.05,936.0,299.0,0.0
IU-115,UNASSIGNED,1f0e98522eef50495c27ab667ea57244a51097f3,3068.4044831727933,10263.364735360643,15.63,21.53,902.0,329.0,0.0
IU-116,UNASSIGNED,69bfa97f82e20f5bb984dfd9035d3b44ec64960e,1422.7694675942967,10366.396685811713,7.25,21.75,932.0,423.0,0.0
IU-117,R07,8160273b4d08df708bd978e863a8449b3ccbaaaa,9433.330568893729,10598.507116696877,48.07,22.24,911.0,301.0,0.0
IU-118,UNASSIGNED,5230e3ed40dfc62b44191e77a332b91fa484eaea,3059.9044831727933,10604.864837085901,15.59,22.25,919.0,406.0,0.0
IU-119,UNASSIGNED,2ced60a702324c4a7d28a57a39a77cd9ff29737f,1414.8648219469742,10877.396773004795,7.21,22.82,704.0,121.0,0.0
IU-120,R07,77905ae043ec69700fc3b16f6a5b4ec492e7e300,9445.4969049533,10938.85639510148,48.13,22.95,811.0,404.0,0.0
IU-121,UNASSIGNED,70259fd00dac47caaf1dee15cda4acf36a905e87,3127.7297260284668,11026.708587085901,15.94,23.13,752.0,482.0,0.0
IU-122,UNASSIGNED,c74a0b5ca9807854bf772a5f5b4a8989039e4680,1395.5017055711633,11047.216684416628,7.11,23.18,830.0,482.0,0.0
IU-123,R08,89aca4f37a278a813e0eb7686b564e8ae54550a2,11718.50182353757,11147.546194142,59.71,23.39,659.0,429.0,0.0
IU-124,R08,4f1b873c4979ca54503a086b4046ba261ef50225,10541.653055563827,11173.512243063116,53.71,23.44,980.0,386.0,0.0
IU-125,R08,730d9b1236636fa508be450b3c1019b5e8eee74c,12525.750502953026,11211.1919396503,63.82,23.52,870.0,195.0,0.0
IU-126,R06,68f33d5ec1c54be39e79037ff436bb7ef2b00708,4644.5915771760865,11213.332540089636,23.67,23.53,931.0,408.0,0.0
IU-127,R08,78a5bec30e53c01bb96164eb9e0f0db396469148,15928.037386398615,11216.646138071352,81.16,23.53,895.0,437.0,0.0
IU-128,R06,664984d1b2c79866c5225a3ff0a4f1ecb1cc2de3,6002.829784796375,11264.057086249653,30.59,23.63,688.0,482.0,0.0
IU-129,R08,fc2d174df67e1b579d29fa9243bc9f89ecdc3b25,13887.652099620667,11356.605048028934,70.76,23.83,856.0,417.0,0.0
IU-130,R06,d4b221fae1a1d6947f91e8b790375c4f718266bf,7023.861702461656,11381.834775865544,35.79,23.88,864.0,482.0,0.0
IU-131,R07,436c717cfb34564f8161400b86c6cd70df948e55,9451.257379964301,11399.924896770739,48.16,23.92,726.0,482.0,0.0
IU-132,R07,3d2af35386f5a1702b6e11ea1683581f82b05961,8200.893423180742,11404.627618201914,41.79,23.93,954.0,442.0,0.0
IU-133,R08,0a41cac8a593c33ae6b78778a1f71f604fa2e754,18670.584358777203,11427.711597336283,95.13,23.98,945.0,445.0,0.0
IU-134,R08,30bdec469536a1c510c677d2182c6f9661def337,12517.627952269944,11435.105312282009,63.78,23.99,932.0,464.0,0.0
IU-135,R08,471c964d3b7c3d8ea35d5cc96d9bf177d00e3148,17930.9318303352,11464.957300304442,91.37,24.05,662.0,463.0,0.0
IU-136,UNASSIGNED,90f673f1e852e151765e4686ac1250ca82fbb7cb,1372.483753308583,11483.3015058452,6.99,24.09,884.0,433.0,0.0
IU-137,UNASSIGNED,cf6de009a383a3e090c6d53917a88f728123285c,3147.849266701438,11541.364837085908,16.04,24.21,792.0,373.0,0.0
IU-138,R08,01111ee2eb6983f9c642f1dabc37362759a76a4a,10535.334873745645,11581.588037629881,53.68,24.3,869.0,205.0,0.0
IU-139,R08,c3f45a9f792f10ca1d8a925a917dd5c7d259f5f9,11644.557514726806,11591.342513043906,59.33,24.32,798.0,454.0,0.0
IU-140,R06,52ce7625acb50ad6840d6a9b2f41595f00a46554,4717.282111495284,11646.95147145124,24.04,24.44,778.0,276.0,0.0
IU-141,R08,d9130874341bb277d6adf65e5d6066f76b62ff81,15940.512382903731,11685.769192036081,81.22,24.52,734.0,482.0,0.0
IU-142,R06,6c191bae1e413859073e73e8089098e4c32bbce0,5998.287038476274,11750.871786906115,30.56,24.65,794.0,482.0,0.0
IU-143,R08,81cc0883baca9123aefb45c4cb1deff7c94b8f3f,13895.652099620667,11804.938361017215,70.8,24.77,840.0,283.0,0.0
IU-144,R08,a6832a1bc1a498b8a99d68ff735027388e2ed063,10541.486351906158,11811.118322164672,53.71,24.78,927.0,352.0,0.0
IU-145,R06,bfef41b217b695abef8abf400f15d935d4a71874,7024.953912865571,11878.324277818669,35.79,24.92,774.0,284.0,0.0
IU-146,R07,5ee57573106cb4ddaf5d43e12b943cfb0982dee2,8190.964969219478,11887.630229940005,41.74,24.94,962.0,204.0,0.0
IU-147,R08,8578a757ff7f438004efb1bf27b02bdc9a15bd5f,12515.539197212936,11908.917397963363,63.77,24.98,890.0,482.0,0.0
IU-148,UNASSIGNED,ade73b8922709b3bfcd2f5ce0f49ff8f3a2ab1e0,1367.1028590563492,11952.039630147658,6.97,25.08,830.0,246.0,0.0
IU-149,R08,8c5f325354d41e4998f90b1b93ed59179f3b0312,17949.093120506564,11959.316243363337,91.46,25.09,536.0,463.0,0.0
IU-150,R06,3071e8a02cc04934de4b77ca2a0bf98d8f57cf94,4712.545130195233,11966.652364308386,24.01,25.11,829.0,482.0,0.0
IU-151,R08,3b50c6200c393709ce4a1fe6fb2b68a6b5280bb7,11624.179779195134,12055.704736351203,59.23,25.29,765.0,482.0,0.0
IU-152,R07,b67831fde6547da53dc9ec4b894607f6db24c9ce,9446.917125247974,12092.188240052697,48.14,25.37,839.0,426.0,0.0
IU-153,R08,b9490025be1b8ce5b9a83f1694bb57a961c0d982,13878.28618228723,12111.94885906409,70.72,25.41,741.0,482.0,0.0
IU-154,R08,32c48060b899984deade83d96a6b61ae6b805ee2,10534.516580954454,12168.52746856027,53.68,25.53,907.0,459.0,0.0
IU-155,R08,7580b14f8cd07d35d9cad283aa0a24148fee84e1,15926.152962411099,12176.609724164962,81.15,25.55,893.0,464.0,0.0
IU-156,UNASSIGNED,8f1063ec18d5640fe8c562cdb06912034d706890,1365.5223531039683,12209.121417257033,6.96,25.61,719.0,482.0,0.0
IU-157,R06,7897e4ffa916eaecdba32af9ca264279e5b3ece9,7048.454157006196,12266.990964830387,35.91,25.74,935.0,432.0,0.0
IU-158,R08,d4dd4f4a1eee29834162e04dcd7865db04c2121d,12480.872820914661,12408.745184984793,63.59,26.03,914.0,352.0,0.0
IU-159,R06,36f2dd3bd7b35340bc3977aa219643a0a276bb35,4717.567825780998,12420.332452896553,24.04,26.06,846.0,394.0,0.0
IU-160,R08,57e5d6a5304085082db78780025d60fb0a2d18f1,17913.837967344876,12447.521387218505,91.28,26.11,703.0,463.0,0.0
IU-161,R08,53f93b6919ebfd508639918d202ea0cd45c7f1fc,11623.09446134139,12532.712860808671,59.22,26.29,773.0,252.0,0.0
IU-162,R07,7ad643e9477079f1ab69fc034fc26521c89b85e2,8207.877377038118,12549.892518630317,41.82,26.33,934.0,395.0,0.0
IU-163,R07,df3c1dacf60abb6757f8ade1b3eed1a047a06738,9455.15533674351,12591.934266954677,48.18,26.42,853.0,250.0,0.0
IU-164,R08,f514209027bfcbd52229038cc8eeb98f2c5b54f1,10523.619221125697,12647.224401266234,53.62,26.53,956.0,481.0,0.0
IU-165,R06,58affaa7df3b32bcb0cb8c32c26cd89d53fb81ec,7040.287286889008,12716.657712877262,35.87,26.68,874.0,258.0,0.0
IU-166,UNASSIGNED,9b8c6d0493f1395a6c4c782219e394372cf263ec,1338.745716199208,12720.277754450115,6.82,26.69,921.0,420.0,0.0
IU-167,R08,4fc2178dcab23866de774968ceb7a49f11fc7c8d,12503.705453531778,12749.741444576044,63.71,26.75,848.0,374.0,0.0
IU-168,R08,2702832cda871ceecbc4a503bdaff8a90501496d,11609.742654700765,12815.509111893742,59.16,26.89,727.0,363.0,0.0
IU-169,R08,4a083521f34e4026319c6c792ff7c061311acff8,13834.55864587865,12852.759691582014,70.49,26.96,758.0,482.0,0.0
IU-170,R08,eb754a7f2d791caf87107a113f28c1d52107e01d,17833.84186944863,12931.662444159614,90.87,27.13,832.0,383.0,0.0
IU-171,R07,54c1e18a5f6656e5ea310132a2f26206a12effae,8207.92704143231,12967.165051124364,41.82,27.2,912.0,402.0,0.0
IU-172,R07,4014246e26977a9a3e070c78a6ec96050a023fec,9386.146194827217,12978.823810461327,47.83,27.23,855.0,482.0,0.0
IU-173,R08,8840240941d4a6daf52ee77f1487ebee261bb661,10528.271476947168,13142.572467521873,53.65,27.57,845.0,482.0,0.0
IU-174,UNASSIGNED,cc89bc8d714872bf50bbf8f15b24446bab02cc1a,1326.2694501556816,13143.658648702345,6.76,27.58,693.0,254.0,0.0
IU-175,R08,71e000a8c4950c8cd015b6d4501b337e4f6c31f2,12488.037620706,13188.659112416986,63.63,27.67,859.0,297.0,0.0
IU-176,UNASSIGNED,f7fe899443759e8117d9900daa8a1e62c397bc0e,7071.398621795692,13210.52801147481,36.03,27.72,652.0,415.0,0.0
IU-177,R08,3c56741074dec36f3852013e21dc57742322c9ba,11584.298210256322,13216.212860808671,59.03,27.73,831.0,299.0,0.0
IU-178,R08,511b7bdef1dce16950cb4ed5b306dbe2bf21a802,13832.142451857428,13336.77579019898,70.48,27.98,795.0,482.0,0.0
IU-179,R08,d8da9f8d84331987d18dcbe85592be502c0c4af8,17848.9349433669,13337.777781824876,90.95,27.98,816.0,463.0,0.0
IU-180,R07,8930b327c7e2b0945a130b23206191b2caafdd43,8215.232879038422,13389.00743951829,41.86,28.09,871.0,482.0,0.0
IU-181,UNASSIGNED,37105501d1a0b40c17e993af923e42c08824804c,1345.9361982025566,13390.325335714064,6.86,28.09,883.0,462.0,0.0
IU-182,R08,1b495c7744d1b8602549f1ff0f227bd304844933,12499.28168313679,13495.356010829644,63.69,28.31,641.0,423.0,0.0
IU-183,R08,27e50ec60ea743289a23dc0ff710fc407fa95890,11583.742777618787,13531.675778560406,59.02,28.39,653.0,127.0,0.0
IU-184,R08,39529d4e6dae98cc2cfa2d97f3ec812f8fffebab,10533.129850805995,13652.667647488393,53.67,28.64,795.0,482.0,0.0
IU-185,R08,625ee2c8c429f5365d1029e7b5a94e089c54cf14,11548.017701111377,13692.741818599468,58.84,28.73,796.0,482.0,0.0
IU-186,UNASSIGNED,30ab614e5c17821db29b14bccb0a2f6691173b4a,9341.937823412421,13707.556610808671,47.6,28.76,894.0,482.0,0.0
IU-187,R08,5e6930a90dc268c6a0a49ec247dc5ab078a291ea,17779.418792525554,13817.995761842907,90.59,28.99,787.0,317.0,0.0
IU-188,UNASSIGNED,a0d3c076345ead0a3c9ac623f2918b45229101c0,1347.1027021088066,13870.825335714064,6.86,29.1,814.0,125.0,0.0
IU-189,UNASSIGNED,a4fc92617d4e30401900e5fb0579457473f568ce,8217.63956432534,13886.989304871226,41.87,29.13,916.0,275.0,0.0
IU-190,R08,11e2c7d93f51d6eec710d7c80e399b80f454ccf6,12486.784337113195,13913.738443260183,63.63,29.19,724.0,423.0,0.0
IU-191,R08,5bec075fe3a00d87161356e7a274af579f00ec7d,14592.169319962546,13983.241214856833,74.35,29.34,730.0,430.0,0.0
