label_id,region,x,y,text,status,notes
T-059,R03,2020.835,17756.874,Challenged,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-047,R03,4932.805,17919.025,!!!,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-055,R03,3484.996,18043.451,requirements,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-061,R03,682.772,18149.252,"Custom response for
specific requirements",processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-056,R03,3527.047,18506.016,authSchemes,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-049,R03,6163.956,18549.23,bypasses scheme beh,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-052,R03,7287.754,18604.163,events wont run,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-060,R03,2089.168,18651.04,Forbidden,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-050,R03,6129.247,19474.521,customize only specific cases,processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
T-063,R03,6967.339,19644.124,"or can pass some metadata in headers/context so your
forbidden even callback will know the exatc reason of forbid
and you may pass some info to frontend
+
its mostly safe to bypass forbid
if you dont need events to run",processed-in-stage1-final-coverage,Canvas text label; handled in semantic transcript. Typos normalized in prose when appropriate.
