source_id,image_use_id,region,fileId_short,sha256_12,x,y,width,height,source_image_path,audit_copy_path,status,notes
S-021,IU-021,R02,da96d0df55,c23d8377fbc8,2780.525,6026.632,1328.0,277.0,source/images/da96d0df55.png,audit-assets/R01R02R03-source-images/S-021__da96d0df55.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-022,IU-022,R02,6bae8fdfba,2ef01ed1b93d,2775.294,6403.35,1320.0,221.0,source/images/6bae8fdfba.png,audit-assets/R01R02R03-source-images/S-022__6bae8fdfba.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-023,IU-023,R02,a6264cc176,5f3d906c48df,5051.23,6615.051,674.0,111.0,source/images/a6264cc176.png,audit-assets/R01R02R03-source-images/S-023__a6264cc176.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-024,IU-024,R02,704ea480da,4291295085c8,8442.562,6736.978,930.0,288.0,source/images/704ea480da.png,audit-assets/R01R02R03-source-images/S-024__704ea480da.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-025,IU-025,R02,900f78619b,985330aef0ac,2773.473,6744.709,1338.0,127.0,source/images/900f78619b.png,audit-assets/R01R02R03-source-images/S-025__900f78619b.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-026,IU-026,R02,15438b46d0,37d455a11a28,7243.175,6750.121,922.0,336.0,source/images/15438b46d0.png,audit-assets/R01R02R03-source-images/S-026__15438b46d0.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-027,IU-027,R02,be714300f6,bb4af19c7127,6120.252,6777.186,942.0,197.0,source/images/be714300f6.png,audit-assets/R01R02R03-source-images/S-027__be714300f6.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-028,IU-028,R02,1e09775e4b,c02d19d727d0,5011.545,6786.473,1012.0,203.0,source/images/1e09775e4b.png,audit-assets/R01R02R03-source-images/S-028__1e09775e4b.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-029,IU-029,R02,9e54ddec9e,04fa01491e5b,6143.847,6981.305,941.0,384.0,source/images/9e54ddec9e.png,audit-assets/R01R02R03-source-images/S-029__9e54ddec9e.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-030,IU-030,R02,40f4f0713b,c097329bb982,5030.879,6997.973,872.0,364.0,source/images/40f4f0713b.png,audit-assets/R01R02R03-source-images/S-030__40f4f0713b.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-031,IU-031,R02,a77a359d0d,97fe89f3a144,8440.594,7043.097,998.0,169.0,source/images/a77a359d0d.png,audit-assets/R01R02R03-source-images/S-031__a77a359d0d.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-032,IU-032,R02,13a9630046,04dc68a26a34,7272.101,7095.899,956.0,200.0,source/images/13a9630046.png,audit-assets/R01R02R03-source-images/S-032__13a9630046.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-033,IU-033,R02,3d9a60589d,d93251af2623,5024.842,7365.769,932.0,201.0,source/images/3d9a60589d.png,audit-assets/R01R02R03-source-images/S-033__3d9a60589d.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-034,IU-034,R02,ddde8f62ca,0e3a5bfde846,2802.765,7391.232,1355.0,420.0,source/images/ddde8f62ca.png,audit-assets/R01R02R03-source-images/S-034__ddde8f62ca.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-035,IU-035,R02,acfd094018,61353d91522b,6094.941,7516.935,980.0,177.0,source/images/acfd094018.png,audit-assets/R01R02R03-source-images/S-035__acfd094018.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-036,IU-036,R02,dfae3e22f1,99cf54b49be0,5008.727,7790.08,934.0,464.0,source/images/dfae3e22f1.png,audit-assets/R01R02R03-source-images/S-036__dfae3e22f1.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-037,IU-037,R02,57d8f0da01,b7918cc610f2,2783.929,7888.786,1314.0,311.0,source/images/57d8f0da01.png,audit-assets/R01R02R03-source-images/S-037__57d8f0da01.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-038,IU-038,R02,f7b5f45f19,dd16a49f2fc5,7316.584,8012.887,993.0,393.0,source/images/f7b5f45f19.png,audit-assets/R01R02R03-source-images/S-038__f7b5f45f19.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-039,IU-039,R02,0138a9e414,eb8564d87977,2809.024,8408.476,1340.0,224.0,source/images/0138a9e414.png,audit-assets/R01R02R03-source-images/S-039__0138a9e414.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-040,IU-040,R02,d6b261d56a,d20f6941979f,7346.368,8410.872,849.0,482.0,source/images/d6b261d56a.png,audit-assets/R01R02R03-source-images/S-040__d6b261d56a.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-041,IU-041,R02,dc9735755e,823cf579f4a4,5034.127,8426.95,932.0,230.0,source/images/dc9735755e.png,audit-assets/R01R02R03-source-images/S-041__dc9735755e.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-042,IU-042,R02,9f55fe1a25,249958becf0a,5010.47,8668.096,990.0,274.0,source/images/9f55fe1a25.png,audit-assets/R01R02R03-source-images/S-042__9f55fe1a25.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-043,IU-043,R02,980e93bef2,08998fcdd4cb,2795.242,9027.738,1241.0,450.0,source/images/980e93bef2.png,audit-assets/R01R02R03-source-images/S-043__980e93bef2.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-044,IU-044,R02,5bb05f934e,28094ad42ab5,7374.42,9176.286,1183.0,263.0,source/images/5bb05f934e.png,audit-assets/R01R02R03-source-images/S-044__5bb05f934e.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-045,IU-045,R02,0e5ab416d1,eb82f41066e9,4980.125,9262.472,1008.0,302.0,source/images/0e5ab416d1.png,audit-assets/R01R02R03-source-images/S-045__0e5ab416d1.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-046,IU-046,R02,9c2d896f2d,51fa80383072,5006.794,9740.773,946.0,285.0,source/images/9c2d896f2d.png,audit-assets/R01R02R03-source-images/S-046__9c2d896f2d.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-047,IU-047,R02,f18cb795ba,d4b7bb3d6b1f,2802.033,9771.072,1112.0,339.0,source/images/f18cb795ba.png,audit-assets/R01R02R03-source-images/S-047__f18cb795ba.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-048,IU-048,R02,2d09ca392a,5612bbb8be29,6121.158,9836.658,946.0,208.0,source/images/2d09ca392a.png,audit-assets/R01R02R03-source-images/S-048__2d09ca392a.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-049,IU-049,R02,7b4d10f159,6768e9c76fcc,5017.854,10029.318,933.0,293.0,source/images/7b4d10f159.png,audit-assets/R01R02R03-source-images/S-049__7b4d10f159.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-050,IU-050,R02,20a9c2bcc7,6dbc74a388eb,6132.625,10044.925,756.0,482.0,source/images/20a9c2bcc7.png,audit-assets/R01R02R03-source-images/S-050__20a9c2bcc7.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-051,IU-051,R02,13a9321c18,01e35e42c78e,1376.539,10156.817,984.0,430.0,source/images/13a9321c18.png,audit-assets/R01R02R03-source-images/S-051__13a9321c18.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-052,IU-052,R02,72a5520c31,35f859cfec76,5038.544,10313.128,924.0,333.0,source/images/72a5520c31.png,audit-assets/R01R02R03-source-images/S-052__72a5520c31.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-053,IU-053,R02,1e04ebd821,1ecaf14810fc,6136.46,10535.044,950.0,468.0,source/images/1e04ebd821.png,audit-assets/R01R02R03-source-images/S-053__1e04ebd821.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-054,IU-054,R02,a1f9fb9dd7,3cabb330513a,1374.158,10595.983,964.0,325.0,source/images/a1f9fb9dd7.png,audit-assets/R01R02R03-source-images/S-054__a1f9fb9dd7.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
S-055,IU-055,R02,3501d204f4,6ecd73f6195d,1395.798,11058.722,717.0,430.0,source/images/3501d204f4.png,audit-assets/R01R02R03-source-images/S-055__3501d204f4.png,processed-in-stage1-final-coverage,Visually/semantically included in R01+R02+R03 final coverage transcript.
