source_id,image_use_id,symbol_id,file_id,filename,x,y,width,height,cx,cy,candidate_region,candidate_region_name
S-015,IU-015,image-0968f35fe4e09ff1f5b9688a952db6b9dbf5dc51,32df8fab78,32df8fab78.png,3085.7983779365104,6755.221424444091,961.0,277.0,3566.2983779365104,6893.721424444091,R03,locking / cache stampede / expiration and catastrophic locking cases
S-016,IU-016,image-b70aa3a7ad0f5bad4bcd53d273a0bbc120b8e8c5,d2acf561f2,d2acf561f2.png,3062.557546773316,7045.92510554217,966.0,463.0,3545.557546773316,7277.42510554217,R03,locking / cache stampede / expiration and catastrophic locking cases
S-017,IU-017,image-f4ae2f86f6a09df195eca241fada4ff9f71f6ab8,620ab4f5dd,620ab4f5dd.png,3067.95000610435,7654.0466430080705,899.0,482.0,3517.45000610435,7895.0466430080705,R03,locking / cache stampede / expiration and catastrophic locking cases
S-018,IU-018,image-ce89f5d5606356f6fb2ae9950c583d311fd33df1,1ff208d0e1,1ff208d0e1.png,2970.1562457802584,2735.44382386562,837.0,206.0,3388.6562457802584,2838.44382386562,R01,safety / whether output caching is beneficial
S-019,IU-019,image-84fdc9a9ba85aad4034914f3173938cac1f8843f,edb0e7dc45,edb0e7dc45.png,1093.3731349358095,3911.110396149925,700.0,482.0,1443.3731349358095,4152.110396149925,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-020,IU-020,image-68818634fefc2b995f720d78ac442f20857a4af0,d28e2fff98,d28e2fff98.png,1072.1772746291063,4427.671370271004,814.0,341.0,1479.1772746291063,4598.171370271004,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-021,IU-021,image-b4e32a879010d86bfb1904b45c01cb5468c335e9,6cdfc869ba,6cdfc869ba.png,2040.986914696071,3912.3856559852866,804.0,263.0,2442.986914696071,4043.8856559852866,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-022,IU-022,image-e5224e6d89c44b84cb2bdac199d7cfd683f97bde,cc5c2657b4,cc5c2657b4.png,2044.724951805446,4181.980923144889,827.0,360.0,2458.224951805446,4361.980923144889,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-023,IU-023,image-99c89fc5e48c1fc5aaf872db32b40e920dd1091d,c416ee7e8a,c416ee7e8a.png,2995.8202480294044,3907.216311522243,841.0,209.0,3416.3202480294044,4011.716311522243,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-024,IU-024,image-9281ce2b54351b28acc37b87577692667a1c06f2,80b6a189a9,80b6a189a9.png,2989.9683057550983,4120.30894932607,829.0,408.0,3404.4683057550983,4324.30894932607,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-025,IU-025,image-17040be26ce8fda98c995d22755f48a58e6d9625,2884070308,2884070308.png,4122.023861310654,3905.5312393651257,796.0,242.0,4520.023861310654,4026.5312393651257,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-026,IU-026,image-3d5370a9fe30c982d7b7af6c12bc43c62c12dd4e,6ed131fd98,6ed131fd98.png,4125.78316578114,4174.753393770508,827.0,468.0,4539.28316578114,4408.753393770508,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-027,IU-027,image-f602d117849f997f42ca05e31ef30a5b450d05cf,8adb75ce8a,8adb75ce8a.png,4112.07941686621,4651.883046005743,807.0,213.0,4515.57941686621,4758.383046005743,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-028,IU-028,image-707533a328e339c112949ee346800e52f29272f8,8b1cc490f8,8b1cc490f8.png,4130.07913689782,4951.300824868602,697.0,482.0,4478.57913689782,5192.300824868602,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-029,IU-029,image-f960868774175ca035080be5a98b9d41960c6a81,8c68a0b91b,8c68a0b91b.png,5287.78316578114,3891.3460315743287,823.0,460.0,5699.28316578114,4121.346031574329,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-030,IU-030,image-48a9c721c9d290c53bf591b0ae4960edcb9914b2,24269e4e26,24269e4e26.png,5294.264556840168,4353.56825379654,813.0,380.0,5700.764556840168,4543.56825379654,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-031,IU-031,image-b184719af62d199c6dc7ac9006c6468b7e1a44fa,848d34feed,848d34feed.png,5312.538621041629,4933.52311490765,673.0,494.0,5649.038621041629,5180.52311490765,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-032,IU-032,image-c7a71dda5b52e2d49dbee8b151a63255350cdc09,f2dc5dc2de,f2dc5dc2de.png,5303.173417788518,5551.300892685409,813.0,482.0,5709.673417788518,5792.300892685409,R02,cache usefulness decision criteria / hotness / freshness / CDN question
S-033,IU-033,image-bb15a708d47056135305f33fa855e333646e8af2,e897020272,e897020272.png,2980.3656833747655,3053.523216632864,807.0,482.0,3383.8656833747655,3294.523216632864,R01,safety / whether output caching is beneficial
S-034,IU-034,image-efc70ed6115e7e394503accc37d8924ab6dbc4fc,1a136db237,1a136db237.png,3084.796804232126,769.1560988653582,844.0,160.0,3506.796804232126,849.1560988653582,R01,safety / whether output caching is beneficial
S-035,IU-035,image-394ea6e3156aafb0f290124f7a324ca8302fcee3,7de6e66215,7de6e66215.png,2211.0390768712577,1757.77752976193,702.0,482.0,2562.0390768712577,1998.77752976193,R01,safety / whether output caching is beneficial
S-036,IU-036,image-3848b7cf038bd0dddb3adfd75612dfd112ae938f,b65dfd3f42,b65dfd3f42.png,3057.1430385560398,1759.0157238188476,743.0,482.0,3428.6430385560398,2000.0157238188476,R01,safety / whether output caching is beneficial
S-037,IU-037,image-7d5bcd14c6ccee3bd4c86b1f9e1380f8549402ab,7633790ba4,7633790ba4.png,4046.9225844315424,1752.1585896810066,725.0,482.0,4409.422584431542,1993.1585896810066,R01,safety / whether output caching is beneficial
S-038,IU-038,image-8841694fb2c1e98063cafead4cbb48943c432951,11ac09f4b7,11ac09f4b7.png,3095.337361903457,1070.2539207822047,709.0,482.0,3449.837361903457,1311.2539207822047,R01,safety / whether output caching is beneficial
S-039,IU-039,image-ac828cd3f9b965e9e2cbcc318c7f6bf87ede59b0,5b98170fd6,5b98170fd6.png,2982.1322986166706,10.0,1105.0,482.0,3534.6322986166706,251.0,R01,safety / whether output caching is beneficial
