source_id,image_use_id,file_id,filename,candidate_region,status,x,y,width,height,notes
S-029,IU-029,8c68a0b91b,8c68a0b91b.png,R02,closed-by-stage1,5287.78,3891.35,823.0,460.0,Closed by R01R02R03R04 final coverage transcript v001.
S-030,IU-030,24269e4e26,24269e4e26.png,R02,closed-by-stage1,5294.26,4353.57,813.0,380.0,Closed by R01R02R03R04 final coverage transcript v001.
S-031,IU-031,848d34feed,848d34feed.png,R02,closed-by-stage1,5312.54,4933.52,673.0,494.0,Closed by R01R02R03R04 final coverage transcript v001.
S-032,IU-032,f2dc5dc2de,f2dc5dc2de.png,R02,closed-by-stage1,5303.17,5551.3,813.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-033,IU-033,e897020272,e897020272.png,R01,closed-by-stage1,2980.37,3053.52,807.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-034,IU-034,1a136db237,1a136db237.png,R01,closed-by-stage1,3084.8,769.16,844.0,160.0,Closed by R01R02R03R04 final coverage transcript v001.
S-035,IU-035,7de6e66215,7de6e66215.png,R01,closed-by-stage1,2211.04,1757.78,702.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-036,IU-036,b65dfd3f42,b65dfd3f42.png,R01,closed-by-stage1,3057.14,1759.02,743.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-037,IU-037,7633790ba4,7633790ba4.png,R01,closed-by-stage1,4046.92,1752.16,725.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-038,IU-038,11ac09f4b7,11ac09f4b7.png,R01,closed-by-stage1,3095.34,1070.25,709.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
S-039,IU-039,5b98170fd6,5b98170fd6.png,R01,closed-by-stage1,2982.13,10.0,1105.0,482.0,Closed by R01R02R03R04 final coverage transcript v001.
