label_id,x,y,font_size,candidate_region,text
L-063,31613.12103079539,2249.350713326172,20.0,R07,"retryCount: 3,"
L-064,31613.12103079539,2249.350713326172,20.0,R07,sleepDurationProvider: attempt =>
L-065,31613.12103079539,2249.350713326172,20.0,R07,{
L-066,31613.12103079539,2249.350713326172,20.0,R07,"// exponential backoff: 200ms, 400ms, 800ms + jitter(0-100ms)"
L-067,31613.12103079539,2249.350713326172,20.0,R07,"var backoff = TimeSpan.FromMilliseconds(200 * Math.Pow(2, attempt - 1));"
L-068,31613.12103079539,2249.350713326172,20.0,R07,"var jitter = TimeSpan.FromMilliseconds(jitterer.Next(0, 100));"
L-069,31613.12103079539,2249.350713326172,20.0,R07,return backoff + jitter;
L-070,31613.12103079539,2249.350713326172,20.0,R07,"},"
L-071,31613.12103079539,2249.350713326172,20.0,R07,"onRetry: (outcome, delay, attempt, ctx) =>"
L-072,31613.12103079539,2249.350713326172,20.0,R07,{
L-073,31613.12103079539,2249.350713326172,20.0,R07,// outcome.Exception OR outcome.Result
L-074,31613.12103079539,2249.350713326172,20.0,R07,// log attempt + delay + reason
L-075,31613.12103079539,2249.350713326172,20.0,R07,});
L-076,31613.12103079539,2249.350713326172,20.0,R07,// 3) Circuit breaker (on transient errors)
L-077,31613.12103079539,2249.350713326172,20.0,R07,var breaker = HttpPolicyExtensions
L-078,31613.12103079539,2249.350713326172,20.0,R07,.HandleTransientHttpError()
L-079,31613.12103079539,2249.350713326172,20.0,R07,.Or<TimeoutRejectedException>()
L-080,31613.12103079539,2249.350713326172,20.0,R07,.CircuitBreakerAsync(
L-081,31613.12103079539,2249.350713326172,20.0,R07,"exceptionsAllowedBeforeBreaking: 5,"
L-082,31613.12103079539,2249.350713326172,20.0,R07,"durationOfBreak: TimeSpan.FromSeconds(30),"
L-083,31613.12103079539,2249.350713326172,20.0,R07,"onBreak: (outcome, breakDelay) =>"
L-084,31613.12103079539,2249.350713326172,20.0,R07,{
L-085,31613.12103079539,2249.350713326172,20.0,R07,// log breaker open
L-086,31613.12103079539,2249.350713326172,20.0,R07,"},"
L-087,31613.12103079539,2249.350713326172,20.0,R07,onReset: () =>
L-088,31613.12103079539,2249.350713326172,20.0,R07,{
L-089,31613.12103079539,2249.350713326172,20.0,R07,// log breaker reset
L-090,31613.12103079539,2249.350713326172,20.0,R07,"},"
L-091,31613.12103079539,2249.350713326172,20.0,R07,onHalfOpen: () =>
L-092,31613.12103079539,2249.350713326172,20.0,R07,{
L-093,31613.12103079539,2249.350713326172,20.0,R07,// log half-open trial
L-094,31613.12103079539,2249.350713326172,20.0,R07,});
L-095,31613.12103079539,2249.350713326172,20.0,R07,// 4) Bulkhead (concurrency limiter)
L-096,31613.12103079539,2249.350713326172,20.0,R07,var bulkhead = Policy.BulkheadAsync<HttpResponseMessage>(
L-097,31613.12103079539,2249.350713326172,20.0,R07,"maxParallelization: 50,"
L-098,31613.12103079539,2249.350713326172,20.0,R07,"maxQueuingActions: 100,"
L-099,31613.12103079539,2249.350713326172,20.0,R07,onBulkheadRejectedAsync: ctx =>
L-100,31613.12103079539,2249.350713326172,20.0,R07,{
L-101,31613.12103079539,2249.350713326172,20.0,R07,// log bulkhead rejection (overload)
L-102,31613.12103079539,2249.350713326172,20.0,R07,return Task.CompletedTask;
L-103,31613.12103079539,2249.350713326172,20.0,R07,});
L-104,31613.12103079539,2249.350713326172,20.0,R07,// Wrap: outer → inner
L-105,31613.12103079539,2249.350713326172,20.0,R07,"return Policy.WrapAsync(bulkhead, breaker, retry, timeout);"
L-106,31613.12103079539,2249.350713326172,20.0,R07,}
L-107,31613.12103079539,2249.350713326172,20.0,R07,}
L-108,22860.40705613776,2272.1592491314423,74.00685915444629,R05,!!!
L-109,24250.922472089565,2404.337439934525,74.00685915444629,R05,!!!
L-110,13393.793200416938,2489.5169809794434,101.77777777777773,R03,ratelimiterstrategy args
L-111,7641.3163350018,2791.7457269805545,20.0,R02,SETTING TRUE/FALSE
L-112,7641.3163350018,2791.7457269805545,20.0,R02,BASED ON REQUEST METHOD
L-113,8158.269801859751,3174.621631080905,20.0,R02,need to use pipeline excplicitly with pipeline provider
L-114,22862.16932552385,3246.7536772730873,74.00685915444629,R05,!!!
L-115,9681.540376693483,3298.8933192599675,80.44433593749999,R02,hedging priciple of work
L-116,29607.78753470164,4217.350591255859,62.66669921875001,R07,Exception handling
L-117,13574.11282732526,4233.0087699091555,91.26348702566968,R03,rate limiter in polly
L-118,13574.11282732526,4233.0087699091555,91.26348702566968,R03,concur vs addratelimiter
L-119,13574.11282732526,4233.0087699091555,91.26348702566968,R03,and ratelimiterstrat options
L-120,27326.67125850144,4246.354385343873,81.86669921875,R06,exception bubbling
L-121,29406.45403860789,4397.350652291016,58.399999999999984,R06,theory
L-122,30197.120786654767,4406.683904244141,113.86669921874997,R07,mapping
L-123,14729.523701025946,4792.999908777542,82.54545454545456,R03,ratelimiterpartition and partitioned rate limiter
L-124,14729.523701025946,4792.999908777542,82.54545454545456,R03,3 scenarios
L-125,31283.45403860789,4793.612484392024,20.0,R07,try
L-126,31283.45403860789,4793.612484392024,20.0,R07,{
L-127,31283.45403860789,4793.612484392024,20.0,R07,"var resp = await client.GetAsync(url, cancellationToken);"
L-128,31283.45403860789,4793.612484392024,20.0,R07,if (resp.StatusCode == HttpStatusCode.NotFound)
L-129,31283.45403860789,4793.612484392024,20.0,R07,return /* handle 404 */;
L-130,31283.45403860789,4793.612484392024,20.0,R07,if ((int)resp.StatusCode >= 500)
L-131,31283.45403860789,4793.612484392024,20.0,R07,return /* treat as dependency error */;
L-132,31283.45403860789,4793.612484392024,20.0,R07,resp.EnsureSuccessStatusCode();
L-133,31283.45403860789,4793.612484392024,20.0,R07,return /* success */;
L-134,31283.45403860789,4793.612484392024,20.0,R07,}
L-135,31283.45403860789,4793.612484392024,20.0,R07,catch (BulkheadRejectedException)
L-136,31283.45403860789,4793.612484392024,20.0,R07,{
L-137,31283.45403860789,4793.612484392024,20.0,R07,// overloaded
L-138,31283.45403860789,4793.612484392024,20.0,R07,return /* 429 or 503 */;
L-139,31283.45403860789,4793.612484392024,20.0,R07,}
L-140,31283.45403860789,4793.612484392024,20.0,R07,catch (BrokenCircuitException)
L-141,31283.45403860789,4793.612484392024,20.0,R07,{
L-142,31283.45403860789,4793.612484392024,20.0,R07,"// dependency is down, fail fast"
L-143,31283.45403860789,4793.612484392024,20.0,R07,return /* 503 */;
L-144,31283.45403860789,4793.612484392024,20.0,R07,}
L-145,31283.45403860789,4793.612484392024,20.0,R07,catch (TimeoutRejectedException)
L-146,31283.45403860789,4793.612484392024,20.0,R07,{
L-147,31283.45403860789,4793.612484392024,20.0,R07,// dependency timed out
L-148,31283.45403860789,4793.612484392024,20.0,R07,return /* 504 */;
L-149,31283.45403860789,4793.612484392024,20.0,R07,}
L-150,31283.45403860789,4793.612484392024,20.0,R07,catch (HttpRequestException)
L-151,31283.45403860789,4793.612484392024,20.0,R07,{
L-152,31283.45403860789,4793.612484392024,20.0,R07,// network/transport failure
L-153,31283.45403860789,4793.612484392024,20.0,R07,return /* 503 or dependency error */;
L-154,31283.45403860789,4793.612484392024,20.0,R07,}
L-155,12651.832032490507,4943.8214272016185,191.851833767361,R03,!!!
L-156,4251.164699510749,5057.770449853864,307.99999999999994,R01,nesting
L-157,15239.496192126056,5149.449698352001,20.0,R03,so we need ratelimitpartition when
L-158,15239.496192126056,5149.449698352001,20.0,R03,1 we need specific ratelimiter and we need to pass
L-159,15239.496192126056,5149.449698352001,20.0,R03,key (ratelimiter middleware case)
L-160,15239.496192126056,5149.449698352001,20.0,R03,2 we need to create ratelimiter with callback that has httpcontext
L-161,15239.496192126056,5149.449698352001,20.0,R03,as arg
L-162,15239.496192126056,5149.449698352001,20.0,R03,3 we need to create chained rate limiter -- PARTITIONED RATE LIMITER
L-163,12532.42040792454,5197.4510980864925,20.0,R03,using strategyopiton need to acquire
L-164,4422.4987144033275,6014.729140497189,20.66668701171875,R01,need to think about nesting in polly like that
L-165,4422.4987144033275,6014.729140497189,20.66668701171875,R01,whe nsomeything has multiple retries or hedge attempts
L-166,4422.4987144033275,6014.729140497189,20.66668701171875,R01,and we put something inside - we wrap each retry with one bulhead
L-167,4422.4987144033275,6014.729140497189,20.66668701171875,R01,and all retries affect bulkhead
L-168,12824.978098623802,6044.091297549778,20.0,R03,from threading we return our limiter types
L-169,30323.99380882506,6079.440726860497,112.44441731770056,R07,in newer
L-170,27079.671309364072,6390.291031578277,85.77783203124999,R06,!!!!
L-171,20763.967434656704,7448.019365131708,20.0,R04,how to handle?
L-172,26944.9787981103,7694.38477495915,73.33349609375,R06,choosing pipelines based on something
L-173,29145.581342016863,7761.027683449038,48.8000244140625,R06,exception bubling
L-174,29145.581342016863,7761.027683449038,48.8000244140625,R06,"outer starts call inner one, not throw to inner"
L-175,29145.196769386745,8000.480375453488,27.238089425223723,R06,so cant tell inner starts to not handle ex from outer because ex
L-176,29145.196769386745,8000.480375453488,27.238089425223723,R06,bubble fro miner to outer and outer just call inner ones
L-177,13412.595040457589,8277.953895307335,167.5555419921874,R03,conditional rate limiting
L-178,17168.28512384347,9160.714963775134,154.66662597656224,R04,classic polly transient failures
L-179,17168.28512384347,9160.714963775134,154.66662597656224,R04,new polly
L-180,17168.28512384347,9160.714963775134,154.66662597656224,R04,vs httprequest exception
L-181,11390.573202240483,9753.897982233713,242.93334960937523,R03,for testing
L-182,17143.198460615204,10243.107274486012,64.95235770089201,R04,with extension
L-183,18272.722255606834,10264.059640906211,64.95235770089201,R04,manually
