source_id,region,coverage_status,decision_is_final,duplicate_source_ids,notes
S-112,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-113,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-121,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-122,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-124,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-128,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-131,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-133,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-135,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-137,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-140,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-143,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-145,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-146,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-148,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-149,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-152,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-153,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-154,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-158,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-159,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-162,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-164,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-166,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-168,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-169,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-171,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-173,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-176,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-179,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-181,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-182,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-183,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-184,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-185,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-186,R03,processed-in-r03-v001,yes-for-r03-v001-boundary,,Processed in R03 v001; source image preserved in audit-assets/R03-source-images.
S-001,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-001,S-033",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-002,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-003,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-009,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-010,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-011,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-011,S-155",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-020,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-024,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-038,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-045,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-058,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-066,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-078,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-087,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-090,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-099,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-104,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-111,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-119,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-129,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-136,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-141,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-147,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-175,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-177,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-054,S-177",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-178,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-044,S-178",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-180,R04,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-062,S-180",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-012,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-015,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-018,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-029,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-036,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-037,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-046,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-049,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-050,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-061,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-063,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-072,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-086,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-091,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-098,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-107,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-117,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-125,R05,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-017,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-028,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-043,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-054,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-054,S-177",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-062,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-062,S-180",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-071,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-075,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-096,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-100,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-027,S-100",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-106,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-110,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-115,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-120,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-123,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-126,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-132,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-142,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-155,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,"S-011,S-155",Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-157,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-160,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-163,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-165,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-170,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-172,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-174,R06,processed-in-r04r05r06-v001,yes-for-r04r05r06-v001-boundary,,Included in R04/R05/R06 combined pass after visual/semantic boundary review.
S-014,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-027,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-027,S-100",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-030,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-044,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,"S-044,S-178",Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-059,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-069,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-081,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-085,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-097,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-108,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-130,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
S-139,R07,processed-in-r01r02r07-final-v001,yes-for-r01r02r07-final-v001-boundary,,Included in final R01/R02/R07 pass after boundary review; final coverage closed.
