source_id,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,cb1b53c07193a5e388653690e4791c57f904da11,cb1b53c071,5415.411,10434.367,806.0,352.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-031: converting | L-036: time zones | L-020: when need to show user his local time | L-021: findsystemtimezonebyid | L-016: convert datetime to utc,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-015,11c354459b775c6465f4fa91eaab0765676d3ce0,11c354459b,5494.379,17429.732,836.0,440.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.","L-040: date math pitfalls | L-007: (dont really understand how example below works) | L-006: values | L-005: better to just recreate datetime object copying | L-085: timezone, so we can store it",processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-016,acf157b83234eecf132afaacc713adb331919157,acf157b832,5496.161,17865.719,741.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-040: date math pitfalls | L-007: (dont really understand how example below works) | L-006: values | L-005: better to just recreate datetime object copying | L-076: what if i pass with specified kind?,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-017,e3a249a686ef10c5bcee8111475f8908fbf62433,e3a249a686,5474.882,18373.558,806.0,306.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-040: date math pitfalls | L-076: what if i pass with specified kind? | L-007: (dont really understand how example below works) | L-006: values | L-005: better to just recreate datetime object copying,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-018,1c53f3503d5ae320f7d9845279c8ec3b96982517,1c53f3503d,5459.363,18672.335,840.0,464.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.","L-076: what if i pass with specified kind? | L-040: date math pitfalls | L-007: (dont really understand how example below works) | L-085: timezone, so we can store it | L-006: values",processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-019,b5d1f82a635027b519b33d70f562b8a12cb33839,b5d1f82a63,5434.828,19146.142,756.0,482.0,0.0,1,R05-invalid-ambiguous-time-policies,P04-R05-invalid-ambiguous-time-policies,"Invalid/ambiguous local times, DST gaps/folds, timezone policy helpers.","L-076: what if i pass with specified kind? | L-092: example of invalid/ambiguous time | L-093: policies | L-085: timezone, so we can store it | L-040: date math pitfalls",processed-in-r05-v001,yes-for-r05-v001-boundary,R05 processed after local boundary review.,R05,no-for-r05-v001
S-020,8aca5e5aac02051927b5136d0e39f8a2ee4b20bd,8aca5e5aac,5418.752,19657.169,859.0,441.0,0.0,1,R05-invalid-ambiguous-time-policies,P04-R05-invalid-ambiguous-time-policies,"Invalid/ambiguous local times, DST gaps/folds, timezone policy helpers.",L-092: example of invalid/ambiguous time | L-093: policies | L-076: what if i pass with specified kind? | L-094: common invalid/ambiguous | L-095: time policies,processed-in-r05-v001,yes-for-r05-v001-boundary,R05 processed after local boundary review.,R05,no-for-r05-v001
S-021,f7b36b9cf7a5544af5d280f3457eb61493a2781a,f7b36b9cf7,8512.492,2268.364,763.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-030: comparing times | L-039: expiratjion patterns | L-029: adding and substructing | L-009: what is the offset | L-001: datetimeoffset.localdatetime,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-022,3bb73c671948cb62c38e21f2a49f3d9fd0536684,3bb73c6719,8472.309,1552.187,873.0,338.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-030: comparing times | L-029: adding and substructing | L-039: expiratjion patterns | L-009: what is the offset | L-035: common choices,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-023,0dcede3d6f1431842f2a95d6abc108c373ec21fb,0dcede3d6f,8480.809,1041.92,685.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-029: adding and substructing | L-030: comparing times | L-039: expiratjion patterns | L-009: what is the offset | L-035: common choices,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-024,0797764a58eb98cb3e23c4f07b76bb83ce1fe225,0797764a58,5570.275,7638.41,799.0,300.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-104: what format | L-103: when to use | L-028: unix time | L-014: when to use unix time | L-031: converting,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-025,7d61f4c5afc6f9cfb3f6bf5961f5b6de97d87a44,7d61f4c5af,5598.799,7147.254,742.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-103: when to use | L-104: what format | L-014: when to use unix time | L-010: ticks vs unix seconds,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-026,9824ae60e88ae4cff89080558dcc9700d8398240,9824ae60e8,5596.775,6812.41,778.0,304.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-103: when to use | L-104: what format | L-014: when to use unix time | L-010: ticks vs unix seconds,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-027,d048c265a0d179ec2ea022ffee3f4371e9c57d45,d048c265a0,5609.942,6373.077,829.0,460.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-103: when to use | L-104: what format | L-014: when to use unix time | L-010: ticks vs unix seconds,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-028,3ddbc4772d7b3eed0c41ecfeca57c897aba3b555,3ddbc4772d,3901.108,5218.41,484.0,256.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-010: ticks vs unix seconds | L-027: ticks | L-011: what do ticks represent | L-028: unix time | L-014: when to use unix time,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-029,827b0932716c3ed3ab4f3e9e286a0dd69d2f4d27,827b093271,3884.5,4719.92,685.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-027: ticks | L-010: ticks vs unix seconds | L-028: unix time | L-011: what do ticks represent | L-014: when to use unix time,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-030,23267c80e874336a1dce32ffc531d98f43ce7aaf,23267c80e8,5622.144,5097.92,839.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-001: datetimeoffset.localdatetime | L-010: ticks vs unix seconds | L-027: ticks | L-103: when to use,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-031,d12c4db3c17a31ad951ea189874e0a01c75ea931,d12c4db3c1,5630.814,4615.254,726.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-028: unix time | L-001: datetimeoffset.localdatetime | L-027: ticks | L-010: ticks vs unix seconds | L-103: when to use,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-032,3f95bfeef64cbe6bf170328c57bf768d4d5a1c49,3f95bfeef6,5604.942,4280.91,895.0,335.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-028: unix time | L-027: ticks | L-010: ticks vs unix seconds | L-039: expiratjion patterns,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-033,a56e4c73a94beb7fd4234ec3090159384f227d49,a56e4c73a9,5611.775,3957.91,836.0,285.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-028: unix time | L-027: ticks | L-039: expiratjion patterns | L-009: what is the offset,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-034,f78b53d44de0dfb6410198e0393b3db438f107f0,f78b53d44d,5627.775,3470.41,852.0,476.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-027: ticks | L-039: expiratjion patterns | L-028: unix time,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-035,e404e1a2d57ca1648fe9d7d03e0ca743bb7f22b3,e404e1a2d5,5642.775,3123.243,862.0,341.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-039: expiratjion patterns | L-008: datetime.specifykind | L-034: what to use when,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-036,424b9ccca3b8f5c4826bd7fce4a4100f2d3ade7a,424b9ccca3,5607.775,2796.41,828.0,328.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-034: what to use when | L-008: datetime.specifykind | L-033: coretypes,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-037,c4462d9c5c2dd7c400740efcc7b5f10bf97653fb,c4462d9c5c,5610.442,2384.743,836.0,402.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-034: what to use when | L-033: coretypes | L-008: datetime.specifykind,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-038,5d5d11bd15046f68d557214f5a55939b76135600,5d5d11bd15,5604.943,1899.608,718.0,471.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-009: what is the offset | L-034: what to use when | L-001: datetimeoffset.localdatetime | L-033: coretypes | L-032: basics,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-039,36693495387c4c58d2fe256ab3dfcd9b43dad1ef,3669349538,5579.237,1407.254,636.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-034: what to use when | L-033: coretypes | L-032: basics | L-009: what is the offset | L-008: datetime.specifykind,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-040,4ee4b0a7f92358f6c0df2e0321d41edca2bcedf7,4ee4b0a7f9,5557.775,957.91,856.0,429.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-034: what to use when | L-033: coretypes | L-032: basics | L-009: what is the offset | L-035: common choices,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-041,e655844d8b7a4985d591437a07255c6cc646767e,e655844d8b,6968.304,1679.785,817.0,356.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-009: what is the offset | L-030: comparing times | L-029: adding and substructing | L-039: expiratjion patterns | L-001: datetimeoffset.localdatetime,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-042,075530dd366f7663bb4946733c9493169bbaea26,075530dd36,6967.44,2063.169,808.0,463.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-009: what is the offset | L-030: comparing times | L-001: datetimeoffset.localdatetime | L-039: expiratjion patterns | L-029: adding and substructing,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-043,6b1790ac3442c94c1681a47b21126a089035f9b6,6b1790ac34,6989.718,2589.323,758.0,463.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-039: expiratjion patterns | L-009: what is the offset | L-030: comparing times | L-029: adding and substructing,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-044,0c6a3234e202bde7efde4a4ecfa7a0a3edc9f1cd,0c6a3234e2,7042.059,3444.708,612.0,463.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-039: expiratjion patterns | L-030: comparing times | L-009: what is the offset | L-029: adding and substructing,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after local boundary review.,R01,no-for-r01-v001
S-045,7ff43d2b369b41791744758b7cf387b7b9085a04,7ff43d2b36,7053.057,11563.167,778.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-021: findsystemtimezonebyid | L-020: when need to show user his local time | L-019: timezoneinfo | L-036: time zones | L-037: json,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-046,3be3403946b9d532f0226181968c1ddeca155bb2,3be3403946,7032.432,12056.49,839.0,239.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-021: findsystemtimezonebyid | L-020: when need to show user his local time | L-019: timezoneinfo | L-036: time zones | L-037: json,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-047,f2685b0dfef108752e032b97c46496e12bc8882c,f2685b0dfe,7024.932,12325.656,844.0,384.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-021: findsystemtimezonebyid | L-020: when need to show user his local time | L-019: timezoneinfo | L-037: json | L-036: time zones,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-048,a9e03a35caf8c78d164480b39bba679a700f16fd,a9e03a35ca,7044.964,12731.5,771.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-021: findsystemtimezonebyid | L-037: json | L-020: when need to show user his local time | L-019: timezoneinfo | L-002: !!! daylightsavingtime,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-049,8876fadc6ce7c72617b316b104236a637a9b3ea5,8876fadc6c,7050.432,13250.823,843.0,377.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-002: !!! daylightsavingtime | L-003: can be important for displaying | L-037: json | L-038: model binding | L-021: findsystemtimezonebyid,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-050,403580f414e26c8becd397fa8ff987e51a9b2841,403580f414,7068.932,13649.49,806.0,373.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-003: can be important for displaying | L-002: !!! daylightsavingtime | L-038: model binding | L-005: better to just recreate datetime object copying | L-037: json,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-051,cea340a4405925c40b61d420a1a17b96c0827ecf,cea340a440,7059.265,14042.157,842.0,371.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-005: better to just recreate datetime object copying | L-006: values | L-007: (dont really understand how example below works) | L-003: can be important for displaying | L-002: !!! daylightsavingtime,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
S-052,1ad0fba431e493b65273318d3131cebdd366bfd4,1ad0fba431,8141.599,11502.49,844.0,247.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-019: timezoneinfo | L-021: findsystemtimezonebyid | L-020: when need to show user his local time | L-002: !!! daylightsavingtime | L-003: can be important for displaying,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after local boundary review.,R04,no-for-r04-v001
