source_id,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,r01_boundary_decision,r01_boundary_note
S-005,410ac85eef99a9c7c3617bcaee5b38fb8f34fc6f,410ac85eef,7001.76,248.471,586.0,313.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-035: common choices | L-029: adding and substructing | L-009: what is the offset | L-032: basics | L-033: coretypes,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-036,424b9ccca3b8f5c4826bd7fce4a4100f2d3ade7a,424b9ccca3,5607.775,2796.41,828.0,328.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-034: what to use when | L-008: datetime.specifykind | L-033: coretypes,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-037,c4462d9c5c2dd7c400740efcc7b5f10bf97653fb,c4462d9c5c,5610.442,2384.743,836.0,402.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-009: what is the offset | L-034: what to use when | L-033: coretypes | L-008: datetime.specifykind,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-038,5d5d11bd15046f68d557214f5a55939b76135600,5d5d11bd15,5604.943,1899.608,718.0,471.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-009: what is the offset | L-034: what to use when | L-001: datetimeoffset.localdatetime | L-033: coretypes | L-032: basics,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-039,36693495387c4c58d2fe256ab3dfcd9b43dad1ef,3669349538,5579.237,1407.254,636.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-034: what to use when | L-033: coretypes | L-032: basics | L-009: what is the offset | L-008: datetime.specifykind,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-040,4ee4b0a7f92358f6c0df2e0321d41edca2bcedf7,4ee4b0a7f9,5557.775,957.91,856.0,429.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-034: what to use when | L-033: coretypes | L-032: basics | L-009: what is the offset | L-035: common choices,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-041,e655844d8b7a4985d591437a07255c6cc646767e,e655844d8b,6968.304,1679.785,817.0,356.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-009: what is the offset | L-030: comparing times | L-029: adding and substructing | L-039: expiratjion patterns | L-001: datetimeoffset.localdatetime,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-042,075530dd366f7663bb4946733c9493169bbaea26,075530dd36,6967.44,2063.169,808.0,463.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-009: what is the offset | L-030: comparing times | L-001: datetimeoffset.localdatetime | L-039: expiratjion patterns | L-029: adding and substructing,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-043,6b1790ac3442c94c1681a47b21126a089035f9b6,6b1790ac34,6989.718,2589.323,758.0,463.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-039: expiratjion patterns | L-009: what is the offset | L-030: comparing times | L-029: adding and substructing,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-044,0c6a3234e202bde7efde4a4ecfa7a0a3edc9f1cd,0c6a3234e2,7042.059,3444.708,612.0,463.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-001: datetimeoffset.localdatetime | L-039: expiratjion patterns | L-030: comparing times | L-009: what is the offset | L-029: adding and substructing,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-059,6afd822c0c1fe525217f599f3b0a43bd0fb7bc44,6afd822c0c,4480.184,1604.897,716.0,430.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-008: datetime.specifykind | L-034: what to use when | L-033: coretypes | L-032: basics | L-009: what is the offset,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-060,81f403bd202103538686c8389359893632052129,81f403bd20,3840.358,6014.071,718.0,98.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-010: ticks vs unix seconds | L-028: unix time | L-027: ticks | L-014: when to use unix time | L-011: what do ticks represent,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-061,4155a5c6827b38b614272b640779c88c61d95d65,4155a5c682,3850.834,6108.582,699.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-010: ticks vs unix seconds | L-014: when to use unix time | L-028: unix time | L-011: what do ticks represent | L-027: ticks,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-062,94118058e6ebbb92cf98528746b35129bd13c2de,94118058e6,3822.473,6589.693,789.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-014: when to use unix time | L-010: ticks vs unix seconds | L-028: unix time | L-011: what do ticks represent | L-012: unix when you need to integrate,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-063,df0bc019482e9b0f23d1b77063c41d799381edb1,df0bc01948,4269.136,10938.627,826.0,470.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-018: specified | L-017: if there is no offset | L-016: convert datetime to utc | L-015: how its possible to | L-036: time zones,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-064,296c85f168c4fa344b0aeb3c784c6e118f0dd11c,296c85f168,4282.747,11443.461,831.0,417.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-036: time zones | L-018: specified | L-017: if there is no offset | L-016: convert datetime to utc | L-015: how its possible to,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-065,f495f06a668f555b31ecdb3aa179cc387ad50fed,f495f06a66,4296.3,11890.804,724.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-036: time zones | L-037: json | L-018: specified | L-017: if there is no offset | L-016: convert datetime to utc,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-066,e18a7989d86759b62bdde2f835d2c9290bf09258,e18a7989d8,4269.21,12382.516,874.0,378.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-037: json | L-036: time zones | L-038: model binding | L-018: specified | L-004: stopwatch,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-067,e1c679548ecfa54102c72e923866c521c6c9686b,e1c679548e,7071.352,14684.804,730.0,482.0,0.0,1,R04-timezones-converting-date-math-dst,P03-R04-timezones-conversion-json-model-binding-dst,"TimeZoneInfo, UTC/local conversion, JSON/model binding, date math pitfalls, user local time, DST.",L-005: better to just recreate datetime object copying | L-006: values | L-007: (dont really understand how example below works) | L-003: can be important for displaying | L-082: why converting,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-073,6720f98bfffe90344bcf91aaab1c1402b1f068cf,6720f98bff,4224.313,7868.507,677.0,463.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-014: when to use unix time | L-028: unix time | L-010: ticks vs unix seconds | L-031: converting | L-013: js frontend,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-074,69d674b41e7599f28a980098934b916ecd1390f1,69d674b41e,4192.646,8349.173,751.0,427.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-014: when to use unix time | L-031: converting | L-015: how its possible to | L-016: convert datetime to utc | L-017: if there is no offset,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-075,98f57da49357ec0fe045b829d268d6f2f4687508,98f57da493,4223.674,8809.517,684.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-014: when to use unix time | L-031: converting | L-015: how its possible to | L-016: convert datetime to utc | L-017: if there is no offset,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-076,71622f896c3c356c18cc3590aafd02ff39e0583c,71622f896c,4181.48,9309.84,728.0,239.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-015: how its possible to | L-031: converting | L-016: convert datetime to utc | L-017: if there is no offset | L-018: specified,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-077,d4c93ced164200900f4affe05cfab25dec50c120,d4c93ced16,4136.98,9590.507,857.0,459.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-015: how its possible to | L-016: convert datetime to utc | L-031: converting | L-017: if there is no offset | L-018: specified,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-078,cd99fc14589b0d4920c41361e556effa73da48be,cd99fc1458,2729.813,6477.84,842.0,391.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-011: what do ticks represent | L-010: ticks vs unix seconds | L-012: unix when you need to integrate | L-013: js frontend | L-014: when to use unix time,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-079,f95742b6e2635040467213796032b94e695272bc,f95742b6e2,2736.262,5958.85,877.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-011: what do ticks represent | L-010: ticks vs unix seconds | L-012: unix when you need to integrate | L-013: js frontend | L-027: ticks,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-080,533e36ee49e8a12bf4503bd4f277d9b7dfaa06cf,533e36ee49,2661.42,7827.681,823.0,312.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-013: js frontend | L-012: unix when you need to integrate | L-014: when to use unix time | L-011: what do ticks represent | L-010: ticks vs unix seconds,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-081,0b4cc714488532ed55fea36f7874a1b91394b4a9,0b4cc71448,2680.266,8161.572,724.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-013: js frontend | L-012: unix when you need to integrate | L-014: when to use unix time | L-015: how its possible to | L-016: convert datetime to utc,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-082,47990c36c240f80075179d0a031ec22a95d3fdbb,47990c36c2,2642.944,8674.348,799.0,352.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-013: js frontend | L-012: unix when you need to integrate | L-014: when to use unix time | L-015: how its possible to | L-016: convert datetime to utc,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-083,3b0cb8847cbe7c97429aee4287713392660e3e3a,3b0cb8847c,2655.039,9064.43,744.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-013: js frontend | L-015: how its possible to | L-016: convert datetime to utc | L-012: unix when you need to integrate | L-017: if there is no offset,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
S-084,a1ca7c7677fc4f7a05e09a70acf3ebe0dfaef059,a1ca7c7677,2641.392,9553.953,791.0,482.0,0.0,1,R01-core-types-offset-ticks-unix-js,P01-R01-core-types-offset-ticks-unix-js,"Core DateTime/DateTimeOffset choices, Kind/offset basics, comparing, ticks, Unix time, JS local formatting.",L-015: how its possible to | L-016: convert datetime to utc | L-017: if there is no offset | L-018: specified | L-026: tolocalestring,candidate-needs-boundary-review,no,Coordinate candidate only; must be visually/semantically checked before transcript.,include-r01,Belongs to R01 core time types / Kind / offset / ticks / Unix / JS local display road.
