use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-0001,image-02f6f0e70276e974257c4d127fd49fbc136899f5,54edfdf5ae21.png,54edfdf5ae21,R01,1832.2109592788056,7619.068155416982,655.0,482.0,1.0,,T-0163|T-0162|T-0164,Large file on disk:|(avoids big UTF-16 JSON string)|- Prefer FileStream + StreamContent,pending_transcript
IU-0036,image-1a25f32af5066aa694dbbf6903cb591423e13655,f4e0735add58.png,f4e0735add58,R05,23652.63992374135,7439.960179783155,903.0,233.0,1.0,,T-0233|T-0234|T-0235,trying to inprove|performance /memory|through streams/pipes,pending_transcript
IU-0037,image-43a56ec68a638e9db338e5c23fa2e384e902308b,3298368bc0fb.png,3298368bc0fb,R05,23665.17569454314,4215.192066789904,720.0,482.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0038,image-664cc900be82c61cfb280704e9165dac3ed90956,d98bf2c3a769.png,d98bf2c3a769,R05,23700.555061666797,4617.5571641991055,875.0,482.0,1.0,,T-0181|T-0180|T-0179,BASE64 STRING|ADD TO REQUEST MEDIA TYPES|BINDING DTO WITH FILE FROM FORM,pending_transcript
IU-0039,image-2fddbbb319414901b5e6ff47953e6b7b25529a1d,29bfb82b0203.png,29bfb82b0203,R04,14504.911896709864,3319.517641659517,801.0,321.0,1.0,,T-0186|T-0206|T-0185,GIVES US|readfromjson need responseheadersread too|WHAT RESPONSEHEADERSREAD,pending_transcript
IU-0040,image-2f8ae74c4db42d54378eed79fa930188f0734150,65ceafb6a7b9.png,65ceafb6a7b9,R04,14545.799810819672,3617.0596367418457,666.0,482.0,1.0,,T-0206|T-0186|T-0185,readfromjson need responseheadersread too|GIVES US|WHAT RESPONSEHEADERSREAD,pending_transcript
IU-0041,image-c4cce7431237e5e5cf58311a2872dac486d6abef,7c11eb4cd80b.png,7c11eb4cd80b,R04,14424.330475811426,4162.670595761079,842.0,482.0,1.0,,T-0206|T-0186|T-0187,readfromjson need responseheadersread too|GIVES US|CAVEATS WHEN YOU DONT BUFFER,pending_transcript
IU-0042,image-8ca1c1ac5ea883f69f705f2aa2e25971129527e9,4cb0ef1e004b.png,4cb0ef1e004b,R04,14513.578766827051,4747.183901425142,677.0,319.0,1.0,,T-0187|T-0206|T-0186,CAVEATS WHEN YOU DONT BUFFER|readfromjson need responseheadersread too|GIVES US,pending_transcript
IU-0043,image-ec7e4402e7c110d39c4ad9ea1e64c9a32883e58b,71402d293c66.png,71402d293c66,R04,14394.34341244619,5643.8852029668205,795.0,177.0,1.0,,T-0187|T-0474|T-0197,CAVEATS WHEN YOU DONT BUFFER|enable buffering|!!!,pending_transcript
IU-0044,image-87389587fa3e38a91aa0592042a0462f5f5d28fa,4317ce41bd72.png,4317ce41bd72,R04,14375.489686633022,5916.734148991838,886.0,437.0,1.0,,T-0187|T-0474|T-0197,CAVEATS WHEN YOU DONT BUFFER|enable buffering|!!!,pending_transcript
IU-0045,image-62c55639b8dfc810a82ed97a3b59605022a14d59,1c43f2a8a50d.png,1c43f2a8a50d,R04,14386.156404162319,6392.567339909807,912.0,274.0,1.0,,T-0474|T-0187|T-0197,enable buffering|CAVEATS WHEN YOU DONT BUFFER|!!!,pending_transcript
IU-0046,image-c758d2c95d8850330b91f8ac576c520a6a1893fa,d3e9bbb313a9.png,d3e9bbb313a9,R04,14401.989686633022,6712.400774968401,837.0,341.0,1.0,,T-0197|T-0474|T-0187,!!!|enable buffering|CAVEATS WHEN YOU DONT BUFFER,pending_transcript
IU-0047,image-33ccd0635980e0dadf7d417fc3dc3c9816d6f211,1e35e21c17b8.png,1e35e21c17b8,R04,14432.510880672162,7067.855568262672,798.0,482.0,1.0,,T-0197|T-0474|T-0187,!!!|enable buffering|CAVEATS WHEN YOU DONT BUFFER,pending_transcript
IU-0048,image-e9397dcc431c08ee185d85303f849d01e2e40e31,5c6794ec3373.png,5c6794ec3373,R04,14414.156353299688,7584.420839813631,846.0,471.0,1.0,,T-0197|T-0474|T-0228,!!!|enable buffering|server,pending_transcript
IU-0049,image-51a6f6bfda4e06326bf081d383817b5f8ab7ab2b,6c422ed045cc.png,6c422ed045cc,R04,14440.711976672084,8072.5875573429275,764.0,228.0,1.0,,T-0197|T-0228|T-0474,!!!|server|enable buffering,pending_transcript
IU-0050,image-911ebc85ceb804dcff3844f15d535851419d1d48,7ab4e2140f8d.png,7ab4e2140f8d,R04,14453.989584907762,8333.587506480297,653.0,366.0,1.0,,T-0228|T-0197|T-0474,server|!!!|enable buffering,pending_transcript
IU-0051,image-3c3adde4461e54099f6d630f0feb6a7b82560745,a129e450a105.png,a129e450a105,R04,16667.152504700018,4544.724762905161,870.0,324.0,1.0,,T-0182|T-0183|T-0188,"sream reader|can be useful too if you want line by line reading somewhere|AND ALSO YOU CANT READASSTRING ON SERVER ENDPOINT,",pending_transcript
IU-0052,image-62cfce53b67a1ca49c90cc4fb3d2047d0c5d837c,43751b19b355.png,43751b19b355,R04,16705.899219715717,5324.725226931639,827.0,333.0,1.0,,T-0189|T-0188|T-0183,"YOU NEED TO USE THIS|AND ALSO YOU CANT READASSTRING ON SERVER ENDPOINT,|can be useful too if you want line by line reading somewhere",pending_transcript
IU-0053,image-3c0515f8fad70f4a68f50aed38da8b6bb7f28f21,ae1c7748142a.png,ae1c7748142a,R04,16798.49648776631,5700.624600304034,584.0,482.0,1.0,,T-0189|T-0188|T-0183,"YOU NEED TO USE THIS|AND ALSO YOU CANT READASSTRING ON SERVER ENDPOINT,|can be useful too if you want line by line reading somewhere",pending_transcript
IU-0054,image-b1eb92b621a8e0615b30bd1e2998f2439e21456b,09107f6d2455.png,09107f6d2455,R04,16694.79940846199,3047.0451141830854,848.0,463.0,1.0,,T-0190|T-0206|T-0182,CONDITIONAL BUFFERING|readfromjson need responseheadersread too|sream reader,pending_transcript
IU-0055,image-2f8ae74c4db42d54378eed79fa930188f0734150,65ceafb6a7b9.png,65ceafb6a7b9,R03,919.5966665627348,11567.653319360154,666.0,482.0,1.0,IU-0040,T-0172|T-0173|T-0205,deserializing stream on headers arrive in server indpoint|default behavior|readasstreamasync too,pending_transcript
IU-0056,image-59ed2fb29c9a87984434ee9bfc7191b6558b9242,8bdfef6e271d.png,8bdfef6e271d,R04,11277.989154872152,2946.586785580974,800.0,394.0,1.0,,T-0196|T-0193|T-0192,!!!|when you dont buffer full response and process as stream|when you generally buffer full bytes of response using httpclient,pending_transcript
IU-0057,image-f8c871656bff1eddf896fddcac9b4d834d156dbf,838dc54f7093.png,838dc54f7093,R04,11260.655902919027,3351.9202206395676,824.0,314.0,1.0,,T-0193|T-0192|T-0196,when you dont buffer full response and process as stream|when you generally buffer full bytes of response using httpclient|!!!,pending_transcript
IU-0058,image-a35f4a7bdbbb086c8e19104d97d3a00f605c5a5d,91c40b5ddff5.png,91c40b5ddff5,R04,11279.655902919027,3691.9201596044113,850.0,418.0,1.0,,T-0193|T-0192|T-0195,when you dont buffer full response and process as stream|when you generally buffer full bytes of response using httpclient|Stream Reader vs readasstring,pending_transcript
IU-0059,image-1808accc0111cb08cf5e307fad40b4c975d496b4,c9531f803102.png,c9531f803102,R04,11267.787889707644,4161.097405698161,810.0,482.0,1.0,,T-0195|T-0193|T-0192,Stream Reader vs readasstring|when you dont buffer full response and process as stream|when you generally buffer full bytes of response using httpclient,pending_transcript
IU-0060,image-c9168805b7359cfcf67df5ca2a23ea504dbe9dc6,2c3da0c59521.png,2c3da0c59521,R04,11240.600265983263,4649.605380958568,873.0,185.0,1.0,,T-0195|T-0193|T-0192,Stream Reader vs readasstring|when you dont buffer full response and process as stream|when you generally buffer full bytes of response using httpclient,pending_transcript
IU-0061,image-cdc4097c7f439a83f0415f80d23c838e5583665e,b4c0292ef90e.png,b4c0292ef90e,R04,11275.1874307445,4851.9121775623025,714.0,482.0,1.0,,T-0195|T-0198|T-0187,Stream Reader vs readasstring|using delegate handler to fix streaming issues + retries|CAVEATS WHEN YOU DONT BUFFER,pending_transcript
IU-0062,image-f39199d8f3ad294e9b822e924f572ab37618ac49,056dd64dd660.png,056dd64dd660,R04,11261.637375358263,5604.309190908662,809.0,379.0,1.0,,T-0195|T-0198|T-0197,Stream Reader vs readasstring|using delegate handler to fix streaming issues + retries|!!!,pending_transcript
IU-0063,image-fc42e3a0f31cf980360c31d07541986352a101f4,796e6c5f9b7d.png,796e6c5f9b7d,R04,11273.637375358263,6013.36467864738,865.0,352.0,1.0,,T-0195|T-0198|T-0197,Stream Reader vs readasstring|using delegate handler to fix streaming issues + retries|!!!,pending_transcript
IU-0064,image-e364c537a34fcd20ad5dd974f1ae0b346f4ae3c2,58718e388d54.png,58718e388d54,R04,12436.441031411436,3574.134315013479,782.0,482.0,1.0,,T-0186|T-0185|T-0187,GIVES US|WHAT RESPONSEHEADERSREAD|CAVEATS WHEN YOU DONT BUFFER,pending_transcript
IU-0065,image-9dd50dcc0e197d70239282e1dbbbf766f537bc2e,467b8ee37659.png,467b8ee37659,R04,12453.452201475884,3107.049903392385,835.0,415.0,1.0,,T-0186|T-0185|T-0196,GIVES US|WHAT RESPONSEHEADERSREAD|!!!,pending_transcript
IU-0066,image-a5c4a2841ee4a08afa077d8661002543fb6a4e94,9056557c6d22.png,9056557c6d22,R04,12332.026399880831,4232.938775327068,846.0,141.0,1.0,,T-0187|T-0195|T-0186,CAVEATS WHEN YOU DONT BUFFER|Stream Reader vs readasstring|GIVES US,pending_transcript
IU-0067,image-003170a71516e9639a94976b0a051d69d5e9b334,f50cac287cfb.png,f50cac287cfb,R04,12412.659846729122,4093.8275963991146,557.0,95.0,1.0,,T-0187|T-0186|T-0185,CAVEATS WHEN YOU DONT BUFFER|GIVES US|WHAT RESPONSEHEADERSREAD,pending_transcript
IU-0068,image-889a124fd10aa83595fd618d35a0d9289f9854b0,817b34762dd0.png,817b34762dd0,R04,11673.755474844238,7556.168556476514,774.0,482.0,1.0,,T-0198|T-0199|T-0200,"using delegate handler to fix streaming issues + retries|making request with pipeline.execute|the pipeline, not handler, you cant use handler for manual execution",pending_transcript
IU-0069,image-829326150fd8a3c64602cd81ab46a5437fedba7b,b67675fb25aa.png,b67675fb25aa,R04,11744.107815905434,8047.4494622698185,580.0,482.0,1.0,,T-0199|T-0200|T-0198,"making request with pipeline.execute|the pipeline, not handler, you cant use handler for manual execution|using delegate handler to fix streaming issues + retries",pending_transcript
IU-0070,image-a4219729d41dc4c00c201ab65e2266c0aa2c14c2,ecedcb636cb8.png,ecedcb636cb8,R04,12387.180413801225,8170.62533838096,813.0,290.0,1.0,,T-0199|T-0200|T-0197,"making request with pipeline.execute|the pipeline, not handler, you cant use handler for manual execution|!!!",pending_transcript
IU-0071,image-2d36297f56a7725c9346a2c5626fbb24a493cce7,af110c203116.png,af110c203116,R04,11557.918730281122,10047.550361543697,707.0,482.0,1.0,,T-0200|T-0199|T-0198,"the pipeline, not handler, you cant use handler for manual execution|making request with pipeline.execute|using delegate handler to fix streaming issues + retries",pending_transcript
IU-0072,image-af54ccdfe57f9790f4306110bd0012fb68d6f415,77df3f194bb8.png,77df3f194bb8,R04,11459.223154877753,9504.47050499035,854.0,444.0,1.0,,T-0200|T-0199|T-0198,"the pipeline, not handler, you cant use handler for manual execution|making request with pipeline.execute|using delegate handler to fix streaming issues + retries",pending_transcript
IU-0073,image-f0f0808ea8de7f77884ef79b57e84495c038a396,dbd817e489b1.png,dbd817e489b1,R04,11569.149165787756,9005.715178293445,858.0,464.0,1.0,,T-0200|T-0199|T-0198,"the pipeline, not handler, you cant use handler for manual execution|making request with pipeline.execute|using delegate handler to fix streaming issues + retries",pending_transcript
IU-0074,image-db8e76c35ce7b250e8475e9f14bda8182b728731,561f50eb4ec3.png,561f50eb4ec3,R04,12564.117770838522,9948.357882040124,891.0,291.0,1.0,,T-0200|T-0199|T-0228,"the pipeline, not handler, you cant use handler for manual execution|making request with pipeline.execute|server",pending_transcript
IU-0075,image-5bd0dfe740d9e5feba622d5306af33a5fcf5897e,fb7bd94396d1.png,fb7bd94396d1,R04,12524.309886069837,9584.320763132513,961.0,370.0,1.0,,T-0200|T-0199|T-0228,"the pipeline, not handler, you cant use handler for manual execution|making request with pipeline.execute|server",pending_transcript
IU-0076,image-c35fa352c0126d5603655f843f3a5180193a930e,25e45e57a507.png,25e45e57a507,R01,3181.418442326316,3210.5045159477104,877.0,220.0,1.0,,T-0203|T-0169|T-0202,not requestmessage|!!!|content type,pending_transcript
IU-0077,image-87ece5e4383255215193257d6b74eed2f6d18bcd,3b7ea45814ee.png,3b7ea45814ee,R01,3190.001897327089,2814.0338918093858,792.0,354.0,1.0,,T-0203|T-0202|T-0201,not requestmessage|content type|contenttype headers on,pending_transcript
IU-0078,image-e3c87ff97f4866bd2fbcadfe37430ff85dc9709f,20c952b57a47.png,20c952b57a47,R03,2300.099663903865,11830.243505778093,883.0,482.0,1.0,IU-0027,T-0205|T-0204|T-0194,readasstreamasync too|need to dispose|!!!,pending_transcript
IU-0079,image-e5c6a3f0ca8e2fda44b3513b5caf80fe59854b7f,3f2edbb21804.png,3f2edbb21804,R04,15969.974662427485,3911.7550931862897,870.0,454.0,1.0,,T-0206|T-0182|T-0183,readfromjson need responseheadersread too|sream reader|can be useful too if you want line by line reading somewhere,pending_transcript
IU-0080,image-0875f02132ab286b459c18623bef6cf8a9f66f1f,79e466677c9a.png,79e466677c9a,R02,7890.791374113551,2675.728822323639,1067.0,203.0,1.0,,T-0224|T-0223|T-0222,jsoncontent.create|vs|memorystream + stream content,pending_transcript
IU-0081,image-243ea2e732727283c25fba94f084ef25e3fd49c7,edb4c18defa9.png,edb4c18defa9,R02,7924.492749886216,2919.278111901247,1050.0,377.0,1.0,,T-0224|T-0223|T-0222,jsoncontent.create|vs|memorystream + stream content,pending_transcript
IU-0082,image-77754e4da73bcbd0b097b9911e473c8a241df0a5,3316c1c7b594.png,3316c1c7b594,R02,7943.619763497603,3706.295961361353,1091.0,354.0,1.0,,T-0224|T-0223|T-0222,jsoncontent.create|vs|memorystream + stream content,pending_transcript
IU-0083,image-85365fa651348f6ae239118cd9ddfac383a2a32c,b2b5bcb79456.png,b2b5bcb79456,R02,7928.242157747749,3379.1992903833598,984.0,191.0,1.0,,T-0224|T-0223|T-0222,jsoncontent.create|vs|memorystream + stream content,pending_transcript
IU-0084,image-07ee32802951bb57bedef5361159c0d680b834d3,b568d2067f09.png,b568d2067f09,R02,6332.279224318872,3112.895025461541,993.0,364.0,1.0,,T-0209|T-0224|T-0208,that seialize to string|jsoncontent.create|memorystream is still better,pending_transcript
IU-0085,image-da7e380b7d410e5059e398d8943e2d9c0a6072b3,8579786fa6fa.png,8579786fa6fa,R02,6340.496265997024,2633.1326408734712,923.0,482.0,1.0,,T-0209|T-0224|T-0208,that seialize to string|jsoncontent.create|memorystream is still better,pending_transcript
IU-0086,image-7dd5fb053c00ed389847f492437ff434ce57349c,9fd26fea877d.png,9fd26fea877d,R02,5077.3238451293655,3370.5239476461247,999.0,247.0,1.0,,T-0209|T-0208|T-0225,that seialize to string|memorystream is still better|sending json,pending_transcript
IU-0087,image-f044ce7f3b69f99d4f1e129ecb62f7a92e721b93,906849a736d9.png,906849a736d9,R02,5058.067544423235,3137.0880815103083,857.0,279.0,1.0,,T-0209|T-0208|T-0225,that seialize to string|memorystream is still better|sending json,pending_transcript
IU-0088,image-51e5837bcb2074a1ec80ed0f5d7ea52797d4fb30,63062f0b283b.png,63062f0b283b,R02,5137.028993273998,6552.100444866806,989.0,482.0,1.0,,T-0213|T-0212|T-0215,"in headers|issue, what jsoncontent can set|without transfer-encoding",pending_transcript
IU-0089,image-e616cd37b7b0c51f299634dc74f2a716825b3214,fd7dabe2fe1e.png,fd7dabe2fe1e,R02,5130.243520435139,7052.682666003962,987.0,269.0,1.0,,T-0217|T-0213|T-0212,"memorystream fits content-length|in headers|issue, what jsoncontent can set",pending_transcript
IU-0090,image-12f4074972911f17c241defe8df396e3b71df80a,53730961f6a3.png,53730961f6a3,R02,5131.236393406894,7330.510226559189,972.0,288.0,1.0,,T-0217|T-0213|T-0212,"memorystream fits content-length|in headers|issue, what jsoncontent can set",pending_transcript
IU-0091,image-fde0da3120c76af04619b993a4db9df1d9fd45de,2e8dc53f914e.png,2e8dc53f914e,R02,6406.104824563412,6461.605709018619,1034.0,269.0,1.0,,T-0215|T-0214|T-0216,without transfer-encoding|request with content-length|request with transfer-encoding: chunked,pending_transcript
IU-0092,image-dd22004fbdfeda18afb3ac246032d2fc56d840f6,34863280e568.png,34863280e568,R02,6410.076487557535,6742.4604776901615,1006.0,149.0,1.0,,T-0215|T-0214|T-0216,without transfer-encoding|request with content-length|request with transfer-encoding: chunked,pending_transcript
IU-0093,image-03f0b610e0655c818799bab7495578d85c063458,364af723d1ed.png,364af723d1ed,R02,6392.311769675591,6919.5078409714115,887.0,482.0,1.0,,T-0218|T-0226|T-0215,compression and 2 flows|!!!|without transfer-encoding,pending_transcript
IU-0094,image-16f6914af1169cb01674b91a9c8c095eed9f2bc2,163516233fa7.png,163516233fa7,R02,7597.299116680801,6386.0346082782635,1076.0,210.0,1.0,,T-0216|T-0221|T-0226,request with transfer-encoding: chunked|crlf|!!!,pending_transcript
IU-0095,image-e0c066115b478f543700bb945db223adbec8e52a,b4a556f90816.png,b4a556f90816,R02,7627.281913000688,6608.396899402396,1010.0,482.0,1.0,,T-0216|T-0226|T-0221,request with transfer-encoding: chunked|!!!|crlf,pending_transcript
