source_id,image_use_id,canvas_order,x,y,width,height,region,coverage_status,correction_scope,summary,evidence_path
S-053,IU-053,53,14655.100037348915,1134.2240315013455,860.0,308.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,"Sensor monitor scenario: a BackgroundService reads temperature, compares options-driven thresholds, logs or alerts, waits and repeats.",audit-assets/correction-missing-images/S-053_f4acae6ece.png
S-054,IU-054,54,14673.433472407509,1989.668408128951,830.0,346.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,OptionsMonitor.OnChange returns IDisposable; disposing the subscription unsubscribes the listener.,audit-assets/correction-missing-images/S-054_a49b1f9d95.png
S-055,IU-055,55,14670.47132517647,1462.9672713733848,788.0,482.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,IOptionsMonitor provides CurrentValue for each cycle and OnChange callbacks for immediate reactions.,audit-assets/correction-missing-images/S-055_4046cb3143.png
S-056,IU-056,56,14659.261561561463,2404.29013717742,873.0,473.0,OPT07,added-by-stage4-completeness-correction,missing-screenshot-restored,"Reload flow: configuration provider reloads, options are rebound, CurrentValue updates and OnChange fires; intended for long-running services.",audit-assets/correction-missing-images/S-056_188acce1a2.png
S-057,IU-057,57,5669.3948586927345,2232.0229090869143,890.0,246.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Operational gotchas for cookie ticket storage: ticket expiry, sliding expiration and Data Protection key rotation.",audit-assets/correction-missing-images/S-057_e32a6b6042.png
S-058,IU-058,58,5665.8948586927345,2048.522848051758,889.0,173.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,IPostConfigureOptions implementation assigns an injected ticket store to CookieAuthenticationOptions.SessionStore for the matching scheme.,audit-assets/correction-missing-images/S-058_01948fe05f.png
S-059,IU-059,59,5654.894980763047,1633.022848051758,943.0,420.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,PostConfigureCookieTicketStore helper class stores scheme and ITicketStore dependencies and implements named post-configuration.,audit-assets/correction-missing-images/S-059_f7e1cdf6f4.png
S-060,IU-060,60,5658.2281106458595,1159.6895350634768,899.0,452.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,Correct DI registration avoids BuildServiceProvider: register ticket store and construct IPostConfigureOptions from the real service provider.,audit-assets/correction-missing-images/S-060_d8fa6ef3dd.png
S-061,IU-061,61,5696.921715889564,2712.7720951535703,848.0,422.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,IConfigureOptions runs normal configuration; IPostConfigureOptions runs afterward to finalize the options instance.,audit-assets/correction-missing-images/S-061_53c9c08a4c.png
S-062,IU-062,62,5700.921715889564,3189.1055912473203,904.0,376.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Options factory pipeline: create options, run matching configure actions, run post-configure actions, then return final options.",audit-assets/correction-missing-images/S-062_da6034d093.png
S-063,IU-063,63,5727.588219795814,3574.4388432004453,936.0,432.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,services.PostConfigure registers an IPostConfigureOptions action; example finalizes cookie sliding expiration and lifetime.,audit-assets/correction-missing-images/S-063_d6dba72c2b.png
S-064,IU-064,64,5822.784827572801,4023.9492191770078,730.0,482.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Named options matter for authentication schemes; post-configuration is commonly used for auth handlers, defaults, compatibility patches and validation.",audit-assets/correction-missing-images/S-064_446784109d.png
S-065,IU-065,65,5790.921715889564,4518.605469177008,868.0,357.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Options-pattern participants: IOptions, IOptionsSnapshot, IOptionsMonitor, Configure and PostConfigure.",audit-assets/correction-missing-images/S-065_bb437580a1.png
S-066,IU-066,66,5780.588463936439,4884.772339294195,910.0,350.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,Why PostConfigure is preferable to BuildServiceProvider: avoid a second DI container and use constructor injection in a post-configurer.,audit-assets/correction-missing-images/S-066_d039b56612.png
S-067,IU-067,67,5816.588463936439,5250.772217223883,918.0,434.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,Registration example using a real ITicketStore and PostConfigure/implementation class for CookieAuthenticationOptions.,audit-assets/correction-missing-images/S-067_66a501ead2.png
S-068,IU-068,68,5769.904797344274,5874.199218191734,921.0,375.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,Any options type can participate in post-configuration through IPostConfigureOptions<TOptions>.,audit-assets/correction-missing-images/S-068_8be8941a40.png
S-069,IU-069,69,5795.46042071667,6267.143798269852,661.0,438.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Examples of built-in options types that can be post-configured: cookie, JWT bearer, authorization, CORS, MVC, Kestrel, forwarded headers, HTTP, antiforgery, session, JSON and custom options.",audit-assets/correction-missing-images/S-069_0d5a82d330.png
S-070,IU-070,70,5805.849173971878,6731.03265325032,698.0,288.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Cookie authentication is a named-options scenario created by AddAuthentication().AddCookie(""Cookies"", ...).",audit-assets/correction-missing-images/S-070_dd8bcb7b2b.png
S-071,IU-071,71,5790.182710755733,7020.310464936523,876.0,425.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"The cookie handler resolves IOptionsMonitor<CookieAuthenticationOptions>.Get(""Cookies""); named Configure/PostConfigure actions participate in that pipeline.",audit-assets/correction-missing-images/S-071_f531c9026f.png
S-072,IU-072,72,7438.708355901412,1600.9435227509257,842.0,287.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"AddCookie plus AddOptions<CookieAuthenticationOptions>(""Cookies"").Configure<ITicketStore> injects a service into inline configuration.",audit-assets/correction-missing-images/S-072_7a4a366ef3.png
S-073,IU-073,73,7453.615357275443,1942.503758659297,793.0,482.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,DI-aware Configure overloads resolve ITicketStore and invoke the delegate; IPostConfigureOptions is not required merely to access DI.,audit-assets/correction-missing-images/S-073_36e32d9798.png
S-074,IU-074,74,7452.115768475816,2434.6785497834226,846.0,375.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Conceptual behavior of a DI-aware configure overload: resolve dependency then execute configureAction(options, dependency).",audit-assets/correction-missing-images/S-074_40019ed2bc.png
S-075,IU-075,75,7453.930492868177,2808.23410533897,872.0,339.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,OptionsBuilder exposes Configure<TDep> and multi-dependency overloads specifically for DI-aware options configuration.,audit-assets/correction-missing-images/S-075_e590ad763d.png
S-076,IU-076,76,7448.555765385869,3157.318550868471,779.0,482.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,PostConfigure differs mainly by ordering: it runs after normal Configure actions; both stages can be DI-aware.,audit-assets/correction-missing-images/S-076_3575d7049e.png
S-077,IU-077,77,8479.824638155525,1554.2364832094627,841.0,203.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,AddCookie and later AddOptions configuration contribute to the same named CookieAuthenticationOptions instance rather than replacing the whole object.,audit-assets/correction-missing-images/S-077_b2c3d5c20b.png
S-078,IU-078,78,8486.68813477011,1786.4321076669166,661.0,482.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,Combined example: AddCookie sets name/lifetime and named PostConfigure sets SessionStore on the same options instance.,audit-assets/correction-missing-images/S-078_53c7b7250c.png
S-079,IU-079,79,8504.898667018373,2283.180927653886,859.0,434.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Configuration steps combine when they set different properties; for the same property, the later action wins.",audit-assets/correction-missing-images/S-079_7efe175fc6.png
S-080,IU-080,80,9751.279794376973,1666.432005941666,686.0,482.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,AddOptions is convenient for named authentication options and provides an explicit fluent options-builder API.,audit-assets/correction-missing-images/S-080_965b6bf1ea.png
S-081,IU-081,81,9756.565265868201,2208.8290192880104,889.0,399.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Named AddOptions clearly selects the options type, name and post-configuration stage.",audit-assets/correction-missing-images/S-081_6f5b6ac5ec.png
S-082,IU-082,82,9762.87999026056,2630.1994348696044,826.0,377.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"services.Configure<TOptions>(name, ...) and PostConfigure overloads also support named options; AddOptions is not the only route.",audit-assets/correction-missing-images/S-082_d47c73b46a.png
S-083,IU-083,83,9747.479219861256,3048.6542959806993,723.0,482.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Why use AddOptions: fluent naming, DI-aware generic overloads and a cohesive builder chain.",audit-assets/correction-missing-images/S-083_3bba805e53.png
S-084,IU-084,84,9684.368032139471,3746.033378554481,891.0,417.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Plain services.Configure/PostConfigure overloads normally accept delegates over TOptions, not the inline DI-aware delegate form.",audit-assets/correction-missing-images/S-084_8b3e16dee8.png
S-085,IU-085,85,9693.201284092596,4210.700004531043,852.0,365.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,Recommended inline DI-aware pattern for assigning ITicketStore to SessionStore through OptionsBuilder.Configure<ITicketStore>.,audit-assets/correction-missing-images/S-085_a2852ac8b6.png
S-086,IU-086,86,9694.534658116034,4593.533378554481,828.0,210.0,OPT05,added-by-stage4-completeness-correction,missing-screenshot-restored,"Precise alternatives: use AddOptions for inline DI-aware configuration, or inject dependencies into IConfigureOptions/IPostConfigureOptions classes.",audit-assets/correction-missing-images/S-086_6a03f590b8.png
S-087,IU-087,87,6273.2485617513685,9075.95879231539,970.0,194.0,OPT06,added-by-stage4-completeness-correction,missing-screenshot-restored,"Interface selection: IConfigureOptions for normal/default configuration, IPostConfigureOptions for finalization, IConfigureNamedOptions for named instances.",audit-assets/correction-missing-images/S-087_36bc9251de.png
S-088,IU-088,88,6311.62434341562,9320.815935172535,775.0,430.0,OPT06,added-by-stage4-completeness-correction,missing-screenshot-restored,"Example normal and post-configure classes for MyOptions, including a final minimum timeout safeguard.",audit-assets/correction-missing-images/S-088_a09c43bcdd.png
S-089,IU-089,89,6235.357290964885,9829.10485456107,1021.0,223.0,OPT06,added-by-stage4-completeness-correction,missing-screenshot-restored,IConfigureNamedOptions configures the same options type differently by name; Snapshot/Monitor can resolve names through Get(name).,audit-assets/correction-missing-images/S-089_b3bbf61a1b.png
S-090,IU-090,90,6184.238010830955,10070.176370325587,948.0,358.0,OPT06,added-by-stage4-completeness-correction,missing-screenshot-restored,MyOptions and MyNamedOptionsSetup example implementing IConfigureNamedOptions<MyOptions>.,audit-assets/correction-missing-images/S-090_17e3872d80.png
S-091,IU-091,91,6194.440675317348,10451.829803989081,907.0,482.0,OPT06,added-by-stage4-completeness-correction,missing-screenshot-restored,"Named Configure method applies Primary/Secondary endpoints and timeouts, while Configure(options) handles the default unnamed instance.",audit-assets/correction-missing-images/S-091_003dd25891.png
