use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-637b11497b281948895beeb867a96717e1b4fe92,840f66c30e2d.png,840f66c30e2d,R04,6000.952170139486,359.73685560963986,684.0,175.0,1.0,,T-006|T-007|T-008,"ARRAYPOOL|TEMP ARRAY IS BEING CREATED|FOR EACH REQUEST, LIKE BUFFER",pending_transcript
IU-039,image-40c6d6c500e81f2262a9f9189b030894487c5591,d7e4ab674e8d.png,d7e4ab674e8d,R04,7070.672786913201,3645.713028969257,793.0,355.0,1.0,,T-014|T-013|T-018,AVOID MESSY ARGS|!!!|what objects good for pooling,pending_transcript
IU-040,image-4a009fd5c183e1df05a806783b93910fe776fab1,794b9d1b4fe1.png,794b9d1b4fe1,R04,7039.17263432531,4039.3797464985537,766.0,101.0,1.0,,T-014|T-013|T-018,AVOID MESSY ARGS|!!!|what objects good for pooling,pending_transcript
IU-041,image-21edac9ee13f2b1965beaa4fe5f0b9d7389a8b7c,2e2219e8aca3.png,2e2219e8aca3,R04,7045.407928765165,4517.230222103272,859.0,250.0,1.0,,T-013|T-014|T-018,!!!|AVOID MESSY ARGS|what objects good for pooling,pending_transcript
IU-042,image-6a43196fd4c72808fb157dd7c0781a7c02451ded,66bae0f3e59c.png,66bae0f3e59c,R01,1700.6718840774674,1004.4308959797904,980.0,392.0,1.0,,T-022|T-021|T-023,(almost never)|when may need not default provider|do i need to register policies?,pending_transcript
IU-043,image-7e2d9ba87bfe9f9c1f8f4feef9462ca3b9acbd97,9793484081c5.png,9793484081c5,R01,10.0,1459.6944992171443,1372.0,164.0,1.0,,T-030|T-028|T-023,1 create everything manually|1|do i need to register policies?,pending_transcript
IU-044,image-e39c3af9da09086fa4af07924575c4114d633941,b55321ee7978.png,b55321ee7978,R01,412.7617745148991,943.9384330437629,953.0,482.0,1.0,,T-028|T-030|T-023,1|1 create everything manually|do i need to register policies?,pending_transcript
IU-045,image-b51820cbec34048c722af1e6fec4dda9f3a71e51,ecbe4874a577.png,ecbe4874a577,R01,214.98657281767282,2746.3090882622105,731.0,286.0,1.0,,T-029|T-027|T-023,3 register the pool itself|why register a policy|do i need to register policies?,pending_transcript
IU-046,image-b4cbdebd3f2c50dd0377d9d80fbb15b407e732c6,1c2f04e997ca.png,1c2f04e997ca,R01,192.09771783720407,3051.420335007007,939.0,358.0,1.0,,T-029|T-027|T-023,3 register the pool itself|why register a policy|do i need to register policies?,pending_transcript
IU-047,image-1b3478c0c1eb351b834282aed199c9765b2d48e4,042d3938b081.png,042d3938b081,R01,208.4310511705362,3428.0868999484205,733.0,178.0,1.0,,T-029|T-027|T-023,3 register the pool itself|why register a policy|do i need to register policies?,pending_transcript
IU-048,image-cb90e93891813071a691a4330b5ab624ca796da9,e658452f3f46.png,e658452f3f46,R01,1598.1636867643083,1830.559915086962,895.0,482.0,1.0,,T-027|T-023|T-016,why register a policy|do i need to register policies?|createstringbuilderpool,pending_transcript
IU-049,image-f581ac1907ff3e5d277923a51411f921e462a58a,b82a8c5f1632.png,b82a8c5f1632,R01,289.19154526059083,1598.400100805809,1112.0,349.0,1.0,,T-023|T-027|T-030,do i need to register policies?|why register a policy|1 create everything manually,pending_transcript
IU-050,image-9ffe12448f9d900b0c060375222f50fb84fc00bf,7bfef88d5ff2.png,7bfef88d5ff2,R01,287.51977861340583,1967.6937411847298,1005.0,164.0,1.0,,T-023|T-029|T-027,do i need to register policies?|3 register the pool itself|why register a policy,pending_transcript
IU-051,image-579d274ddd5c433b66a6b5f741fb9b6f905892df,ffe92475ed3e.png,ffe92475ed3e,R01,255.01977861340583,2168.69374118473,990.0,210.0,1.0,,T-029|T-027|T-023,3 register the pool itself|why register a policy|do i need to register policies?,pending_transcript
IU-052,image-acf4bd43f27307b2a80b7ef281881decf3a7d1ee,00c7e6222e4f.png,00c7e6222e4f,R01,254.35327470715583,2390.026993137855,994.0,210.0,1.0,,T-029|T-027|T-023,3 register the pool itself|why register a policy|do i need to register policies?,pending_transcript
IU-053,image-201320ffeac41fe2a45d713c589446e9e7a190b1,dfe5dc6e9315.png,dfe5dc6e9315,R01,1599.7513131525757,2476.2395346058274,872.0,482.0,1.0,,T-027|T-023|T-016,why register a policy|do i need to register policies?|createstringbuilderpool,pending_transcript
IU-054,image-b709bbeabd2be1ac5d5d65843ea44ccf3cb760df,d53c3e728428.png,d53c3e728428,R01,1630.54085044549,2983.0127170660726,935.0,329.0,1.0,,T-027|T-016|T-023,why register a policy|createstringbuilderpool|do i need to register policies?,pending_transcript
