source_id,sha256,width,height,region_file,near_literal_transcript,visible_code_preserved,recall_questions,status
S-012,98cadea1b7de6a0b3c097e8b3a00c47fd1e76522a27f38a21cb6c90801f8b7f8,597,159,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-013,60ed6ccf7999de20bbedf13d28481189cee3c9ba73f13f844d5579bfe4f620aa,987,318,R01-basics-constructors-and-value-access.md,yes,yes,yes,complete
S-014,15eb005b25db10c850d9a6e817917abe13c17a1536bc611b6c2e4f45062c5dc4,563,38,R03-async-lazy.md,yes,yes,yes,complete
S-015,d965dd43b4c309eb95135fc65fb0684f72909be3f87086b39e5bf6e9b8c13c0a,791,245,R03-async-lazy.md,yes,yes,yes,complete
S-016,de7f0c2b7c5d7ad8af5cc372bd861d6466ef6c19decd5da8bfc4a2acae475fd2,974,372,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-017,448a20320184613c85b20c6293a7d9d9e9c4af927a820564d9a075cf9da0c66b,797,228,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-018,87ff2c61c06daa1ac035d110b54bdafffe701f6e31f22439f238d6abbb6fe5b6,902,490,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-019,12ee6bbeec1eb21441a400ddd66d1131f7fa4a068f74f46adc3d8d7fd4dd87fc,861,483,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-020,4bde9dbee8505535171f4774d319e039b5fae3f1f85bbceaef36e602c38c597f,810,378,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-021,7b8522933c9fef4c90795b3ff3d1fa47975908eeaf5735ff60c98470188a72ce,786,434,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-022,583cc59609b4af3b92ef731db319fbc97b24adba0bc7549bd0f4a2917bb71043,975,627,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-023,a2a5108222c07aa4f63016b3e6dc3b85ee35b9f9e41a56add1d6e10bba189d6e,941,630,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-024,1ea9e6207dabf0833717ffcedfedbb39a4fff4fe1ade33b86c3db40e2e8815d5,924,510,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-025,7b11f38c00ea70a5d2c76f0060017f965137e15a517f36df6dc0538ed682fc60,1026,347,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-026,07e6fdacfe7271270239aa121fe4974896c9149958988ce7daa24e93a37c76e3,1193,480,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-027,c597df28369025aa36b1392c7b1f5666b09c965e05555d637302fc2cdb1c2f61,945,268,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-028,f6d9796701fe576a5adb7d0e8c66af992d2f40b0dc58be36a474561bd565d270,775,451,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-029,7676d9441ffc8965645c471ce125c95fb98125fe655912113aef12cc4bc7dcf9,933,393,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-030,ee92ff6f70e30506153a595e564929d45016ff17c2d0dd42229d2a07dd18f824,758,354,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-031,22bccf5792bbfbbe0e109f22d5813bb85367d631658e8027fb0b351e572762a8,719,529,R05-shared-keyed-cache-pattern.md,yes,yes,yes,complete
S-032,f4123f48e8b2c4a087a651cf012af8ad3cad398c9282c14aac43af45857c22ad,908,429,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-033,14bcf96e85293f10a0806c3461d6f0bfda2dd8789844f8cf82d8c28044a81738,937,513,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-034,971fd102b44bff303208dba4162ff732e664d607cc35348b7e53e5e1f0ed0978,471,182,R05-shared-keyed-cache-pattern.md,yes,yes,yes,complete
S-035,f549bda1cfa80cf90db34e3391d5959eec74e23535b01d08120e7e3625607e46,402,164,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
S-036,97f1b1f646b8b36e4e869a88540f68ed37136852b9d5af44ec681b15049e72a6,644,99,R02-thread-safety-contention-and-exceptions.md,yes,yes,yes,complete
S-037,8fdc74c5964e4b53cb3f08672e76ed5ee8c394051ecd48ef998c8a53d919edab,471,95,R05-shared-keyed-cache-pattern.md,yes,yes,yes,complete
S-038,05fc3777c4f2cc86b5550ee6b504e7f666c081ab3582e746e3f31cf9467fe91b,425,96,R04-factories-arguments-and-object-owned-lazy.md,yes,yes,yes,complete
