source_id,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,current_subregion_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,IU-001,d0c86db280,3508.5628242291705,1226.554802358386,810.0,313.0,T-001:Action descriptor | T-005:endpoint metadata | T-002:using methodinfo/method info from | T-003:ctoractiondescriptor | T-007:iendpointnamemetadata,processed-in-aem01-v001,AEM01,AEM01B,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,7f2d2bfae3,3440.905242895167,3627.0381546993185,824.0,382.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-005:endpoint metadata | T-001:Action descriptor | T-008:iroutenamemetadata,processed-in-aem01-v001,AEM01,AEM01C,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-019,IU-019,6563e25856,2144.2598754402693,2394.3673664400812,769.0,482.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-008:iroutenamemetadata | T-007:iendpointnamemetadata | T-001:Action descriptor,processed-in-aem01-v001,AEM01,AEM01C,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-020,IU-020,47c47bc723,1901.3075700257173,1924.4680439303158,1028.0,431.0,T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-007:iendpointnamemetadata | T-008:iroutenamemetadata | T-001:Action descriptor,processed-in-aem01-v001,AEM01,AEM01C,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-021,IU-021,583fdaf3ba,442.4250520302694,408.14419894748335,756.0,482.0,T-004:actionsesscriptor vs ctoraction descr | T-007:iendpointnamemetadata | T-008:iroutenamemetadata | T-002:using methodinfo/method info from | T-003:ctoractiondescriptor,processed-in-aem01-v001,AEM01,AEM01A,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-022,IU-022,65c618d162,434.66748046875,964.522671169706,924.0,374.0,T-004:actionsesscriptor vs ctoraction descr | T-007:iendpointnamemetadata | T-008:iroutenamemetadata | T-002:using methodinfo/method info from | T-003:ctoractiondescriptor,processed-in-aem01-v001,AEM01,AEM01A,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-023,IU-023,e7412fd3ac,187.32880463779657,2287.237795711646,940.0,169.0,T-008:iroutenamemetadata | T-007:iendpointnamemetadata | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-004:actionsesscriptor vs ctoraction descr,processed-in-aem01-v001,AEM01,AEM01A,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-024,IU-024,ab056deb4b,189.77338471592157,2488.237795711646,944.0,367.0,T-008:iroutenamemetadata | T-007:iendpointnamemetadata | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-004:actionsesscriptor vs ctoraction descr,processed-in-aem01-v001,AEM01,AEM01A,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-025,IU-025,9e9acbd845,198.94005138258763,2871.1267524173727,939.0,139.0,T-008:iroutenamemetadata | T-007:iendpointnamemetadata | T-003:ctoractiondescriptor | T-002:using methodinfo/method info from | T-004:actionsesscriptor vs ctoraction descr,processed-in-aem01-v001,AEM01,AEM01A,yes-for-aem01-v001-boundary,no-for-stage2-next01,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.,Included in AEM01 v001 after NEXT01 visual/semantic transcript pass.
S-026,IU-026,e9e89f5a7b,7546.23370773989,824.1871734264537,904.0,223.0,T-009:IApiEndpointMetadata | T-005:endpoint metadata | T-006:ordered metadata | T-001:Action descriptor | T-002:using methodinfo/method info from,processed-in-aem02-v001,AEM02,AEM02C,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-027,IU-027,e5c3a0ddfd,7540.581093427119,1051.4807854676296,894.0,430.0,T-009:IApiEndpointMetadata | T-006:ordered metadata | T-005:endpoint metadata | T-001:Action descriptor | T-002:using methodinfo/method info from,processed-in-aem02-v001,AEM02,AEM02C,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-028,IU-028,6c889635cf,7522.815230505994,1500.052170442516,944.0,430.0,T-009:IApiEndpointMetadata | T-006:ordered metadata | T-005:endpoint metadata | T-001:Action descriptor | T-002:using methodinfo/method info from,processed-in-aem02-v001,AEM02,AEM02C,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-029,IU-029,c815d9e470,7505.524743709941,1942.9807418711048,996.0,327.0,T-009:IApiEndpointMetadata | T-006:ordered metadata | T-005:endpoint metadata | T-001:Action descriptor | T-003:ctoractiondescriptor,processed-in-aem02-v001,AEM02,AEM02C,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-030,IU-030,44490a213d,7514.262824415857,2289.671276190295,969.0,306.0,T-006:ordered metadata | T-009:IApiEndpointMetadata | T-005:endpoint metadata | T-001:Action descriptor | T-003:ctoractiondescriptor,processed-in-aem02-v001,AEM02,AEM02C,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-031,IU-031,e9cc148aaa,6374.143805861166,860.5284190474163,954.0,330.0,T-009:IApiEndpointMetadata | T-005:endpoint metadata | T-006:ordered metadata | T-001:Action descriptor | T-002:using methodinfo/method info from,processed-in-aem02-v001,AEM02,AEM02C,yes-for-aem02-v001-boundary,no-for-stage3-next02,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM02 v001 after NEXT02 visual/semantic transcript pass.
S-032,IU-032,59cf456c4c,7149.852933801548,3829.7831060552444,794.0,482.0,T-006:ordered metadata | T-005:endpoint metadata | T-009:IApiEndpointMetadata | T-001:Action descriptor | T-003:ctoractiondescriptor,processed-in-aem03-v001,AEM03,AEM03A,yes-for-aem03-v001-boundary,no-for-stage3-next02,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-033,IU-033,f1b376a0b4,7137.205350684796,4330.143087624713,930.0,373.0,T-006:ordered metadata | T-005:endpoint metadata | T-009:IApiEndpointMetadata | T-001:Action descriptor | T-003:ctoractiondescriptor,processed-in-aem03-v001,AEM03,AEM03A,yes-for-aem03-v001-boundary,no-for-stage3-next02,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-034,IU-034,d861e75fdb,7134.5943887707335,4716.143006244495,949.0,245.0,T-006:ordered metadata | T-005:endpoint metadata | T-009:IApiEndpointMetadata | T-001:Action descriptor | T-003:ctoractiondescriptor,processed-in-aem03-v001,AEM03,AEM03A,yes-for-aem03-v001-boundary,no-for-stage3-next02,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-035,IU-035,b557687361,8225.864149629177,3854.0160487598287,933.0,453.0,T-006:ordered metadata | T-009:IApiEndpointMetadata | T-005:endpoint metadata | T-001:Action descriptor | T-003:ctoractiondescriptor,processed-in-aem03-v001,AEM03,AEM03B,yes-for-aem03-v001-boundary,no-for-stage3-next02,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
S-036,IU-036,f607ed2bf0,8226.19738123725,4336.4604762500485,939.0,237.0,T-006:ordered metadata | T-009:IApiEndpointMetadata | T-005:endpoint metadata | T-001:Action descriptor | T-003:ctoractiondescriptor,processed-in-aem03-v001,AEM03,AEM03B,yes-for-aem03-v001-boundary,no-for-stage3-next02,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.,Included in AEM03 v001 after NEXT02 visual/semantic transcript pass.
