source_id,region,x,y,width,height,symbol_id,sha256,file
I011,R02,3245.7837966955235,990.4357270804021,633.0,482.0,image-cb45bbcf6378093ddd93f265da703d47c1f83d0a,29eb622568e74a1c3cc967615472ef47878806aa3dc3655f7eaf767aa61813a0,source/images/image-cb45bbcf6378093ddd93f265da703d47c1f83d0a.png
I012,R03,6050.481103172215,1011.1764226099212,710.0,482.0,image-86bf733554d9f0ffdce2360c08decd24ab18576f,d96359cf962de642e8f51115fafe886b660412d48da763a4450fbd39adbfa0d7,source/images/image-86bf733554d9f0ffdce2360c08decd24ab18576f.png
I013,R04,7917.159096313528,1053.5066449448732,849.0,337.0,image-5de264734f0cda6e4fc90f966af800ef4a40c53a,d5daeab3575634dd437758bb73bcc949757f14a6c994232be4dd77e8f03876e1,source/images/image-5de264734f0cda6e4fc90f966af800ef4a40c53a.png
I014,R01,404.92649996606724,1236.767728700518,664.0,448.0,image-61bbd16b7c1208ce2687f67d175c578b5e7f8a92,98e6b9838002553e4d473a5a104dccec9bcd19bbfd09f874be2773ce0a1586df,source/images/image-61bbd16b7c1208ce2687f67d175c578b5e7f8a92.png
I015,R02,2041.9988545020033,1350.2142557307925,588.0,482.0,image-9f5421df8a9ecdb55490c8f363832d6b1094d979,c8910b8a6fc4a119b6c561bcd1cf7035015fd0cc48824ede379c106900bd0152,source/images/image-9f5421df8a9ecdb55490c8f363832d6b1094d979.png
I016,R04,7916.387163162386,1403.8480291383103,816.0,461.0,image-4c6dc683b0263db86eafca6676db125c5c52da3a,3c0795c2e79ec1792c27347a74a46de74785f77f05385a21cc194ffc77c288c6,source/images/image-4c6dc683b0263db86eafca6676db125c5c52da3a.png
I017,R03,6043.904343957659,1482.2401026229409,809.0,355.0,image-0b61ab963a1ea5d03c6c63e3dfddd71f91541b61,ceae236b96a9f5906438a0a6088410493e34eaf99c197ebafa91002f9eaf450a,source/images/image-0b61ab963a1ea5d03c6c63e3dfddd71f91541b61.png
I018,R02,3239.687438674357,1489.6950315508902,699.0,482.0,image-ae54e3f6c6168274c52204712f74263f85326563,62fc82b70d8668f8a3a045971af2d8c05b155062eeaf727a2926c9b48d12e268,source/images/image-ae54e3f6c6168274c52204712f74263f85326563.png
I019,R03,6058.737677290992,1856.9993392765891,806.0,444.0,image-d9480492d97d6ac6b0b5ed926a8135d01d15abd8,5ce3c3a2c58f60520ad560d763bc374e37a10b1495222971b735f64a221845d9,source/images/image-d9480492d97d6ac6b0b5ed926a8135d01d15abd8.png
I020,R04,7906.096448398177,1869.3631880837438,567.0,479.0,image-e00c8da905cf49651171f8d040b7599e97e94d82,c2d910639f7bd6b2b096a287e44853e099be084a1a6ee584b3bc5e37dc710f51,source/images/image-e00c8da905cf49651171f8d040b7599e97e94d82.png
I021,R02,3227.496940683849,1991.9171859562693,738.0,482.0,image-38dc4d707082c8f0da267b22a8e21ed8e71033e3,4f3083e40be7eec2c913d69932d79636dc340f7598a69b480b349d98ac430dfa,source/images/image-38dc4d707082c8f0da267b22a8e21ed8e71033e3.png
I022,R03,6078.263251602748,2300.4885951514634,717.0,482.0,image-06fc3f33ceb65ddc1fa0e66c2ba304c3d9a3685c,90da4e2f648a9e542c4d052e229ff2745de00eb4974dbeb723d105444182aeca,source/images/image-06fc3f33ceb65ddc1fa0e66c2ba304c3d9a3685c.png
I023,R02,3238.3669904420335,2474.0549626489765,666.0,241.0,image-c75f3b963f79cedfced1dc484d204150ee9ad0e3,872590eadb3eea517df5107aa72b51a6eb53a094f9ed9bac65ff0e4c772c0a26,source/images/image-c75f3b963f79cedfced1dc484d204150ee9ad0e3.png
I024,R03,6073.85188085002,2797.843157093429,702.0,482.0,image-0f189db3409ffafc8141bcf8cd8f983e20b36b50,6d3403c131578be9190af957cf0c000255aa19b8a4576a83aec3be46999eab07,source/images/image-0f189db3409ffafc8141bcf8cd8f983e20b36b50.png
