source_id,decision,candidate_type,assigned_region,reason
S-109,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-110,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-111,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-117,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-118,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-119,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-123,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-126,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-127,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-132,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-135,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-138,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-140,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-141,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-148,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-149,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-154,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-155,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-164,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-168,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-172,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in combined R05A/R05B because it belongs to HttpClientFactory lifetime / connection reuse / DNS / named-typed client road.
S-177,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-179,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-182,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-185,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-186,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-187,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-188,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-189,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-190,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-193,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-198,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-204,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-208,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-211,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-215,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-217,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-219,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-221,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-222,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-223,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-224,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-225,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-226,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-227,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-228,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-229,included-in-R05AB-v001,same-road-or-coherent-lower-continuation,R05AB,Included in R05B because this lower road continues DNS/handler lifetime/rotation consequences for HttpClientFactory; not message-handler configuration.
S-027,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-042,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-071,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-083,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-091,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-097,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-104,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-113,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-122,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-130,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-134,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-142,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-145,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-153,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-159,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-163,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-171,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-173,checked-not-R05AB-reserved-R06,neighbor-right-region,R06,Global config / primary handler basics / timeout / redirection are reserved for R06; do not mix with factory lifetime transcript.
S-175,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-176,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-178,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-180,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-181,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-183,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-184,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-191,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-192,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-194,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-195,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-196,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-197,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-199,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-200,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-201,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-202,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-203,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-205,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-206,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-207,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-209,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-210,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-212,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-213,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-214,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-216,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-218,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
S-220,checked-not-R05AB-reserved-R07,farther-right-or-lower-handler-region,R07,Message handler / delegating handler examples / primary handler configuration are reserved for R07; R05 only discusses handler lifetime/rotation as factory/DNS behavior.
