region_source_id,source_id,fileId_short,initial_candidate_band,region_decision,status,readability,theme,verified_visible_text_or_gist,code_intent_if_visible,x,y,width,height,notes
R01-S027,S-143,03f9ccd757,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,JSON Patch request content and content-type headers,"Shortcut/PATCH road: PostAsync/PutAsync/PatchAsync convenience APIs can be concise, but specialized media types such as application/json-patch+json and per-request headers often require explicit HttpRequestMessage/request content setup.","request.Content = new StringContent(serializedChanges);
request.Content.Headers.ContentType = new MediaTypeHeaderValue(""application/json-patch+json"");",4579.748,7373.071,1015.0,297.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S028,S-147,47d16f1da0,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,JSON Patch document example and add operation,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,2917.353,7673.98,898.0,355.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S029,S-150,d86c57055a,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo title: Partially updating resources with PatchAsync,Demo: Partially updating resources with PatchAsync,,4414.428,7885.219,1093.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S030,S-152,f2c7a70fa7,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,PATCH request content type: application/json-patch+json,"Shortcut/PATCH road: PostAsync/PutAsync/PatchAsync convenience APIs can be concise, but specialized media types such as application/json-patch+json and per-request headers often require explicit HttpRequestMessage/request content setup.",,2942.377,8071.671,923.0,368.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S031,S-156,d6338a4b81,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,PatchResourceShortcutAsync with PatchAsync and Json.NET serialization,"Shortcut/PATCH road: PostAsync/PutAsync/PatchAsync convenience APIs can be concise, but specialized media types such as application/json-patch+json and per-request headers often require explicit HttpRequestMessage/request content setup.","var patchDoc = new JsonPatchDocument<MovieDtoForUpdate>();
patchDoc.Replace(m => m.Title, ""Updated title"");
var serializedPatchDoc = JsonConvert.SerializeObject(patchDoc);
var request = new HttpRequestMessage(HttpMethod.Patch, url);
request.Content = new StringContent(serializedPatchDoc, Encoding.UTF8, ""application/json-patch+json"");",4463.767,8312.723,895.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S032,S-165,5ddfc555b4,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Advanced patch scenario example: JSON Patch operations,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,4475.093,8974.718,695.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S033,S-169,86e05d2e78,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Advanced Patch Scenarios / API support caveat,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,4435.624,9470.494,843.0,224.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R01-S034,S-174,8daea22e1b,R01-left-testing-create-jsonpatch-shortcuts,R01,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Summary: PATCH preferred over PUT for partial updates,"JSON Patch road: partial updates use JsonPatchDocument operations and PATCH rather than replacing the whole resource. The source emphasizes Json.NET support, typed/untyped patch documents, patch operations such as replace/add, and the caveat that APIs must support advanced patch scenarios.",,4407.545,9845.256,804.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S035,S-006,51aa89fb6b,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Content negotiation concept,"Content negotiation road: client/server negotiate representations using Accept headers and output formatters. If no Accept is provided, defaults may be used; strict servers may require explicit Accept and can return 406 Not Acceptable when no acceptable formatter exists.",,10196.455,909.359,1383.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S036,S-008,c4bcad034a,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Use HttpRequestMessage per request instead of shared default headers,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,7746.759,917.461,801.0,139.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S037,S-019,08d487651c,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Getting a resource demo: why JsonSerializerOptions needed,"Content negotiation road: client/server negotiate representations using Accept headers and output formatters. If no Accept is provided, defaults may be used; strict servers may require explicit Accept and can return 406 Not Acceptable when no acceptable formatter exists.",,10584.399,1436.366,649.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S038,S-026,78b1a7e45e,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Serialize directly to bytes / stream positioning note,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,7815.623,1817.155,949.0,190.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S039,S-029,b1eb8ee2ca,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Default Accept behavior and content negotiation,"Content negotiation road: client/server negotiate representations using Accept headers and output formatters. If no Accept is provided, defaults may be used; strict servers may require explicit Accept and can return 406 Not Acceptable when no acceptable formatter exists.",,10581.557,1944.194,846.0,462.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S040,S-031,56bace4a62,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Use request.Headers.Accept and media type quality values,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,7800.861,2024.369,1169.0,187.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S041,S-034,606f4408a0,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Example DTO and deserialization setup,DTO/example setup source for resource retrieval and deserialization; supports the surrounding base-usage examples.,,6949.465,2061.678,577.0,403.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S042,S-039,e3c87ff97f,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,HttpClient GET + response content + manual deserialize flow,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,9195.2,2264.835,883.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S043,S-040,ca3e87285a,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Read response as string and deserialize / EnsureSuccessStatusCode,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,7746.218,2266.179,1316.0,314.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S044,S-044,718a612360,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Input/output formatter fallback and 406 / content negotiation notes,"Content negotiation road: client/server negotiate representations using Accept headers and output formatters. If no Accept is provided, defaults may be used; strict servers may require explicit Accept and can return 406 Not Acceptable when no acceptable formatter exists.",,10591.057,2427.285,827.0,434.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S045,S-053,578166625d,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,ResponseHeadersRead / headers arrive / reading content later note,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,7764.914,2714.943,1119.0,158.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S046,S-056,fb5f1de2bb,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,"The trash endpoint / if content exists, deserialize; otherwise no body","Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,10573.603,2870.27,811.0,365.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S047,S-062,662c286ca4,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,ReadAsStreamAsync / stream response content,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,8226.061,3156.989,965.0,113.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S048,S-065,36a499917e,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Main difference: ReadAsStringAsync vs ReadAsStreamAsync,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.","// ReadAsStringAsync(): reads HTTP content as one string, then deserialize.
// ReadAsStreamAsync(): read HTTP content as a stream and deserialize from stream.",7427.782,3191.221,685.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S049,S-067,8534de729d,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Download file / best streaming example,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.","using var response = await client.GetAsync(url, HttpCompletionOption.ResponseHeadersRead, ct);
response.EnsureSuccessStatusCode();
await using var httpStream = await response.Content.ReadAsStreamAsync(ct);
await using var fileStream = File.Create(path);
await httpStream.CopyToAsync(fileStream, ct);",8302.458,3316.787,857.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S050,S-068,ac018a01a6,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Server-side strictness / client should specify Accept,"Content negotiation road: client/server negotiate representations using Accept headers and output formatters. If no Accept is provided, defaults may be used; strict servers may require explicit Accept and can return 406 Not Acceptable when no acceptable formatter exists.",,10634.632,3376.864,716.0,270.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S051,S-078,98a5e7211f,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,GET flow with Accept headers and response checks,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,10617.299,3664.975,764.0,356.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
