x,y,text,font_size,label_id,region_candidate,stage1_status
1311.1648502882817,3781.7462359302945,scope claims,240.6097988864616px,T-027,R03,closed-by-stage1-final-coverage-v001
7820.027162904762,3800.9091769131746,fail,109.43590369591325px,T-028,R03,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,using Microsoft.AspNetCore.Authorization;,20px,T-029,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,using System.Security.Claims;,20px,T-030,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,public sealed class ScopeRequirementHandler : AuthorizationHandler<ScopeRequirement>,20px,T-031,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,{,20px,T-032,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,"protected override Task HandleRequirementAsync(AuthorizationHandlerContext context, ScopeRequirement requirement)",20px,T-033,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,{,20px,T-034,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,"if (HasScope(context.User, requirement.Scope))",20px,T-035,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,context.Succeed(requirement);,20px,T-036,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,return Task.CompletedTask; // do nothing => not satisfied,20px,T-037,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,},20px,T-038,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,"private static bool HasScope(ClaimsPrincipal user, string needed)",20px,T-039,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,{,20px,T-040,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,// gather all possible scope strings,20px,T-041,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,"var values = user.FindAll(""scope"").Select(c => c.Value)",20px,T-042,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,".Concat(user.FindAll(""scp"").Select(c => c.Value));",20px,T-043,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,foreach (var v in values),20px,T-044,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,{,20px,T-045,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,"// handle both ""a b c"" and single-value",20px,T-046,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,"var scopes = v.Split(' ', StringSplitOptions.RemoveEmptyEntries);",20px,T-047,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,"if (scopes.Contains(needed, StringComparer.Ordinal))",20px,T-048,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,return true;,20px,T-049,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,},20px,T-050,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,return false;,20px,T-051,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,},20px,T-052,R04,closed-by-stage1-final-coverage-v001
267.0511745653821,4652.870635905821,},20px,T-053,R04,closed-by-stage1-final-coverage-v001
10789.74456640815,4932.083917470715,"why to not use context.fail everywhere, multiple handlers registered",122.09521484375004px,T-054,R02,closed-by-stage1-final-coverage-v001
10789.74456640815,4932.083917470715,for one  requirement,122.09521484375004px,T-055,R02,closed-by-stage1-final-coverage-v001
5526.861869118933,5181.488618953608,NON Generic AuthorizationHandler,138.4762137276782px,T-056,R04,closed-by-stage1-final-coverage-v001
7104.633142130613,5399.25279189601,When non generic,109.43590369591325px,T-057,R04,closed-by-stage1-final-coverage-v001
17587.798036712396,5404.511459067329,IAuthorizationRequirementData,107.27272727272934px,T-058,R01,closed-by-stage1-final-coverage-v001
16912.71996727413,5459.056858126281,case in authoriz,75.27272727272937px,T-059,R01,closed-by-stage1-final-coverage-v001
16912.71996727413,5459.056858126281,middleware,75.27272727272937px,T-060,R01,closed-by-stage1-final-coverage-v001
13771.914019023612,5527.160665631993,when policy might succeed when,85.1852213541668px,T-061,R02,closed-by-stage1-final-coverage-v001
13771.914019023612,5527.160665631993,one handler didnt call success,85.1852213541668px,T-062,R02,closed-by-stage1-final-coverage-v001
18035.144339166887,5860.269016329406,example,75.27272727272937px,T-063,R01,closed-by-stage1-final-coverage-v001
6066.324418420525,5860.480769046375,even if there is some inher,68.7692472017726px,T-064,R04,closed-by-stage1-final-coverage-v001
6066.324418420525,5860.480769046375,can use generic handler,68.7692472017726px,T-065,R04,closed-by-stage1-final-coverage-v001
13872.5789669295,6067.768662310836,can edit requirement,85.1852213541668px,T-066,R02,closed-by-stage1-final-coverage-v001
13872.5789669295,6067.768662310836,admincanedithandler,85.1852213541668px,T-067,R02,closed-by-stage1-final-coverage-v001
13872.5789669295,6067.768662310836,scopehandler (IAuthorizaitonHandler not gen),85.1852213541668px,T-068,R02,closed-by-stage1-final-coverage-v001
4449.394407476595,6600.205245509292,different requirement types,109.43590369591325px,T-069,R04,closed-by-stage1-final-coverage-v001
4449.394407476595,6600.205245509292,one logical domain,109.43590369591325px,T-070,R04,closed-by-stage1-final-coverage-v001
6059.023924078156,6613.807777790107,"batching, when we can",109.43590369591325px,T-071,R04,closed-by-stage1-final-coverage-v001
6059.023924078156,6613.807777790107,check all permissions in,109.43590369591325px,T-072,R04,closed-by-stage1-final-coverage-v001
6059.023924078156,6613.807777790107,one call to api/method,109.43590369591325px,T-073,R04,closed-by-stage1-final-coverage-v001
10790.95060900991,6666.812974751127,scope claims,101.94329498021165px,T-074,R02,closed-by-stage1-final-coverage-v001
7679.023924078156,6673.807777790107,requirements need,109.43590369591325px,T-075,R04,closed-by-stage1-final-coverage-v001
7679.023924078156,6673.807777790107,to be considered,109.43590369591325px,T-076,R04,closed-by-stage1-final-coverage-v001
7679.023924078156,6673.807777790107,together,109.43590369591325px,T-077,R04,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,using Microsoft.AspNetCore.Authorization;,20px,T-078,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,using System.Security.Claims;,20px,T-079,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,public sealed class ScopeRequirementHandler : AuthorizationHandler<ScopeRequirement>,20px,T-080,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,{,20px,T-081,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,"protected override Task HandleRequirementAsync(AuthorizationHandlerContext context, ScopeRequirement requirement)",20px,T-082,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,{,20px,T-083,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,"if (HasScope(context.User, requirement.Scope))",20px,T-084,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,context.Succeed(requirement);,20px,T-085,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,return Task.CompletedTask; // do nothing => not satisfied,20px,T-086,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,},20px,T-087,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,"private static bool HasScope(ClaimsPrincipal user, string needed)",20px,T-088,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,{,20px,T-089,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,// gather all possible scope strings,20px,T-090,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,"var values = user.FindAll(""scope"").Select(c => c.Value)",20px,T-091,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,".Concat(user.FindAll(""scp"").Select(c => c.Value));",20px,T-092,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,foreach (var v in values),20px,T-093,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,{,20px,T-094,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,"// handle both ""a b c"" and single-value",20px,T-095,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,"var scopes = v.Split(' ', StringSplitOptions.RemoveEmptyEntries);",20px,T-096,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,"if (scopes.Contains(needed, StringComparer.Ordinal))",20px,T-097,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,return true;,20px,T-098,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,},20px,T-099,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,return false;,20px,T-100,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,},20px,T-101,R02,closed-by-stage1-final-coverage-v001
9520.170063169822,7444.60424484384,},20px,T-102,R02,closed-by-stage1-final-coverage-v001
12172.6581376805,7881.558173365969,better to add fallbackpolicy,60px,T-103,R02,closed-by-stage1-final-coverage-v001
12172.6581376805,7881.558173365969,and mark allowanonymus where you dont have,60px,T-104,R02,closed-by-stage1-final-coverage-v001
12172.6581376805,7881.558173365969,it,60px,T-105,R02,closed-by-stage1-final-coverage-v001
7544.988496461472,8130.193918894269,!!!!,107.33331298828128px,T-106,R04,closed-by-stage1-final-coverage-v001
5849.530940848368,9635.761072332209,when need to succeed all,127.21369503705895px,T-107,R04,closed-by-stage1-final-coverage-v001
5849.530940848368,9635.761072332209,fail all based on one thing,127.21369503705895px,T-108,R04,closed-by-stage1-final-coverage-v001
5990.864436942118,11651.761072332209,auth rule dispatcher,127.21369503705895px,T-109,R04,closed-by-stage1-final-coverage-v001
5990.864436942118,11651.761072332209,(switch inside),127.21369503705895px,T-110,R04,closed-by-stage1-final-coverage-v001
