region,source_id,image_use_id,fileId_short,sha256_12,x,y,width,height,stage1_status,notes
R03,S-015,IU-015,4267b69757,cb0e5c4c52b3,5767.885,2123.386,934.0,270.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-016,IU-016,06a17cda32,35f5407c0188,5770.552,2404.941,942.0,358.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-017,IU-017,e746b55e73,bf6c594ffc14,10990.142,2418.093,951.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-018,IU-018,a5e350e97e,d15243009307,19276.529,2503.044,786.0,380.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-019,IU-019,5e6b284e29,04bd6e4af1cf,14974.894,2520.393,856.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-020,IU-020,336b482684,578b715430cb,17215.121,2524.768,952.0,423.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-021,IU-021,c7328c4ff3,95c2aee6e001,12904.378,2544.957,774.0,311.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-022,IU-022,1cbae51148,80cf7dd51367,20616.23,2583.673,998.0,217.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-023,IU-023,b9096a7d35,86a439b9108d,7785.289,2607.945,860.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-024,IU-024,357c4c77db,6748221317fe,20661.578,2830.111,948.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-025,IU-025,58b50a96b2,2ec2a6ee24c7,12878.101,2873.179,971.0,319.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-026,IU-026,1c6cc04838,cac23e96cd0d,11057.454,2932.138,867.0,352.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-027,IU-027,4c8baa5a8a,8f6b3f5c4979,19301.326,2937.29,833.0,208.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-028,IU-028,650157708c,62f3d35cb6a4,17214.073,2985.456,996.0,313.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-029,IU-029,79cdb382de,95f772551bc8,14995.739,3045.494,971.0,219.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-030,IU-030,67402ce0be,9847653a571c,19328.263,3154.094,697.0,275.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-031,IU-031,36e7cd5b51,6e4115c897c8,12910.656,3199.457,917.0,462.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-032,IU-032,c4cf42cfbb,100267b21ad0,20629.335,3273.362,762.0,354.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-033,IU-033,b6189c89d4,50dd27627c25,15096.256,3289.272,666.0,447.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-034,IU-034,356ea07613,03d12685fe2e,7786.064,3293.278,885.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-035,IU-035,aa799b420f,02286505fe9f,11068.603,3302.879,821.0,292.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-036,IU-036,2717c44c8a,4176eefdb469,19325.803,3450.24,785.0,328.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-037,IU-037,66b9f6e6fc,b0ab22b9993e,11093.589,3601.797,833.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-038,IU-038,9dd74351b4,950135defd92,20712.688,3678.546,783.0,438.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-039,IU-039,35c87ac24e,511bad35c0ba,12943.267,3686.068,1014.0,411.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-040,IU-040,b5e8e330c2,77bb64bdf221,15095.774,3771.198,824.0,135.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-041,IU-041,552f0b5d2d,ca3340ce0142,7778.811,3925.404,934.0,437.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-042,IU-042,eaa6d504e6,ba2327778ece,11084.973,4128.471,1001.0,258.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-043,IU-043,5cc7b17cdd,356780cb4a6c,20711.382,4134.688,977.0,398.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R03,S-044,IU-044,5e46cc4de3,961faf90010b,1484.115,4225.784,976.0,355.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R04,S-045,IU-045,2a3cbc5ad4,a58a93244dc4,1519.184,4626.089,884.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R04,S-046,IU-046,de95da0a74,d9fa3dcf0f55,1502.425,5148.063,947.0,442.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R04,S-047,IU-047,53474a8a94,f3ec0ebfd96d,1476.894,5631.139,952.0,351.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-048,IU-048,bd45eebcb3,33f8b19af7d1,13913.377,5766.794,1033.0,282.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-049,IU-049,140f16aee0,d4e2dff67ec6,11864.057,5871.944,1107.0,403.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R04,S-050,IU-050,f123fade02,feb930e951d0,1451.97,6013.2,997.0,319.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-051,IU-051,5d913bdc73,0e8228f66e5d,12022.423,6296.319,707.0,430.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R04,S-052,IU-052,8228762e08,53bb0e186368,1462.723,6338.816,937.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-053,IU-053,cbc5b8c7e7,57a1c9463450,13911.394,6377.656,848.0,284.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-054,IU-054,da0cf47abb,04334976e0ab,13936.132,6686.275,909.0,162.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-055,IU-055,bc56b88c01,a5869fcb8619,12073.456,6746.2,822.0,195.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-056,IU-056,c630b653ff,a5e708f3becb,13994.207,6876.985,714.0,376.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-057,IU-057,9cfcde0ef0,6c9ff652a3d2,12105.811,6963.845,668.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-058,IU-058,5e46cc4de3,961faf90010b,10737.234,7017.518,976.0,355.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-059,IU-059,e299937c7e,cfa71fe6f7a4,13999.815,7271.152,761.0,376.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-060,IU-060,2a3cbc5ad4,a58a93244dc4,10772.303,7417.822,884.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-061,IU-061,cae436a9d3,da475ed8995f,12116.577,7455.478,772.0,280.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-062,IU-062,603758dd7d,66d9fafd0903,14027.793,7660.298,905.0,219.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-063,IU-063,d3c7c23237,53bb0e186368,14027.793,7939.753,937.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-064,IU-064,de95da0a74,d9fa3dcf0f55,10755.543,7939.797,947.0,442.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-065,IU-065,e631d2fac3,5bbc661ec82d,15336.48,8007.874,853.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-066,IU-066,fdee5aed21,e275ce3b3e5d,12182.601,8162.073,867.0,387.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-067,IU-067,53474a8a94,f3ec0ebfd96d,10730.013,8422.873,952.0,351.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-068,IU-068,e814dcd7a8,40395a24e3fd,15345.939,8511.197,901.0,229.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-069,IU-069,027c8fddb5,50c168b40e35,12201.582,8590.607,928.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-070,IU-070,ec3d505673,01803b7cd13f,15369.115,8777.318,904.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-071,IU-071,f123fade02,feb930e951d0,10705.089,8804.933,997.0,319.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-072,IU-072,e241904a6a,a312e122724a,12242.935,9101.573,933.0,428.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-073,IU-073,8228762e08,53bb0e186368,10715.841,9130.55,937.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R01,S-074,IU-074,6572cadb66,2e8974dda879,15466.294,9312.874,647.0,482.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
R02,S-075,IU-075,5c65734a69,736c6f4be959,12250.934,9559.788,1021.0,291.0,verified-semantic-transcript,Exact code punctuation remains available in preserved PNG/SVG source.
