source_id,image_use_id,region_candidate,x,y,width,height,rotation,fileId_short,sha256_12,source_image_path,symbol_id
S-027,IU-027,R01,19301.325924352197,2937.290226614765,833.0,208.0,0.0,4c8baa5a8a,8f6b3f5c4979,source/images/8f6b3f5c4979.png,image-4c8baa5a8a0a5f13cf54c4dbb45027144112a80f
S-028,IU-028,R01,17214.073271861133,2985.455934852849,996.0,313.0,0.0,650157708c,62f3d35cb6a4,source/images/62f3d35cb6a4.png,image-650157708ca39dd9bf9c273ea042a4880e14671e
S-029,IU-029,R02,14995.73949349143,3045.4942523203263,971.0,219.0,0.0,79cdb382de,95f772551bc8,source/images/95f772551bc8.png,image-79cdb382de28a2938fef1357779fce5885d97aed
S-030,IU-030,R01,19328.263205711206,3154.094486062175,697.0,275.0,0.0,67402ce0be,9847653a571c,source/images/9847653a571c.png,image-67402ce0be637c41579976b2d022a08761f1b44f
S-031,IU-031,R02,12910.656153919312,3199.4569584634773,917.0,462.0,0.0,36e7cd5b51,6e4115c897c8,source/images/6e4115c897c8.png,image-36e7cd5b51c64ab256e3736ecb00c36272ea567a
S-032,IU-032,R01,20629.334759284244,3273.361846317588,762.0,354.0,0.0,c4cf42cfbb,100267b21ad0,source/images/100267b21ad0.png,image-c4cf42cfbb0805e70b0bab4117ab2e7f5e53e808
S-033,IU-033,R01,15096.255594178125,3289.2718278586017,666.0,447.0,0.0,b6189c89d4,50dd27627c25,source/images/50dd27627c25.png,image-b6189c89d4182c36a0b1605486d25c4ccd92df49
S-034,IU-034,R03,7786.0644670914935,3293.2784778041587,885.0,482.0,0.0,356ea07613,03d12685fe2e,source/images/03d12685fe2e.png,image-356ea076134d7fb00d817f1c8bfeacb5c7da2f06
S-035,IU-035,R02,11068.602624327075,3302.8787299988307,821.0,292.0,0.0,aa799b420f,02286505fe9f,source/images/02286505fe9f.png,image-aa799b420fccd84b98e603a3f0b3dd6488092e8c
S-036,IU-036,R01,19325.802528771623,3450.2395957104964,785.0,328.0,0.0,2717c44c8a,4176eefdb469,source/images/4176eefdb469.png,image-2717c44c8a5ee2d69d9607fafa0b5887cbd40d4c
S-037,IU-037,R02,11093.589250643734,3601.7965766785182,833.0,482.0,0.0,66b9f6e6fc,b0ab22b9993e,source/images/b0ab22b9993e.png,image-66b9f6e6fc560432374d6446bd6bbe1501b964b2
S-038,IU-038,R01,20712.6881878328,3678.5457872816114,783.0,438.0,0.0,9dd74351b4,950135defd92,source/images/950135defd92.png,image-9dd74351b434f8fb2aedc3742c8aa7a032e1efa4
S-039,IU-039,R02,12943.267400664103,3686.068001757743,1014.0,411.0,0.0,35c87ac24e,511bad35c0ba,source/images/511bad35c0ba.png,image-35c87ac24e4a71b3122b3268030bbbf4f0c6c587
S-040,IU-040,R01,15095.774067485416,3771.197798995743,824.0,135.0,0.0,b5e8e330c2,77bb64bdf221,source/images/77bb64bdf221.png,image-b5e8e330c240e6c08c734ccdef471b068a1ebccf
S-041,IU-041,R03,7778.810723240698,3925.404106805361,934.0,437.0,0.0,552f0b5d2d,ca3340ce0142,source/images/ca3340ce0142.png,image-552f0b5d2d6362b6f72a767c2e536b7b4c102d64
S-042,IU-042,R02,11084.973039908673,4128.471286422426,1001.0,258.0,0.0,eaa6d504e6,ba2327778ece,source/images/ba2327778ece.png,image-eaa6d504e666b7038957cd182e9e563a0fd7b5f5
S-043,IU-043,R01,20711.38176736547,4134.68827477724,977.0,398.0,0.0,5cc7b17cdd,356780cb4a6c,source/images/356780cb4a6c.png,image-5cc7b17cdd0bfbb47b0b3345c206564d67c52540
S-044,IU-044,R03,1484.1149682410542,4225.7839313997365,976.0,355.0,0.0,5e46cc4de3,961faf90010b,source/images/961faf90010b.png,image-5e46cc4de32cab8095b4925b46df0768e8e6caaf
S-045,IU-045,R04,1519.1839501790928,4626.088727296589,884.0,482.0,0.0,2a3cbc5ad4,a58a93244dc4,source/images/a58a93244dc4.png,image-2a3cbc5ad4286dab3953623327b35c66a6758711
S-046,IU-046,R04,1502.4245448948677,5148.063159114766,947.0,442.0,0.0,de95da0a74,d9fa3dcf0f55,source/images/d9fa3dcf0f55.png,image-de95da0a745fd81e8fcce3932f86ba78a9c3b777
S-047,IU-047,R04,1476.8942048735626,5631.138898195027,952.0,351.0,0.0,53474a8a94,f3ec0ebfd96d,source/images/f3ec0ebfd96d.png,image-53474a8a94b01ab000ca0278dfddde95403fa201
S-048,IU-048,R02,13913.376895639407,5766.794175504916,1033.0,282.0,0.0,bd45eebcb3,33f8b19af7d1,source/images/33f8b19af7d1.png,image-bd45eebcb34997676d6884a4aa41fb55239cd1a4
S-049,IU-049,R02,11864.056838450162,5871.94361965309,1107.0,403.0,0.0,140f16aee0,d4e2dff67ec6,source/images/d4e2dff67ec6.png,image-140f16aee0485ef29f46cd4b00bb8b6b9a3c5e64
S-050,IU-050,R04,1451.9698884673126,6013.199522751148,997.0,319.0,0.0,f123fade02,feb930e951d0,source/images/feb930e951d0.png,image-f123fade02d20dde7078c258d18d99283301fcb0
S-051,IU-051,R02,12022.422652212004,6296.319037565054,707.0,430.0,0.0,5d913bdc73,0e8228f66e5d,source/images/0e8228f66e5d.png,image-5d913bdc73b402463ac3cbce7a308a8eafbd89c3
S-052,IU-052,R04,1462.7225562939457,6338.816000023869,937.0,482.0,0.0,8228762e08,53bb0e186368,source/images/53bb0e186368.png,image-8228762e0828f8898f7b5150d7de5ad7d276649b
S-053,IU-053,R02,13911.393787339286,6377.655591915766,848.0,284.0,0.0,cbc5b8c7e7,57a1c9463450,source/images/57a1c9463450.png,image-cbc5b8c7e79b3521e8a9322f0f047df977b236f7
S-054,IU-054,R02,13936.131911641742,6686.274610470457,909.0,162.0,0.0,da0cf47abb,04334976e0ab,source/images/04334976e0ab.png,image-da0cf47abbe1aa038fb4f49aab7ee30b7ff7d47e
S-055,IU-055,R02,12073.45561924497,6746.200019010366,822.0,195.0,0.0,bc56b88c01,a5869fcb8619,source/images/a5869fcb8619.png,image-bc56b88c0164d56bef23e7e1a6c4fd69244acdfe
S-056,IU-056,R02,13994.207460868833,6876.985133340929,714.0,376.0,0.0,c630b653ff,a5e708f3becb,source/images/a5e708f3becb.png,image-c630b653fff4c4e8f4b963fa7aa332754999e7a2
S-057,IU-057,R02,12105.81140990139,6963.845397002055,668.0,482.0,0.0,9cfcde0ef0,6c9ff652a3d2,source/images/6c9ff652a3d2.png,image-9cfcde0ef0dbb852ec9e3832d707a43203638f2e
S-058,IU-058,R02,10737.233856845494,7017.517540337756,976.0,355.0,0.0,5e46cc4de3,961faf90010b,source/images/961faf90010b.png,image-5e46cc4de32cab8095b4925b46df0768e8e6caaf
S-059,IU-059,R02,13999.815320833055,7271.151812723253,761.0,376.0,0.0,e299937c7e,cfa71fe6f7a4,source/images/cfa71fe6f7a4.png,image-e299937c7e18239602a56ec8cd23e277578f8bb1
S-060,IU-060,R02,10772.302838783533,7417.822336234609,884.0,482.0,0.0,2a3cbc5ad4,a58a93244dc4,source/images/a58a93244dc4.png,image-2a3cbc5ad4286dab3953623327b35c66a6758711
S-061,IU-061,R02,12116.577206604687,7455.477808413883,772.0,280.0,0.0,cae436a9d3,da475ed8995f,source/images/da475ed8995f.png,image-cae436a9d322b8fc6c4890dd0d1bb5e4387a1816
S-062,IU-062,R02,14027.793102870355,7660.297674004037,905.0,219.0,0.0,603758dd7d,66d9fafd0903,source/images/66d9fafd0903.png,image-603758dd7d8af04cfce438b30aab04335ece1058
S-063,IU-063,R02,14027.793103160056,7939.752670709769,937.0,482.0,0.0,d3c7c23237,53bb0e186368,source/images/53bb0e186368.png,image-d3c7c232370217552561abf85bb36b98145d8c94
S-064,IU-064,R02,10755.54343349931,7939.796768052785,947.0,442.0,0.0,de95da0a74,d9fa3dcf0f55,source/images/d9fa3dcf0f55.png,image-de95da0a745fd81e8fcce3932f86ba78a9c3b777
S-065,IU-065,R01,15336.48021050772,8007.873720051795,853.0,482.0,0.0,e631d2fac3,5bbc661ec82d,source/images/5bbc661ec82d.png,image-e631d2fac357048cfc77571ad21f04714e4a7ae8
S-066,IU-066,R02,12182.601237017632,8162.073254319295,867.0,387.0,0.0,fdee5aed21,e275ce3b3e5d,source/images/e275ce3b3e5d.png,image-fdee5aed213904611e3fb36398ad393c75b420f4
S-067,IU-067,R02,10730.013093478003,8422.872507133046,952.0,351.0,0.0,53474a8a94,f3ec0ebfd96d,source/images/f3ec0ebfd96d.png,image-53474a8a94b01ab000ca0278dfddde95403fa201
S-068,IU-068,R01,15345.939148989874,8511.196611287147,901.0,229.0,0.0,e814dcd7a8,40395a24e3fd,source/images/40395a24e3fd.png,image-e814dcd7a8064f71628c83e5353610306677d295
S-069,IU-069,R02,12201.58190129151,8590.607451445418,928.0,482.0,0.0,027c8fddb5,50c168b40e35,source/images/50c168b40e35.png,image-027c8fddb53dfb2d429e48e13d56003e1e4c9567
S-070,IU-070,R01,15369.114648255145,8777.318071248084,904.0,482.0,0.0,ec3d505673,01803b7cd13f,source/images/01803b7cd13f.png,image-ec3d505673ea7e991044b24b16da2a97cc6ac9ea
S-071,IU-071,R02,10705.088777071753,8804.933131689168,997.0,319.0,0.0,f123fade02,feb930e951d0,source/images/feb930e951d0.png,image-f123fade02d20dde7078c258d18d99283301fcb0
S-072,IU-072,R02,12242.934628479687,9101.573254319295,933.0,428.0,0.0,e241904a6a,a312e122724a,source/images/a312e122724a.png,image-e241904a6a3ad110b4f33677d09c6c00a766703e
S-073,IU-073,R02,10715.841444898386,9130.549608961888,937.0,482.0,0.0,8228762e08,53bb0e186368,source/images/53bb0e186368.png,image-8228762e0828f8898f7b5150d7de5ad7d276649b
S-074,IU-074,R01,15466.293817664573,9312.873694620483,647.0,482.0,0.0,6572cadb66,2e8974dda879,source/images/2e8974dda879.png,image-6572cadb66faed53f0212bdc76559579c7d68948
S-075,IU-075,R02,12250.93447153214,9559.787644665279,1021.0,291.0,0.0,5c65734a69,736c6f4be959,source/images/736c6f4be959.png,image-5c65734a6936f6d0fbf47db3b44c030dc4cd22d6
