label_id,region_candidate,x,y,font_size,text
T-024,R03,4497.588418652813,1917.224933463849,51.629626238787694px,like scope requirement)
T-025,R03,5773.53207808439,1945.0001525878906,109.43590369591325px,Pendingrequirements
T-026,R03,7821.804994936012,3122.6870089444246,109.43590369591325px,succeed(req)
T-027,R03,1311.1648502882817,3781.7462359302945,240.6097988864616px,scope claims
T-028,R03,7820.027162904762,3800.9091769131746,109.43590369591325px,fail
T-029,R04,267.0511745653821,4652.870635905821,20px,using Microsoft.AspNetCore.Authorization;
T-030,R04,267.0511745653821,4652.870635905821,20px,using System.Security.Claims;
T-031,R04,267.0511745653821,4652.870635905821,20px,public sealed class ScopeRequirementHandler : AuthorizationHandler<ScopeRequirement>
T-032,R04,267.0511745653821,4652.870635905821,20px,{
T-033,R04,267.0511745653821,4652.870635905821,20px,"protected override Task HandleRequirementAsync(AuthorizationHandlerContext context, ScopeRequirement requirement)"
T-034,R04,267.0511745653821,4652.870635905821,20px,{
T-035,R04,267.0511745653821,4652.870635905821,20px,"if (HasScope(context.User, requirement.Scope))"
T-036,R04,267.0511745653821,4652.870635905821,20px,context.Succeed(requirement);
T-037,R04,267.0511745653821,4652.870635905821,20px,return Task.CompletedTask; // do nothing => not satisfied
T-038,R04,267.0511745653821,4652.870635905821,20px,}
T-039,R04,267.0511745653821,4652.870635905821,20px,"private static bool HasScope(ClaimsPrincipal user, string needed)"
T-040,R04,267.0511745653821,4652.870635905821,20px,{
T-041,R04,267.0511745653821,4652.870635905821,20px,// gather all possible scope strings
T-042,R04,267.0511745653821,4652.870635905821,20px,"var values = user.FindAll(""scope"").Select(c => c.Value)"
T-043,R04,267.0511745653821,4652.870635905821,20px,".Concat(user.FindAll(""scp"").Select(c => c.Value));"
T-044,R04,267.0511745653821,4652.870635905821,20px,foreach (var v in values)
T-045,R04,267.0511745653821,4652.870635905821,20px,{
T-046,R04,267.0511745653821,4652.870635905821,20px,"// handle both ""a b c"" and single-value"
T-047,R04,267.0511745653821,4652.870635905821,20px,"var scopes = v.Split(' ', StringSplitOptions.RemoveEmptyEntries);"
T-048,R04,267.0511745653821,4652.870635905821,20px,"if (scopes.Contains(needed, StringComparer.Ordinal))"
T-049,R04,267.0511745653821,4652.870635905821,20px,return true;
T-050,R04,267.0511745653821,4652.870635905821,20px,}
T-051,R04,267.0511745653821,4652.870635905821,20px,return false;
T-052,R04,267.0511745653821,4652.870635905821,20px,}
T-053,R04,267.0511745653821,4652.870635905821,20px,}
T-054,R02,10789.74456640815,4932.083917470715,122.09521484375004px,"why to not use context.fail everywhere, multiple handlers registered"
T-055,R02,10789.74456640815,4932.083917470715,122.09521484375004px,for one  requirement
T-056,R04,5526.861869118933,5181.488618953608,138.4762137276782px,NON Generic AuthorizationHandler
T-057,R04,7104.633142130613,5399.25279189601,109.43590369591325px,When non generic
T-058,R01,17587.798036712396,5404.511459067329,107.27272727272934px,IAuthorizationRequirementData
T-059,R01,16912.71996727413,5459.056858126281,75.27272727272937px,case in authoriz
T-060,R01,16912.71996727413,5459.056858126281,75.27272727272937px,middleware
T-061,R02,13771.914019023612,5527.160665631993,85.1852213541668px,when policy might succeed when
T-062,R02,13771.914019023612,5527.160665631993,85.1852213541668px,one handler didnt call success
T-063,R01,18035.144339166887,5860.269016329406,75.27272727272937px,example
T-064,R04,6066.324418420525,5860.480769046375,68.7692472017726px,even if there is some inher
T-065,R04,6066.324418420525,5860.480769046375,68.7692472017726px,can use generic handler
T-066,R02,13872.5789669295,6067.768662310836,85.1852213541668px,can edit requirement
T-067,R02,13872.5789669295,6067.768662310836,85.1852213541668px,admincanedithandler
T-068,R02,13872.5789669295,6067.768662310836,85.1852213541668px,scopehandler (IAuthorizaitonHandler not gen)
T-069,R04,4449.394407476595,6600.205245509292,109.43590369591325px,different requirement types
T-070,R04,4449.394407476595,6600.205245509292,109.43590369591325px,one logical domain
T-071,R04,6059.023924078156,6613.807777790107,109.43590369591325px,"batching, when we can"
T-072,R04,6059.023924078156,6613.807777790107,109.43590369591325px,check all permissions in
T-073,R04,6059.023924078156,6613.807777790107,109.43590369591325px,one call to api/method
T-074,R02,10790.95060900991,6666.812974751127,101.94329498021165px,scope claims
T-075,R04,7679.023924078156,6673.807777790107,109.43590369591325px,requirements need
T-076,R04,7679.023924078156,6673.807777790107,109.43590369591325px,to be considered
T-077,R04,7679.023924078156,6673.807777790107,109.43590369591325px,together
T-078,R02,9520.170063169822,7444.60424484384,20px,using Microsoft.AspNetCore.Authorization;
T-079,R02,9520.170063169822,7444.60424484384,20px,using System.Security.Claims;
T-080,R02,9520.170063169822,7444.60424484384,20px,public sealed class ScopeRequirementHandler : AuthorizationHandler<ScopeRequirement>
T-081,R02,9520.170063169822,7444.60424484384,20px,{
T-082,R02,9520.170063169822,7444.60424484384,20px,"protected override Task HandleRequirementAsync(AuthorizationHandlerContext context, ScopeRequirement requirement)"
T-083,R02,9520.170063169822,7444.60424484384,20px,{
T-084,R02,9520.170063169822,7444.60424484384,20px,"if (HasScope(context.User, requirement.Scope))"
T-085,R02,9520.170063169822,7444.60424484384,20px,context.Succeed(requirement);
T-086,R02,9520.170063169822,7444.60424484384,20px,return Task.CompletedTask; // do nothing => not satisfied
T-087,R02,9520.170063169822,7444.60424484384,20px,}
T-088,R02,9520.170063169822,7444.60424484384,20px,"private static bool HasScope(ClaimsPrincipal user, string needed)"
T-089,R02,9520.170063169822,7444.60424484384,20px,{
T-090,R02,9520.170063169822,7444.60424484384,20px,// gather all possible scope strings
T-091,R02,9520.170063169822,7444.60424484384,20px,"var values = user.FindAll(""scope"").Select(c => c.Value)"
T-092,R02,9520.170063169822,7444.60424484384,20px,".Concat(user.FindAll(""scp"").Select(c => c.Value));"
T-093,R02,9520.170063169822,7444.60424484384,20px,foreach (var v in values)
T-094,R02,9520.170063169822,7444.60424484384,20px,{
T-095,R02,9520.170063169822,7444.60424484384,20px,"// handle both ""a b c"" and single-value"
T-096,R02,9520.170063169822,7444.60424484384,20px,"var scopes = v.Split(' ', StringSplitOptions.RemoveEmptyEntries);"
T-097,R02,9520.170063169822,7444.60424484384,20px,"if (scopes.Contains(needed, StringComparer.Ordinal))"
T-098,R02,9520.170063169822,7444.60424484384,20px,return true;
T-099,R02,9520.170063169822,7444.60424484384,20px,}
T-100,R02,9520.170063169822,7444.60424484384,20px,return false;
T-101,R02,9520.170063169822,7444.60424484384,20px,}
T-102,R02,9520.170063169822,7444.60424484384,20px,}
T-103,R02,12172.6581376805,7881.558173365969,60px,better to add fallbackpolicy
T-104,R02,12172.6581376805,7881.558173365969,60px,and mark allowanonymus where you dont have
T-105,R02,12172.6581376805,7881.558173365969,60px,it
T-106,R04,7544.988496461472,8130.193918894269,107.33331298828128px,!!!!
T-107,R04,5849.530940848368,9635.761072332209,127.21369503705895px,when need to succeed all
T-108,R04,5849.530940848368,9635.761072332209,127.21369503705895px,fail all based on one thing
T-109,R04,5990.864436942118,11651.761072332209,127.21369503705895px,auth rule dispatcher
T-110,R04,5990.864436942118,11651.761072332209,127.21369503705895px,(switch inside)
