source_id,image_use,symbol_id,x,y,width,height,asset_sha,asset_file,pixel_width,pixel_height,region,canonical_file,status,review,transcript_file
S-011,U-011,image-a9153a3e97ddeeeb382abad060b3d01ec6399e20,2206.1413143383725,2389.123334960975,896.0,401.0,bcd352dab3fe315d03a2b1c6088bccf283754597,image-a9153a3e97ddeeeb382abad060b3d01ec6399e20__bcd352dab3.png,896,401,R02,source/images/S-011__image-a9153a3e97ddeeeb382abad060b3d01ec6399e20__bcd352dab3.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-012,U-012,image-094fa5660491b308335fdefe23d3b210ab536982,3814.288008679342,2567.3558377945305,789.0,396.0,37d5b54a7f984e28b832685a90ca63d0f70a98a6,image-094fa5660491b308335fdefe23d3b210ab536982__37d5b54a7f.png,789,396,R02,source/images/S-012__image-094fa5660491b308335fdefe23d3b210ab536982__37d5b54a7f.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-013,U-013,image-fee414e17f49b90f7c5fa3528bf00df5bc36a45d,193.11375946881708,3796.191716330053,955.0,390.0,a1394756f5f2c0584ab3c4e38ff92ca6650dd1f1,image-fee414e17f49b90f7c5fa3528bf00df5bc36a45d__a1394756f5.png,955,390,R02,source/images/S-013__image-fee414e17f49b90f7c5fa3528bf00df5bc36a45d__a1394756f5.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-014,U-014,image-c32927bb2281400d3c0a0303ec7b34a56c64302c,163.11360688092645,4240.524998800756,985.0,308.0,71aae2ff7b2d028c996a886d4acb95171b7f0f08,image-c32927bb2281400d3c0a0303ec7b34a56c64302c__71aae2ff7b.png,985,308,R02,source/images/S-014__image-c32927bb2281400d3c0a0303ec7b34a56c64302c__71aae2ff7b.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-015,U-015,image-8cafa8b95f073f98331c19d064abc81fffdcf067,2438.7804931100527,4337.367994393433,895.0,482.0,6a9bde1071c471947364390384f86765b6400ce8,image-8cafa8b95f073f98331c19d064abc81fffdcf067__6a9bde1071.png,917,494,R02,source/images/S-015__image-8cafa8b95f073f98331c19d064abc81fffdcf067__6a9bde1071.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-016,U-016,image-1095fe7f56070221522c63e20ee1a07c6b3a788d,3557.2905791201483,4412.158587396222,931.0,435.0,37814d49d287cd38de5a18549971748d079207e7,image-1095fe7f56070221522c63e20ee1a07c6b3a788d__37814d49d2.png,931,435,R02,source/images/S-016__image-1095fe7f56070221522c63e20ee1a07c6b3a788d__37814d49d2.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-017,U-017,image-670e0e620afbe2455692738e78cbd21af096d790,189.11360688092645,4771.191716330053,723.0,260.0,305af9f8ddd7bf99effe791aeb327937bccbcbc9,image-670e0e620afbe2455692738e78cbd21af096d790__305af9f8dd.png,723,260,R02,source/images/S-017__image-670e0e620afbe2455692738e78cbd21af096d790__305af9f8dd.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-018,U-018,image-4289ff7b7fc709da4ee1a578705e72e1e3c15781,2394.3699538876335,4831.809203270008,943.0,319.0,9dc248a59b84f54912f6f8f2f595201ea633fdb0,image-4289ff7b7fc709da4ee1a578705e72e1e3c15781__9dc248a59b.png,943,319,R02,source/images/S-018__image-4289ff7b7fc709da4ee1a578705e72e1e3c15781__9dc248a59b.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-019,U-019,image-c235b31521209453b257abb6336d08f9ea998a29,2412.5684925316073,5167.991676588936,896.0,470.0,f73fdee23ae9d7caf558c48783963ec9119cb9f9,image-c235b31521209453b257abb6336d08f9ea998a29__f73fdee23a.png,896,470,R02,source/images/S-019__image-c235b31521209453b257abb6336d08f9ea998a29__f73fdee23a.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-020,U-020,image-32a76fc2ae28ecbe83fc4fa8a3c24de64d2e6e6a,95.8880044516045,5272.284358064149,1003.0,281.0,a2905baa5d4e7dd980e8bec99d459e4472c64e44,image-32a76fc2ae28ecbe83fc4fa8a3c24de64d2e6e6a__a2905baa5d.png,1003,281,R02,source/images/S-020__image-32a76fc2ae28ecbe83fc4fa8a3c24de64d2e6e6a__a2905baa5d.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-021,U-021,image-c03ee3b5ecb8f51d32a0398f4f9fa3fe1c1f9ada,2393.2351185081698,5674.158363600654,916.0,191.0,492395e4d3224568f61a52033750434c3faf7146,image-c03ee3b5ecb8f51d32a0398f4f9fa3fe1c1f9ada__492395e4d3.png,916,191,R02,source/images/S-021__image-c03ee3b5ecb8f51d32a0398f4f9fa3fe1c1f9ada__492395e4d3.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-022,U-022,image-b36998c2191ee735902c94bf9db547989a0fc263,66.55470810927545,5766.284358064149,1035.0,413.0,72f4810f74d44faaff933cc1a95f45c713342132,image-b36998c2191ee735902c94bf9db547989a0fc263__72f4810f74.png,1035,413,R02,source/images/S-022__image-b36998c2191ee735902c94bf9db547989a0fc263__72f4810f74.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-023,U-023,image-d29691820b90bf99164a0ac851f02fff5ce60949,79.67606819450339,6187.390381679201,1033.0,412.0,01841e88586d6a33924935c623256b366edf1828,image-d29691820b90bf99164a0ac851f02fff5ce60949__01841e8858.png,1033,412,R02,source/images/S-023__image-d29691820b90bf99164a0ac851f02fff5ce60949__01841e8858.png,closed,visual and semantic review completed from extracted screenshot,regions/R02-cookie-authentication-basics-and-browser-semantics.md
S-024,U-024,image-baa9ce054a0db35239c0b75c6cedb7675f4539c5,6585.362545195528,1363.41219295898,705.0,541.0,f46733938bca282a94ddb51eee6a21dbbeb50d9c,image-baa9ce054a0db35239c0b75c6cedb7675f4539c5__f46733938b.png,838,644,R03,source/images/S-024__image-baa9ce054a0db35239c0b75c6cedb7675f4539c5__f46733938b.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-025,U-025,image-c8a990fbeb24cb8d1d8a5560f67ede556a0d5861,8578.371322996984,1439.1423629694473,809.0,417.0,6635e4c5b2eefd2ab6e774d877e06d5a69fcae64,image-c8a990fbeb24cb8d1d8a5560f67ede556a0d5861__6635e4c5b2.png,809,417,R03,source/images/S-025__image-c8a990fbeb24cb8d1d8a5560f67ede556a0d5861__6635e4c5b2.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-026,U-026,image-f54124570b19c4b91ff4238ac4dbfcb15aaf37ad,8629.394119909824,1863.4558284346567,629.0,482.0,b0220fecb7e5bf3aaa7a82cf9cdacbd5c567083a,image-f54124570b19c4b91ff4238ac4dbfcb15aaf37ad__b0220fecb7.png,796,610,R03,source/images/S-026__image-f54124570b19c4b91ff4238ac4dbfcb15aaf37ad__b0220fecb7.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-027,U-027,image-7649ef69b5908e61f7696571a3d25f8971bf60d2,6556.139964133763,2200.2587723744127,842.0,318.0,504f65a4deab5c67882345d3bbe0d32bd53dd991,image-7649ef69b5908e61f7696571a3d25f8971bf60d2__504f65a4de.png,842,318,R03,source/images/S-027__image-7649ef69b5908e61f7696571a3d25f8971bf60d2__504f65a4de.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-028,U-028,image-36cd0a1381700f6bae02bb090305984710a1897d,8634.553030205792,2349.8090111406273,733.0,329.0,eeebabd0663d4354a1f596f55f77317768967fa5,image-36cd0a1381700f6bae02bb090305984710a1897d__eeebabd066.png,733,329,R03,source/images/S-028__image-36cd0a1381700f6bae02bb090305984710a1897d__eeebabd066.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-029,U-029,image-d11609fb3b70f42e28532809637d122c7e2869ac,6641.289899349432,2520.324837844795,554.0,482.0,2c868d7ab825509a9239c419163095899b5ac67e,image-d11609fb3b70f42e28532809637d122c7e2869ac__2c868d7ab8.png,789,687,R03,source/images/S-029__image-d11609fb3b70f42e28532809637d122c7e2869ac__2c868d7ab8.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-030,U-030,image-3eeb27df0e3465e0cc2a6e874eb47afaebb23a40,8698.612978972058,2722.849860306087,656.0,482.0,a71cb3e8a3d0255936ffb814a28d4268dc77d369,image-3eeb27df0e3465e0cc2a6e874eb47afaebb23a40__a71cb3e8a3.png,843,620,R03,source/images/S-030__image-3eeb27df0e3465e0cc2a6e874eb47afaebb23a40__a71cb3e8a3.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-031,U-031,image-c6d65bf00b6d3b53ceeba26002775b2e207cf4f3,6646.306529075169,3012.0365586292955,635.0,210.0,2722cf243264cccd6219919feff9eaeab46ea48f,image-c6d65bf00b6d3b53ceeba26002775b2e207cf4f3__2722cf2432.png,635,210,R03,source/images/S-031__image-c6d65bf00b6d3b53ceeba26002775b2e207cf4f3__2722cf2432.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-032,U-032,image-1a832ed873979c401bafc13c3ad72a2b82c58f9c,8751.180996239853,3198.001338466609,621.0,482.0,edbf71fd5131a19d7602197ab9a641a1ad18a9b5,image-1a832ed873979c401bafc13c3ad72a2b82c58f9c__edbf71fd51.png,739,574,R03,source/images/S-032__image-1a832ed873979c401bafc13c3ad72a2b82c58f9c__edbf71fd51.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-033,U-033,image-b41ff8081e64a002bb6f43a2aae300af04c07905,6680.170524859044,3244.733581371369,568.0,482.0,c29dd5ad202928bc498223585dcc620fbfce295d,image-b41ff8081e64a002bb6f43a2aae300af04c07905__c29dd5ad20.png,782,664,R03,source/images/S-033__image-b41ff8081e64a002bb6f43a2aae300af04c07905__c29dd5ad20.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-034,U-034,image-105e0ec07c15f504f2c2efcbeba9795f1bc05e92,5425.9630271854385,3580.720219032961,933.0,299.0,4f5efe7df316e8a585024c056ef2199316525c0e,image-105e0ec07c15f504f2c2efcbeba9795f1bc05e92__4f5efe7df3.png,933,299,R03,source/images/S-034__image-105e0ec07c15f504f2c2efcbeba9795f1bc05e92__4f5efe7df3.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-035,U-035,image-80f2fbef1bd6c8476022deaad480aebc6bde9a6a,6688.97614319514,3704.5509159324088,585.0,119.0,a994227d76acfed2a9a9223dafa6e6bc689592be,image-80f2fbef1bd6c8476022deaad480aebc6bde9a6a__a994227d76.png,585,119,R03,source/images/S-035__image-80f2fbef1bd6c8476022deaad480aebc6bde9a6a__a994227d76.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-036,U-036,image-3eecc1d87e6d980e12f71a663d7d4f04c9b3455e,8777.03858601482,3737.2437673329187,643.0,482.0,e34b3f9dfa5a35a9c4d6489957ca1af65bb9f794,image-3eecc1d87e6d980e12f71a663d7d4f04c9b3455e__e34b3f9dfa.png,842,632,R03,source/images/S-036__image-3eecc1d87e6d980e12f71a663d7d4f04c9b3455e__e34b3f9dfa.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-037,U-037,image-a902034e5a4648436d3fce8a93d4c09d266b7f5c,6677.980416778921,3831.942689449469,812.0,466.0,8f742c5157dcf2d4e717c60963cc68d6585fcae0,image-a902034e5a4648436d3fce8a93d4c09d266b7f5c__8f742c5157.png,812,466,R03,source/images/S-037__image-a902034e5a4648436d3fce8a93d4c09d266b7f5c__8f742c5157.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-038,U-038,image-282df8c221eb4cbbb761204a73c7e0c384bc59cb,5463.549787518365,3897.4372095771887,709.0,376.0,a1437e91a527074a5ee06cb581b5f83d165ecd6f,image-282df8c221eb4cbbb761204a73c7e0c384bc59cb__a1437e91a5.png,919,488,R03,source/images/S-038__image-282df8c221eb4cbbb761204a73c7e0c384bc59cb__a1437e91a5.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-039,U-039,image-26f2315d57389ee29539c9c352bc3b8942e4bedb,8761.083342483846,4246.278844514643,696.0,230.0,1923da39f539118de05ff1b54bf45925b5658e43,image-26f2315d57389ee29539c9c352bc3b8942e4bedb__1923da39f5.png,696,230,R03,source/images/S-039__image-26f2315d57389ee29539c9c352bc3b8942e4bedb__1923da39f5.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-040,U-040,image-2004decf8e5180032dfdc9188aba51b45d82e83f,5436.659529479735,4275.562171430216,959.0,315.0,5cc0ca8cbfcf6b897618dcebe563481bd918cc55,image-2004decf8e5180032dfdc9188aba51b45d82e83f__5cc0ca8cbf.png,959,315,R03,source/images/S-040__image-2004decf8e5180032dfdc9188aba51b45d82e83f__5cc0ca8cbf.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-041,U-041,image-f4455a9daf83d942db48a5d53daa903323841f94,6689.690028462881,4275.809080117562,804.0,376.0,5174aada8ca3e724f4cb7271567b21848a9e3344,image-f4455a9daf83d942db48a5d53daa903323841f94__5174aada8c.png,804,376,R03,source/images/S-041__image-f4455a9daf83d942db48a5d53daa903323841f94__5174aada8c.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-042,U-042,image-29f00db21bdf7f76cc0372f31c6538c150bdf0d3,5478.159529479735,4598.395492047892,801.0,161.0,4fe7469ffc592dec43634ebdd5943de66b30b502,image-29f00db21bdf7f76cc0372f31c6538c150bdf0d3__4fe7469ffc.png,801,161,R03,source/images/S-042__image-29f00db21bdf7f76cc0372f31c6538c150bdf0d3__4fe7469ffc.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-043,U-043,image-010485aebb2bd642b97c613853ff26a0ebbd1829,6785.485049009171,4660.237695142676,601.0,430.0,2fd179fcfbaaccab6b24aa282a7db4e97e370d9a,image-010485aebb2bd642b97c613853ff26a0ebbd1829__2fd179fcfb.png,826,591,R03,source/images/S-043__image-010485aebb2bd642b97c613853ff26a0ebbd1829__2fd179fcfb.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-044,U-044,image-8247afc343d0e6712332fdf545f66735ac6b28b3,10992.217798251557,5256.044529657017,824.0,364.0,0a14ef2c741994a563a7cac741308a3e98469179,image-8247afc343d0e6712332fdf545f66735ac6b28b3__0a14ef2c74.png,824,364,R03,source/images/S-044__image-8247afc343d0e6712332fdf545f66735ac6b28b3__0a14ef2c74.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-045,U-045,image-498d75b229bd5bb55ecd70ea0c076b8470d80d3a,8825.472899516484,5292.18448157487,696.0,482.0,d737916575279f82d96b818eeea7a01ea0e85c38,image-498d75b229bd5bb55ecd70ea0c076b8470d80d3a__d737916575.png,857,594,R03,source/images/S-045__image-498d75b229bd5bb55ecd70ea0c076b8470d80d3a__d737916575.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-046,U-046,image-bb1a96eb703bdc3f0525ecee3635d31e97871344,6794.623409384341,5395.59678473231,834.0,468.0,9e07acf4583e0572dd3847660995f800275b76ba,image-bb1a96eb703bdc3f0525ecee3635d31e97871344__9e07acf458.png,834,468,R03,source/images/S-046__image-bb1a96eb703bdc3f0525ecee3635d31e97871344__9e07acf458.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-047,U-047,image-78fd18628fceb7810c02815fd891600302a42ec5,10990.36235169616,5650.221714715618,765.0,482.0,992b5b91e635b0a9010926a1fa0ccc2b191f63c4,image-78fd18628fceb7810c02815fd891600302a42ec5__992b5b91e6.png,838,528,R03,source/images/S-047__image-78fd18628fceb7810c02815fd891600302a42ec5__992b5b91e6.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-048,U-048,image-3207383fddeebab1c38e77f53bae4142be294403,8892.23684800199,5818.507398241549,509.0,403.0,3aa8db6436faf3b3404b90489f774c04420ea267,image-3207383fddeebab1c38e77f53bae4142be294403__3aa8db6436.png,509,403,R03,source/images/S-048__image-3207383fddeebab1c38e77f53bae4142be294403__3aa8db6436.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-049,U-049,image-48fa2b7bdc1970a01b2ab4bb8af0827a5f5bb42d,6791.608412330184,5858.026254688992,879.0,334.0,155d0ac44cf10e092c86e0e052c28b53c8483eb7,image-48fa2b7bdc1970a01b2ab4bb8af0827a5f5bb42d__155d0ac44c.png,879,334,R03,source/images/S-049__image-48fa2b7bdc1970a01b2ab4bb8af0827a5f5bb42d__155d0ac44c.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-050,U-050,image-8b06d0be8acf121337ac2f14ae93eb747a93c582,10971.384261467705,6178.933486362751,879.0,336.0,5c49dd980e1b965ed2e374dd62d512bb8fb51d3b,image-8b06d0be8acf121337ac2f14ae93eb747a93c582__5c49dd980e.png,879,336,R03,source/images/S-050__image-8b06d0be8acf121337ac2f14ae93eb747a93c582__5c49dd980e.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-051,U-051,image-29698fd1daec44ecde183148e6e38bc89ea96cfe,8859.708240278414,6263.295626594416,721.0,482.0,6edbe525e80bbaa20d5c82b96588df0782896aad,image-29698fd1daec44ecde183148e6e38bc89ea96cfe__6edbe525e8.png,919,615,R03,source/images/S-051__image-29698fd1daec44ecde183148e6e38bc89ea96cfe__6edbe525e8.png,closed,visual and semantic review completed from extracted screenshot,regions/R03-spa-antiforgery-and-cookie-policy.md
S-052,U-052,image-dc33a17455e168c1e2cd9ed3a0d0d4c5620c8f43,14821.743437858038,354.86607754307624,895.0,322.0,dfa359e41627a5b53f1e8e98de35b6c82148db57,image-dc33a17455e168c1e2cd9ed3a0d0d4c5620c8f43__dfa359e416.png,895,322,R04,source/images/S-052__image-dc33a17455e168c1e2cd9ed3a0d0d4c5620c8f43__dfa359e416.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-053,U-053,image-653cac0e190ab4065a6676a14df6e62d221a7b08,14827.677489404206,685.6501199099002,947.0,171.0,5a0966d850609399ce9472b35f756baba9d8516b,image-653cac0e190ab4065a6676a14df6e62d221a7b08__5a0966d850.png,947,171,R04,source/images/S-053__image-653cac0e190ab4065a6676a14df6e62d221a7b08__5a0966d850.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-054,U-054,image-3044345b9bcb659ba934263921ada7d22f546291,14968.639756608845,917.5517541389127,704.0,226.0,ab3d055ad752530b90a299267bef4be77c139095,image-3044345b9bcb659ba934263921ada7d22f546291__ab3d055ad7.png,704,226,R04,source/images/S-054__image-3044345b9bcb659ba934263921ada7d22f546291__ab3d055ad7.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-055,U-055,image-d6d999258474d1f607d4eac0b7dfe65abf166537,14960.139685401164,1218.0517032762727,797.0,445.0,175ad9abda7917440bdaba5fcdf656bd56ead0fb,image-d6d999258474d1f607d4eac0b7dfe65abf166537__175ad9abda.png,797,445,R04,source/images/S-055__image-d6d999258474d1f607d4eac0b7dfe65abf166537__175ad9abda.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-056,U-056,image-92acdd8f62aadd170911e298a05b1602550fc993,13799.26177400066,1241.5457994678436,795.0,401.0,82e828a5b36ba1af0e42d4794164ce569c856895,image-92acdd8f62aadd170911e298a05b1602550fc993__82e828a5b3.png,975,492,R04,source/images/S-056__image-92acdd8f62aadd170911e298a05b1602550fc993__82e828a5b3.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-057,U-057,image-7b318b4ff5b502122d49ca3fb3e0375fadab806b,11407.04186322316,1248.4963234627648,924.0,223.0,2b478a625360d783b2383e8cd11b97621e333121,image-7b318b4ff5b502122d49ca3fb3e0375fadab806b__2b478a6253.png,924,223,R04,source/images/S-057__image-7b318b4ff5b502122d49ca3fb3e0375fadab806b__2b478a6253.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-058,U-058,image-d31381261ef701bb1db034db5c100b0f7224f007,12508.037505925618,1282.3933084713935,718.0,430.0,4d7fed29193b1aab3725fa98400473db83fb3235,image-d31381261ef701bb1db034db5c100b0f7224f007__4d7fed2919.png,954,571,R04,source/images/S-058__image-d31381261ef701bb1db034db5c100b0f7224f007__4d7fed2919.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-059,U-059,image-ce3fab3086ba609de37bf4f16875697343265e2c,11411.962877615697,1513.2845518156246,836.0,482.0,d9eaccf7e65e39353063b0d3311fc88eef4404dd,image-ce3fab3086ba609de37bf4f16875697343265e2c__d9eaccf7e6.png,900,519,R04,source/images/S-059__image-ce3fab3086ba609de37bf4f16875697343265e2c__d9eaccf7e6.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
S-060,U-060,image-84a29ab127ac927aaa0f43512bc7c093bb509eaf,13773.590960913136,1657.2125068246241,916.0,242.0,abcbfa6a95b67bbcb1e22a2533e89012ea473627,image-84a29ab127ac927aaa0f43512bc7c093bb509eaf__abcbfa6a95.png,916,242,R04,source/images/S-060__image-84a29ab127ac927aaa0f43512bc7c093bb509eaf__abcbfa6a95.png,closed,visual and semantic review completed from extracted screenshot,regions/R04-cookie-options-domain-path-prefixes-and-format.md
