source_id,image_use_id,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-033,IU-033,796e9f55f7,12937.352,4102.105,914,348,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,"L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui | L-009: conditional queries","Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-034,IU-034,14368dd8ca,8857.464,4118.385,924,462,r02a-usequery-state-error-core-candidate,candidate-not-final,L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors | L-017: manual refetch and using state to make new queries on that state change for a new key,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-036,IU-036,4d72a0bb65,9977.504,4348.553,865,482,r02a-usequery-state-error-core-candidate,candidate-not-final,L-011: throwing/swallowing errors | L-015: so when returning usequey we get like a query but dor our specific resource | L-008: Isloading and when there is no data and no fetching,"Candidate for R02A: useQuery status/fetchStatus/isPending/isLoading/isFetching, query cache basics, queryFn Promise/error basics."
S-037,IU-037,202c0dd895,11399.914,4385.771,926,307,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,"L-013: dont try to interpret disabled quey state in ui | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-008: Isloading and when there is no data and no fetching","Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-039,IU-039,913cfdb055,7421.21,4514.011,888,464,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-012: keys | L-015: so when returning usequey we get like a query but dor our specific resource | L-017: manual refetch and using state to make new queries on that state change for a new key,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-040,IU-040,5b76d4c5fc,8834.13,4619.552,944,333,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-015: so when returning usequey we get like a query but dor our specific resource | L-017: manual refetch and using state to make new queries on that state change for a new key | L-011: throwing/swallowing errors,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-042,IU-042,0035fc7737,13046.472,4768.372,483,482,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,"L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui | L-020: RETRY","Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-043,IU-043,7c40b916d5,9963.782,4832.876,856,259,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-011: throwing/swallowing errors | L-017: manual refetch and using state to make new queries on that state change for a new key | L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-045,IU-045,7aca1a90bf,7426.21,4993.678,918,318,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-047,IU-047,441233c7df,13047.488,5284.372,753,482,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,"L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui","Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-048,IU-048,bafb8949f1,7436.655,5316.011,906,246,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-050,IU-050,33f7c75961,8812.004,5388.344,915,375,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-051,IU-051,0e0d2b0487,10543.588,5450.059,925,482,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-011: throwing/swallowing errors | L-020: RETRY,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-052,IU-052,26863f1800,7395.821,5605.622,967,287,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-012: keys,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-054,IU-054,2cdf7b8634,8820.337,5754.344,935,333,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-017: manual refetch and using state to make new queries on that state change for a new key | L-015: so when returning usequey we get like a query but dor our specific resource | L-011: throwing/swallowing errors,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-056,IU-056,7e756912a0,13075.066,5784.695,762,391,r02b-enabled-disabled-conditional-ui-candidate,candidate-not-final,"L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount... | L-013: dont try to interpret disabled quey state in ui","Candidate for R02B: enabled/disabled queries, conditional rendering, no-input UI state, disabled query state."
S-057,IU-057,2fc52e535e,10547.744,5944.271,899,365,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-020: RETRY | L-011: throwing/swallowing errors,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-061,IU-061,3ec1269c3e,10587.244,6325.159,460,301,r02c-query-keys-manual-refetch-declarative-candidate,candidate-not-final,L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-020: RETRY | L-011: throwing/swallowing errors,"Candidate for R02C: query keys, manual refetch, declarative key dependencies, key arrays/objects."
S-062,IU-062,976499b4dc,11656.738,6469.663,876,310,r04-overlap-static-staleness-candidate,exclude-from-r02-reserve-for-r04,"L-021: with static it can be stale but it wont be refetched automatically on some refetch trigger | L-020: RETRY | L-016: move disabled quey to a separate component and mount it only when the condition for queryu is met,  so you wont mount...","Formal R02 coordinate candidate but semantically staleness/static staleTime; reserve for R04 boundary review, not R02 transcript."
