source_id,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,is_processed,is_duplicate_use_record,pending_like,bad_placeholder_signal_found
S-072,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-073,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-074,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-075,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-076,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-077,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-078,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-079,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-080,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-081,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-082,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-083,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-084,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-085,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-086,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-087,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-088,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-089,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-090,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-091,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-092,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-093,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-094,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-095,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-096,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-097,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-098,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-099,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-100,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-101,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-102,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-103,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-104,processed-in-r04a-v001,R04A,yes-for-r04a-v001-boundary,no-for-r04a-v001,yes,no,no,no
S-105,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-106,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-107,processed-in-r04b-v001,R04B,yes-for-r04b-v001-boundary,no-for-r04b-v001,yes,no,no,no
S-108,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-109,processed-in-r04a-v002-correction,R04A,yes-for-r04a-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-110,processed-in-r04a-v002-correction,R04A,yes-for-r04a-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-111,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-112,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-113,processed-in-r04b-v002-correction,R04B,yes-for-r04b-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-114,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-115,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-116,processed-in-r05-v002,R05,yes-for-r05-v002-boundary,no-for-r05-v002,yes,no,no,no
S-117,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-118,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-119,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-120,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-121,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-122,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-123,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-124,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-125,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-126,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-127,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-128,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-129,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-130,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-131,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-132,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-133,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-134,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-135,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-136,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-137,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-138,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-139,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-140,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-141,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-142,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-143,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-144,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-145,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-146,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-147,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-148,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-149,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-150,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-151,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-152,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-153,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-154,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-155,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-156,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-157,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-158,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-159,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-160,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-161,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-162,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-163,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-164,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-165,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-166,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-167,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-168,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-169,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-170,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-171,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-172,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-173,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-174,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-175,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-176,processed-in-r06-v002,R06,yes-for-r06-v002-boundary,no-for-r06-v002,yes,no,no,no
S-177,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-178,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-179,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-180,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-181,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-182,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-183,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-184,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-185,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-186,processed-in-r07-v004,R07,yes-for-r07-v004-boundary,no-for-r07-v004,yes,no,no,no
S-187,processed-in-r08c-v001,R08C,yes-for-r08c-v001-boundary,no-for-r08c-v001,yes,no,no,no
S-188,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-189,processed-in-r07-v005-correction,R07,yes-for-r07-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-190,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-191,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-192,processed-in-r05-v003-correction,R05,yes-for-r05-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-193,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-194,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-195,processed-in-r07-v005-correction,R07,yes-for-r07-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-196,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-197,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-198,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-199,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-200,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-201,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-202,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-203,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-204,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-205,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-206,processed-in-r08a-v001,R08A,yes-for-r08a-v001-boundary,no-for-r08a-v001,yes,no,no,no
S-207,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-208,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-209,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-210,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-211,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-212,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-213,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-214,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-215,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-216,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-217,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-218,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-219,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-220,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-221,processed-in-r08b-v001,R08B,yes-for-r08b-v001-boundary,no-for-r08b-v001,yes,no,no,no
S-222,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-223,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-224,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-225,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-226,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-227,processed-in-r09c-v001,R09C,yes-for-r09c-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-228,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-229,processed-in-r09a-v001,R09A,yes-for-r09a-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-230,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-231,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-232,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-233,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-234,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-235,processed-in-r09b-v001,R09B,yes-for-r09b-stage4x-rebuild-a,no-for-stage4x-rebuild-a,yes,no,no,no
S-236,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-237,duplicate-use-recorded-in-r10-v006,R10,yes-coverage-only,no-for-r10-v006,no,yes,no,no
S-238,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-239,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-240,processed-in-r10-v006,R10,yes-for-r10-v006-boundary,no-for-r10-v006,yes,no,no,no
S-241,processed-in-r10-v006,R10,yes-for-r10-v006-boundary,no-for-r10-v006,yes,no,no,no
S-242,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
