batch,group_key,region,source_id,order_in_group,next_file,meaning,status,may_mark_processed_only_if
correction-mini-or-batch-a,R03-v002-correction,R03,S-065,1,regions/R03-v002-notify-select-correction.md,notifyOnChangeProps/select correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R05-v003-correction,R05,S-192,13,regions/R05-v003-infinite-query-correction.md,infinite-query correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
correction-mini-or-batch-a,R07-v005-correction,R07,S-189,1,regions/R07-v005-prefetch-ensurequerydata-correction.md,prefetch/fetchQuery/ensureQueryData correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
correction-mini-or-batch-a,R07-v005-correction,R07,S-195,2,regions/R07-v005-prefetch-ensurequerydata-correction.md,prefetch/fetchQuery/ensureQueryData correction addendum,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09A-cache-remove-reset,R09A,S-211,1,regions/R09A-cache-remove-reset.md,removeQueries/resetQueries/cache removal and reset,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09A-cache-remove-reset,R09A,S-213,2,regions/R09A-cache-remove-reset.md,removeQueries/resetQueries/cache removal and reset,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09A-cache-remove-reset,R09A,S-223,3,regions/R09A-cache-remove-reset.md,removeQueries/resetQueries/cache removal and reset,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09A-cache-remove-reset,R09A,S-229,4,regions/R09A-cache-remove-reset.md,removeQueries/resetQueries/cache removal and reset,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-202,1,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-203,2,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-205,3,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-208,4,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-214,5,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-217,6,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-225,7,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-228,8,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-230,9,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-231,10,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-232,11,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-234,12,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-a,R09B-network-offline,R09B,S-235,13,regions/R09B-network-offline.md,networkMode/offline/offlineFirst/fetchStatus paused,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-196,1,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-199,2,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-201,3,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-209,4,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-210,5,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-215,6,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-218,7,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-220,8,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-222,9,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-226,10,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R09C-validation-resumePaused,R09C,S-227,11,regions/R09C-validation-resumePaused.md,validation/Zod and resumePausedMutations/offline mutation support,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-224,1,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-233,2,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-236,3,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-238,4,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-239,5,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-242,6,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-243,7,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-244,8,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-245,9,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-247,10,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-248,11,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-249,12,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-250,13,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-251,14,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-252,15,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-253,16,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-254,17,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-255,18,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-256,19,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-257,20,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-258,21,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-259,22,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
batch-b,R11-mutations,R11,S-260,23,regions/R11-mutations-callbacks-optimistic.md,mutations/callbacks/optimistic updates/mutate vs mutateAsync/pending until refetch,pending-visible-transcript,visible text is read; no OCR timeout/error placeholder; no image missing placeholder
