x,y,width,height,symbol_id,file_sha,source_id,image_use_id,region_candidate,stage0_status,transcript_status,notes,stage1_status
6800.876375909014,11525.447440820142,642.0,482.0,image-0a7d6111dd0d1681e8f5c1833dfd029c89191e2d,2b37b94cf460,S-011,IU-011,R02,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6803.089903831671,12013.066633760991,726.0,482.0,image-60a13b4dc224f0b37250231b9925113bb5b4d976,88297a627567,S-012,IU-012,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6772.160477370919,12518.31806372751,818.0,268.0,image-dc939f42cac724ce45e4be127fb9ef4bf0922252,028553302476,S-013,IU-013,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6761.041371623152,12826.056100836886,825.0,323.0,image-5ad6ff4b1951a465ee9241b8c6e1df0b3f7cfee1,f7a59e19158d,S-014,IU-014,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6751.398688866455,13131.818063727513,810.0,401.0,image-f3833152997dcd90ca787aa8314793d661cfde11,4d96524a3761,S-015,IU-015,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6742.963389852317,13559.73324229894,774.0,482.0,image-20194dc00c9eaa6635c5134a443e036f295410b9,e06e336b60ea,S-016,IU-016,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6726.422440261544,14064.151367996486,799.0,403.0,image-bb0b055743e2c17ad6f91198752ad9edbe9b4f68,7490d60891cc,S-017,IU-017,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
6726.16065175708,14508.651367996486,750.0,394.0,image-91d9e4a9364c4a214c5553f76b5cd9023d5d9530,6a291c130cad,S-018,IU-018,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
9067.39160415719,15556.751590676933,916.0,282.0,image-65db871d0c57cf7b76d2a2c13998121e513a15a5,20ca4c654d04,S-019,IU-019,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
9065.363041045497,15842.291809938462,973.0,337.0,image-1910d2d388d0fb896db2ea135cdaa87ff6dbed86,3c1b20e7018c,S-020,IU-020,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
9072.813624942806,16213.083277532896,805.0,463.0,image-885a2b4bc703caeb01b8bcee9d634b8061be8d57,d20621f89503,S-021,IU-021,R03,candidate-only,closed-by-stage1-final-coverage-v001,Closed by combined three-conspect stage1 final coverage archive v001.,verified-semantic-transcript
