x,y,text,label_id,region_candidate,stage1_status
5781.130130162246,3517.6738686463086,"do we have http request
everything while using websockets
handshake, websocket frames",T-022,R01,closed-by-stage1-final-coverage-v001
3108.542312149857,3527.3827228861483,"when we want to process messages that
might be inflight when we send
close, we need to use closeoutputasync
closeasyn for your side response
on close or for stop receiveing
completeley
(closeoutputasync is clener for your
side close response too)",T-023,R01,closed-by-stage1-final-coverage-v001
16764.332448449313,5004.47449139984,"so its another way in react to inclue func into eddect without triggering effect
but this approach is needed when we cant rely on the callers code to wrap func into usecallback
or we dont want to wrap it",T-024,R01,closed-by-stage1-final-coverage-v001
11761.924339646324,5197.350757309032,message types,T-025,R01,closed-by-stage1-final-coverage-v001
16559.332448449313,5626.97449139984,!!!,T-026,R01,closed-by-stage1-final-coverage-v001
12800.129242345218,5920.0915656422985,websocket props,T-027,R01,closed-by-stage1-final-coverage-v001
14911.045698632277,6798.888291570576,.nets websocket properties,T-028,R02,closed-by-stage1-final-coverage-v001
10093.25986354813,7194.373484620384,WEBSOCKET METHODS,T-029,R02,closed-by-stage1-final-coverage-v001
4293.9688298611545,8457.210072444897,"websockets one send
one receive at a time
can have send and receive in parallel",T-030,R02,closed-by-stage1-final-coverage-v001
6794.549010171748,8490.54413794626,channel example,T-031,R02,closed-by-stage1-final-coverage-v001
15147.756678495783,8603.99357799509,Browser websocket properties,T-032,R02,closed-by-stage1-final-coverage-v001
12872.762620979618,8918.368665126356,"examples without suprotocol
and with subprotocol when processing
text/binary",T-033,R02,closed-by-stage1-final-coverage-v001
13769.464051019975,8952.825856112555,"browsers protocol
.nets subprotocol",T-034,R02,closed-by-stage1-final-coverage-v001
4430.689253704075,9023.26974970492,"if have different places in app where sends can occur, need to push messages into
channel and have one running send loop that will send one by one with
option onereaderonly or smth like that",T-035,R02,closed-by-stage1-final-coverage-v001
13799.792258490745,9160.163606973758,its what server agreed to accept via,T-036,R02,closed-by-stage1-final-coverage-v001
16639.161094698953,9385.553128839834,buffered amount,T-037,R02,closed-by-stage1-final-coverage-v001
9557.30257009553,9393.876789974194,"websocket frames vs
http messages
contenttype
headers etc",T-038,R02,closed-by-stage1-final-coverage-v001
14325.506544205029,9417.306464116627,we can have parameter here,T-039,R02,closed-by-stage1-final-coverage-v001
13762.649401347886,9494.449321259483,"so in both browser and server ws we can check what is the current
subprotocol now
main protocol is websocket protocol
subprotocol is our custom protocol",T-040,R02,closed-by-stage1-final-coverage-v001
13778.086484301217,9930.649728587246,parsing headers,T-041,R02,closed-by-stage1-final-coverage-v001
18340.40694683128,10186.800664776027,"what can go wrong if
we ignore large buffered amount",T-042,R02,closed-by-stage1-final-coverage-v001
17506.571863150362,10659.283616293353,!!! ugar,T-043,R02,closed-by-stage1-final-coverage-v001
18034.712036533547,13508.550649517238,"buffered amount for ui spinner?
server ack",T-044,R03,closed-by-stage1-final-coverage-v001
8897.30257009553,14429.1182827956,"authenticated
websockets",T-045,R03,closed-by-stage1-final-coverage-v001
12124.922081122346,14825.496133096414,credentials include?,T-046,R03,closed-by-stage1-final-coverage-v001
9101.418440103263,15226.439896410127,"what is origin
is client controlled?",T-047,R03,closed-by-stage1-final-coverage-v001
11980.477602769482,15479.162764159242,"does websocket upgr
causes preflight?
can it cause preflight if there are other things?",T-048,R03,closed-by-stage1-final-coverage-v001
13144.243816963002,16573.788724553422,jwt websockets,T-049,R03,closed-by-stage1-final-coverage-v001
11084.24361351248,16660.455391220086,cookie websockets,T-050,R03,closed-by-stage1-final-coverage-v001
12885.429486551022,17362.763936306896,"receiveing message
in protected endpoint
getting access token from
qs
setting token to context
for validation",T-051,R03,closed-by-stage1-final-coverage-v001
12073.96974452227,18131.352469400626,allowed origins,T-052,R03,closed-by-stage1-final-coverage-v001
10762.554101749138,20534.147230569342,!!!,T-053,R03,closed-by-stage1-final-coverage-v001
