source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,region_id,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,4af68eee5f8646b42cd965af847c84af0bb97ab5,4af68eee5f,55.86,1263.084,984.0,288.0,0.0,1,R01,mars-purpose-connection-reader-command-basics,P01-R01-R02,"MARS purpose: Multiple Active Result Sets, connection/command/data reader basics and why the feature exists.",L-006: WHAT MARS ALLOWS | L-004: while not fetching shit | L-003: creating cost | L-002: have some object graph,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-012,12,82d627f86160988e2e1fa3c4798082f40330c3dc,82d627f861,37.944,597.502,987.0,255.0,0.0,1,R02,multiple-readers-batches-transactions-and-interleaving,P01-R01-R02,"Multiple readers/batches on one connection, interleaving rules, transaction interactions and common behavior surprises.",L-006: WHAT MARS ALLOWS | L-005: HOW TO  ENABLE MARS | L-001: so you can | L-002: have some object graph,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-013,13,7727fae63bf228fd8e1ce51e8970993a71eb1a1e,7727fae63b,3618.269,682.951,549.0,180.0,0.0,1,R02,multiple-readers-batches-transactions-and-interleaving,P01-R01-R02,"Multiple readers/batches on one connection, interleaving rules, transaction interactions and common behavior surprises.",L-011: YIELD POINTS | L-010: SAVEPOINTS | L-013: LESS ATTRACTIVE | L-012: WHEN MARS CAN BE,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-014,14,a170db6fbdef26b9b0a92c1010be3cc083222a71,a170db6fbd,3592.005,910.461,984.0,482.0,0.0,1,R02,multiple-readers-batches-transactions-and-interleaving,P01-R01-R02,"Multiple readers/batches on one connection, interleaving rules, transaction interactions and common behavior surprises.",L-011: YIELD POINTS | L-010: SAVEPOINTS | L-013: LESS ATTRACTIVE | L-012: WHEN MARS CAN BE,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-015,15,cae37e586e980109697d082dcfe141a461ffd7ae,cae37e586e,3573.594,1641.546,948.0,323.0,0.0,1,R02,multiple-readers-batches-transactions-and-interleaving,P01-R01-R02,"Multiple readers/batches on one connection, interleaving rules, transaction interactions and common behavior surprises.",L-011: YIELD POINTS | L-010: SAVEPOINTS | L-013: LESS ATTRACTIVE | L-004: while not fetching shit,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-016,16,d61a4b2e6a5e5fd33b13529ae29c28e56ae719f4,d61a4b2e6a,3562.927,1977.165,996.0,387.0,0.0,1,R02,multiple-readers-batches-transactions-and-interleaving,P01-R01-R02,"Multiple readers/batches on one connection, interleaving rules, transaction interactions and common behavior surprises.",L-011: YIELD POINTS | L-010: SAVEPOINTS | L-004: while not fetching shit | L-003: creating cost,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-017,17,4de129a27c1f39eb6faabe5e2629216dbe297a43,4de129a27c,3537.808,2418.284,951.0,400.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-011: YIELD POINTS | L-010: SAVEPOINTS | L-004: while not fetching shit | L-003: creating cost,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-018,18,72477e26142ab1219617de996091d7c1e7860de6,72477e2614,3484.676,3024.747,874.0,482.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-011: YIELD POINTS | L-010: SAVEPOINTS | L-004: while not fetching shit | L-003: creating cost,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-019,19,7c95b0a5ceb39fe0e56d65b1a1c32453bfaf022e,7c95b0a5ce,3496.88,3500.689,930.0,319.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-011: YIELD POINTS | L-010: SAVEPOINTS | L-004: while not fetching shit | L-003: creating cost,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-020,20,ffbfe860526c382bc1bb5977ec49e46e40c27029,ffbfe86052,5134.784,568.578,958.0,261.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-010: SAVEPOINTS | L-011: YIELD POINTS | L-013: LESS ATTRACTIVE | L-012: WHEN MARS CAN BE,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-021,21,bae0017ec031c457d9fed205ebc00b1b1c662650,bae0017ec0,5123.539,1464.059,958.0,399.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-010: SAVEPOINTS | L-011: YIELD POINTS | L-013: LESS ATTRACTIVE | L-012: WHEN MARS CAN BE,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-022,22,d19e9997838c48f7e14e5bf0839705935ff2bc25,d19e999783,5122.938,1870.995,951.0,463.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-010: SAVEPOINTS | L-011: YIELD POINTS | L-013: LESS ATTRACTIVE | L-012: WHEN MARS CAN BE,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-023,23,c41a72a5140640fb2f8478d1024588ee3238052e,c41a72a514,5121.962,2334.649,955.0,225.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-010: SAVEPOINTS | L-011: YIELD POINTS | L-013: LESS ATTRACTIVE | L-004: while not fetching shit,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-024,24,2bff3240776174d2e90270c73ac903bccac52dbb,2bff324077,5156.408,923.28,924.0,436.0,0.0,1,R03,ef-ado-net-settings-connection-string-and-errors,P02-R03-R04,"ADO.NET/EF connection-string setting, enabling/disabling MARS, typical errors and diagnostics.",L-010: SAVEPOINTS | L-011: YIELD POINTS | L-013: LESS ATTRACTIVE | L-012: WHEN MARS CAN BE,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Yield points, savepoints, session cache and MARS constraints.",R03,no-for-r03-v001
S-025,25,c2959929dd7f3c8c328caccd48b067793d326011,c2959929dd,1872.453,311.275,967.0,372.0,0.0,1,R04,performance-alternatives-and-practical-guidelines,P02-R03-R04,"Performance tradeoffs, when not to use MARS, alternatives such as buffering/separate connections and practical guidelines.",L-013: LESS ATTRACTIVE | L-012: WHEN MARS CAN BE | L-001: so you can | L-002: have some object graph,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 review: Performance tradeoffs, thread sharing and alternatives.",R04,no-for-r04-v001
S-026,26,d0ef88ecfb0c2cdeebab857f863bab4807ef07cd,d0ef88ecfb,1872.953,715.394,990.0,411.0,0.0,1,R04,performance-alternatives-and-practical-guidelines,P02-R03-R04,"Performance tradeoffs, when not to use MARS, alternatives such as buffering/separate connections and practical guidelines.",L-004: while not fetching shit | L-003: creating cost | L-002: have some object graph | L-001: so you can,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 review: Performance tradeoffs, thread sharing and alternatives.",R04,no-for-r04-v001
