id,text,x,y,region
T-052,custom,13283.42424445497,5114.6629886241335,R03
T-053,"cachevaryvyrules.querykeys = ""*""",13974.305420617948,8481.14744927931,R03
T-054,decide whether you want to,12843.946805921318,10191.234202689138,R04
T-055,serve the current cached response,12843.946805921318,10191.234202689138,R04
T-056,based on something from request by,12843.946805921318,10191.234202689138,R04
T-057,setting responseexpirationtimespan,12843.946805921318,10191.234202689138,R04
T-058,but need to reset in serverrespone method to avoid some unexpected behavior,13045.160150224427,10899.960667962183,R04
T-059,can we jsut set allowcachelookiup to false,15380.9583671781,10300.44572438765,R05
T-060,to dissallow serving cached response,15380.9583671781,10300.44572438765,R05
T-061,,15380.9583671781,10300.44572438765,R05
T-062,when each rule check runs,15380.9583671781,10300.44572438765,R05
T-063,place in cacherequest,15250.180626699583,11358.334569195587,R05
T-064,shit like this,15250.180626699583,11358.334569195587,R05
T-065,when methods run,17945.048270510037,10307.174567432161,R05
T-066,when dont,17945.048270510037,10307.174567432161,R05
T-067,when methods run,17369.04839258035,12160.508002490755,R05
T-068,what we can set,17369.04839258035,12160.508002490755,R05
T-069,set expiration time based on response,9317.716217814292,16006.429896532001,R04
T-070,cache only hot products,9504.38308793148,17245.31895496299,R04
T-071,at general products endpoint,9504.38308793148,17245.31895496299,R04
T-072,avoid a lot of unused cache entries,9504.38308793148,17245.31895496299,R04
T-073,skip personalized,9671.049551147626,15121.985519904392,R04
T-074,cache redirects/dont cache,9498.827159383301,14298.652186571064,R04
T-075,cache small,9582.97540699615,12680.28178455283,R04
T-076,do not cache responses with cookies,9296.753198337294,11836.726262905704,R04
T-077,do not cache error resp,9544.753198337294,11190.059575893985,R04
T-078,respect cachcontrol maxage 0,7706.086572360732,10396.726293423282,R04
T-079,force fresh for admins,7728.086633395888,11406.726293423282,R04
T-080,disallow shit explicitly,7842.753381442763,12478.726293423282,R04
T-081,when have some cache hit logic,9221.049449422364,13330.874273159603,R04
T-082,with expiration and want to set explicitly for,9221.049449422364,13330.874273159603,R04
T-083,new cache,9221.049449422364,13330.874273159603,R04
T-084,about cookies and output cache,12848.711096848545,12918.786578679046,R04
T-085,even if you dont set cookie,12199.49279507478,13874.089500320999,R04
T-086,you shouldnt use cache for endpoints,12199.49279507478,13874.089500320999,R04
T-087,that internally depend on session and,12199.49279507478,13874.089500320999,R04
T-088,user specific thing,12199.49279507478,13874.089500320999,R04
T-089,judy set outputcache disabled,12270.431380096812,14197.496282605276,R04
T-090,!!!,13052.249476551138,14747.418151579586,R04
T-091,can we have allowstorage false and,19703.006462670848,10073.3353758662,R05
T-092,ahve serverresponse run?,19703.006462670848,10073.3353758662,R05
T-093,yes we can have allowstorage true/false,19279.355586671034,10995.319574300212,R05
T-094,and then change it based on response,19279.355586671034,10995.319574300212,R05
T-095,here,19279.355586671034,10995.319574300212,R05
T-096,can we set allowstorage in,19900.71918604367,11628.602384858188,R05
T-097,servefromcache,19900.71918604367,11628.602384858188,R05
T-098,or we need to set all the allow things before,19900.71918604367,11628.602384858188,R05
T-099,middleware in cacherequest?,19900.71918604367,11628.602384858188,R05
T-100,are ioutputcachestore methods to read/write,7710.997020352686,3392.9332943516915,R03
T-101,usable in app code?,7710.997020352686,3392.9332943516915,R03
T-102,get bytes too,8036.762631186332,3754.7053253754602,R03
T-103,"one key, different",8224.344698340712,4066.8336894258355,R03
T-104,tags for different entry values by condition?,8224.344698340712,4066.8336894258355,R03
T-105,setting this shit manually?,8224.344698340712,4066.8336894258355,R03
T-106,does adding a tag,9758.227753600513,3743.8127513434315,R03
T-107,creates a separate cache entry with,9758.227753600513,3743.8127513434315,R03
T-108,different key?,9758.227753600513,3743.8127513434315,R03
T-109,where we can set tags in custom,9725.760333674472,4172.676691148561,R03
T-110,policy,9725.760333674472,4172.676691148561,R03
T-111,but we can change,18730.6101087601,13626.455149455713,R05
T-112,allowstorage here,18730.6101087601,13626.455149455713,R05
T-113,and it will store,18730.6101087601,13626.455149455713,R05
T-114,"just dont set here,",19109.181537331526,13089.312292312856,R05
T-115,no evidence will it have,19109.181537331526,13089.312292312856,R05
T-116,an effect or no,19109.181537331526,13089.312292312856,R05
T-117,where we can set tags in custom,17694.352704192723,13946.499482113908,R05
T-118,policy,17694.352704192723,13946.499482113908,R05
T-119,e-tag with outputcache,14222.084582381922,1525.0737440754392,R03
T-120,outputcache revalidates against cached,16581.147196141115,1553.1249652651773,R03
T-121,response,16581.147196141115,1553.1249652651773,R03
T-122,,16581.147196141115,1553.1249652651773,R03
T-123,can respect maxage by revalidating,16696.157835235565,2604.819878012786,R03
T-124,ag db,16696.157835235565,2604.819878012786,R03
T-125,better to not cache 304,16709.200238556907,3266.427290965688,R03
T-126,!!!!,16832.404853828608,2311.486121394229,R03
T-127,!!!!,16485.73798371142,3251.486121394229,R03
