region,source_id,image_use,file_sha,x,y,width,height,stage1_status,theme
R02,S-021,IU-021,4dd15fe209,688.62,10322.29,708.0,431.0,verified-semantic-transcript,"middle road: strings, arrays/collections, capacity/enumeration/closures and common allocation traps"
R03,S-022,IU-022,11ee25c02e,681.62,10823.02,682.0,482.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-023,IU-023,b3e53dfc7a,619.03,11351.58,818.0,476.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-024,IU-024,cea5b472db,681.07,11871.35,593.0,422.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-025,IU-025,2c270c4903,654.52,12352.47,628.0,415.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-026,IU-026,03dbf1f18b,652.0,12805.07,581.0,482.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-027,IU-027,e9031f3b70,681.4,13292.7,529.0,482.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-028,IU-028,e7fe429cc1,573.24,13797.01,740.0,401.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-029,IU-029,402e13745e,570.8,14214.79,673.0,524.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-030,IU-030,7f49bb0f55,590.1,14816.56,595.0,401.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-031,IU-031,40686cfa6d,553.82,15251.49,646.0,278.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-032,IU-032,41da975e84,550.06,15591.67,646.0,401.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-033,IU-033,90e90b84f7,521.23,16054.79,729.0,401.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-034,IU-034,917a5bfe1b,454.1,16504.29,904.0,249.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R03,S-035,IU-035,f6c4054a9b,456.02,16845.74,790.0,285.0,verified-semantic-transcript,"lower optimization road: Span/Memory, ArrayPool/buffers, low/zero-allocation patterns and tradeoffs"
R04,S-040,IU-040,8d767ce567,396.17,17172.41,838.0,420.0,verified-semantic-transcript,"final diagnostics road: benchmarking, GC/allocation measurement and final cautions"
R04,S-041,IU-041,4cb7ab519d,509.28,17637.38,655.0,482.0,verified-semantic-transcript,"final diagnostics road: benchmarking, GC/allocation measurement and final cautions"
R04,S-036,IU-036,d569315d96,510.48,18447.14,703.0,482.0,verified-semantic-transcript,"final diagnostics road: benchmarking, GC/allocation measurement and final cautions"
R04,S-037,IU-037,383343f1d4,465.16,18993.4,772.0,482.0,verified-semantic-transcript,"final diagnostics road: benchmarking, GC/allocation measurement and final cautions"
R04,S-038,IU-038,2d943e4dce,478.76,19521.38,776.0,482.0,verified-semantic-transcript,"final diagnostics road: benchmarking, GC/allocation measurement and final cautions"
R04,S-039,IU-039,1cbbd1d5ee,436.64,20062.13,884.0,216.0,verified-semantic-transcript,"final diagnostics road: benchmarking, GC/allocation measurement and final cautions"
