source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only
S-001,IU-001,1,image-2637490cde760788c7ab792a32bf92267e896818,afbe3b1521,3237.2326816528484,539.9128455923205,927.0,482.0,0.0,463.4267695783132,241.15625,1,T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views | T-002:Ef core view flow
S-012,IU-012,12,image-90508a6700f26bbd0ac49a24575f722ac3fd3982,23556a5bd6,543.8586828619582,964.6456020377523,1006.0,269.0,0.0,503.0,134.5,1,T-012:to much buisness logic | T-013:overusing for simple queries | T-011:hiding bad queries | T-023:bad for view | T-014:expecting normal entity behav
S-013,IU-013,13,image-be8ba9958a748b2441899cb908f682e3ebe5590e,4652d83b27,534.8587591559035,1409.145525743807,994.0,320.0,0.0,497.0,160.0,1,T-013:overusing for simple queries | T-014:expecting normal entity behav | T-012:to much buisness logic | T-011:hiding bad queries | T-023:bad for view
S-014,IU-014,14,image-759d6b348aa02057ebdcda67e9772b9d738ba04d,11ad4ef440,538.3586828619582,1884.9788845084554,977.0,325.0,0.0,488.5,162.5,1,"T-014:expecting normal entity behav | T-013:overusing for simple queries | T-012:to much buisness logic | T-015:Security, allow to work with | T-016:some viewed data, not with"
S-015,IU-015,15,image-d306d206d50646fc8d15bbd68e2d2d668f490273,fd59600e46,3246.1127671311633,3088.1376434893323,994.0,335.0,0.0,497.00000000000006,167.5,1,"T-021:can views be updated? | T-022:stored or not, indexes views | T-020:can change, evolve | T-019:stable read api, sources | T-018:legacy"
S-016,IU-016,16,image-d3f3683611863b4508077e3bc0cb336c86189a91,488ada1965,3269.7793320725696,3525.304361018629,990.0,274.0,0.0,495.0,137.0,1,"T-021:can views be updated? | T-022:stored or not, indexes views | T-020:can change, evolve | T-019:stable read api, sources | T-018:legacy"
S-017,IU-017,17,image-62677a192b7540bf8aa14b411e646f3eb41ed8f6,f15669f4b4,3293.0258864554153,3801.892658805548,1011.0,249.0,0.0,505.5,124.5,1,"T-021:can views be updated? | T-022:stored or not, indexes views | T-038:Clustered index first | T-020:can change, evolve | T-019:stable read api, sources"
S-018,IU-018,18,image-d732b36034e3969803858f93041bafdb42d0c5c5,c7bec476cf,4558.288433024786,546.4187478881217,998.0,402.0,0.0,499.0,201.0,1,T-002:Ef core view flow | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views
S-019,IU-019,19,image-f7a38cd2723affba59c6e7134dc233d3577c4637,9d09484977,4586.882425600406,1060.2203236012288,983.0,317.0,0.0,491.5,158.5,1,T-002:Ef core view flow | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables | T-003:concept of views
S-020,IU-020,20,image-996fb00011b07d60231782656ff4c2fad430975e,930eb5eaf5,4599.049051576969,1515.05363658951,964.0,282.0,0.0,482.0,141.0,1,"T-002:Ef core view flow | T-022:stored or not, indexes views | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables"
S-021,IU-021,21,image-3c5b07bfef6454463b4afe508a5584f66552ff72,2ae3756652,4608.549051576969,1930.55363658951,1057.0,243.0,0.0,528.5,121.5,1,"T-022:stored or not, indexes views | T-002:Ef core view flow | T-021:can views be updated? | T-006:not physically stored until indexed | T-005:usually readonly"
S-022,IU-022,22,image-4b33a55e88f853f69b4fe80284119e35b5eb012e,9faf423ed5,1873.9262229488913,1490.1478995314105,799.0,84.0,0.0,399.5,42.0,1,"T-015:Security, allow to work with | T-010:hide ugly queries | T-016:some viewed data, not with | T-017:sources | T-009:aggregated into one domain"
S-023,IU-023,23,image-88ac158d7d7b0745d182f2012a9b1190abd7250c,435df14af8,1833.7595562822235,1575.462759557457,826.0,183.0,0.0,413.0,91.5,1,"T-015:Security, allow to work with | T-016:some viewed data, not with | T-017:sources | T-010:hide ugly queries | T-018:legacy"
S-024,IU-024,24,image-c0233ace3d7daab1bb1d09a1ed5a2be961816ebf,5bfc37a3fa,5988.249159164561,500.29227943765045,1078.0,432.0,0.0,539.0,216.0,1,T-001:tosqlquery vs toview | T-002:Ef core view flow | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables
S-025,IU-025,25,image-268d65b45494a02c49ee2420611a3ac473260d19,cd83bca109,5985.689128706174,952.9137393985734,944.0,482.0,0.0,471.93003913894336,241.15625,1,T-001:tosqlquery vs toview | T-002:Ef core view flow | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables
S-026,IU-026,26,image-85d32fda74996a6d7c29d6cb046c79d38536fbf7,de3758264a,7130.841254433659,494.5144338430259,1018.0,448.0,0.0,509.0,224.0,1,T-001:tosqlquery vs toview | T-002:Ef core view flow | T-006:not physically stored until indexed | T-005:usually readonly | T-004:depend on uderl tables
S-027,IU-027,27,image-2d3af0de7e84a71bb440ee6828802fda29cf0ba7,e12425be98,7077.8413900673395,1036.4219316728709,1044.0,339.0,0.0,522.0,169.5,1,T-001:tosqlquery vs toview | T-002:Ef core view flow | T-024:Indexed views | T-006:not physically stored until indexed | T-005:usually readonly
S-028,IU-028,45,image-a6098d7c43feb028416d2ac12092fd228456ad90,a199a76dad,360.8917695954601,5694.7665769415125,1006.0,340.0,0.0,503.0,170.0,1,T-027:table | T-026:with material dependent | T-025:view/indexed view | T-029:protect view from breaking | T-028:SCHEMABINDING
S-029,IU-029,46,image-bbf4686aa9d0b1f5304580f97f050d725ede82c5,f72170b4d6,353.96319816688947,6055.83800551294,997.0,315.0,0.0,498.5,157.5,1,T-027:table | T-026:with material dependent | T-025:view/indexed view | T-029:protect view from breaking | T-028:SCHEMABINDING
S-030,IU-030,58,image-c0fb6cb8cf199dd5831a3afdcd635a270838b918,456797c8ff,3031.7508934753273,5524.986527411444,932.0,277.0,0.0,466.0,138.5,1,T-038:Clustered index first | T-040:changes/writes cost | T-039:flow when source row | T-029:protect view from breaking | T-028:SCHEMABINDING
S-031,IU-031,59,image-185b7d8e0230600ce6b1ec38dd755cb77c9a496a,7c4af6bb2b,3045.472919028714,5858.264257717432,965.0,370.0,0.0,482.49999999999994,185.0,1,T-038:Clustered index first | T-040:changes/writes cost | T-039:flow when source row | T-029:protect view from breaking | T-028:SCHEMABINDING
S-032,IU-032,60,image-5622a9811a9835d612b69d9c2133d650dd5bf6c6,5ec4cab651,4239.285223081883,5919.8856668157405,873.0,482.0,0.0,436.4653041825095,241.15625,1,T-040:changes/writes cost | T-039:flow when source row | T-038:Clustered index first | T-043:at first | T-042:why clustered index
S-033,IU-033,61,image-421b5979b4fa7276c6532a1a82e4895a3aba0954,e882127848,4234.877986109257,5501.240339202273,970.0,385.0,0.0,485.00000000000006,192.5,1,T-040:changes/writes cost | T-039:flow when source row | T-038:Clustered index first | T-043:at first | T-042:why clustered index
S-034,IU-034,62,image-1dced2f962684281c731a28aa779a2b496ec937a,419a4b0a04,4254.377054992847,6416.047121449972,968.0,311.0,0.0,484.0,155.5,1,T-040:changes/writes cost | T-039:flow when source row | T-036:indexed views require | T-033:schemabinding rules | T-037:COUNT BIG for grouping
S-035,IU-035,63,image-45c4b587ca050a1f62168fbb2e7060b8102a6ac6,b79c4215a7,5656.948673803725,6241.596784448719,960.0,287.0,0.0,480.0,143.5,1,T-043:at first | T-042:why clustered index | T-036:indexed views require | T-037:COUNT BIG for grouping | T-041:indexed view cost
S-036,IU-036,64,image-beecdd5845484e72648fbd685ccb6a00635c6f7d,3eb716fc8b,5657.9376240624515,5547.0168438509845,943.0,253.0,0.0,471.5,126.5,1,T-043:at first | T-042:why clustered index | T-040:changes/writes cost | T-041:indexed view cost | T-039:flow when source row
S-037,IU-037,65,image-3cffdcb408c0de774014053420ed9e101c946beb,086ca24b99,5651.377084717764,5796.9584379624375,1074.0,250.0,0.0,537.0,125.0,1,T-043:at first | T-042:why clustered index | T-040:changes/writes cost | T-041:indexed view cost | T-039:flow when source row
S-038,IU-038,66,image-2ab4a949a123f032f39f3ec14a364b20cb01b258,834564d5b2,7009.287120835075,5544.564076738947,951.0,482.0,0.0,475.6137152777778,241.15625,1,T-041:indexed view cost | T-024:Indexed views | T-043:at first | T-042:why clustered index | T-040:changes/writes cost
S-039,IU-039,67,image-ad1d21d7b0f841c13addefb949fa42a13b51a97e,f0a7504502,7008.424761894103,6072.982202436489,972.0,275.0,0.0,486.0,137.5,1,T-041:indexed view cost | T-024:Indexed views | T-043:at first | T-042:why clustered index | T-036:indexed views require
S-040,IU-040,68,image-fe16161feae59a2bdafdb1c8905a4c8ddfd838fb,2eac56af31,7023.5436932557095,6395.815593898546,957.0,296.0,0.0,478.5,148.0,1,T-041:indexed view cost | T-043:at first | T-024:Indexed views | T-042:why clustered index | T-036:indexed views require
S-041,IU-041,69,image-25250b4abf54b26b67d63bdc8e2d8d8b022efb00,66861de839,3036.932688317583,6374.061193950756,1037.0,304.0,0.0,518.5,152.0,1,T-038:Clustered index first | T-030:SCHEMABINDING | T-031:protect view from breaking | T-032:what it prevents | T-033:schemabinding rules
S-042,IU-042,70,image-2eb9c537e3bb395eeeef1979d35ecd6317602e8c,dc11e1331f,2642.883500675261,7667.991123741833,967.0,303.0,0.0,483.5,151.5,1,T-032:what it prevents | T-031:protect view from breaking | T-030:SCHEMABINDING | T-034:indexed views require | T-035:it
S-043,IU-043,71,image-ff17ce150617615f5b3851e5c374826dbe7afb2a,f9727378fb,2637.255101076676,7984.351148774042,982.0,343.0,0.0,490.99999999999994,171.5,1,T-032:what it prevents | T-034:indexed views require | T-031:protect view from breaking | T-030:SCHEMABINDING | T-035:it
S-044,IU-044,72,image-1d2e254f5da6ca793ff9ec49fdf7a6cc0d461a00,092bc59027,2617.6095094619373,8351.195146063304,958.0,182.0,0.0,479.0,91.0,1,T-034:indexed views require | T-035:it | T-032:what it prevents | T-031:protect view from breaking | T-030:SCHEMABINDING
S-045,IU-045,73,image-61f7ef545348a02a9c642978c77eb6a3d3d0fad9,aa12d5f1bc,2610.0724611220935,8763.472974703714,979.0,413.0,0.0,489.5,206.5,1,T-035:it | T-034:indexed views require | T-032:what it prevents | T-031:protect view from breaking | T-030:SCHEMABINDING
S-046,IU-046,74,image-6b572f38fddbbf6addf6c7227744449d6e7e9ada,07aa25ea49,2601.2391277887614,9192.398878024027,970.0,367.0,0.0,485.00000000000006,183.5,1,T-035:it | T-034:indexed views require | T-032:what it prevents | T-031:protect view from breaking | T-030:SCHEMABINDING
S-047,IU-047,75,image-140eb8fde97106f8e9f9d73a8472464dba3d7fad,3387890789,3783.442842795273,7681.491329331531,973.0,434.0,0.0,486.49999999999994,217.0,1,T-033:schemabinding rules | T-032:what it prevents | T-037:COUNT BIG for grouping | T-036:indexed views require | T-031:protect view from breaking
S-048,IU-048,76,image-21536a5616172a0a23c0c87682e97a0de13dd423,543997ecf4,3789.4276637200014,8165.779605156187,736.0,482.0,0.0,367.92267690513216,241.15625,1,T-033:schemabinding rules | T-034:indexed views require | T-032:what it prevents | T-035:it | T-037:COUNT BIG for grouping
S-049,IU-049,77,image-2b72a2098dbb19191f79ac84f035f8627cf2a111,2346bf9345,4980.966368303038,7693.531914781988,1009.0,440.0,0.0,504.5,220.0,1,T-037:COUNT BIG for grouping | T-036:indexed views require | T-033:schemabinding rules | T-043:at first | T-032:what it prevents
S-050,IU-050,78,image-7147fc0d1526e6d90402a428f8ec9b6a0c13c964,0fa205f407,4969.708934960825,8183.318212578766,840.0,128.0,0.0,420.0,64.0,1,T-037:COUNT BIG for grouping | T-036:indexed views require | T-033:schemabinding rules | T-034:indexed views require | T-032:what it prevents
S-051,IU-051,79,image-9a7a252d01bc6c2f07ad23a3750b99af9387c4d6,80fefbece1,1787.7812296501902,5527.984871252733,797.0,174.0,0.0,398.5,87.0,1,T-029:protect view from breaking | T-028:SCHEMABINDING | T-038:Clustered index first | T-026:with material dependent | T-027:table
S-052,IU-052,80,image-8b442ba5bae8e7e08783679b6e790a97acb22428,3cf6471b45,1786.304981045279,5750.6038026143415,979.0,464.0,0.0,489.5,232.0,1,T-029:protect view from breaking | T-028:SCHEMABINDING | T-038:Clustered index first | T-027:table | T-026:with material dependent
S-053,IU-053,81,image-295165b9b800faa52e7120ab26300acac06dcb3c,4e4fff1773,1779.0194411457264,6280.627641202513,1005.0,383.0,0.0,502.5,191.5,1,T-029:protect view from breaking | T-028:SCHEMABINDING | T-030:SCHEMABINDING | T-031:protect view from breaking | T-038:Clustered index first
