use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-c75a67179496302dafeec216354eed17e5ff22e4,6db593fd4f8b.png,6db593fd4f8b,R05,4655.512344615109,11453.897462524776,949.0,434.0,1.0,,T-015|T-016|T-014,immer and|immutability|middleware examples,pending_transcript
IU-031,image-2c353a0e3fc7364c14dc11a985d24bf317091a41,ad7fbabbd919.png,ad7fbabbd919,R01,2982.8636698076944,2277.415744656326,991.0,451.0,1.0,,T-002|T-001|T-003,"map funcs, connect|full usage of classic redux + map functions + connect|store provider",pending_transcript
IU-032,image-29ed85d83fa20b1db317f8978451f7745bfef685,df1b30d57faa.png,df1b30d57faa,R01,3015.3371938685987,2080.4372025710727,680.0,183.0,1.0,,T-002|T-001|T-003,"map funcs, connect|full usage of classic redux + map functions + connect|store provider",pending_transcript
IU-033,image-ef9f7f7418df042f2a972495128f8dd06022dbad,f93194644315.png,f93194644315,R01,2932.36720107551,1610.5991877705274,979.0,482.0,1.0,,T-002|T-001|T-003,"map funcs, connect|full usage of classic redux + map functions + connect|store provider",pending_transcript
IU-034,image-47fffabce276f672ea762390aafb74c63072879a,4509753dfe53.png,4509753dfe53,R02,2890.707510571424,5439.245786283107,980.0,206.0,1.0,,T-003|T-004|T-005,store provider|the state that useselector can access|init state,pending_transcript
IU-035,image-35f6cb49951fee87d1b8f88cbc3a8a1088202d00,1069540117a9.png,1069540117a9,R02,2886.5493367682275,4979.046921926321,932.0,433.0,1.0,,T-003|T-004|T-005,store provider|the state that useselector can access|init state,pending_transcript
IU-036,image-7021bb35805ef0f3666061284fbb8234c7e39fe8,436a51d410c7.png,436a51d410c7,R02,2908.720821070713,4495.058628987819,810.0,482.0,1.0,,T-003|T-001|T-004,store provider|full usage of classic redux + map functions + connect|the state that useselector can access,pending_transcript
IU-037,image-88761172d86b1c731f3ccf47c5647f5214433c39,03d4ec8c0e7b.png,03d4ec8c0e7b,R01,2894.227242016078,4139.8008755748415,980.0,334.0,1.0,,T-001|T-003|T-004,full usage of classic redux + map functions + connect|store provider|the state that useselector can access,pending_transcript
IU-038,image-88b76acf0588009e617323ce98111e8ebc56e9ff,aa7c16432658.png,aa7c16432658,R01,2895.1247238400456,3634.4709981239976,947.0,482.0,1.0,,T-001|T-003|T-002,"full usage of classic redux + map functions + connect|store provider|map funcs, connect",pending_transcript
IU-039,image-dfdae6074a4a63a31fa5d13bf3f9019fb7485635,66834e8ecc81.png,66834e8ecc81,R03,2603.0807591674593,8494.845336976763,707.0,471.0,1.0,,T-012|T-005|T-004,"middleware, custom middleware|init state|the state that useselector can access",pending_transcript
IU-040,image-6814506cbfbb68da1410fcebd9782560192dc281,d24762c385fb.png,d24762c385fb,R03,2482.649164790252,8085.1373337401055,1008.0,375.0,1.0,,T-012|T-005|T-004,"middleware, custom middleware|init state|the state that useselector can access",pending_transcript
IU-041,image-ff9272e57ddc17b2922df37f299b4a1ab7ce59a0,b0601820a954.png,b0601820a954,R02,2424.5466982561165,6404.391567745461,972.0,482.0,1.0,,T-004|T-005|T-003,the state that useselector can access|init state|store provider,pending_transcript
IU-042,image-e7f36feb36cb2f0b23fc5d84fc928d445afe5316,16044df945a5.png,16044df945a5,R02,2389.0823881835104,6172.45909021686,994.0,234.0,1.0,,T-003|T-004|T-005,store provider|the state that useselector can access|init state,pending_transcript
IU-043,image-a0d40d76b538767801d63f8dec9c274fee0b8f86,6c75a1b200b6.png,6c75a1b200b6,R02,2478.2325736783287,7022.598109854658,898.0,462.0,1.0,IU-003,T-005|T-004|T-003,init state|the state that useselector can access|store provider,pending_transcript
IU-044,image-ef456277635c6882f914feef3a1bd485ce425699,23d0ec3b0c74.png,23d0ec3b0c74,R02,2523.245786935847,7499.849289867674,805.0,482.0,1.0,IU-004,T-005|T-004|T-003,init state|the state that useselector can access|store provider,pending_transcript
IU-045,image-1314ede96ebabb3f62473c1ec70de113a473da31,b2f5aa1ecefd.png,b2f5aa1ecefd,R02,3498.236988792286,7500.206174051906,1010.0,462.0,1.0,,T-005|T-004|T-006,init state|the state that useselector can access|action creators / thunk functions,pending_transcript
IU-046,image-0a4f253380054cb306c7ad4e8a919eea7fb8de32,1d017b21e376.png,1d017b21e376,R02,3514.3048065622925,7006.877115899457,786.0,482.0,1.0,,T-005|T-004|T-003,init state|the state that useselector can access|store provider,pending_transcript
IU-047,image-93c92b283228d40d462b53328bd41599264ba261,dd151aba5d73.png,dd151aba5d73,R04,8721.528217818453,8741.132798139315,958.0,299.0,1.0,,T-010|T-009|T-008,examples|async flow example|and explaination,pending_transcript
IU-048,image-3b64b70e0b8f376a905a5a0811f5555631eac47d,04a139432f29.png,04a139432f29,R04,8723.19643162446,9074.684487846978,866.0,482.0,1.0,,T-010|T-009|T-008,examples|async flow example|and explaination,pending_transcript
IU-049,image-1892117022f2dc7b90e39de7332ead6b657ccbd5,dce91524410d.png,dce91524410d,R04,8725.08872315349,9555.55846189941,777.0,482.0,1.0,,T-010|T-009|T-008,examples|async flow example|and explaination,pending_transcript
IU-050,image-dbdea77c2d83af3beaf5a57e5b38cc8604ed9999,da08b24d1e6a.png,da08b24d1e6a,R04,8714.26057307094,10032.982361073744,843.0,303.0,1.0,,T-010|T-009|T-008,examples|async flow example|and explaination,pending_transcript
IU-051,image-7579bddba84d340cb4b9298bbcbfdf87f40fb924,b9fcdf7e5137.png,b9fcdf7e5137,R04,5814.904318975451,8899.649641969416,967.0,218.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-052,image-d7151fdd4fc6202f85fb204c5d7b2e308fd33369,4146de6b095d.png,4146de6b095d,R04,5940.298392641049,9146.861878643802,783.0,482.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-053,image-a94fcfacae46a97706db33bca1778ff0fc68869e,8d8138abf304.png,8d8138abf304,R05,7490.5991030205605,12315.78385505679,1005.0,429.0,1.0,,T-017|T-015|T-016,"can read from draft, need to pass state|immer and|immutability",pending_transcript
IU-054,image-8620868624dea25bcce30412aff1d5054fa447b2,20384b8039fc.png,20384b8039fc,R05,7468.38321589736,12082.1800574136,581.0,219.0,1.0,,T-017|T-015|T-016,"can read from draft, need to pass state|immer and|immutability",pending_transcript
IU-055,image-6e9fffc3bc842a62cfb0012a92b62fff2459bf9e,ace2795d847a.png,ace2795d847a,R05,7466.810454783332,11568.0689845069,777.0,482.0,1.0,,T-017|T-015|T-016,"can read from draft, need to pass state|immer and|immutability",pending_transcript
IU-056,image-e7b340b698c3e9f97dc0e4389a7df18a96315a36,17dda72f301d.png,17dda72f301d,R05,7451.3769723192245,11376.081983992433,893.0,208.0,1.0,,T-017|T-015|T-016,"can read from draft, need to pass state|immer and|immutability",pending_transcript
IU-057,image-c75182498e844e837002534cb9ad79337a76d0be,69085c30efd1.png,69085c30efd1,R05,7472.698326637885,10858.38685469755,804.0,482.0,1.0,,T-017|T-009|T-010,"can read from draft, need to pass state|async flow example|examples",pending_transcript
IU-058,image-50af00377977a3c3ae94b2e27c0222422a73e9e2,d050ced5a851.png,d050ced5a851,R04,7432.393276096685,10366.70644301636,924.0,482.0,1.0,,T-009|T-010|T-008,async flow example|examples|and explaination,pending_transcript
IU-059,image-cf99aa487a5d4b5dc44ed2f8f66a5a4c8cd1a70b,55f46a2a7871.png,55f46a2a7871,R05,6147.557480754709,12547.108319353505,948.0,284.0,1.0,,T-015|T-016|T-017,"immer and|immutability|can read from draft, need to pass state",pending_transcript
IU-060,image-e902d3ba2674f384d8ad7c525c722f4b2181fa15,d58aeccb9cef.png,d58aeccb9cef,R05,6111.27189448099,12028.225461773804,878.0,482.0,1.0,,T-015|T-016|T-017,"immer and|immutability|can read from draft, need to pass state",pending_transcript
IU-061,image-abc6df49010f0025e5eecf2436431bacdf62ba9e,273deab173bf.png,273deab173bf,R05,6064.220518334201,11679.429335427405,972.0,294.0,1.0,,T-015|T-016|T-017,"immer and|immutability|can read from draft, need to pass state",pending_transcript
IU-062,image-f5f60b2868dd19e99bbe5464f70b229c7554133f,8bcd8f3586ee.png,8bcd8f3586ee,R05,6025.688960500953,11198.726462134986,950.0,482.0,1.0,,T-015|T-016|T-017,"immer and|immutability|can read from draft, need to pass state",pending_transcript
IU-063,image-c1b3b7a40d3c7517f8bd9ab135270bc6ba4d0697,e76298334bf2.png,e76298334bf2,R04,5994.620888314821,10684.437123368083,879.0,482.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-064,image-aca0ea9bd79484cb53309e71dcaf5830d7fa10f1,0769fee88b7c.png,0769fee88b7c,R04,5936.772666031471,10298.709825626607,988.0,338.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-065,image-96eb4eaddab0e0660b7eda1c86fbf731397333b9,6b729e499fc3.png,6b729e499fc3,R04,5974.737330658184,9881.172419766415,775.0,400.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-066,image-b9e2724587989c90150e3fbe4b9f7deb89f9766c,dfd07dfe4a0d.png,dfd07dfe4a0d,R04,7467.971287900029,9539.24052222156,729.0,218.0,1.0,IU-018,T-009|T-010|T-008,async flow example|examples|and explaination,pending_transcript
IU-067,image-a577a70c338782323fdc6d2b49377aa2abd7fc2c,454131f9bc0e.png,454131f9bc0e,R04,7480.3772104043965,9248.09525339571,541.0,233.0,1.0,,T-009|T-010|T-008,async flow example|examples|and explaination,pending_transcript
IU-068,image-fb645cb04ea68e306a97c3a1894598a28e2ef737,342ac8458e95.png,342ac8458e95,R04,7503.142673242313,9074.382107334826,439.0,149.0,1.0,,T-009|T-010|T-008,async flow example|examples|and explaination,pending_transcript
IU-069,image-67514e2b5fc02d05ad2c2a9c3930c244218c949e,7274a2e23515.png,7274a2e23515,R04,7288.107873373668,7905.645599988249,953.0,322.0,1.0,,T-009|T-010|T-006,async flow example|examples|action creators / thunk functions,pending_transcript
IU-070,image-16917a42c48a0442d08a0ea52040a89607fe0f0a,3a8e208b766c.png,3a8e208b766c,R04,7246.447521361422,7538.6341054996265,970.0,346.0,1.0,,T-009|T-010|T-006,async flow example|examples|action creators / thunk functions,pending_transcript
IU-071,image-e35ad565615852e55de783885b80af03ca2649d9,12bbf21fb8e5.png,12bbf21fb8e5,R04,7195.43533201855,7075.357418978394,994.0,465.0,1.0,,T-009|T-010|T-006,async flow example|examples|action creators / thunk functions,pending_transcript
IU-072,image-0890b67e4cad419f6ce742bc36b48ff1e6c1ac17,ef7bef980473.png,ef7bef980473,R04,7132.065121381666,6693.321367220127,992.0,363.0,1.0,,T-009|T-011|T-010,async flow example|getstate|examples,pending_transcript
IU-073,image-2fb1a7dfa62580b721832280662701b4b7784725,94c3c0ebdbff.png,94c3c0ebdbff,R02,7118.608444030672,6230.489168707019,976.0,446.0,1.0,,T-011|T-009|T-010,getstate|async flow example|examples,pending_transcript
IU-074,image-f1cec87f06cd759e9aafb5ce9db9bd6b37a861ec,d0812c408d54.png,d0812c408d54,R02,7101.058937418279,5827.35437159982,1015.0,394.0,1.0,,T-011|T-009|T-010,getstate|async flow example|examples,pending_transcript
IU-075,image-a091e24d7ca0fe6043a0a22d32d63c61454cce66,be3d44d4e1ab.png,be3d44d4e1ab,R02,7088.40013550635,5482.556974942614,1008.0,341.0,1.0,,T-011|T-009|T-010,getstate|async flow example|examples,pending_transcript
IU-076,image-b047549379c2c1c931cb09b5b1e1ac3029cd6a44,1a01eaf0b9b7.png,1a01eaf0b9b7,R02,7071.476801908916,5118.5897540281185,1047.0,347.0,1.0,,T-011|T-009|T-010,getstate|async flow example|examples,pending_transcript
IU-077,image-9adb6bdc1f207d54f1bfb57d7988fe01565c0b72,febb94acfb3b.png,febb94acfb3b,R03,2475.095972944294,10161.843654356588,977.0,482.0,1.0,,T-012|T-014|T-008,"middleware, custom middleware|middleware examples|and explaination",pending_transcript
IU-078,image-60061e6fa26182d1f93214b91bc43ae61197486c,60ec8e726e89.png,60ec8e726e89,R03,2481.845786705603,9699.166652403463,996.0,461.0,1.0,,T-012|T-005|T-014,"middleware, custom middleware|init state|middleware examples",pending_transcript
IU-079,image-be175ae4c71b2a9e419fbcd7d4fcf9c3a5acdfc3,7ca6bf28784d.png,7ca6bf28784d,R04,7461.486968742378,9816.062316923348,699.0,376.0,1.0,,T-009|T-010|T-008,async flow example|examples|and explaination,pending_transcript
IU-080,image-a7a8cf397282506afff762e72e7522218b8c2efc,9fb915f5193a.png,9fb915f5193a,R03,1080.2816370963228,10772.162980364032,802.0,482.0,1.0,,T-013|T-012|T-014,"thunk middleware|middleware, custom middleware|middleware examples",pending_transcript
IU-081,image-cd1ef486d1e886b936ca3eac79cd16686af03439,b26a7e72a585.png,b26a7e72a585,R03,1001.6430088626876,10298.829613122281,967.0,482.0,1.0,,T-012|T-013|T-014,"middleware, custom middleware|thunk middleware|middleware examples",pending_transcript
IU-082,image-839354ce36d531d7a8309d3b8aee41d0d33c1b6f,4cb2e5c79c3e.png,4cb2e5c79c3e,R03,938.4248430009065,9782.749409796965,970.0,463.0,1.0,,T-012|T-013|T-014,"middleware, custom middleware|thunk middleware|middleware examples",pending_transcript
IU-083,image-5c129766156a4f13154a2f327f2fc44c02550675,9a7650ee433c.png,9a7650ee433c,R03,914.6112060546875,12821.777418074074,981.0,412.0,1.0,,T-014|T-013|T-012,"middleware examples|thunk middleware|middleware, custom middleware",pending_transcript
IU-084,image-0890f4d9062891496d4567b1f331895114a15712,ca203fb21640.png,ca203fb21640,R03,872.1881083504086,12293.28773301548,946.0,482.0,1.0,,T-014|T-013|T-012,"middleware examples|thunk middleware|middleware, custom middleware",pending_transcript
IU-085,image-10544051e2b33600772bd0cb13a254444a0f555d,a159eafbe21e.png,a159eafbe21e,R03,2502.2649991474455,12509.404229025913,1020.0,273.0,1.0,,T-014|T-013|T-012,"middleware examples|thunk middleware|middleware, custom middleware",pending_transcript
IU-086,image-a3eae5800d63394f85f73b1c71bfb651c972cee7,2695a95bbae2.png,2695a95bbae2,R03,2512.4820861816434,12222.851275699406,978.0,214.0,1.0,,T-014|T-012|T-013,"middleware examples|middleware, custom middleware|thunk middleware",pending_transcript
IU-087,image-6a2fefcd798e3ef34b27b99a65b9c3311adab50e,53bf70649b63.png,53bf70649b63,R03,2514.537723117405,11723.72152682516,977.0,437.0,1.0,,T-014|T-012|T-013,"middleware examples|middleware, custom middleware|thunk middleware",pending_transcript
IU-088,image-420bd0f729e7de77b289393b2cffd5729f095f28,e93101a80cad.png,e93101a80cad,R03,2505.304965064638,11240.115626227216,989.0,442.0,1.0,,T-014|T-012|T-013,"middleware examples|middleware, custom middleware|thunk middleware",pending_transcript
IU-089,image-f6f3776e14ebca18e52578fc79b2de9dcd7bb4c2,7b86da9e1d8f.png,7b86da9e1d8f,R03,2486.41549393735,10733.292709560545,933.0,482.0,1.0,,T-012|T-014|T-013,"middleware, custom middleware|middleware examples|thunk middleware",pending_transcript
IU-090,image-336c6ba8280a110721ec88dc89b691728270e30d,514a8a06c218.png,514a8a06c218,R03,2560.197796432686,14069.663677868037,804.0,482.0,1.0,,T-014|T-019|T-016,middleware examples|!!!|immutability,pending_transcript
IU-091,image-174e161302744b7e8d30fac2474a83bf4757d67e,2199ab5ec864.png,2199ab5ec864,R03,2502.3118789982827,13577.70096890206,948.0,468.0,1.0,,T-014|T-016|T-015,middleware examples|immutability|immer and,pending_transcript
IU-092,image-ec9c75ddc488a788c541d002c3259737cf1a6176,0d2f8c4d307e.png,0d2f8c4d307e,R03,2447.08979240974,13116.089857790943,1014.0,449.0,1.0,,T-014|T-013|T-015,middleware examples|thunk middleware|immer and,pending_transcript
IU-093,image-986fdfe1f535b004a8306491ca7420081c689e58,beabad15ea06.png,beabad15ea06,R06,6330.638188484392,15113.505570281948,788.0,244.0,1.0,,T-019|T-018|T-016,!!!|examples|immutability,pending_transcript
IU-094,image-32e11d167e5f8ac206acc51cd55783b2bb9fa55d,747a43c1a0dd.png,747a43c1a0dd,R06,6324.560917007768,14742.783440096868,799.0,361.0,1.0,,T-019|T-018|T-016,!!!|examples|immutability,pending_transcript
IU-095,image-708d57200d6b788b8b6054ca62311055431eea9e,8044ad83f211.png,8044ad83f211,R05,6247.168532689206,14443.250904659486,961.0,261.0,1.0,,T-016|T-015|T-019,immutability|immer and|!!!,pending_transcript
IU-096,image-9462e37cda12c1ffbc1502094f7729755eca59aa,86b8c5b9c685.png,86b8c5b9c685,R05,6221.120855512866,13919.917600390512,975.0,481.0,1.0,,T-016|T-015|T-017,"immutability|immer and|can read from draft, need to pass state",pending_transcript
IU-097,image-791b693c4e2a793fa6fa5069becff05807ee604a,8bcc31347c98.png,8bcc31347c98,R05,6178.216035479384,13635.727153264397,977.0,257.0,1.0,,T-016|T-015|T-017,"immutability|immer and|can read from draft, need to pass state",pending_transcript
IU-098,image-f381272ad8bc86dbac1245e020e62c46a01c838e,0a04378de4e5.png,0a04378de4e5,R05,7618.383292515097,14489.475161500424,809.0,373.0,1.0,,T-017|T-016|T-018,"can read from draft, need to pass state|immutability|examples",pending_transcript
IU-099,image-1625667e06a82f417ecb327118ba9f7202252447,09e625af56eb.png,09e625af56eb,R05,7607.152523284329,14077.33419845955,963.0,336.0,1.0,,T-017|T-016|T-015,"can read from draft, need to pass state|immutability|immer and",pending_transcript
IU-100,image-d594d2ed33e4df126840975e4d71cc6c7683389a,a77b422918e9.png,a77b422918e9,R05,7560.844678388745,13630.231526762964,981.0,392.0,1.0,,T-017|T-016|T-015,"can read from draft, need to pass state|immutability|immer and",pending_transcript
IU-101,image-e7ead842e0955cde6b85b759eaf5cee205b2a3c1,24c95e976967.png,24c95e976967,R06,6399.370316566854,16159.47126470056,834.0,482.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
IU-102,image-2dd66a3c76f575326748878d881cba8ec500561a,bb27ced639c2.png,bb27ced639c2,R06,6391.51696219523,16662.794079641964,996.0,241.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
IU-103,image-c026a734d19682374215810c5f23458e68aa568b,dea734c0cf1c.png,dea734c0cf1c,R06,6440.365214325742,16910.13789067712,925.0,482.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
IU-104,image-86b2e7206239c947d9a67c2a06fcb8fb611d41e2,a0a09d36e69c.png,a0a09d36e69c,R06,6459.51696219523,17402.627514700558,1004.0,348.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
IU-105,image-7189ea26c9b0b88d424f5979e001e13d269e2d4d,02da644c6ade.png,02da644c6ade,R06,6489.843273718668,17771.471325735714,954.0,482.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
IU-106,image-0d98df6246294907b105fe0a3ee46f1dd85eb8d4,8ac2e09e818f.png,8ac2e09e818f,R06,6476.0170842655425,18276.794201712277,1019.0,341.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
IU-107,image-4b2e367a2a2e3a89ccee1414753db97206dd800e,79cbc97cf31e.png,79cbc97cf31e,R06,6503.031212702735,18634.13789067712,914.0,482.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
IU-108,image-4e576b57a532fe25541e1ed8d61887343e547add,a04080a16022.png,a04080a16022,R06,6353.206944143597,15410.248972966077,962.0,482.0,1.0,,T-018|T-019|T-016,examples|!!!|immutability,pending_transcript
