text_id,text,x,y,font_size,region
T-051,};,1795.557831,6222.843778,20px,R04
T-052,// User claims (from AspNetUserClaims),1795.557831,6272.843778,20px,R04
T-053,var userClaims = await _userManager.GetClaimsAsync(user);,1795.557831,6297.843778,20px,R04
T-054,claims.AddRange(userClaims);,1795.557831,6322.843778,20px,R04
T-055,// Roles + role claims (AspNetUserRoles + AspNetRoleClaims),1795.557831,6372.843778,20px,R04
T-056,var roles = await _userManager.GetRolesAsync(user);,1795.557831,6397.843778,20px,R04
T-057,foreach (var roleName in roles),1795.557831,6422.843778,20px,R04
T-058,{,1795.557831,6447.843778,20px,R04
T-059,"// Add role claim recognized by [Authorize(Roles=""..."")]",1795.557831,6472.843778,20px,R04
T-060,"claims.Add(new Claim(ClaimTypes.Role, roleName));",1795.557831,6497.843778,20px,R04
T-061,"// If you also store claims on roles, include them",1795.557831,6547.843778,20px,R04
T-062,var role = await _roleManager.FindByNameAsync(roleName);,1795.557831,6572.843778,20px,R04
T-063,if (role != null),1795.557831,6597.843778,20px,R04
T-064,{,1795.557831,6622.843778,20px,R04
T-065,var roleClaims = await _roleManager.GetClaimsAsync(role);,1795.557831,6647.843778,20px,R04
T-066,claims.AddRange(roleClaims);,1795.557831,6672.843778,20px,R04
T-067,},1795.557831,6697.843778,20px,R04
T-068,},1795.557831,6722.843778,20px,R04
T-069,// Optional: remove duplicates (common when role+user claims overlap),1795.557831,6772.843778,20px,R04
T-070,claims = claims,1795.557831,6797.843778,20px,R04
T-071,".GroupBy(c => new { c.Type, c.Value })",1795.557831,6822.843778,20px,R04
T-072,.Select(g => g.First()),1795.557831,6847.843778,20px,R04
T-073,.ToList();,1795.557831,6872.843778,20px,R04
T-074,var key = new SymmetricSecurityKey(Encoding.UTF8.GetBytes(_jwt.SigningKey));,1795.557831,6922.843778,20px,R04
T-075,"var creds = new SigningCredentials(key, SecurityAlgorithms.HmacSha256);",1795.557831,6947.843778,20px,R04
T-076,var token = new JwtSecurityToken(,1795.557831,6997.843778,20px,R04
T-077,"issuer: _jwt.Issuer,",1795.557831,7022.843778,20px,R04
T-078,"audience: _jwt.Audience,",1795.557831,7047.843778,20px,R04
T-079,"claims: claims,",1795.557831,7072.843778,20px,R04
T-080,"notBefore: DateTime.UtcNow,",1795.557831,7097.843778,20px,R04
T-081,"expires: DateTime.UtcNow.AddMinutes(_jwt.ExpMinutes),",1795.557831,7122.843778,20px,R04
T-082,signingCredentials: creds);,1795.557831,7147.843778,20px,R04
T-083,return new JwtSecurityTokenHandler().WriteToken(token);,1795.557831,7197.843778,20px,R04
T-084,},1795.557831,7222.843778,20px,R04
T-085,},1795.557831,7247.843778,20px,R04
T-086,can have role related claims so may need,29.557831,6147.843839,20px,R04
T-087,to fetch claims for the role that user has,29.557831,6172.843839,20px,R04
T-088,identity schema,1176.66687,762.367286,99.99999999999994px,R01
T-089,jwt claims + token creator service,10.0,4134.815328,174.66665649414062px,R04
T-090,that creates fro user claims,10.0,4353.148649,174.66665649414062px,R04
T-091,and from role claims,10.0,4571.481969,174.66665649414062px,R04
T-092,of roles tht user hhas,10.0,4789.81529,174.66665649414062px,R04
