physical_id,text,empty
TP-077,,True
TP-078,"ab.Property<long>(""UserId"");",False
TP-079,,True
TP-080,ab.Property(a => a.ActivatedAt),False
TP-081,.HasConversion(,False
TP-082,"maybe => maybe.GetValueOrDefault(),",False
TP-083,value => Maybe.From(value),False
TP-084,);,False
TP-085,,True
TP-086,ab.Property(a => a.SecurityCode),False
TP-087,.HasMaxLength(100);,False
TP-088,,True
TP-089,"ab.Property<byte[]>(""Version"")",False
TP-090,.IsRowVersion();,False
TP-091,,True
TP-092,,True
TP-093,});,False
TP-094,"ub.HasMany<Activation>(""_accountActivations"")",False
TP-095,.WithOne(aa => aa.User),False
TP-096,".HasForeignKey(""UserId"")",False
TP-097,.OnDelete(DeleteBehavior.Cascade);,False
TP-098,In RegisterHandler,False
TP-099,var securityCode = user.LastAccountActivation.SecurityCode;,False
TP-100,,True
TP-101,"var link = _linkFactory.CreateLink(""ActivateAccount"",",False
TP-102,"""Account"",",False
TP-103,securityCode);,False
TP-104,,True
TP-105,"var message = $""To activate your account click on <a href=\""{link}\"">link</a>:"";",False
TP-106,,True
TP-107,var sendEmail = await _email.SendEmailAsync(,False
TP-108,"user.Email,",False
TP-109,"""Activate your account"",",False
TP-110,"message,",False
TP-111,cancellationToken);,False
TP-112,if (sendEmail.IsFailure),False
TP-113,{,False
TP-114,return sendEmail.Error;,False
TP-115,},False
TP-116,,True
TP-117,public sealed class VerificationLinkFactory: IVerificationLinkFactory,False
TP-118,{,False
TP-119,private readonly IHttpContextAccessor _contextAccessor;,False
TP-120,private readonly LinkGenerator _link;,False
TP-121,"public VerificationLinkFactory(IHttpContextAccessor contextAccessor, LinkGenerator link)",False
TP-122,{,False
TP-123,_contextAccessor = contextAccessor;,False
TP-124,_link = link;,False
TP-125,},False
TP-126,,True
TP-127,"public string CreateLink(string action, string controller, string code, string scheme = ""https"")",False
TP-128,{,False
TP-129,var link = _link.GetUriByAction(,False
TP-130,"_contextAccessor.HttpContext!,",False
TP-131,"action,",False
TP-132,"controller,",False
TP-133,"new { code },",False
TP-134,scheme);,False
TP-135,if (link is null),False
TP-136,{,False
TP-137,"throw new InvalidOperationException(""Can't create verification link"");",False
TP-138,},False
TP-139,,True
TP-140,return link;,False
TP-141,},False
TP-142,},False
TP-143,"public class ActivateAccountHandler : IRequestHandler<ActivateAccountCommand, UnitResult<Error>>",False
TP-144,{,False
TP-145,private readonly IUserRepository _users;,False
TP-146,private readonly ILogger _logger;,False
TP-147,private readonly TimeProvider _time;,False
TP-148,"public ActivateAccountHandler(IUserRepository users, ILogger logger, TimeProvider time)",False
TP-149,{,False
TP-150,_users = users;,False
TP-151,_logger = logger;,False
TP-152,_time = time;,False
TP-153,},False
TP-154,"public async Task<UnitResult<Error>> Handle(ActivateAccountCommand request,",False
TP-155,CancellationToken cancellationToken),False
TP-156,{,False
TP-157,"var userOrNothing = await _users.GetBySecurityCodeAsync(request.code,cancellationToken);",False
TP-158,if (userOrNothing.HasNoValue),False
TP-159,{,False
TP-160,var error= Errors.User.NotFoundForRequestedCode();,False
TP-161,"_logger.LogWarning(error.Message,request.code);",False
TP-162,},False
TP-163,var user = userOrNothing.Value;,False
TP-164,,True
TP-165,"var result = user.ActivateAccount(request.code,_time.GetUtcNow());",False
TP-166,if (result.IsFailure),False
TP-167,{,False
TP-168,return result.Error;,False
TP-169,},False
TP-170,,True
TP-171,return UnitResult.Success<Error>();,False
TP-172,,True
TP-173,},False
TP-174,},False
TP-175,Make sure that activate link leads to get endpoint,False
