"Status","TopicName","MatchedPath","PossiblePaths"
"FOUND","authentication,, oidc, flows , handlers , forwarding auth events","Canvases/new theory/fw_Asp/Sheet/authentication,, oidc, flows , handlers , forwarding auth events.md",""
"FOUND","AUTHORIZATION","Canvases/new theory/fw_Asp/Sheet/AUTHORIZATION.md",""
"FOUND","authorization flow,autorization options, framework, authorizationmiddlewareresulthandler","Canvases/new theory/fw_Asp/Sheet/authorization flow,autorization options, framework, authorizationmiddlewareresulthandler.md",""
"FOUND","automatic problem details from modelstate,apicontroller filter invalidmodelstateresponsefactory","Canvases/new theory/fw_Asp/Sheet/automatic problem details from modelstate,apicontroller filter invalidmodelstateresponsefactory.md",""
"FOUND","base mvc razor views example,tempdata viewdata viewbag, cache tag helper","Canvases/new theory/fw_Asp/Sheet/base mvc razor views example,tempdata viewdata viewbag, cache tag helper.md",""
"FOUND","basic auth","Canvases/new theory/fw_Asp/Sheet/basic auth.md",""
"FOUND","binary primitives","Canvases/new theory/fw_Asp/Sheet/binary primitives.md",""
"FOUND","BINDING SOURCE ATTRIBUTES","Canvases/new theory/fw_Asp/Sheet/BINDING SOURCE ATTRIBUTES.md",""
"FOUND","cache control header,directives, PUBLIC PRIVATE CACHE , RESPONSE CACHE TYPES , E TAG CACHE FLOWS","Canvases/new theory/fw_Asp/Sheet/REST API/cache control header,directives, PUBLIC PRIVATE CACHE , RESPONSE CACHE TYPES , E TAG CACHE FLOWS.md",""
"FOUND","cache control headers and response caching","Canvases/new theory/fw_Asp/Sheet/REST API/cache control headers and response caching.md",""
"FOUND","changetracker","Canvases/new theory/fw_Asp/Sheet/changetracker.md",""
"FOUND","channel","Canvases/new theory/fw_Asp/Sheet/channel.md",""
"FOUND","claimstransformation","Canvases/new theory/fw_Asp/Sheet/claimstransformation.md",""
"FOUND","composite key","Canvases/new theory/fw_Asp/Sheet/composite key.md",""
"FOUND","compression,decompression,request,response","Canvases/new theory/fw_Asp/Sheet/compression,decompression,request,response.md",""
"FOUND","computed columns","Canvases/new theory/fw_Asp/Sheet/computed columns.md",""
"FOUND","content disposition header","Canvases/new theory/fw_Asp/Sheet/content disposition header.md",""
"FOUND","CONTENT NEGOTIATION RES API,FORMATTERS, XML,JSON","Canvases/new theory/fw_Asp/Sheet/REST API/CONTENT NEGOTIATION RES API,FORMATTERS, XML,JSON.md",""
"FOUND","conventions","Canvases/new theory/fw_Asp/Sheet/conventions.md",""
"FOUND","cookie auth, antiforgery","Canvases/new theory/fw_Asp/Sheet/cookie auth, antiforgery.md",""
"FOUND_NORMALIZED_SPACES","cookies auth ON REDIRECT probmem details returning","Canvases/new theory/fw_Asp/Sheet/cookies auth ON REDIRECT  probmem details returning.md",""
"FOUND","cookies vs tokens sheet jswt in cookies","Canvases/new theory/fw_Asp/Sheet/cookies vs tokens sheet jswt in cookies.md",""
"FOUND","cookies, general theo, plain cookie options","Canvases/new theory/fw_Asp/Sheet/cookies, general theo, plain cookie options.md",""
"FOUND","CORS","Canvases/new theory/fw_Asp/Sheet/CORS.md",""
"FOUND","cors vs anti forgery","Canvases/new theory/fw_Asp/Sheet/cors vs anti forgery.md",""
"FOUND","creating base32 secret","Canvases/new theory/fw_Asp/Sheet/creating base32 secret.md",""
"FOUND","CREATION REQUEST,POST REQUEST,LOCACTION HEADER,CREATED AT","Canvases/new theory/fw_Asp/Sheet/REST API/CREATION REQUEST,POST REQUEST,LOCACTION HEADER,CREATED AT.md",""
"FOUND","CUSTOM ROUTE CONSTRAINT","Canvases/new theory/fw_Asp/Sheet/CUSTOM ROUTE CONSTRAINT.md",""
"FOUND","data shaping,expando","Canvases/new theory/fw_Asp/Sheet/REST API/data shaping,expando.md",""
"FOUND","dbcontext interseptors savechanges , dbcommand","Canvases/new theory/fw_Asp/Sheet/dbcontext interseptors savechanges , dbcommand.md",""
"FOUND","dbcontextpool, queryfilter","Canvases/new theory/fw_Asp/Sheet/dbcontextpool, queryfilter.md",""
"FOUND","dbset fromsql fromsqlraw fromsqlinterpolated and LINQ executeupdateasync and executedelete async,database.executesql executeraw,fromsqlquery","Canvases/new theory/fw_Asp/Sheet/dbset fromsql fromsqlraw fromsqlinterpolated and LINQ executeupdateasync and executedelete async,database.executesql executeraw,fromsqlquery.md",""
"FOUND","decoding, bytes memory, start of x byte character","Canvases/new theory/fw_Asp/Sheet/decoding, bytes memory, start of x byte character.md",""
"FOUND","donwloading files, blob,window.location,signed uri, showsavefilepicker createwritable","Canvases/new theory/fw_React/Sheet/donwloading files, blob,window.location,signed uri, showsavefilepicker createwritable.md",""
"FOUND","editor,display templates","Canvases/new theory/fw_Asp/Sheet/editor,display templates.md",""
"FOUND","ef core context.database, transaction object, savechanges, dbconnection,dbtransaction","Canvases/new theory/fw_Asp/Sheet/ef core context.database, transaction object, savechanges, dbconnection,dbtransaction.md",""
"FOUND","ef core performance, diagnostics , compiled linq, batching, n + 1","Canvases/new theory/fw_Asp/Sheet/ef core performance, diagnostics , compiled linq, batching, n + 1.md",""
"FOUND","ef core retry, savepoints","Canvases/new theory/fw_Asp/Sheet/ef core retry, savepoints.md",""
"FOUND","ef has conversion, value converte,comparer","Canvases/new theory/fw_Asp/Sheet/EF CORE/ef has conversion, value converte,comparer.md",""
"FOUND","ef migrations, dotnet-counters","Canvases/new theory/fw_Asp/Sheet/ef migrations, dotnet-counters.md",""
"FOUND","encapsulating dbcontext","Canvases/new theory/fw_Asp/Sheet/encapsulating dbcontext.md",""
"FOUND","encoding, utf8, chunk processing","Canvases/new theory/fw_Asp/Sheet/encoding, utf8, chunk processing.md",""
"FOUND","equality","Canvases/new theory/fw_Asp/Sheet/equality.md",""
"FOUND","ETAG, e tag","Canvases/new theory/fw_Asp/Sheet/REST API/ETAG, e tag.md",""
"FOUND","event source browser","Canvases/new theory/fw_Asp/Sheet/event source browser.md",""
"FOUND","events,delegaates,action","Canvases/new theory/fw_Asp/Sheet/events,delegaates,action.md",""
"FOUND","EXCEPTIONHANDLERS","Canvases/new theory/fw_Asp/Sheet/EXCEPTIONHANDLERS.md",""
"FOUND","explicit interface inplementation","Canvases/new theory/lan_Csharp/Sheet/explicit interface inplementation.md",""
"FOUND","FILTER,MIDDLEWARE CANCELLATION,REQUEST ABORTED","Canvases/new theory/fw_Asp/Sheet/FILTER,MIDDLEWARE CANCELLATION,REQUEST ABORTED.md",""
"FOUND","FILTERING AND SEARCHING","Canvases/new theory/fw_Asp/Sheet/REST API/FILTERING AND SEARCHING.md",""
"FOUND","filters","Canvases/new theory/fw_Asp/Sheet/filters.md",""
"FOUND","fluent validation","Canvases/new theory/fw_Asp/Sheet/fluent validation.md",""
"FOUND","FULL CONTENT NEG + VALIDATION FLOW","Canvases/new theory/fw_Asp/Sheet/REST API/FULL CONTENT NEG + VALIDATION FLOW.md",""
"FOUND","google recapcha and recapchas","Canvases/new theory/fw_Asp/Sheet/google recapcha and recapchas.md",""
"FOUND","hashcode","Canvases/new theory/fw_Asp/Sheet/hashcode.md",""
"FOUND","hashing","Canvases/new theory/fw_Asp/Sheet/hashing.md",""
"FOUND","hateoas","Canvases/new theory/fw_Asp/Sheet/REST API/hateoas.md",""
"FOUND","HEAD REQUEST","Canvases/new theory/fw_Asp/Sheet/REST API/HEAD REQUEST.md",""
"FOUND","headers","Canvases/new theory/fw_Asp/Sheet/headers.md",""
"FOUND_NORMALIZED_SPACES","hexadecimal base16 how to convert to bytes easily","Canvases/new theory/fw_Asp/Sheet/hexadecimal base16 how  to convert to bytes easily.md",""
"FOUND","httpclient,summary,theory,base usage,jsonoptions wrapper,handlers","Canvases/new theory/fw_Asp/Sheet/httpclient,summary,theory,base usage,jsonoptions wrapper,handlers.md",""
"FOUND","httpcontent,custom one, readasstream buffering, compression directly to network","Canvases/new theory/fw_Asp/Sheet/httpcontent,custom one, readasstream buffering, compression directly to network.md",""
"FOUND","httpcontext items and features","Canvases/new theory/fw_Asp/Sheet/httpcontext items and features.md",""
"FOUND","hybrydcache","Canvases/new theory/fw_Asp/Sheet/hybrydcache.md",""
"FOUND","identity","Canvases/new theory/fw_Asp/Sheet/identity.md",""
"FOUND","idistributedcache","Canvases/new theory/fw_Asp/Sheet/idistributedcache.md",""
"FOUND","imemorycache","Canvases/new theory/fw_Asp/Sheet/imemorycache.md",""
"FOUND_NORMALIZED_SPACES","implicit operators explicit operators","Canvases/new theory/fw_Asp/Sheet/implicit operators  explicit operators.md",""
"FOUND","indexes, onmodel indexes","Canvases/new theory/fw_Asp/Sheet/indexes, onmodel indexes.md",""
"FOUND","injecting into razor","Canvases/new theory/fw_Asp/Sheet/injecting into razor.md",""
"FOUND","interlocked,interlocked.read","Canvases/new theory/fw_Asp/Sheet/interlocked,interlocked.read.md",""
"FOUND","istringlocalizer iviewlocalizer","Canvases/new theory/fw_Asp/Sheet/istringlocalizer iviewlocalizer.md",""
"FOUND","IVALIDATABLE OBJECT, VALIDATION ATTRIBUTES","Canvases/new theory/fw_Asp/Sheet/IVALIDATABLE OBJECT, VALIDATION ATTRIBUTES.md",""
"FOUND","jquery dynamic form validation","Canvases/new theory/fw_Asp/Sheet/jquery dynamic form validation.md",""
"FOUND","jsonconverter","Canvases/new theory/fw_Asp/Sheet/jsonconverter.md",""
"FOUND","jsondocument, jsonnode, jsonelement, utf8jsonwriter","Canvases/new theory/fw_Asp/Json/jsondocument, jsonnode, jsonelement, utf8jsonwriter.md",""
"FOUND","jwt auth","Canvases/new theory/fw_Asp/Sheet/jwt auth.md",""
"FOUND","keyless entity type","Canvases/new theory/fw_Asp/Sheet/keyless entity type.md",""
"FOUND","last modified header, implementation, expirational model","Canvases/new theory/fw_Asp/Sheet/REST API/last modified header, implementation, expirational model.md",""
"FOUND","Lazy","Canvases/new theory/fw_Asp/Sheet/Lazy.md",""
"FOUND","lazy loading","Canvases/new theory/fw_Asp/Sheet/EF CORE/lazy loading.md",""
"FOUND","link generator","Canvases/new theory/fw_Asp/Sheet/link generator.md",""
"FOUND","linq join groupjoin groupby selectmany,selectmany second callback","Canvases/new theory/fw_Asp/Sheet/linq join groupjoin groupby selectmany,selectmany second callback.md",""
"FOUND","linq query syntax","Canvases/new theory/fw_Asp/Sheet/linq query syntax.md",""
"FOUND","linq to sql","Canvases/new theory/fw_Asp/Sheet/linq to sql.md",""
"FOUND","lock, monitor","Canvases/new theory/fw_Asp/Sheet/lock, monitor.md",""
"FOUND","manual account lockout,ratelimiter middleware, idatabase vs idist cache","Canvases/new theory/fw_Asp/Sheet/manual account lockout,ratelimiter middleware, idatabase vs idist cache.md",""
"FOUND","MEDIA TYPES OF REQUESTS","Canvases/new theory/fw_Asp/Sheet/MEDIA TYPES OF REQUESTS.md",""
"FOUND","membernotnull attribute,NULL","Canvases/new theory/fw_Asp/Sheet/attributes/membernotnull attribute,NULL.md",""
"FOUND","mfa","Canvases/new theory/fw_Asp/Sheet/mfa.md",""
"FOUND","middleware, writeasjson","Canvases/new theory/fw_Asp/Sheet/middleware, writeasjson.md",""
"FOUND","modelstate","Canvases/new theory/fw_Asp/Sheet/modelstate.md",""
"FOUND","objectpool,arraypool,memorypool","Canvases/new theory/fw_Asp/Sheet/objectpool,arraypool,memorypool.md",""
"FOUND","OIDC,OAUTH, IDENTITY SERVER,BFF,authtoken, authproperties","Canvases/new theory/fw_Asp/Sheet/OIDC,OAUTH, IDENTITY SERVER,BFF,authtoken, authproperties.md",""
"FOUND","onmodelcreating","Canvases/new theory/fw_Asp/Sheet/onmodelcreating.md",""
"FOUND","options pattern","Canvases/new theory/fw_Asp/Sheet/options pattern.md",""
"FOUND","options requ","Canvases/new theory/fw_Asp/Sheet/REST API/options requ.md",""
"FOUND","outputcache layers, to use or not,locking, outputcache vs cdn","Canvases/new theory/fw_Asp/Sheet/outputcache layers, to use or not,locking, outputcache vs cdn.md",""
"FOUND","outputcache, response cache comparison","Canvases/new theory/fw_Asp/Sheet/outputcache, response cache comparison.md",""
"FOUND","owned entity","Canvases/new theory/fw_Asp/Sheet/EF CORE/owned entity.md",""
"FOUND","PAGING","Canvases/new theory/fw_Asp/Sheet/REST API/PAGING.md",""
"FOUND","partially initialized antipattern and possible partial inits inside repositories","Canvases/new theory/fw_Asp/Sheet/partially initialized antipattern and possible partial inits inside repositories.md",""
"FOUND","pointers","Canvases/new theory/fw_Asp/Sheet/pointers.md",""
"FOUND","primary httphandler optoins, socket","Canvases/new theory/fw_Asp/Sheet/primary httphandler optoins, socket.md",""
"FOUND","principles,practises,patterns","Canvases/new theory/fw_Asp/Sheet/principles,practises,patterns.md",""
"FOUND","problem details","Canvases/new theory/fw_Asp/Sheet/problem details.md",""
"FOUND","problem2","Canvases/new theory/-Framework/SHETT/problem2.md",""
"FOUND","processing data as stream in dif situations, httpclient,endpoint,browser,websockets","Canvases/new theory/fw_Asp/Sheet/processing data as stream in dif situations, httpclient,endpoint,browser,websockets.md",""
"FOUND","produces, consumes, input output formatters 406 415, vary accept","Canvases/new theory/fw_Asp/Sheet/produces, consumes, input output formatters 406 415, vary accept.md",""
"FOUND","proxy, server, vite dev server proxy","Canvases/new theory/fw_Asp/Sheet/proxy, server, vite dev server proxy.md",""
"FOUND","PUT,PATCH","Canvases/new theory/fw_Asp/Sheet/REST API/PUT,PATCH.md",""
"FOUND","QS PREFERENCE WITH MULTIPLE ACCEPT HEADER VALUES HELPER","Canvases/new theory/fw_Asp/Sheet/QS PREFERENCE WITH MULTIPLE ACCEPT HEADER VALUES HELPER.md",""
"FOUND","query filters ef core","Canvases/new theory/fw_Asp/Sheet/query filters ef core.md",""
"FOUND","randomnumbergenerator","Canvases/new theory/fw_Asp/Sheet/randomnumbergenerator.md",""
"FOUND","rawconnections,dbconnection,sqlconnection,commands","Canvases/new theory/fw_Asp/Sheet/rawconnections,dbconnection,sqlconnection,commands.md",""
"FOUND","RAZOR PARTIAL UPDATES FOR VIEWCOMPONENT HTMX,AJAX","Canvases/new theory/fw_Asp/Sheet/RAZOR PARTIAL UPDATES FOR VIEWCOMPONENT HTMX,AJAX.md",""
"FOUND","records","Canvases/new theory/fw_Asp/Sheet/records.md",""
"FOUND","redis, idatabase,iserver","Canvases/new theory/fw_Asp/Sheet/redis, idatabase,iserver.md",""
"FOUND","redis,multiplexer,redis lock","Canvases/new theory/fw_Asp/Sheet/redis,multiplexer,redis lock.md",""
"FOUND","ref in out","Canvases/new theory/fw_Asp/Sheet/ref in out.md",""
"FOUND","REFLECTION","Canvases/new theory/lan_Csharp/Sheet/REFLECTION.md",""
"FOUND","REST API BASICS","Canvases/new theory/fw_Asp/Sheet/REST API/REST API BASICS.md",""
"FOUND","return new ()","Canvases/new theory/lan_Csharp/Sheet/return new ().md",""
"FOUND","return url implementation razor","Canvases/new theory/fw_Asp/Sheet/return url implementation razor.md",""
"FOUND","returning iqueryable,problems when returning ienumerable without tolist, async enumerable problems,yield","Canvases/new theory/fw_Asp/Sheet/returning iqueryable,problems when returning ienumerable without tolist, async enumerable problems,yield.md",""
"FOUND","returning most specific passing most generic","Canvases/new theory/fw_Asp/Sheet/returning most specific passing most generic.md",""
"FOUND","root document","Canvases/new theory/fw_Asp/Sheet/REST API/root document.md",""
"FOUND","ROUTE NESTING","Canvases/new theory/fw_Asp/Sheet/REST API/ROUTE NESTING.md",""
"FOUND","ROUTE PARAMS,QUERY STRING BASICS","Canvases/new theory/fw_Asp/Sheet/REST API/ROUTE PARAMS,QUERY STRING BASICS.md",""
"FOUND","ROUTING,ROUTE DESIGN, RESOURCES,ROUTING ALL GOOD PRACT IN GENERAL EXPLAINED","Canvases/new theory/fw_Asp/Sheet/REST API/ROUTING,ROUTE DESIGN, RESOURCES,ROUTING ALL GOOD PRACT IN GENERAL EXPLAINED.md",""
"FOUND","routing,route params tech info, custom constraints,router matching","Canvases/new theory/fw_Asp/Sheet/routing,route params tech info, custom constraints,router matching.md",""
"FOUND","scopes and idisposable","Canvases/new theory/fw_Asp/Sheet/scopes and idisposable.md",""
"FOUND","searching impl, ef core, full text search,sql server","Canvases/new theory/fw_Asp/Sheet/searching impl, ef core, full text search,sql server.md",""
"FOUND","semaphoreslim vs channel","Canvases/new theory/fw_Asp/Sheet/semaphoreslim vs channel.md",""
"FOUND","server browser threads,memory, webworkers , runtime vs compiler , es","Canvases/new theory/fw_Asp/Sheet/server browser threads,memory, webworkers , runtime vs compiler , es.md",""
"FOUND","server resources,multipleinstances,microservices","Canvases/new theory/fw_Asp/Sheet/server resources,multipleinstances,microservices.md",""
"FOUND","shared polly,cheat sheet,production ready verions, exceptions from pipeline and handling","Canvases/new theory/fw_Asp/Sheet/shared polly,cheat sheet,production ready verions, exceptions from pipeline and handling.md",""
"FOUND","sheet dict","Canvases/new theory/lan_Csharp/Sheet/sheet dict.md",""
"FOUND","sheet hashset","Canvases/new theory/lan_Csharp/Sheet/sheet hashset.md",""
"FOUND","SORTING,MAPPING SERVICE","Canvases/new theory/fw_Asp/Sheet/REST API/SORTING,MAPPING SERVICE.md",""
"FOUND","span,memory,stackalloc,stackoverflow,calculate bytes, unmanaged types","Canvases/new theory/fw_Asp/Sheet/span,memory,stackalloc,stackoverflow,calculate bytes, unmanaged types.md",""
"FOUND","SQL SERVER MARS","Canvases/new theory/fw_Asp/Sheet/SQL SERVER MARS.md",""
"FOUND","sql syntax. sql server","Canvases/new theory/fw_Asp/Sheet/sql syntax. sql server.md",""
"FOUND","sqlserver,efcore, bulk,sqlbulkcopy","Canvases/new theory/fw_Asp/Sheet/sqlserver,efcore, bulk,sqlbulkcopy.md",""
"FOUND","statuscodepages","Canvases/new theory/fw_Asp/Sheet/statuscodepages.md",""
"FOUND","stored procedures","Canvases/new theory/fw_Asp/Sheet/stored procedures.md",""
"FOUND","streaming","Canvases/new theory/fw_Asp/Sheet/streaming.md",""
"FOUND","STRINGREADER","Canvases/new theory/fw_Asp/Sheet/STRINGREADER.md",""
"FOUND","SYSTEM.TEXT.JSON SER SER","Canvases/new theory/fw_Asp/Sheet/SYSTEM.TEXT.JSON SER SER.md",""
"FOUND","tag helpers razor,partial","Canvases/new theory/fw_Asp/Sheet/tag helpers razor,partial.md",""
"FOUND","time","Canvases/new theory/fw_Asp/Sheet/time.md",""
"FOUND","totp, summary,theory","Canvases/new theory/fw_Asp/Sheet/totp, summary,theory.md",""
"FOUND","transaction, isolation","Canvases/new theory/fw_Asp/Sheet/transaction, isolation.md",""
"FOUND","url save base 64 for db, hex string","Canvases/new theory/fw_Asp/Sheet/url save base 64 for db, hex string.md",""
"FOUND","usecookiepolicy","Canvases/new theory/fw_Asp/Sheet/usecookiepolicy.md",""
"FOUND","useRef to avoid including into deps array, to avoid rerenders or bad recreations","Canvases/new theory/fw_React/Sheet/useRef to avoid including into deps array, to avoid rerenders or bad recreations.md",""
"FOUND","usesyncexternalstore","Canvases/new theory/fw_React/Sheet/usesyncexternalstore.md",""
"FOUND_NORMALIZED_SPACES","utf8 string literal","Canvases/new theory/fw_Asp/Sheet/utf8 string  literal.md",""
"FOUND","valuetask","Canvases/new theory/fw_Asp/Sheet/valuetask.md",""
"FOUND","vary header","Canvases/new theory/fw_Asp/Sheet/REST API/vary header.md",""
"FOUND","view discovery conventions","Canvases/new theory/fw_Asp/Sheet/view discovery conventions.md",""
"FOUND","viewcomponent","Canvases/new theory/fw_Asp/Sheet/viewcomponent.md",""
"FOUND","views, idexed views","Canvases/new theory/fw_Asp/Sheet/views, idexed views.md",""
"FOUND","websockets","Canvases/new theory/fw_Asp/Sheet/websockets.md",""
"FOUND","windows auth","Canvases/new theory/fw_Asp/Sheet/windows auth.md",""
"FOUND","working with bytes, streams to bytes, to array readexactly,readatleast","Canvases/new theory/fw_Asp/Sheet/working with bytes, streams to bytes, to array readexactly,readatleast.md",""
"FOUND","xss, csp","Canvases/new theory/fw_React/Sheet/xss, csp.md",""
