source_type,source_id,asset_id,region,status,transcript_file
image_use,IU-060,A-012,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-061,A-011,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-062,A-010,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
image_use,IU-063,A-009,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-064,A-009,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-065,A-008,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-066,A-007,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-067,A-006,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-068,A-005,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-069,A-004,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-070,A-003,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-071,A-002,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
image_use,IU-072,A-001,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-001,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-002,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-003,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-004,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-005,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-006,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-007,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-008,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-009,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-010,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-011,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-012,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-013,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-014,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-015,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-016,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-017,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-018,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-019,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-020,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-021,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-022,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-023,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-024,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-025,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-026,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-027,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-028,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-029,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-030,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-031,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-032,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-033,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-034,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-035,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-036,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-037,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-038,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-039,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-040,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-041,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-042,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-043,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-044,,R01,recorded-empty,regions/R01-contract-fields-validation.md
text_node,TX-045,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-046,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-047,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-048,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-049,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-050,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-051,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-052,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-053,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-054,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-055,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-056,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-057,,R02,verified,regions/R02-shaping-extensions-controller-flow.md
text_node,TX-058,,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
text_node,TX-059,,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
text_node,TX-060,,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
text_node,TX-061,,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
text_node,TX-062,,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
text_node,TX-063,,R04,recorded-empty,regions/R04-shaping-vs-projection-tradeoffs.md
text_node,TX-064,,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
text_node,TX-065,,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
text_node,TX-066,,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
text_node,TX-067,,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
text_node,TX-068,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-069,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-070,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-071,,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
text_node,TX-072,,R01,verified,regions/R01-contract-fields-validation.md
text_node,TX-073,,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
text_node,TX-074,,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
