text_id,x,y,group_x,group_y,text,empty,region,review_status,transcript_file
TX-016,5462.156491721215,918.4557010705458,5462.156491721215,550.8357010705458,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-017,5462.156491721215,943.4557010705458,5462.156491721215,550.8357010705458,"    public string OrderBy { get; set; } = ""Name"";",False,R01,verified,regions/R01-contract-fields-validation.md
TX-018,5462.156491721215,968.4557010705458,5462.156491721215,550.8357010705458,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-019,5462.156491721215,993.4557010705458,5462.156491721215,550.8357010705458,    // Data shaping,False,R01,verified,regions/R01-contract-fields-validation.md
TX-020,5462.156491721215,1018.4557010705458,5462.156491721215,550.8357010705458,    public string? Fields { get; set; },False,R01,verified,regions/R01-contract-fields-validation.md
TX-021,5462.156491721215,1043.4557010705457,5462.156491721215,550.8357010705458,},False,R01,verified,regions/R01-contract-fields-validation.md
TX-022,5755.755849577715,1294.6379119565672,5755.755849577715,1277.0179119565673,using System.Reflection;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-023,5755.755849577715,1319.6379119565672,5755.755849577715,1277.0179119565673,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-024,5755.755849577715,1344.6379119565672,5755.755849577715,1277.0179119565673,public class PropertyCheckerService : IPropertyCheckerService,False,R01,verified,regions/R01-contract-fields-validation.md
TX-025,5755.755849577715,1369.6379119565672,5755.755849577715,1277.0179119565673,{,False,R01,verified,regions/R01-contract-fields-validation.md
TX-026,5755.755849577715,1394.6379119565672,5755.755849577715,1277.0179119565673,    public bool TypeHasProperties<T>(string? fields),False,R01,verified,regions/R01-contract-fields-validation.md
TX-027,5755.755849577715,1419.6379119565672,5755.755849577715,1277.0179119565673,    {,False,R01,verified,regions/R01-contract-fields-validation.md
TX-028,5755.755849577715,1444.6379119565672,5755.755849577715,1277.0179119565673,        if (string.IsNullOrWhiteSpace(fields)),False,R01,verified,regions/R01-contract-fields-validation.md
TX-029,5755.755849577715,1469.6379119565672,5755.755849577715,1277.0179119565673,            return true;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-030,5755.755849577715,1494.6379119565672,5755.755849577715,1277.0179119565673,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-031,5755.755849577715,1519.6379119565672,5755.755849577715,1277.0179119565673,"        var fieldsAfterSplit = fields.Split(',', StringSplitOptions.RemoveEmptyEntries | StringSplitOptions.TrimEntries);",False,R01,verified,regions/R01-contract-fields-validation.md
TX-032,5755.755849577715,1544.6379119565672,5755.755849577715,1277.0179119565673,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-033,5755.755849577715,1569.6379119565672,5755.755849577715,1277.0179119565673,        foreach (var field in fieldsAfterSplit),False,R01,verified,regions/R01-contract-fields-validation.md
TX-034,5755.755849577715,1594.6379119565672,5755.755849577715,1277.0179119565673,        {,False,R01,verified,regions/R01-contract-fields-validation.md
TX-035,5755.755849577715,1619.6379119565672,5755.755849577715,1277.0179119565673,            var propertyName = field.Trim();,False,R01,verified,regions/R01-contract-fields-validation.md
TX-036,5755.755849577715,1644.6379119565672,5755.755849577715,1277.0179119565673,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-037,5755.755849577715,1669.6379119565672,5755.755849577715,1277.0179119565673,            var propertyInfo = typeof(T).GetProperty(,False,R01,verified,regions/R01-contract-fields-validation.md
TX-038,5755.755849577715,1694.6379119565672,5755.755849577715,1277.0179119565673,"                propertyName,",False,R01,verified,regions/R01-contract-fields-validation.md
TX-039,5755.755849577715,1719.6379119565672,5755.755849577715,1277.0179119565673,                BindingFlags.IgnoreCase | BindingFlags.Public | BindingFlags.Instance);,False,R01,verified,regions/R01-contract-fields-validation.md
TX-040,5755.755849577715,1744.6379119565672,5755.755849577715,1277.0179119565673,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-041,5755.755849577715,1769.6379119565672,5755.755849577715,1277.0179119565673,            if (propertyInfo is null),False,R01,verified,regions/R01-contract-fields-validation.md
TX-042,5755.755849577715,1794.6379119565672,5755.755849577715,1277.0179119565673,                return false;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-043,5755.755849577715,1819.6379119565672,5755.755849577715,1277.0179119565673,        },False,R01,verified,regions/R01-contract-fields-validation.md
TX-044,5755.755849577715,1844.6379119565672,5755.755849577715,1277.0179119565673,,True,R01,recorded-empty,regions/R01-contract-fields-validation.md
TX-045,5755.755849577715,1869.6379119565672,5755.755849577715,1277.0179119565673,        return true;,False,R01,verified,regions/R01-contract-fields-validation.md
TX-046,5755.755849577715,1894.6379119565672,5755.755849577715,1277.0179119565673,    },False,R01,verified,regions/R01-contract-fields-validation.md
TX-047,5755.755849577715,1919.6379119565672,5755.755849577715,1277.0179119565673,},False,R01,verified,regions/R01-contract-fields-validation.md
TX-048,4096.091346119878,5127.859926805131,4096.091346119878,5058.554478758257,RELATED LOGIC IN CONTROLLER,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-049,4592.338052355437,6063.26301666706,4592.338052355437,6045.64301666706,OR FOR SINGLE,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-050,2889.0440106655924,2916.731719115868,2889.0440106655924,2899.1117191158683,"ADD TO EXANDOOBJECT,",False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-051,2889.0440106655924,2941.731719115868,2889.0440106655924,2899.1117191158683,DYNAMIC PROPERTIES,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-052,2889.0440106655924,2966.731719115868,2889.0440106655924,2899.1117191158683,SHEET,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-053,2907.163068399176,4610.731404974797,2907.163068399176,4593.111404974798,WE DONT ,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-054,2907.163068399176,4635.731404974797,2907.163068399176,4593.111404974798,HAVE TYPE FOR ,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-055,2907.163068399176,4660.731404974797,2907.163068399176,4593.111404974798,RETURN TYPE,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-056,2907.163068399176,4685.731404974797,2907.163068399176,4593.111404974798,SO WE ARE RETURNING,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-057,2907.163068399176,4710.731404974797,2907.163068399176,4593.111404974798,SOMETHING ,False,R02,verified,regions/R02-shaping-extensions-controller-flow.md
TX-058,3725.026112410753,7150.916358292205,3725.026112410753,7060.46700703488,EXPANDOOBJECT PERSONAL SHEET,False,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
TX-059,4529.322127269787,12084.365910947285,4529.322127269787,12066.745910947284,RELATED TO DATA SHAPING ,False,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
TX-060,4529.322127269787,12109.365910947285,4529.322127269787,12066.745910947284,WHY THIS APPROACH WITH EXTENSION ON IENUMERABLE OR ,False,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
TX-061,4529.322127269787,12134.365910947285,4529.322127269787,12066.745910947284,"OBJECT, WHY NOT FETCHING FIELDS THAT WE NEED TO,",False,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
TX-062,4529.322127269787,12159.365910947285,4529.322127269787,12066.745910947284,WHY NO PROJECTIONS ?,False,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
TX-063,4529.322127269787,12184.365910947285,4529.322127269787,12066.745910947284,,True,R04,recorded-empty,regions/R04-shaping-vs-projection-tradeoffs.md
TX-064,4275.988929570134,11924.978599803622,4275.988929570134,11795.634732019334,why datashaping,False,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
TX-065,2923.489082158025,7940.8118250538655,2923.489082158025,7811.467957269578,cast to dict,False,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
TX-066,5688.806508567066,3079.343562608508,5688.806508567066,2949.9996948242197,can prevent shaping,False,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
TX-067,5688.806508567066,3262.8621037326398,5688.806508567066,2949.9996948242197,of any class,False,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
TX-068,1055.4733786842535,206.0101275499131,1055.4733786842535,76.666259765625,theoru,False,R01,verified,regions/R01-contract-fields-validation.md
TX-069,3728.806508567066,159.3438677842881,3728.806508567066,30.0,expl,False,R01,verified,regions/R01-contract-fields-validation.md
TX-070,4982.140248801441,139.3438677842881,4982.140248801441,10.0,impl,False,R01,verified,regions/R01-contract-fields-validation.md
TX-071,2458.5562904866892,4166.434094093027,2458.5562904866892,4123.128040089121,!!!,False,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
TX-072,94.87314170263744,1241.5982989397335,94.87314170263744,1223.9782989397336,can mean just some variants of representations (may ask),False,R01,verified,regions/R01-contract-fields-validation.md
TX-073,4261.740852358925,14119.658646028423,4261.740852358925,13989.852574083909,!!!!,False,R04,verified,regions/R04-shaping-vs-projection-tradeoffs.md
TX-074,3030.66334698431,9094.96242216931,3030.66334698431,8955.177088835977,!!!,False,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
