text_id,text,x,y,font_size,text_sha256,region_id,coverage_status,assignment_count
T-013,tokens will be cancelled on,3474.78618127731,2152.781495859279,20px,7c4e0147b6b5aea14c5b34877dafa629fc91d476c1f018a567cc9e9e17bc1637,R02,processed,1
T-014,either of 2 tokens,3474.78618127731,2152.781495859279,20px,6d6cd9cb430a89ea7cc0322ab67d21b20a829cb48641369ade01eb22f4d93858,R02,processed,1
T-015,being cancelled,3474.78618127731,2152.781495859279,20px,a498144f47d24b74a398b488666d365b2db50625b2759f8acc66063164559d02,R02,processed,1
T-016,createlinkedtokensource,4157.112802213105,624.7007028152948,176.1481119791672px,1ac19908a64064ffa42e491e50e87b44eafeb59411be756a8ec2aed969813499,R02,processed,1
T-017,linkedtokensource,1977.1128022131052,511.36726775670104,176.1481119791672px,442b8f2922b713f2ebaaf445647ae68539636befb123645328770afd70014da8,R02,processed,1
T-018,cancellation for,4627.504160603792,4450.975454024374,182.28564453125006px,ddad44b39d9602b8f2ae782f26a2eaa0737fb27136e52a05cfb6b719dd56c056,R04,processed,1
T-019,"disconnect,abotrion",4627.504160603792,4450.975454024374,182.28564453125006px,13371da9b89ce0ddb40e6fc5c2e51ce915c2aa44cd1cfa9f58a3488b3932dd1e,R04,processed,1
T-020,cpu bound,6527.503753702751,4186.530873946249,182.28564453125006px,e315da8aa4cef36863fc72669d5e1302c7ae7df7b1819040b6f8f3ca2a4a41ae,R03,processed,1
T-021,manual cancellatoin,6527.503753702751,4186.530873946249,182.28564453125006px,abd4861148109e739a7eb4f059e58ad25042c156111a6b82ab982ae8853cf56e,R03,processed,1
T-022,throwifcancrequested,6527.503753702751,4186.530873946249,182.28564453125006px,479c310f81383138b9cd50294e47e04757092709f91013812f1f1de63f5b4ea6,R03,processed,1
T-023,let it bubble for,3100.8372904866046,4457.64201896578,182.28564453125006px,c8bb528ae6616daa1de9086934b84a5d0f1ad235355efb4374d62f614e3364b2,R04,processed,1
T-024,disconnect,3100.8372904866046,4457.64201896578,182.28564453125006px,4f935a0f03deea2fa71a98679eebce744bf19bd38379dece9d64ccc92a167834,R04,processed,1
T-025,dont catch,3100.8372904866046,4457.64201896578,182.28564453125006px,b10097e46b37ca4060c0b8f191d5c4d66eba9e497d1e0676e0ab64b97bb5e19a,R04,processed,1
T-026,!!!,9676.7069661765,815.7639510198751,70.66666666666276px,e84c538e7fe250730ef62de220c40dfa808d3008c0cdb437181564b88b8714b8,R05,processed,1
T-027,Handling exceptions in async code,10283.664031334922,1136.7863887000822,20px,09341676bd9bf4d0c95ff32dd75900edf7b17f042dbc473981d769fd7c111544,R05,processed,1
T-028,Old async issues,10306.071461347943,1210.4901037065538,20px,cfac235b4d41a250b362ecef1c9a55b3871c2216a67af994dd9ecc65dff0ba87,R05,processed,1
T-029,Now just,10312.73812801461,1738.2678538896253,20px,13e7e6452c48534e26675045ea7b512f7f5b8cc82790788dc425f56cc43d7282,R05,processed,1
T-030,occures when call throwifcancellationrequested,10177.676516415218,2854.2114445150764,20px,20d6d48e9b74b1300ecd511c04b8ef5287e54567a2cd71252d1c3309076c7895,R05,processed,1
T-031,occurs when task cancelled regularly(?),10974.7134630298,2830.754616715607,20px,876be54e87a51f1796609c0afbfc376bb0330e6734796d1ec9a29739a4e3ba45,R05,processed,1
T-032,OperationCancelledException covers both types,10269.03444297231,3338.655791178473,20px,74697891c2046d675dd675dc069f32d69b677a07df4f8ca332fda0509c63e6f9,R05,processed,1
T-033,EXCEPTIONS,10065.008366981778,411.7401280091326,151.04764229910796px,194c83009770d2fdbe512bfce326d805d8db7a7defb8f5e0e4efe2d695b536d7,R05,processed,1
T-034,how to know what caused,10.0,10.0,79.25925021701406px,0e127cc96882525707bab20dec47fac2dacbbf3ef0cc504fd9822ee005407f6a,R02,processed,1
T-035,cancellation,10.0,10.0,79.25925021701406px,80812d7992dd498c03bbb6b797f4ac179be160f921c462b0b8a4a9bd1ca3b4be,R02,processed,1
T-036,when have linkedtokensource,10.0,10.0,79.25925021701406px,838074b87b954a93ad9874b804c3d5aa53db1e46925b8101031f4cd561db9563,R02,processed,1
T-037,createlinkedtokensource,1871.6362914630117,585.4678427397412,20px,1ac19908a64064ffa42e491e50e87b44eafeb59411be756a8ec2aed969813499,R02,processed,1
