source_id,image_use_id,symbol_id,sha256,x,y,width,height,pixel_width,pixel_height,asset_path,region_id,description,nearest_text_nodes_hint_only
RS-011,RIU-011,image-9d308805049cc36ae42c6ab51597ae1beb43d639,4ebcd1148d80e4886c9522573fefdef20478d6cfbf1936cc36ac0c6c4efd7b68,10114.937626293557,1270.7636073280119,790.0,369.0,1514,708,assets/source-images-restored-v002/RS-011__4ebcd1148d.png,R05,Older async patterns could hide or wrap failures; try/catch around Task.Run and multiple tasks required special handling.,"[{""text_id"": ""T-028"", ""text"": ""Old async issues""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-027"", ""text"": ""Handling exceptions in async code""}, {""text_id"": ""T-026"", ""text"": ""!!!""}, {""text_id"": ""T-033"", ""text"": ""EXCEPTIONS""}]"
RS-012,RIU-012,image-b3534a38451a45c62ed6be081e34df4b409b95e1,0eae214c1d95d11b558cdc688a740a32d006b6309aaa83c0c3b05e2d5dd862e0,2575.673947935844,1459.2891456689395,669.0,369.0,932,515,assets/source-images-restored-v002/RS-012__0eae214c1d.png,R02,Code creates a local CancellationTokenSource and prepares multiple book-cover URLs.,"[{""text_id"": ""T-005"", ""text"": ""Have token passed from controller and our source with using""}, {""text_id"": ""T-006"", ""text"": ""Creating linked cancellation token source by passing our two tokens""}, {""text_id"": ""T-004"", ""text"": ""Operation should be cancelled if user navigates away OR if you cant fetch something from ext api""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}, {""text_id"": ""T-010"", ""text"": ""new token source""}]"
RS-013,RIU-013,image-26126a725034a72f7c4b5e25cedec330d7d2239c,bb02ee45f8df664e4b66bda1681c5f0af61410804fb6de29ecded719c086eed6,5526.726871056958,1638.894137022493,732.0,463.0,775,490,assets/source-images-restored-v002/RS-013__bb02ee45f8.png,R02,"Manual checks are not always required, but avoid extra work and cover steps that do not accept a token.","[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-016"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}]"
RS-014,RIU-014,image-edd82237aebfa58daaffff2c112184bf26a0ae51,d8169c5d1c05332aaf93adef0710133ef77f1fbcf38c3431308e2924299c3f9c,6974.9748912598425,1641.207373544792,1317.0,334.0,1317,334,assets/source-images-restored-v002/RS-014__d8169c5d1c.png,R01,"CancellationToken is a lightweight value passed to consumers/listeners, usually as a method parameter.","[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-026"", ""text"": ""!!!""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}]"
RS-015,RIU-015,image-e3c0edb9e5e5c1c621bd8dfdbb23584f1e9cf77f,1ae1c97d48bddc196608cac372a3d145ce1fb80cac584aef9895c524076aac71,9851.182606367474,1802.0640880204846,1312.0,305.0,1312,305,assets/source-images-restored-v002/RS-015__1ae1c97d48.png,R05,Using async/await all the way through makes asynchronous exception flow behave like normal structured code.,"[{""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}, {""text_id"": ""T-027"", ""text"": ""Handling exceptions in async code""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}]"
RS-016,RIU-016,image-ddf20bde4951183040fc769d7eba0fa7109e9c9b,3a908d65bb0d1a7c0166144315735aa7de8dec905e7e4b37edef5512e9c8d1e4,4730.239862802395,1901.7263379518554,718.0,108.0,718,108,assets/source-images-restored-v002/RS-016__3a908d65bb.png,R02,"CancellationTokenSource is IDisposable and should be disposed, commonly with using.","[{""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}, {""text_id"": ""T-003"", ""text"": ""async api thing""}, {""text_id"": ""T-016"", ""text"": ""createlinkedtokensource""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}]"
RS-017,RIU-017,image-be0fbafe4608b870bc17b316a8b8aa3e9fdc40ee,3de4aac580b47c78265ed62645fec733d17beb4cc5deed8a749f2f9448e4ef9d,2560.2630527464244,1975.338436608581,747.0,369.0,928,459,assets/source-images-restored-v002/RS-017__3de4aac580.png,R02,Code nests a local CTS and a linked CTS; CreateLinkedTokenSource can accept one or multiple tokens.,"[{""text_id"": ""T-007"", ""text"": ""Note that you can pass one token or more tokens as well""}, {""text_id"": ""T-006"", ""text"": ""Creating linked cancellation token source by passing our two tokens""}, {""text_id"": ""T-008"", ""text"": ""Passing token from linked source""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}, {""text_id"": ""T-010"", ""text"": ""new token source""}]"
RS-018,RIU-018,image-c9403275777622c21a7275c7526ec4306be28738,97fdf65eb092c1ca189b98749b61aa2555e6d07c200b08f7065d6f4911d48f6f,6943.152039873907,2072.632488017465,1233.0,836.0,813,551,assets/source-images-restored-v002/RS-018__97fdf65eb0.png,R01,"Comparison of CancellationToken and CancellationTokenSource, including caller, timeout, and linked-cancellation patterns.","[{""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}, {""text_id"": ""T-001"", ""text"": ""so we can imagine if there are a lot of work""}, {""text_id"": ""T-002"", ""text"": ""in the begginning of each loop and before""}]"
RS-019,RIU-019,image-55c95cba5873844c32ac3041f899bfd9273aae1d,f250c43d77c4faacc25bacbd823de99a9009866213baada9cddbf98879f9e175,10185.20422653137,2321.68953431358,596.0,369.0,1145,710,assets/source-images-restored-v002/RS-019__f250c43d77.png,R05,"General async exception options: catch near the operation, exception filters, and exception-handler middleware.","[{""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}]"
RS-020,RIU-020,image-168b4645b4e53b22d31b45427494099d1d89c0ae,be19b148c19b04d9795a762243f118e53abb2614289e8127189b00654d629560,2559.222268297064,2537.6759597246128,762.0,367.0,762,367,assets/source-images-restored-v002/RS-020__be19b148c1.png,R02,Linked token is passed consistently to GetAsync and ReadAsStringAsync.,"[{""text_id"": ""T-008"", ""text"": ""Passing token from linked source""}, {""text_id"": ""T-007"", ""text"": ""Note that you can pass one token or more tokens as well""}, {""text_id"": ""T-009"", ""text"": ""!!!!!!! you are subscribing""}, {""text_id"": ""T-010"", ""text"": ""new token source""}, {""text_id"": ""T-011"", ""text"": ""to 2 tokens""}]"
RS-021,RIU-021,image-6c4db44da1eef66be76e8bcb7026462913c2d039,d4645d9ded8c492aa63e29b6c78331505f5bacdfbb7baf0bdfb14cbc03dfb0b9,9869.769018585355,2936.5323566407424,1281.0,344.0,1281,344,assets/source-images-restored-v002/RS-021__d4645d9ded.png,R05,Catch OperationCanceledException; TaskCanceledException derives from it.,"[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}]"
RS-022,RIU-022,image-ccf41e2cfccfb3fb2d6a36ff5fe224e5466ae9c5,38094a80c76d6a3094323744b082e2052f31683365efdb1587a2a0cba42c6cfb,9938.444191299299,3581.1171677041384,1159.0,369.0,1406,448,assets/source-images-restored-v002/RS-022__38094a80c7.png,R05,Execute multiple tasks asynchronously with await/WhenAll/WhenAny rather than confusing concurrency with parallelism.,"[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}]"
RS-023,RIU-023,image-162f75b841edb8b7e582ce2169a456e3d3f9ae35,2b9890fe381bf2212d82c93117569ab41a42bdb77f55ec4b2f9d03764aa267b8,10017.18357229693,4006.8446568374748,923.0,369.0,1401,561,assets/source-images-restored-v002/RS-023__2b9890fe38.png,R05,"Summary: a CTS signals cancellation to tokens/listeners, including request-abort scenarios.","[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}]"
RS-024,RIU-024,image-5e402f4688f63b8b2ba4f60605037bce90293005,78b95113dd75458edfad18e0c021a6a398d8f425c603f7281b0e0e24dfc90d79,9975.75835100573,4445.733263421116,1109.0,369.0,1321,440,assets/source-images-restored-v002/RS-024__78b95113dd.png,R05,Summary: OperationCanceledException covers cancellation; TaskCanceledException is a derived type.,"[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}]"
RS-025,RIU-025,image-ccc6350cdd2dd49d1e2e290bf1bf55dfee28bd82,20c7e9ad8e1cba8eeaae7c2390acc733cd2fc3330ebf905c2d65584771c3a622,4844.610003894984,4926.604744594573,907.0,261.0,907,261,assets/source-images-restored-v002/RS-025__20c7e9ad8e.png,R04,RequestAborted can be received as an action parameter and must be passed to every cancellable downstream operation.,"[{""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}]"
RS-026,RIU-026,image-f06631e240091da604243ca54bac61dd2ab62bac,48ca5eaab20d6464144f9ca39e069a5e07aa3b8ee5e721f043a4541e7bb6cf42,6790.503833725092,4960.0817955655075,639.0,197.0,639,197,assets/source-images-restored-v002/RS-026__48ca5eaab2.png,R03,CPU-bound work must observe the token; one option is IsCancellationRequested.,"[{""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-027,RIU-027,image-425f2214d78f40165ec81af25d6b27390ac52af6,fc8bb90f447d559d586655d7e52570b3d73e147131fcf39cfea1f09ecd9f1165,10032.150844350328,5043.708454804069,846.0,353.0,846,353,assets/source-images-restored-v002/RS-027__fc8bb90f44.png,R05,Async/await surfaces failures at the await point and allows ordinary try/catch.,"[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-028"", ""text"": ""Old async issues""}]"
RS-028,RIU-028,image-d3d3239aa5c97b7a4ab27ecc22f674ad7fce6c69,dd297affec3b8b9eba52d14ac19405b1bda293c7355eb2484c0e2d334276eed8,3292.0364846164903,5154.0741800473625,845.0,255.0,845,255,assets/source-images-restored-v002/RS-028__dd297affec.png,R04,Let request cancellation bubble so ASP.NET Core stops processing and aborts the response when the client is gone.,"[{""text_id"": ""T-023"", ""text"": ""let it bubble for""}, {""text_id"": ""T-024"", ""text"": ""disconnect""}, {""text_id"": ""T-025"", ""text"": ""dont catch""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-029,RIU-029,image-d9961d1dd108bd68a7da831b83c2470d4296754e,9affa32639f3226dbe672016740605cef1b265cd17483c5530a1b0cf1fa3bd9b,6778.000260150231,5180.325431812074,642.0,192.0,642,192,assets/source-images-restored-v002/RS-029__9affa32639.png,R03,CPU loop checks IsCancellationRequested and exits with break.,"[{""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-030,RIU-030,image-5ddae19a0c05102ef35ee0d0e02237c0500138fb,689f2e6897c9adb481a6929a1ed9065bd43d92dc8be169fa4fc5005e7410bcf0,4824.923705945343,5207.059605705668,1038.0,712.0,789,541,assets/source-images-restored-v002/RS-030__689f2e6897.png,R04,Controller receives CancellationToken and passes it into the service/client method.,"[{""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}]"
RS-031,RIU-031,image-de71c68bf9be917b99b45f9637642d41b80970fb,e468a8499f8a372240213975795515ad6ca022cbf04260cc451da51557e88830,6775.5001380799185,5389.825431812074,575.0,93.0,575,93,assets/source-images-restored-v002/RS-031__e468a8499f.png,R03,ThrowIfCancellationRequested is preferred when cancellation should be represented as an exception.,"[{""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-032,RIU-032,image-b62cbc26114fc10c27cc71ff5fae041396a52276,fd08db6714a10ebf358cef2f4f130ca6deff62065bef495a771da423b44fd8d3,3259.0921079888867,5423.796419223785,882.0,300.0,882,300,assets/source-images-restored-v002/RS-032__fd08db6714.png,R04,"After propagation ASP.NET Core knows the request is aborted, stops writing the response, and does not treat it as a client-visible 500.","[{""text_id"": ""T-023"", ""text"": ""let it bubble for""}, {""text_id"": ""T-024"", ""text"": ""disconnect""}, {""text_id"": ""T-025"", ""text"": ""dont catch""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-033,RIU-033,image-32315b62e80c577155bc79b052fd979ef67c9e64,3df1be74cb816198cf14a03d8617f1584c7c0e2aa06ae7887bb00dafa1080e31,10050.650844350328,5474.5417372747725,689.0,258.0,689,258,assets/source-images-restored-v002/RS-033__3df1be74cb.png,R05,Awaited HTTP failures can be caught with normal try/catch for HttpRequestException.,"[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-029"", ""text"": ""Now just""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}]"
RS-034,RIU-034,image-2cf1f166b28610a4e615309f4e51297c5a893de2,e57ae14dbfaedb61068027dbc60b029e6828d5a0059d4bb1f0bb6478c5440a58,6762.6668861267935,5493.158805835512,542.0,161.0,542,161,assets/source-images-restored-v002/RS-034__e57ae14dbf.png,R03,CPU loop calls ThrowIfCancellationRequested before each unit of work.,"[{""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-035,RIU-035,image-29a32ca8ebdb6a66d70cc65fd837b0b17c5ebd5b,2561344f86b204473d05575872f227a720724016a1ad239495939a63575e5d00,6711.833512103356,5674.158744800356,673.0,127.0,673,127,assets/source-images-restored-v002/RS-035__2561344f86.png,R03,ThrowIfCancellationRequested is consistent with other cancellable APIs because it throws OperationCanceledException.,"[{""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-036,RIU-036,image-741459eb64bad1e19da77e3e2bbba85a110e7d84,7201ccf8093e2d9ba011e8ac5e11c6996faa6098ba80a1244737c2cea8ce0965,3262.4810646946153,5733.296368361174,793.0,321.0,793,321,assets/source-images-restored-v002/RS-036__7201ccf809.png,R04,Do not try to return a response to a disconnected client; treat request cancellation as normal control flow.,"[{""text_id"": ""T-023"", ""text"": ""let it bubble for""}, {""text_id"": ""T-024"", ""text"": ""disconnect""}, {""text_id"": ""T-025"", ""text"": ""dont catch""}, {""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}]"
RS-037,RIU-037,image-ae73bdd8383bd3522364664bd888c28869d79ec2,84f63b7d363a0dbc25cc9b4376b177f886c78bd049ee42300cd4969586d3ba17,10022.197372081337,5807.3854872747725,753.0,482.0,905,580,assets/source-images-restored-v002/RS-037__84f63b7d36.png,R05,Cancellation is represented by OperationCanceledException/TaskCanceledException; request cancellation normally need not be caught.,"[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}]"
RS-038,RIU-038,image-7c50afd13156edc4f5e48722d03b2ce6052d9961,717be4ed20e5cf9a62939585ee4d61b17c0386fee507d0439b3025afafdc69e0,4840.572921646721,5945.093917123595,851.0,209.0,761,187,assets/source-images-restored-v002/RS-038__717be4ed20.png,R04,"When a client disconnects, RequestAborted cancels and awaited operations stop early.","[{""text_id"": ""T-018"", ""text"": ""cancellation for""}, {""text_id"": ""T-019"", ""text"": ""disconnect,abotrion""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}, {""text_id"": ""T-022"", ""text"": ""throwifcancrequested""}]"
RS-039,RIU-039,image-78b1b91fa2f770887dbfb7f4bd23d25bfe435af9,40ae120195b8780683f864eb5409babac04554ac41025432e75b27aab32ff190,10136.317561879625,6361.375019745476,531.0,181.0,531,181,assets/source-images-restored-v002/RS-039__40ae120195.png,R04,Minimal controller passes its CancellationToken directly into the asynchronous service.,"[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}]"
RS-040,RIU-040,image-38a288bbc85295800ec3076e868a7b60d0173030,ff47f93525098bbed2fc81d89628aa8f8246b3dedb04cfbc29729b03a7b687c8,9999.984279408922,6592.708302216179,807.0,345.0,807,345,assets/source-images-restored-v002/RS-040__ff47f93525.png,R04,"Catch cancellation only for extra work such as metrics, cleanup, controlled logging, or rare translation while still connected.","[{""text_id"": ""T-032"", ""text"": ""OperationCancelledException covers both types""}, {""text_id"": ""T-030"", ""text"": ""occures when call throwifcancellationrequested""}, {""text_id"": ""T-031"", ""text"": ""occurs when task cancelled regularly(?)""}, {""text_id"": ""T-020"", ""text"": ""cpu bound""}, {""text_id"": ""T-021"", ""text"": ""manual cancellatoin""}]"
