use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-2cb9506b3eb44ab46adefe176c1c41bee98ec9ba,074edffe56a9.png,074edffe56a9,R01,4682.084908380242,805.21808667611,997.0,404.0,1.0,,T-004|T-018|T-003,strings|setup|keys,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
IU-015,image-cb994207449fc3ed880f89fb8b01c4886c5f66dd,7c1174effb99.png,7c1174effb99,R02,6817.695020385132,3942.1025976129367,674.0,482.0,1.0,,T-007|T-009|T-008,lists|sortedsets|sortedsets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-016,image-9123b7d29b074f833c112506d60d7736344612d6,45238baf8943.png,45238baf8943,R02,2563.0642178592934,4831.626261814947,753.0,482.0,1.0,,T-011|T-010|T-001,sets|sets|Hashes,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-017,image-4ca2ea9b63adc4d41bd68618504b2c1574e08dcd,1110a1e27d2a.png,1110a1e27d2a,R03,2526.9592175606795,5358.044474705572,939.0,359.0,1.0,,T-011|T-019|T-010,sets|redisvalue|sets,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-018,image-52eed5b3157c46da1bcf75bc61da003cc2f99f50,8f32a18a1926.png,8f32a18a1926,R02,6738.720831678984,4784.972958941062,805.0,328.0,1.0,,T-009|T-007|T-008,sortedsets|lists|sortedsets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-019,image-5a6078f1d05c8693842d0e626a3a1f88fec7c97d,071d0ff70892.png,071d0ff70892,R02,6693.41136599818,5120.973133327223,968.0,376.0,1.0,,T-009|T-007|T-008,sortedsets|lists|sortedsets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-020,image-e23f75932a0c452ea10dc0e28049c1a75dda3dc3,69a1bc88dfd7.png,69a1bc88dfd7,R03,7599.221022534948,5340.013246239621,212.0,37.0,1.0,,T-009|T-007|T-008,sortedsets|lists|sortedsets,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-021,image-3aee513d10824be71625532809a7e2ed5959950b,74ebb9adcd65.png,74ebb9adcd65,R03,6687.109877515417,5582.124391259153,954.0,335.0,1.0,,T-009|T-007|T-008,sortedsets|lists|sortedsets,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-022,image-b8ee99cf4752d19e917ab0312073998cd8aecc8d,40d549a8c3d7.png,40d549a8c3d7,R02,4591.038472195476,3090.529074690143,1229.0,355.0,1.0,,T-006|T-003|T-008,lists|keys|sortedsets,closed,04-transcript-R02-hashes-lists-sets-and-sorted-sets.md,08-full-combined-final-transcript.md
IU-023,image-462986a29ee288a6e189976b4179bcb85936f19b,4d2abeb5a47b.png,4d2abeb5a47b,R05,4836.177641294607,11542.898661751165,926.0,432.0,1.0,,T-020|T-012|T-013,iserver|!!!|!!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-024,image-f104e14ee9860e63a74ccfdd3d1483c0f090e844,787d36e2af92.png,787d36e2af92,R05,4828.177641294607,12016.287516731636,942.0,423.0,1.0,,T-020|T-012|T-013,iserver|!!!|!!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-025,image-6a5279c4e74964d1f2120f1e7d4831df2e880bdd,48ac80566b0f.png,48ac80566b0f,R05,4773.566394549815,12469.676422574736,989.0,354.0,1.0,,T-020|T-012|T-013,iserver|!!!|!!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-026,image-9fdfb9e7cbcc7e7c41355fba8fb1b0f17785f431,b30fa5eefc7d.png,b30fa5eefc7d,R05,4803.455351255545,12874.009654182808,927.0,472.0,1.0,,T-020|T-012|T-013,iserver|!!!|!!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-027,image-80967400e3a8109bb6cbee28dd41c6bfc3ae16b1,3979713ea442.png,3979713ea442,R05,4779.51087290268,13957.620951790232,966.0,367.0,1.0,,T-020|T-012|T-013,iserver|!!!|!!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-028,image-df35b7435671c265aed932ebffb0403388fc6ad0,25009327fa3b.png,25009327fa3b,R05,4803.831799868973,13401.075694221872,871.0,482.0,1.0,,T-020|T-012|T-013,iserver|!!!|!!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-029,image-b34310527093d77ea9dd45310d4fd3c916fe2f58,4ec3fed5ff54.png,4ec3fed5ff54,R03,4553.126934565021,5931.632131432922,906.0,383.0,1.0,,T-019|T-008|T-010,redisvalue|sortedsets|sets,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-030,image-a4b2c2358cd9b5643e267b5d6969668a08e3c7e2,88a185f036ef.png,88a185f036ef,R03,4567.010516660239,6446.804908657732,848.0,482.0,1.0,,T-019|T-014|T-013,redisvalue|!!!|!!!!,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-031,image-c8d3c76cb655411309415474fc0a475715946a37,954b0a9343a0.png,954b0a9343a0,R03,4572.658298810314,7041.166323379621,945.0,300.0,1.0,,T-014|T-019|T-013,!!!|redisvalue|!!!!,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-032,image-8930f3de03feedc64640af7335ed39b1df43b56e,7e6da48b8b71.png,7e6da48b8b71,R03,4676.000529973926,7569.461134530591,949.0,337.0,1.0,,T-014|T-013|T-012,!!!|!!!!|!!!,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-033,image-10b5a1d9b7de2c9750442cd8580024f0a16850bc,d680f5da96c3.png,d680f5da96c3,R03,4629.000529973926,7952.461134530591,643.0,221.0,1.0,,T-014|T-013|T-012,!!!|!!!!|!!!,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-034,image-1111ba669a606cc89a876322c68968081e2eca56,8c31a3bd60c6.png,8c31a3bd60c6,R04,4656.9913459849,8203.471678353833,614.0,482.0,1.0,,T-014|T-013|T-012,!!!|!!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-035,image-fe1a01d694c2c7d12d3f81ac9f8213bab2a99e11,3f13fecd3cde.png,3f13fecd3cde,R04,4616.333812444629,8790.961134530591,885.0,354.0,1.0,,T-013|T-012|T-014,!!!!|!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-036,image-f5285771571b7676006502220fc631ddca44a056,b7407d847682.png,b7407d847682,R04,4606.333812444629,9185.294417001294,985.0,452.0,1.0,,T-012|T-013|T-014,!!!|!!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-037,image-0c8368d871c4260b3fc3d2e48dc7da6d80662b36,3994772b0403.png,3994772b0403,R04,3167.1087342256515,8174.802378581671,773.0,482.0,1.0,,T-015|T-013|T-014,!!!|!!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-038,image-a6b9b96f9a524823b932462442f96d252122d44a,5c7affaac5f0.png,5c7affaac5f0,R04,2501.338926857211,9460.624701366582,926.0,342.0,1.0,,T-015|T-012|T-013,!!!|!!!|!!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-039,image-a976a955cd230fbfdbeb274a691a9b42a3a63d3e,7f8be960f449.png,7f8be960f449,R04,2519.1246411429247,9847.505639215355,919.0,313.0,1.0,,T-015|T-012|T-013,!!!|!!!|!!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-040,image-b694d398d5846cb67552dbe3604332eae4fa098c,a8278d213951.png,a8278d213951,R04,2511.2546063925183,10203.105272370283,955.0,376.0,1.0,,T-015|T-012|T-020,!!!|!!!|iserver,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-041,image-2f92e2001aa6c29a270cb0873278741d3bc432df,9dcf102075cd.png,9dcf102075cd,R05,2504.9059735800192,10638.802205076248,958.0,404.0,1.0,,T-020|T-012|T-015,iserver|!!!|!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-042,image-b388444a1dba7538bd0a7893bb1d97ec16f848fd,1703cc047488.png,1703cc047488,R05,2485.8758555047352,11161.938568712614,950.0,325.0,1.0,,T-020|T-012|T-015,iserver|!!!|!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-043,image-06bccfa9a2c0d24e3f010fb0b0cf0945456ad2d2,47f50f5b2bc2.png,47f50f5b2bc2,R05,2444.557562713542,11517.074932348978,909.0,342.0,1.0,,T-020|T-016|T-017,iserver|this type of shit works because of overriden == != and|implicit operators,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-044,image-bebc56fa3b042e0555d07a49e5b626fe1fd7a38b,281d7ca6519e.png,281d7ca6519e,R05,2447.5272226922352,11909.787035065596,937.0,439.0,1.0,,T-020|T-017|T-016,iserver|implicit operators|this type of shit works because of overriden == != and,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-045,image-ece9b77670ee88af02f8883a9ff2ddf3f2938d3c,4a6b1884b02e.png,4a6b1884b02e,R04,1886.9074338811952,8159.608714034275,1016.0,342.0,1.0,,T-015|T-013|T-014,!!!|!!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-046,image-6cecf83302f5e11be116fb2dd1f2cbcb489a0f21,c1ab03f39837.png,c1ab03f39837,R04,1897.6271346277044,8532.129881123343,717.0,482.0,1.0,,T-015|T-012|T-013,!!!|!!!|!!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-047,image-a2d61749bb96a39d568b1157c283996ecd69f98e,6fce57c6066e.png,6fce57c6066e,R03,6336.135233554124,7869.563674933022,956.0,287.0,1.0,,T-014|T-013|T-012,!!!|!!!!|!!!,closed,05-transcript-R03-redisvalue-conversions-null-and-typed-access.md,08-full-combined-final-transcript.md
IU-048,image-6e1e8b3341608ed63f9a4b728e5d2815fdb7b752,8eb949f988e7.png,8eb949f988e7,R04,6333.042636440408,8205.619108418265,897.0,478.0,1.0,,T-014|T-013|T-012,!!!|!!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-049,image-01ae25ac82e31f800a1f4a16362f4bf055e0d0aa,cec4eaddd5d9.png,cec4eaddd5d9,R04,6320.526424107819,8748.129575947562,885.0,482.0,1.0,,T-013|T-014|T-012,!!!!|!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-050,image-6246976ef9ae0b45242e6c4dd730a83bd7c4e73e,4eef1c3c8a13.png,4eef1c3c8a13,R04,6315.709262416971,9274.452421406546,937.0,167.0,1.0,,T-012|T-013|T-014,!!!|!!!!|!!!,closed,06-transcript-R04-idatabase-command-patterns-and-execution-semantics.md,08-full-combined-final-transcript.md
IU-051,image-ed12f0e9e5c70993d7bfea24416604d5bcbb12fc,0f1bc7f35f07.png,0f1bc7f35f07,R05,1199.6921840569921,11267.418493214795,957.0,272.0,1.0,,T-016|T-017|T-015,this type of shit works because of overriden == != and|implicit operators|!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-052,image-df49d86f8dc70e01fb48bdb6167a2136b9c977bb,730816484434.png,730816484434,R05,1189.5413142562193,11577.00825245458,612.0,463.0,1.0,,T-016|T-017|T-020,this type of shit works because of overriden == != and|implicit operators|iserver,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-053,image-c96b0a4b649a112a84d32475e470eba663d7ad74,c8e1bcdac354.png,c8e1bcdac354,R05,1117.0895886543476,12066.969790916119,874.0,277.0,1.0,,T-017|T-016|T-020,implicit operators|this type of shit works because of overriden == != and|iserver,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-054,image-e3f8f495c8bd59edd2b075deefe431db15347b68,f14212e19f32.png,f14212e19f32,R05,10.0,11350.97401225359,965.0,400.0,1.0,,T-016|T-017|T-015,this type of shit works because of overriden == != and|implicit operators|!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-055,image-d4e1d6ac1f58498526e91292fca5966828b2bd39,d8b152ec2051.png,d8b152ec2051,R05,413.314697265625,10798.918422789613,1084.0,409.0,1.0,,T-016|T-017|T-015,this type of shit works because of overriden == != and|implicit operators|!!!,closed,07-transcript-R05-iserver-key-scanning-and-operator-behavior.md,08-full-combined-final-transcript.md
IU-056,image-24915dd245ee645b21771af6ea42d1b7587375b9,72015c134e53.png,72015c134e53,R01,4701.289000533336,452.6778975359848,931.0,337.0,1.0,,T-018|T-004|T-005,setup|strings|options/args,closed,03-transcript-R01-redis-setup-connection-options-strings-and-keys.md,08-full-combined-final-transcript.md
