label_id,x,y,text,font_size,fill,candidate_region,candidate_region_name,stage1_status
T-018,867.777709960937,3696.182602446226,frequently for same,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-019,867.777709960937,3818.5960885916784,cache key?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-020,10.0,4842.657971281244,Produces many,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-021,10.0,4965.071457426696,unused cache entries,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-022,10.0,5087.484943572148,that waste space?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-023,2066.456765619003,3713.483817027525,is the endpoint,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-024,2066.456765619003,3835.8973031729774,expensive?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-025,3034.456765619003,3718.8171910509627,is the response,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-026,3034.456765619003,3841.230677196415,large?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-027,4123.218728509628,3582.436227044266,how much does the,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-028,4123.218728509628,3704.8497131897184,freshness matter?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-029,4123.218728509628,3827.2631993351706,is data dynamic?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-030,5298.456765619003,3708.1505650744,is the endpoint,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-031,5298.456765619003,3830.5640512198524,expensive?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-032,6578.457375970565,3688.1505650744,is already cached,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-033,6578.457375970565,3810.5640512198524,elsewhere?,97.93078891636182px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-034,9619.938767029593,3774.076536211553,when truly redundant,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-035,8647.758479504686,3728.739875306235,outputcache,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-036,8647.758479504686,3851.153361451687,vs cdn,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-037,8685.853441488502,4471.359177238434,when outputcache,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-038,8685.853441488502,4593.7726633838865,is useful even with CDN,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-039,8572.758326916795,4873.740104188071,CDN misses still hit your app,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-040,8424.079001292232,5913.62073264466,CDN doesnt cache certain responses,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-041,8538.649503476217,6570.433445898862,you use CDN only for static assets,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-042,8443.547251016369,7242.946808293569,YOu need app level cache rules,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-043,10256.340098564995,6890.820854448226,outputcache vs default cdn/browser behavior,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-044,10256.340098564995,7013.234340593678,in context of last word to serve cache or not,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-045,8486.49360516372,7996.460112878874,Internal users or private nwrk bypass,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-046,8486.49360516372,8118.873599024326,cdn,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-047,10474.28979570946,7917.659932102341,outputcache revalidates against cached,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-048,10474.28979570946,8040.073418247794,response,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-049,10589.300434803909,8969.35484484995,can respect maxage by revalidating,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-050,10589.300434803909,9091.7683309954,ag db,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-051,10602.34283812525,9630.962257802852,better to not cache 304,97.93078891636182px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-052,1132.6614136483945,4871.912300048433,can add some,71.8488157233012px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-053,1132.6614136483945,4961.72331970256,flags to cache only,71.8488157233012px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-054,1132.6614136483945,5051.534339356686,hot resources,71.8488157233012px,#d3d3d3,R02,cache usefulness decision criteria / hotness / freshness / CDN question,closed-by-stage1
T-055,4318.330887742412,8340.923774106892,is the response,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-056,4318.330887742412,8463.337260252343,not expensive?,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-057,3067.6638955549124,9775.590522153767,catastrophic locking,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-058,5434.521334868528,8289.49520267832,connection quality/,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-059,5434.521334868528,8411.90868882377,general time to get response,97.93078891636182px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-060,3004.164856803035,2648.723884985652,is benefitial ?,177.538461538461px,#d3d3d3,R01,safety / whether output caching is beneficial,closed-by-stage1
T-061,2910.831523469702,5959.834928279924,need locking?,177.538461538461px,#d3d3d3,R03,locking / cache stampede / expiration and catastrophic locking cases,closed-by-stage1
T-062,10725.547453396952,8690.597607490163,!!!!,114.47621372767897px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
T-063,11254.24607627871,7232.335287175247,!!!,66.16723554378642px,#d3d3d3,R04,OutputCache vs CDN / browser cache / revalidation notes,closed-by-stage1
